conceptId;Engelse beschrijving;Vertalingen;conceptId;snomedBeVertaling
70183006;Subcutaneous mastectomy;subcutane mastectomie;70183006;subcutane mastectomie / Webster
70627009;Myocardial resection;myocard resectie;70627009;myocardresectie
71861002;Implantation;implantatie;71861002;inbrengen
71861002;Implantation;implantatie;71861002;plaatsen
72091008;Myocutaneoosseous transplantation;Myocutaneoosseous transplantatie;72091008;Osteomyocutane flap
72193009;Cardiosplenopexy;Cardiosplenopexy;72193009;cardiosplenopexie
72577009;Excision of nipple;Excisie van tepel;72577009;excisie van de tepel
73021008;Pyeloileocutaneous anastomosis;Pyeloileocutaneous anastomose;73021008;ileal stal liesbreukherstel van pyélo en cutanée s
73570001;Dupuytren shoulder disarticulation;Dupuytren schouder exarticulatie;73570001;dupuytren schouderdesarticulatie
75404005;Epiploectomy;Epiploectomy;75404005;epiploëctomie
75626002;Pallidoamygdalotomy;Pallidoamygdalotomy;75626002;pallido-amygdalotomie
75905004;Sigmoidoproctostomy;Sigmoidoproctostomy;75905004;sigmoiedo-proctostomie
76292006;Arthroplasty of carpals;Artroplastiek van carpals;76292006;arthroplastiek van carpale beenderen
76611008;Atherectomy by laser;Atherectomie door laser;76611008;laser atherectomie
76967003;Ileopancreatostomy;Ileopancreatostomy;76967003;ileo-pancreatische anastomose
76981001;Discogram;discogram;76981001;discografie
77539008;Pancreaticocystoduodenostomy;Pancreaticocystoduodenostomy;77539008;pancreatico-cysto-duodenostomie
77665000;Ventrohysteropexy;Ventrohysteropexy;77665000;ventrohysteropexie
77914005;Aspiration of tendon sheath;Aspiratie van peesschede;77914005;aspiratie van een peesschede
78285005;Pleuropexy;Pleuropexy;78285005;pleuropexie
78611003;Z-plasty of epicanthus;Z - plasty van epicanthus;78611003;Z-plastie epicanthus
78646006;Ileoentectropy;Ileoentectropy;78646006;entectropie gastrectomtr
79170004;Ileoduodenotomy;Ileoduodenotomy;79170004;ileoduodenotomie
79583008;Intubation for gastric decompression;Intubatie voor maag decompressie;79583008;maagsonde voor maagdecompressie
79733001;Amputation above-knee;Amputatie boven de knie;79733001;bovenbeenamputatie
79950009;Lymphangiorrhaphy;Lymphangiorrhaphy;79950009;lymfangiografie
80021004;Clavicotomy;Clavicotomy;80021004;claviculotomie
80772001;Hepatogastrostomy;Hepatogastrostomy;80772001;hepato-gastrostomie
80945002;Cystoproctostomy;Cystoproctostomy;80945002;cysto-proctostomie
81240005;Bunionectomy with arthrodesis;Bunionectomy met artrodese;81240005;bunionectomie met arthrodese
81404005;Transcanal tympanolysis;Transcanal tympanolysis;81404005;transmeatale tympanolyse
81516001;Partial nephrectomy;parti ë le nefrectomie;81516001;partiële nefrectomie
81849003;Pallidoansotomy;Pallidoansotomy;81849003;pallidoansotomie
82254000;Refixation;Refixation;82254000;heraanhechten
82269004;Cauterization of fallopian tube;Cauterisatie van de eileider;82269004;cauterisatie van eileider
82736000;Trabeculotomy;Trabeculotomy;82736000;trabeculotomie
82941002;Nasopharyngoscopy;Nasopharyngoscopy;82941002;nasofaryngoscopie
83065008;Metacarpocarpal arthrodesis;Metacarpocarpal artrodese;83065008;cmc -arthrodese
83101004;Laryngoesophagectomy;Laryngoesophagectomy;83101004;laryngo-oesofagectomie
83328003;Biopsy of umbilicus;Biopsie van navel;83328003;biopsie van de navel
83613005;Cardiopericardiopexy;Cardiopericardiopexy;83613005;cardiopericardiopexie
83868006;Iridocapsulectomy;Iridocapsulectomy;83868006;iridocapsulectomie
84041000;Bronchoscopy with bronchial dilation;Bronchoscopie met bronchiale dilatatie;84041000;bronchoscopie met dilatatie van bronchus
84985001;Biopsy of perineum;Biopsie van perineum;84985001;perineum biopsie
85472003;Mesenteriopexy;Mesenteriopexy;85472003;mesenteropexie
87150006;Enterostomy;enterostomie;87150006;darmstoma
87677003;Resection of rectum;Resectie van rectum;87677003;rectumresectie
88908007;Rectal massage for levator spasm;Rectale massage voor levator spasme;88908007;rectale massage voor levatoren spasme
89079008;Venotripsy;Venotripsy;89079008;venotripsie
89915007;Malleostapediopexy;Malleostapediopexy;89915007;malleostapediopexie
90164007;Trabeculodialysis;Trabeculodialysis;90164007;trabeculodialyse
90976006;Endoscopy of jejunum;Endoscopie van jejunum;90976006;endoscopie van het jejunum
108152001;Lens incision;lens incisie;108152001;incisie van lens
108180004;Mediastinum excision;mediastinum excisie;108180004;excisie van mediastinum
112719001;Xiphoidectomy;Xiphoidectomy;112719001;xiphoidectomie
112976009;Excision of inner ear;Excisie van binnenoor;112976009;excisie van het binnenoor
116234005;Open biopsy of mediastinum;Open biopsie van mediastinum;116234005;open biopsie van het mediastinum
118659004;Tenosuspension;Tenosuspension;118659004;tenonsuspensie procedure
119256007;Carinal resection;Carinal resectie;119256007;resectie van carina
119284002;Biopsy of mediastinum;Biopsie van mediastinum;119284002;biopsie van het mediastinum
119608007;Pelvis incision;bekken incisie;119608007;incisie van het bekken
119613006;Pelvis closure;bekken sluiting;119613006;sluiten van het bekken
119654003;Hand reconstruction;Hand reconstructie;119654003;reconstructie van de hand
119665008;Hand manipulation;Hand manipulatie;119665008;manipulatie van de hand
119711004;Nose closure;neus sluiting;119711004;sluiten van de neus
119733002;Bronchus implantation;bronchus implantatie;119733002;implantatie van bronchus
119739003;Trachea reconstruction;trachea reconstructie;119739003;reconstructie van trachea
119750000;Pleura injection;pleura injectie;119750000;intrapleurale injectie
119752008;Pleura closure;pleura sluiting;119752008;sluiten van pleura
119757002;Pleura transplantation;pleura transplantatie;119757002;pleuratransplantatie
119776000;Aorta closure;aorta sluiting;119776000;sluiten van aorta
119777009;Aorta reconstruction;aorta reconstructie;119777009;reconstructie van aorta
119881000;Stomach implantation;maag implantatie;119881000;stomache implan-duodenectomie
119882007;Stomach injection;maag injectie;119882007;maaginjectie
119883002;Stomach closure;maag sluiting;119883002;sluiten van de maag
119884008;Stomach reconstruction;maag reconstructie;119884008;reconstructie van de maag
119896001;Rectum implantation;rectum implantatie;119896001;rectale implantatie
119897005;Anus implantation;anus implantatie;119897005;anale implantatie
119898000;Rectum injection;rectum injectie;119898000;rectale injectie
119899008;Anus injection;anus injectie;119899008;anale injectie
119901004;Rectum closure;rectum sluiting;119901004;sluiten van het rectum
119906009;Anus transplantation;anus transplantatie;119906009;transplantatie anus
119913009;Liver closure;lever sluiting;119913009;sluiten van de lever
119919008;Gallbladder implantation;galblaas implantatie;119919008;gallbladdere implan-duodenectomie
119921003;Gallbladder injection;galblaas injectie;119921003;inspuiten van de galblaas
119923000;Gallbladder endoscopy;galblaas endoscopie;119923000;endoscopie van de galblaas
119924006;Gallbladder closure;galblaas sluiting;119924006;sluiten van de galblaas
119927004;Gallbladder reconstruction;galblaas reconstructie;119927004;gallbladdere recons-duodenectomie
119931005;Gallbladder transplantation;galblaas transplantatie;119931005;gallbladdere transp-duodenectomie
119933008;Gallbladder manipulation;galblaas manipulatie;119933008;gallbladdere manipu-duodenectomie
119944000;Thyroid gland implantation;Schildklier implantatie;119944000;implantatie van schildklier
119945004;Thyroid gland closure;Schildklier sluiting;119945004;sluiten van schildklier
119946003;Thyroid gland reconstruction;Schildklier reconstructie;119946003;reconstrutie van schildklier
119965006;Bone marrow incision;Beenmerg incisie;119965006;beenmerg exploratie
119967003;Thymus implantation;thymus implantatie;119967003;implantatie van thymus
119970004;Thymus injection;thymus injectie;119970004;injectie van thymus
119974008;Thymus closure;thymus sluiting;119974008;sluiten van thymus
119991007;Bladder closure;blaas sluiting;119991007;sluiten van de blaas
119994004;Urethra closure;urethra sluiting;119994004;sluiten van de urethra
120004002;Epididymis injection;bijbal injectie;120004002;epididymis injectie
120013000;Vas deferens excision;Vas deferens excisie;120013000;excisie vas deferens
120018009;Vas deferens injection;Vas deferens injectie;120018009;injectie vas deferens
120019001;Seminal vesicle injection;Zaadblaasjes injectie;120019001;injectie zaadblaas
120021006;Scrotum closure;scrotum sluiting;120021006;sluiten scrotum
120031004;Vulva implantation;vulva implantatie;120031004;implantatie van vulva
120033001;Vulva reconstruction;vulva reconstructie;120033001;reconstructie van vulva
120071009;Obstetrics reconstruction;verloskunde reconstructie;120071009;obstetrische reconstructie
120113002;Cornea injection;cornea injectie;120113002;intracorneale injectie
120122001;Lens reconstruction;lens reconstructie;120122001;lensreconstructie
120139004;Middle ear implantation;Middenoor implantatie;120139004;middenoorimplantatie
120142005;Inner ear implantation;Binnenoor implantatie;120142005;cochleaire implantatie
120144006;Inner ear reconstruction;Binnenoor reconstructie;120144006;binnenoorreconstructie
120162002;Mediastinum implantation;mediastinum implantatie;120162002;implantatie van mediastinum
120163007;Mediastinum injection;mediastinum injectie;120163007;injectie van mediastinum
120164001;Mediastinum closure;mediastinum sluiting;120164001;sluiten van mediastinum
120165000;Mediastinum reconstruction;mediastinum reconstructie;120165000;reconstructie van mediastinum
120167008;Diaphragm closure;diafragma sluiting;120167008;sluiten van het diafragma
120184002;Mesentery closure;mesenterium sluiting;120184002;sluiten van het mesenterium
120188004;Mesentery reconstruction;mesenterium reconstructie;120188004;reconstructie van het mesenterium
120201000;Perineum closure;perineum sluiting;120201000;sluiten van het perineum
120204008;Perineum reconstruction;perineum reconstructie;120204008;reconstrueren van het perineum
120210008;Perineum manipulation;perineum manipulatie;120210008;manipuleren van het perineum
120217006;Forearm incision;onderarm incisie;120217006;incisie van de onderarm
123679006;Arterial anastomosis;arteri ë le anastomose;123679006;arteriele anastosmose
125883007;Hemipatellectomy;Hemipatellectomy;125883007;hemipatellectomie
133874006;Selective fetal reduction;Selectieve foetale reductie;133874006;selectieve foeticide
171529006;Aspiration of cerebroventricular shunt;Aspiratie van cerebroventricular shunt;171529006;punctie van ventriculaire shunt
172120000;Open capsulotomy of breast;Open capsulotomie van de borst;172120000;open capsulotomie van borst
172667002;Plug myringoplasty;plug myringoplastiek;172667002;myringoplastie met plug
172732009;Implantation of intracochlear prosthesis;Implantatie van intracochlear prothese;172732009;implantatie van intracochleaire prothese
172733004;Implantation of extracochlear prosthesis;Implantatie van extracochlear prothese;172733004;implantatie van extracochleaire prothese
172812000;Cauterization of internal nose;Cauterisatie van de interne neus;172812000;cauterisatie van inwendige neus
172921000;Uncinectomy;Uncinectomy;172921000;uncinectomie
172938001;Pharyngolaryngoesophagectomy;Pharyngolaryngoesophagectomy;172938001;laryngofaryngo-oesofagectomie
173076000;Tracheopexy;Tracheopexy;173076000;tracheopexie
173764008;Reconstruction of gastrostomy;Reconstructie van gastrostomie;173764008;reconstructie van de gastrostomie
173830003;Gastric lavage;maagspoeling;173830003;irrigatie van de maag
173918008;Open jejunoscopy;Open jejunoscopy;173918008;open jejunoscopie
173962004;Ileotransverse colonic bypass;Ileotransverse colon bypass;173962004;colon bypass met ileo-transversostomie
174000002;Strictureplasty of ileum;Strictureplasty van ileum;174000002;stricturoplastie van het ileum
174333001;Excision of perianal wart;Excisie van perianale wratten;174333001;excisie van perianale condylomata
174425003;Orthotopic liver transplant;Orthotope levertransplantatie;174425003;orthotopische levertransplantatie
174966008;Open cardiac valvotomy;Open cardiale valvotomy;174966008;Open cardiale valvulotomie
175194006;Cardiotachygraphy;Cardiotachygraphy;175194006;cardiotachygrafie
175988004;Nephrostogram;Nephrostogram;175988004;nefrostomogram
176028006;Uretero-ureterostomy;Uretero - ureterostomie;176028006;uretero-ureterostomie
176117005;Cecocystoplasty;Cecocystoplasty;176117005;cecocystoplastie
176118000;Ileocecocystoplasty;Ileocecocystoplasty;176118000;ileo-caeco-cystoplastie
176318007;Transurethral biopsy prostate;Transurethrale biopsie prostaat;176318007;transurethrale biopsie van de prostaat
176547004;Prepuceplasty;Prepuceplasty;176547004;voorhuidplastie
176586000;Clitoroplasty;Clitoroplasty;176586000;clitoroplastie
177170007;Piper forceps delivery;Piper tangverlossing;177170007;geboorte met behulp van forceps van piper
177256000;Thigh reduction;dij reductie;177256000;huidreductie t.h.v. de dij
177279004;Excision of neurofibromata;Excisie van neurofibromata;177279004;excisie neurofibromata
177594004;Piercing of ear lobe;Piercing van oorlel;177594004;piercen van oorlel
177923007;Excision of urachus;Excisie van urachus;177923007;excisie van de urachus
178055007;Dermatofasciectomy;Dermatofasciectomy;178055007;dermatofasciectomie
178070008;Fasciotomy upper arm;Fasciotomie bovenarm;178070008;fasciotomie van de bovenarm
178071007;Fasciotomy forearm;fasciotomie onderarm;178071007;fasciotomie van de onderarm
178206008;Drainage of tendon sheath;Drainage van peesschede;178206008;drainage van een peesschede
178384006;Biopsy of cranial lesion;Biopsie van craniale laesie;178384006;biopsie van een letsel ter hoogte van de schedel
178526006;Primary microdiscectomy of cervical intervertebral disc;Primaire microdiscectomie van cervicale tussenwervelschijf;178526006;microdiscectomie van cervicale intervertebrale discus
178538002;Revisional microdiscectomy of cervical intervertebral disc;Revisional microdiscectomie van cervicale tussenwervelschijf;178538002;revisie microdiscectomie van cervicale intervertebrale discus
178618008;Primary lumbar discectomy;Primaire lumbale discectomie;178618008;lumbale discectomie
178631003;Revisional lumbar discectomy;Revisional lumbale discectomie;178631003;revisie lumbale discectomie
178732003;Pyloroduodenotomy;Pyloroduodenotomy;178732003;pyloroduodenotomie
178796002;Biopsy of cervical vertebra;Biopsie van halswervel;178796002;biopsie van de cervicale wervel
178914007;Excision of synostosis;Excisie van synostosis;178914007;Excisie van een synostose
178934008;Complex osteotomy;complex osteotomie;178934008;Multiplanaire osteotomie
179174007;Boot traction;boot tractie;179174007;tractie met schoen
179194003;Epiphysioplasty;Epiphysioplasty;179194003;epifysioplastie
181021005;Periosteotomy;Periosteotomy;181021005;verwijderen van periostium
182513006;Intestinal intubation;intestinale intubatie;182513006;intuberen van de darm
182514000;Intestinal drainage;intestinale drainage;182514000;darmdrainage
197922007;Biopsy of lacrimal gland;Biopsie van traanklier;197922007;biopsie van de traanklier
209055006;Biopsy of middle ear;Biopsie van middenoor;209055006;biopsie van het middenoor
220187008;Hymenorrhaphy;Hymenorrhaphy;220187008;hymenorrafie
225202008;Resiting intravenous infusion;Resiting intraveneuze infusie;225202008;relocatie van intraveneuse infusie site
225202008;Resiting intravenous infusion;Resiting intraveneuze infusie;225202008;relocatie van intraveneuse infusie site
225236002;Religaturing umbilical cord;Religaturing navelstreng;225236002;re-anastomose van navelstreng
229475000;Wrist stretching;pols stretching;229475000;polsstretching
229479006;Knee stretching;knie stretching;229479006;kniestretching
229482001;Hamstring stretching;hamstring stretching;229482001;stretching van de hamstrings
229838003;Removal of onychophosis;Verwijdering van onychophosis;229838003;wegname van onychophosis
230878007;Removal of ventriculoperitoneal shunt;Verwijdering van ventriculoperitoneale shunt;230878007;verwijderen van ventriculo-peritonteale shunt
230976007;Faciofacial anastomosis;Faciofacial anastomose;230976007;aanleggen van een anastomose n.facialis (VII) - n. facialis (VII)
231162001;Lumbar plexus block;Lumbale plexus block;231162001;lumbaal plexus block
231601005;Correction of medial ectropion;Correctie van mediale ectropion;231601005;herstel mediaal ectropion
231730007;Iridoplasty;Iridoplasty;231730007;iridoplastiek
231739008;Iridocyclochoroidectomy;Iridocyclochoroidectomy;231739008;verwijderen iris, ciliair lichaam en choroidea
231740005;Cyclochoroidectomy;Cyclochoroidectomy;231740005;verwijderen ciliair lichaam en choroidea
231754002;Biopsy of vitreous;Biopsie van glasvocht;231754002;vitreum biopsie
231774009;Retinotomy;Retinotomy;231774009;retinotomie
231775005;Retinectomy;Retinectomy;231775005;retinectomie
231792001;Ventriculolumbar shunt with valve;Ventriculolumbar shunt met klep;231792001;implantatie van ventriculo-lumbale shunt
232191001;Platinectomy;Platinectomy;232191001;resectie voetplaat stapes
232481001;Septodermoplasty;Septodermoplasty;232481001;septodermoplastie
232499009;Inferior meatal antrostomy;Inferior meatal antrostomie;232499009;anthrostomie meatus inferior
232507002;Excision of plantar fascia;Excisie van fascia plantaris;232507002;excisie van plantaire fascia
232554003;Epiglottopexy;Epiglottopexy;232554003;epiglottopexie
232645008;Pleuropneumonectomy;Pleuropneumonectomy;232645008;pleuropneumonectomie
232647000;Pneumonectomy with tracheobronchoplasty;Pneumonectomie met tracheobronchoplasty;232647000;pneumonectomie met tracheobronchiale sleeve
232668004;Tongue traction;tong tractie;232668004;vrije luchtweg door tractie van tong
232687005;Endobronchial intubation;endobronchiale intubatie;232687005;intubatie van bronchus
232740008;Mitral valve operation;Mitralisklep operatie;232740008;ingreep mitraalklep
232850000;Aortoventriculoplasty;Aortoventriculoplasty;232850000;aortoventriculoplastie
232872003;Pulmonary valvectomy;pulmonale valvectomy;232872003;pulmonalisklep excisie
232873008;Open pulmonary valvectomy;Open pulmonale valvectomy;232873008;open pulmonalisklep excisie
232874002;Closed pulmonary valvectomy;Gesloten pulmonale valvectomy;232874002;gesloten pulmonalisklep excisie
233041009;Open atrial fenestration;Open atriale fenestration;233041009;atriale fenestratie, open
