SNOMED conceptID;Matecat vertaling
545001;Operatieve procedure op onderbeen
549007;Insnijding van intracrani ë le ader
550007;Uitsnijden van letsel van adenoids
559008;Excisie van spataders
570001;Vaccinatie voor geleedpotigen overgedragen virale encefalitis
574005;benzodiazepine meting
603006;Scheiding van enige synchondrosis
617002;Bottransplantatie om onderkaak
618007;frontale sinusectomy
625000;Verwijdering van boventallige cijferige
628003;Steinman - test
629006;Lysis van verklevingen van urethra
633004;Grafiek beoordeling door de arts
637003;Lysis van verklevingen van de neus
642006;Cerebral thermografie
645008;Diagnostische procedure op glasvocht
647000;Excisie van baarmoederhals door electroconization
657004;Operatie op bursa
665001;Gedeeltelijke meniscectomie van het kaakgewricht
670008;Elektrochirurgische epileren van wenkbrauwen
671007;Transplantatie van testis
673005;indirect laryngoscopy
674004;Ontvoering test van de knie
676002;Peritoneale dialyse waaronder infusen
680007;Stralingsfysica overleg
687005;Albumine / globuline verhouding
695009;Destructieve procedure van letsel op de huid van de romp
697001;Hepatitis A - virus antilichaam meting
710006;Thromboendarterectomy met graft van mesenterica
712003;Gesloten op de borst zuigkracht
721002;Medische procedure op periurethrale tissue
722009;Fijne naald biopsie van de thymus
726007;Pathologie overleg , uitgebreide dossiers en exemplaar met rapport
730005;Insnijding van onderhuidse weefsel
741007;Operatie op prostaatkanker
746002;Chiropractie aanpassing van stuitbeen subluxation
753006;Manipulatie van enkel en voet
754000;Totaal urethrectomy
759005;intracerebrale elektro - encefalogram
762008;Gecomputeriseerde axiale tomografie van cervicale wervelkolom met contrast
764009;Artrodese van interfalangeale gewricht van de grote teen
767002;White blood cell count
789003;Cranial decompressie , subtemporal , supratentori ë le
791006;Dressing en fixatie procedure
807005;Excisie van hersenen
814007;elektroforese meting
817000;Uitsnijden van cyste van de milt
831000;schuifladetest
851001;Wortelkanaalbehandeling , kies , met uitzondering van de definitieve restauratie
853003;Fecale vet meting , 72 - uurs collectie
867007;Facial - hypoglossus anastomose
870006;carbamazepine meting
879007;Speciale bloedstolling test , te verklaren door het verslag
881009;Cyclodialysis
893000;Tumorantigeen meting
897004;Radical bovenkaak antrotomy
910002;MHPG meting , urine
911003;Verwijdering van subarachno ï dale - ureteral shunt
913000;Chiropractie pati ë nt opvoeding en onderwijs
926001;Embolectomie met catheter van polsslagader door arm incisie
935008;Excisie van cowperse klier
941001;Endoscopie van de hypofyse
945005;Excisie van scheenbeen en kuitbeen voor graft
948007;Phlebectomy van ader intracrani ë le spataderen
951000;Ultrasone leidraad voor endomyocardiale biopsie
956005;Anesthesie voor de procedure op thoracale slokdarm
967006;medicatie onderwijs
969009;Incisie en verkenning van het strottenhoofd
971009;Prothetische constructie en montage
1001000;Cauterisatie van klier Bartholin
1008006;Operatie op zenuw ganglion
1019009;Verwijdering van hoornvliesepitheel
1021004;Reparatie van scrotum
1029002;fetoscopy
1032004;Enucleatie van oorspeekselklier cyste
1035002;Minimaal bacteriedodende concentratie test , microdilutie methode
1036001;Het inbrengen van intravasculaire inrichting in gemeenschappelijke iliacale ader , compleet
1041009;Debridement van open fractuur van de kootjes van de voet
1042002;vaderschap testen
1043007;Color Doppler stroomsnelheid mapping
1044001;Echografie van de buik en retroperitoneum
1048003;Capillaire specimen collectie
1054002;Insnijding van de kringspier van Oddi
1071001;Proximale splenorenal anastomose
1084005;Excisie van perinephric cyste
1093006;Excisie van abdominale ader spatten
1103000;Transcrural mobilisatie van de stijgbeugel
1104006;Triad knie reparatie
1115001;pellen
1119007;Gesloten vermindering van ontwrichting van de voet en tenen
1121002;Kinetic activiteiten voor bereik van de beweging
1127003;Interstiti ë le radium applicatie
1133007;Verwijdering van intacte borstklier implantaat , bilaterale
1163003;Ureteroenterostomy
1176009;Insnijding van liesstreek
1181000;Excisie van pees voor graft
1186005;Anesthesie voor de procedure op benige bekken
1198000;Excisiebiopt van het bot van schouderblad
1209007;Artroscopie van de knie met laterale meniscus reparatie
1225002;Radiografie van opperarmbeen
1227005;Insnijden van subvalvulaire weefsel voor discrete subvalvulaire aortastenose
1235008;Muscle overdracht
1237000;Toepassing van de cast , suiker tong
1238005;Epifyse arrestatie door nieten van de distale radius
1251000;Incisiebiopsie van de testis
1253002;Refusion van de wervelkolom
1258006;Excisie van meniscus pols
1266002;Sluiting van trommelvlies perforatie
1267006;Electrocoagulatie laesie van de vagina
1278003;Open reductie van gesloten schouder dislocatie met de breuk van een grotere knobbel
1279006;Reparatie van de pacemaker pocket in huid en / of onderhuids weefsel
1292009;Magnetische resonantie beeldvorming van de urineblaas
1299000;Excisie van appendiculair stomp
1315009;Reconstructie van de wenkbrauw
1316005;Upper parti ë le prothese , gegoten metalen basis zonder hars zadels , met inbegrip van conventionele gespen , rust en tanden
1324000;Cerebrospinale vloeistof IgG ratio en IgG - index
1327007;Procedure op divertikel Meckel ' s
1328002;Ilioiliac shunt
1329005;Verdeling van aangeboren web van het strottenhoofd
1337002;Colosigmoidostomy
1339004;Verwijdering van invloed uitwerpselen
1347004;Medische procedure op gehemelte
1352009;Anterior spinale rhizotomy
1358008;Anti - humaan globuline test , enzym techniek titer
1366004;Inhalatietherapie procedure
1385001;Echografie , scannen B - mode voor foetale leeftijd vast te stellen
1390003;- Laparoscopische bijgestaan ​​ sigmoid colectomy
1398005;Direct thrombectomy van iliacale ader van been incisie
1399002;Incisie en verkenning van de urineleider
1407007;Toepassing van lange been cast , soort brace
1410000;Anesthesie voor tympanotomy
1411001;Operatie op papillaire spier van het hart
1413003;Penetrerende keratoplasty met homograft
1414009;Angiografie van arterioveneuze shunt
1417002;Operatie op het gezicht
1431002;Fixatie
1440003;Herstel met resectie recessie
1449002;Epileren
1453000;Biofeedback , galvanische huid reactie
1455007;cerclage
1457004;Tronculaire vagotomie met pyloroplastiek en gastrostomy
1494008;osmolariteit meting
1500007;bilaterale epididymovasostomy
1501006;Altemeier operatie , perineale rectale pull - through
1505002;Ziekenhuisopname voor isolatie
1529009;Aspiratie van zacht weefsel
1533002;Ureteroplication
1550000;Amikacin meting
1555005;Korte groepspsychotherapie
1559004;IL - 2 assay
1576000;Sluiting van uteroenteric fistel
1577009;Implantatie van cardiale éé n kamer vervangend apparaat , frequentieadapterende
1578004;Reconstructie van gehoorbeentjes met stapedectomie
1583007;Tractotomy van mesencephalon
1585000;Verlenging van de gastrocnemius spier
1596008;Anesthesie voor de totale elleboog vervangende
1597004;Skeletal X - ray van de enkel en voet
1602006;Sociale dienst interview met de planning
1614003;Bilaterale reparatie van een liesbreuk , direct
1615002;Reline bovenste gedeeltelijke kunstgebit , chairside
1616001;Galactosylceramide beta - galactosidase meting , leukocyten
1636000;Injectie van scleroserende agent in spatader
1638004;Cineplastic amputatie met cineplastic prothese van extremiteit
1640009;Anamnese en lichamelijk onderzoek , verzekeringen
1645004;Transduodenal sfincterotomie
1651009;Excisie van peesschede
1653007;Interne fixatie van het bot zonder fracturen
1669000;Het maken van bezet bed
1677001;Haagensen - test
1678006;Endoscopische procedure van de zenuw
1680000;Secundaire chemoprophylaxe
1683003;Directe sluiting van scheur van bindvlies
1689004;Lokale excisie van eierstok
1691007;Drainage van abces van de tonsillen
1699009;speciale dosimetrie
1702002;Labiale fineer , hars laminaat , laboratorium
1704001;Reparatie van pseudarthrosis van tibia
1709006;Borstreconstructie , bilateraal met bilaterale pedikel TRAM flappen
1712009;Immunoglobuline typen , IgG
1713004;Hypothermie , total body , inductie en onderhoud
1730002;Suture van de huid wond of achtervoet
1746005;Sclerale knik met implantaat
1747001;Vervanging van de skeletspieren stimulator
1753001;Resectie van uveal weefsel
1757000;Artroscopie van de pols met gedeeltelijke synovectomy
1759002;Beoordeling van de voedingstoestand
1770009;mitralisklep valvotomy
1774000;nasopharyngeal revalidatie
1775004;Lymfklieren incisie met drainage
1784004;Fecale stercobilin , kwalitatieve
1787006;Ultrasone leidraad voor pericardiocentese
1788001;Bloedeenheid collectie voor gerichte schenking , donor
1801001;Endoscopische biopsie van de twaalfvingerige darm
1805005;Chirurgische sluiting van de stoma
1811008;Aspiratie van de bursa van de hand
1813006;Cryotherapie van genitale wratten
1820004;Alcohol meting , adem
1830008;Open reductie van de open sacrale fractuur
1836002;Uitsnijden van divertikel van ventrikel van het hart
1844002;Sing van ligament
1854003;Insnijding van de neus
1859008;Verwijdering van vreemd lichaam uit pees van de hand
1861004;Anesthesie voor gesloten procedure op opperarmbeen en elleboog
1862006;Thoracic phlebectomy
1866009;bilaterale nefrectomie
1868005;Verwijdering van vreemde lichaam van de hersenen
1870001;Het inbrengen van Halo inrichting van de schedel met synchrone skelet tractie
1871002;Reparatie van aneurysma van de kransslagader
1872009;Suture van mannelijke perineum
1876007;Recessie van prognathic kaak
1879000;Fluorescent antigen meting
1889001;Pati ë nt overdracht , in het ziekenhuis , unit - to - unit
1906007;Het inbrengen van de prothese of prothese van de arm , bio - elektrische of cineplastic
1907003;Splitsing van het bot
1917008;ontlading pati ë nt , overleden , medicolegal case
1924009;Hepaticotomy met drainage
1950008;Drainage van abces van neustussenschot
1958001;Enten van het bot van de duim met de overdracht van de huid flap
1966005;Central block anesthesie
1983001;Totaal urethrectomy waaronder cystostomy bij vrouwelijke
1995001;Strippen van cerebrale hersenvliezen
1999007;psychologische testen
2002009;De bouw van subcutane tunnel zonder slokdarm anastomose
2021001;Interne fixatie van de radius en de ellepijp zonder fracturen
2051007;Rode bloedcellen ijzer gebruik studie
2054004;Barbituraten meting , kwantitatieve en kwalitatieve
2067001;Implantatie van elektromagnetische gehoorapparaat
2069003;Dental subperiostale implant
2078009;Punctie van bursa van de hand
2079001;Re ï mplantatie van afwijkende longslagader
2080003;Angiectomy met anastomose van de onderste ledematen slagader
2098004;Open reductie van de open mandibulafracturen met externe fixatie
2115003;Tandheelkundige preventie , kinderen
2119009;Reparatie van bloedvat
2127000;Vermindering van gesloten sacrale fractuur
2137005;Excisie van pericardiale tumor
2153008;Hartkatheterisatie onderwijs
2161003;Operatie op vulva
2164006;Injectie van aorta
2166008;Bicuspidization van de aortaklep
2171001;Excisie van tonsil markeringen
2178007;Ureterocentesis
2181002;Operatie voor botletsel van tarsals en middenvoetsbeentjes
2188008;Suture van de pees aan het skelet attachment
2193006;Reparatie van gescheurde aneurysma met een graft van coeliakie slagader
2196003;Gas - vloeistofchromatografie , electron Soort opname
2199005;Uitsnijden van letsel van cul - de - sac
2214008;Curette test van de huid
2220009;Complementcomponent assay
2225004;Sensititer systeemtest
2234009;Proctosigmoidopexy
2238007;Stone operatie , anoplasty
2242005;Reconstructie van het ooglid
2244006;Artroscopie van de pols met interne fixatie voor instabiliteit
2250001;Resectie van stijgende aorta met anastomose
2252009;Ziekenhuisopname , urgent , 48 uur
2266004;Venografie van de bijnier , bilaterale
2267008;Veranderende tracheotomiecanule
2270007;Reparatie van de hand gespleten
2276001;Verkenning van poplitea
2278000;Urineonderzoek , geautomatiseerde
2279008;Antilichaam detectie , RBC , enzym , 1 fase techniek , waaronder anti - humaan globuline
2290003;Microbi ë le cultuur , anaerobe , aanvankelijk isolatie
2315006;Operatie op cerebrale hersenvliezen
2318008;Anesthesie voor gegoten procedure op onderarm , pols of met de hand
2321005;Levering door Ritgen manoeuvre
2322003;Suture recente wond van het ooglid , directe sluiting , full - thickness
2337004;Adductor tenotomie van hip
2344008;gecompliceerde cystorrhaphy
2347001;Diagnostic modelbouw
2364003;Radicale resectie van de tumor van zacht weefsel van de pols gebied
2371008;Tympanoplastiek type II met graft tegen incus of hamer
2373006;Buffy coat uitstrijkje evaluatie
2382000;Toepassing van borstkolf
2386002;Vermindering van gesloten patella dislocatie
2393003;Ligatie van de ader van de onderste ledematen
2406000;Periodontic tandheelkundige overleg en verslag
2407009;Excisie van mediastinale tumor
2408004;Hexosaminidase A en de totale hexosaminidase meting , serum
2409007;Herbevestiging van het uiteinde van de voet
2425002;Epstein - Barr virus serologische testen
2442008;Insnijding van traan canaliculus
2448007;Celgetal van de gewrichtsvloeistof met differenti ë le telling
2455009;Herziening van lumbosubarachnoid shunt
2457001;Blind revalidatie therapie
2458006;educatieve therapie
2459003;Destructieve procedure van de slagader van de bovenste extremiteit
2461007;Tennisarm
2474001;Reparatie van malunion van middenvoetsbeentjes
2475000;Urinemonster collectie , 24 uur
2480009;Debridement van de huid , onderhuids weefsel , spieren en botten
2486003;Vernietiging van het weefsel van de borst
2488002;Prescription , montage en verstrekking van contactlenzen
2494005;Nursing - conferentie
2498008;Rebase van de bovenste gedeeltelijke kunstgebit
2507007;5 ' nucleotidase meting
2508002;Retrograde urografie met KUB
2514009;Vermindering van gesloten humorale supracondylar breuk met manipulatie en tractie
2517002;revalidatie na een beroerte
2530001;chiropractie bezoek
2531002;Mononucleaire celfunctie assay
2535006;pulpectomie
2536007;Injectie van medicijnen in de voorste kamer van het oog
2547000;Excisie van keloid
2552005;Insnijden van cerebrale subarachno ï dale ruimte
2564002;Oprichting van de lumbale shunt waaronder laminectomie
2566000;Osteoplastiek van de straal
2567009;Resectie van rib door transaxillary aanpak
2580007;Transplantatie van de haarzakjes op de hoofdhuid
2598006;Open hart operatie
2601001;Het verwijderen van het bot flap van de schedel
2607002;Bediening op baarmoeder draagconstructies
2613006;Implantatie van gewrichtsprothese in gewricht van de hand
2614000;Verwijdering van ligatuur van de eileider
2616003;Reparatie van gespleten cijfer van de hand
2619005;Psychiatrische interpretatie aan familie of ouders van de pati ë nt
2629003;Intracrani ë le / cerebrale perfusiedruk bewaking
2632000;Incisie en drainage van ge ï nfecteerde bursa van de bovenarm
2642003;Geprefabriceerde post en kern in aanvulling op de kroon
2643008;Ligatie van spataders van het hoofd en de nek
2644002;Cauterisatie van de lever
2645001;Intelligentietest / WB1
2646000;Incisie en verkenning van zaadleider
2658000;Sociale dienst interview van pati ë nt
2659008;Suture van ligament van de onderste extremiteit
2668005;Recementation ruimte onderhouder
2670001;Diagnostische procedure op het hoornvlies
2673004;Incisie en drainage van vleesmolen ruimte door extraorale aanpak
2677003;Strip
2690005;Magnetische resonantie beeldvorming van het bekken
2693007;Kruk vet , kwantitatieve meting
2696004;Gestoorde venografie met hemodynamische evaluatie
2697008;Strippen en ligatie van grote saphena
2716009;Dermal - vet - fascia graft
2722000;IL - 3 assay
2731000;Serologische test voor influenza virus A
2732007;Recessie van de pees van de hand
2737001;Verkennende craniotomy , infratentorieel
2742009;Vernietiging van klier Bartholin
2743004;Operatieve endoscopie van de dunne darm
2745006;Omentopexy
2752008;Incudopexy
2780005;Osteoplastiek van gezichtsbeenderen
2794006;Cauterisatie van de navel
2802005;Manuele dilatatie en stretching
2811005;Cin é radiografie van de keelholte
2813008;Nephroureterocystectomy
2837008;Omzetting van de nervus vagus bij de elleboog
2842000;piekmeting voor gaschromatografie
2843005;Herziening van urine - kanaal
2847006;Cervical myelografie
2851008;Arthrotomie voor synovectomy van sternoclavicular joint
2854000;Bursectomy van de hand
2857007;Volledige excisie van pijnappelklier
2866006;Uitwissen van lymfatische structuur
2875008;Implantatie van gewrichtsprothese in ellebooggewricht
2876009;Ziekenhuisopname , het type categorie ë n , te verklaren door het verslag
2885009;Intradermale huidtest
2891006;Artroscopie van de elleboog met gedeeltelijke synovectomy
2898000;DNA - analyse , prenatale , bloed
2903001;Diagnostische procedure op voorste kamer van het oog
2908005;Vernietiging van aambeien door cryotherapie
2914003;anterieure sclerotomie
2915002;Suture van de capsule van de enkel
2933008;Pneumogynecography
2945004;Suprapubische diverticulectomy van de urineblaas
2947007;Therapeutische verbinding meting
2960001;Sluiting van de fistel van baarmoederhals
2968008;Craniectomy de behandeling penetreren wonde hersenen
2970004;Middenhandsbeentje verlenging en overdracht van de lokale flap
2971000;Sluiting van verworven urethrovaginal fistel
2977001;Thrombectomy van ader onderste extremiteit
3001009;Total lobectomie met bronchoplasty
3010001;Verwijdering van silastic buizen van oor
3016007;Verwijdering van Crutchfield tang van de schedel
3025001;calcitonine meting
3026000;tibio - talaire artrodese
3029007;Perifere zenuwstelsel ziekte revalidatie
3041000;Reparatie van de maag
3047001;Kowa fundusfotografie
3060007;Voorvoet amputatie , rechts
3061006;Volledige excisie van nagel en nagel matrix
3063009;Gastroscopie door middel van kunstmatige stoma
3075004;Nonoperative verwijdering van prothese galkanaal
3078002;Embolectomie katheter met nierslagader door abdominale incisie
3083005;Verwijdering van het apparaat uit thorax
3088001;Anesthesie voor endoscopische procedure op de bovenste ledematen
3090000;Aneurysmectomy met graft vervanging van de onderste ledematen slagader
3112006;Restraint verwijderen
3116009;Bloedstolling panel
3130004;Monitoring van de cardiale output met ECG
3133002;ontlading pati ë nt , overleden , autopsie
3137001;re ï mplantatie
3143004;Gezichtsveld onderzoek en evaluatie , tussentijdse
3162001;gadolinium meting
3164000;Open reductie van gesloten mandibulafracturen met interdentale fixatie
3165004;Irrigatie van de spieren van de hand
3166003;Sluiting van de fistel van speekselklier
3177009;Interne verloskundige versie
3183007;Sluiting van de stoma
3186004;Excisie van klier Skene
3190002;epileertang
3204007;Destructieve procedure van de zenuw
3241008;Correctie van chordee met de mobilisatie van de urethra
3249005;Chirurgische bouw van filtratie blaar
3251009;Mayo operatie , herniorrhaphy
3256004;Cervical lymphangiogram
3257008;Lege en meet peritoneale dialysevloeistof
3258003;Arteriografie van cerebrale arteri ë n
3268008;Transplantatie van weefsel van bekken
3270004;Implantatie van neurostimulator in de wervelkolom
3278006;Lysis van verklevingen van de bursa van de hand
3287002;cholecystogastrostomie
3320000;autotransfusie
3324009;Laserstraal photocoagulation
3326006;Excisie van bunionette
3328007;Insnijden van ader van het hoofd en de nek
3333006;Toepassing van de korte arm spalk , onderarm bij de hand , statisch
3338002;Open reductie van de open radiale breuk
3352000;Bijschildklierhormoon meting
3357006;Iron kinetiek studie
3360004;Anastomose van de galwegen
3390006;verificatie routine
3399007;Vermindering van torsie van omentum
3407002;Oprichting van letsel van het ruggenmerg door percutane methode
3413006;bloedmorfologie
3418002;Chondrectomy van de wervelkolom
3432000;Preventieve tandheelkundige dienst
3443008;Pulp cap , direct , met uitzondering van de definitieve restauratie
3448004;Fixatie van contralaterale testis
3450007;Lymfocyten , T & B - cel evalueren
3457005;pati ë nt referral
3479000;Verwijdering van het hart te helpen met een verversing
3498003;Totaal uitsnijding van de hypofyse door transsfenoidale aanpak
3499006;Aspiratie van glasvocht met vervangende
3509001;Streptococcus vaccinatie
3512003;Angiografie van de slagaders van de ledematen
3515001;Vervanging van de elektronische hart inrichting , pulsgenerator
3517009;Verwijdering van vreemde lichaam van het bekken van het onderhuidse weefsel
3518004;aversieve psychotherapie
3527003;antilichaam meting
3546002;Aortocoronary artery bypass graft met vene graft
3559005;Het inbrengen van ureterstent met ureterotomy
3562008;Rodney Smith operatie , radicale subtotaal pancreatectomy
3564009;Verwijdering van vreemde lichaam van eileider
3575008;Reparatie van fascia met een graft van fascia
3580004;Het verwijderen van calculus van de keelholte
3605001;Vermindering van de corpus ciliare
3607009;Transplantatie van mesenteriale weefsel
3620007;Rode bloedcellen overleven studie met lever - beslaglegging
3625002;Anesthesie voor brachiale arteriogrammen , retrograde
3651000;Morfometrische analyse , zenuw
3654008;Lingulectomy van de long
3659003;Insnijding van binnenoor
3664004;Sluiting van sclerale fistel
3666002;perifere neurorrhaphy
3669009;Montage van de prothese of prothese van de bovenarm
3673007;Leadbetter urethrale wederopbouw
3683006;Selenium meting , urine
3686003;Zancolli verrichting voor pees overdracht van de biceps
3688002;Anesthesie voor lens chirurgie
3690001;Shunt van de linker subclavian aan aorta aflopend door Blalock - Park operatie
3691002;Wig osteotomie van tarsals en middenvoetsbeentjes
3697003;Tissue verwerkingstechniek , routine , embed , knippen en vlek , per autopsie
3700004;Erysiphake extractie van cataract door intracapsular aanpak
3701000;Verwijdering van vreemde lichaam van hip uit onderhuids weefsel
3713005;Vrijgeven voor tenosynovitis van de hand van de Quervain
3717006;Verdun Russell viper gif tijd
3734003;Split dikte van de huid graft
3735002;Coproporfyrine III meting
3740005;Verwijdering van vreemde lichaam van ooghoek door incisie
3748003;Biopsie van perirenaal weefsel
3749006;Vermindering van gesloten ischial fractuur
3758004;Thrombectomy met catheter van subclavia door nek incisie
3770000;Ward urine peilstok testen
3778007;Manipulatie van scrotum weefsel
3780001;Routine pati ë nt dispositie zijn geen follow - up gepland
3784005;Vertraagde overgevoeligheid huidtest voor SK - SD
3786007;Uitsnijden van letsel van de keelholte
3787003;Ultrasone begeleiding van de naald biopsie
3794000;Pregnanetriol meting
3796003;Uitsnijden van overtollige slijmvlies van jejunostomie
3799005;Radiografie van adenoids
3802001;Dental toepassing van desensibilisatie medicament
3819004;Embolisatie van thoracale slagader
3826004;Blepharotomy met de afvoer van abces van het ooglid
3828003;Open biopsie van wervellichaam van thoracale regio
3831002;Chiropractie toepassing van ijs
3843001;Verwijdering van vreemde lichaam van fascia
3858009;Echografie van de schildklier , A - mode
3861005;Aneurysmectomy met anastomose van de onderste ledematen slagader
3862003;Totale vitale capaciteit meting
3864002;Excisiebiopt van scrotum
3880007;Uitsnijden van letsel van fibula
3881006;Incisie en drainage van submental ruimte door extraorale aanpak
3887005;Ligatie van de wrat
3889008;Suture van de lip
3891000;Uitgebreide orthodontische behandeling , permanente gebit , voor klasse I malocclusion
3895009;Toepassing van de dressing
3907006;Incisie en drainage van retroperitoneale abces
3911000;Muscle transplantatie
3915009;Excisie van slagader van thorax en abdomen
3917001;Excisiebiopt van kootjes van de voet
3918006;Plastic reparatie met verlenging
3926003;Melkzuur meting
3929005;Pati ë nt overdracht , in het ziekenhuis , bed - to - bed
3936006;Het maken van Foster bed
3938007;Cerclage voor retinale herbevestiging
3942005;Cystopexy
3955006;Antilichaam elutie RBC
3957003;Arteriectomy van thoracoabdominal aorta
3963007;Operatie op onderkaak klier
3967008;Fluorescentie polarisatie immunoassay
3968003;Facetectomie van wervel
3969006;Verwijdering van osteocartilagenous losse body van gezamenlijke structuren
3971006;Duchenne spierdystrofie carrier detectie
3980006;Subtotaal resectie van de slokdarm
3981005;Carrier detectie , moleculaire genetica
3985001;Anesthesie voor de procedure op de slagaders van onderbeen met bypass
3991004;Magnetische resonantie beeldvorming van het bekken , prostaat en de blaas
3998005;Bone beeldvorming van beperkt gebied
4007002;Anti - humaan globuline test , indirecte , titer , non - gamma
4008007;Flebografie van de nek
4010009;Ovari ë ctomie van de resterende eierstok met buis
4027001;Implantatie van elektronische stimulator in phrenicus
4034004;Gesloten vermindering van de gezichtsbehandeling breuk , behalve onderkaak
4035003;Restauratie , hars , twee oppervlakken , posterior , permanente
4036002;Artroscopie van de elleboog met uitgebreide debridement
4037006;Verwijdering van vasculaire transplantaat of prothese
4044002;permanente stoma
4045001;Drainage van cerebrale ventrikel door incisie
4052004;Percutane aspiratie van het ruggenmerg syrinx
4064007;specimen aliquoteren
4068005;Verwijdering van ventriculaire reservoir met synchrone vervangende
4083000;Montage van de prothese of prothese van de onderarm
4084006;Reparatie van de pees van de hand door transplantaat of implantaat van de spier
4090005;Vervanging van transveneuze atriale en ventriculaire pacemaker elektrode leads
4094001;Vermindering van retroversie van de baarmoeder door pessarium
4101004;Herziening van spinale pleurothecal shunt
4102006;Wortelkanaalbehandeling , anterior , met uitzondering van de definitieve restauratie
4114003;Parenterale chemotherapie voor kwaadaardige gezwellen
4116001;De bouw van het venster
4119008;Intracrani ë le phlebectomy met anastomose
4131005;Implantatie in bekkengebied
4134002;Operative blok anesthesie
4139007;Posterior spinale chordotomie
4143006;Injectie van de voorste kamer van het oog
4149005;Bothistomorfometrie , aluminium vlek
4154001;Incisie en drainage van de penis
4165006;Vertraagde overgevoeligheid huidtest voor staphage lysaat
4176005;Fothergill operatie op baarmoeder
4192000;Toxicologische tests voor organofosfaatinsecticide
4213001;Implantatie van Ommaya reservoir
4214007;Intracardiale injectie van hartreanimatie
4226002;Uitsnijden van letsel van thoracale ader
4238006;Hemoquant uitwerpselen
4252008;Aneurysmectomy met graft vervanging door tussenkomst
4263006;Biopsie van zacht weefsel van de elleboog gebied , oppervlakkige
4266003;Pati ë nt verwijzing voor drugsverslaving rehabilitatie
4285000;Het inbrengen van botgroei stimulator in femur
4293000;Vermindering van darminvaginatie door laparotomie
4304000;Uitsnijden van vooravond van tricuspidalisklep
4319004;Rebase van volledige onderprothese
4321009;Angiografie van de onderste extremiteiten slagaders , bilaterale
4323007;Vernietiging van letsel van sclera
4331002;Anesthesie voor hernia reparatie in onderbuik
4333004;Incisie en drainage van perisplenic ruimte
4336007;Lloyd - Davies operatie , abdominoperineale resectie
4337003;Homogentisinezuur meting
4339000;Reparatie van nasolabiale fistel
4341004;Compleet submukeuze resectie van turbinate
4344007;cryopexie
4348005;Musculoplasty van de hand
4350002;Verwijdering van implantaat hoornvlies
4363008;Endoscopische borstel biopsie van de luchtpijp
4365001;chirurgische reparatie
4380007;Omzetting van de vulva weefsel
4387005;Valvuloplasty van pulmonale klep in de totale reparatie van tetralogie van Fallot
4388000;Sluiting van splenocolic fistel
4407008;Het scheuren van traan canaliculus voor de passage van de buis
4411002;Verwijdering van het apparaat van vrouwelijke geslachtsorganen
4420006;Incisie en drainage van parafaryngeale abces door externe aanpak
4424002;Het maken van orthopedisch bed
4436008;MCP - receptor meting
4438009;Venografie van de vena cava
4443002;Ontdopping van eierstok
4447001;Autopsy , bruto en microscopisch onderzoek , doodgeboren of pasgeboren zonder CNS
4449003;Manipulatie van spinale hersenvliezen
