conceptId;Beschrijving;conceptId;Beschrijving Matecat
3605001;reductie ciliair lichaam;3605001;Vermindering van de corpus ciliare
3654008;lingulectomie van long;3654008;Lingulectomy van de long
3664004;herstel van sclerale fistel;3664004;Sluiting van sclerale fistel
3690001;shunt van de linker arteria subclavia naar de aorta descendens , operatie van Blalock - Park;3690001;Shunt van de linker subclavian aan aorta aflopend door Blalock - Park operatie
3713005;losmaken voor de quervain ' s tenosynovitis van de hand;3713005;Vrijgeven voor tenosynovitis van de hand van de Quervain
3734003;split thickness huidtransplantatie;3734003;Split dikte van de huid graft
3748003;biopsie van het perirenaal weefsel;3748003;Biopsie van perirenaal weefsel
3749006;reductie van een gesloten ischiumfractuur;3749006;Vermindering van gesloten ischial fractuur
3758004;trombectomie met katheter van de arteria subclavia via nek incisie;3758004;Thrombectomy met catheter van subclavia door nek incisie
3786007;excisie van letsel van farynx;3786007;Uitsnijden van letsel van de keelholte
3796003;excisie van prolaberende mucosa ter hoogte van jejunostomie;3796003;Uitsnijden van overtollige slijmvlies van jejunostomie
3799005;Rx adeno ï ds;3799005;Radiografie van adenoids
3819004;embolisatie van thoracale arterie;3819004;Embolisatie van thoracale slagader
3826004;drainage abces van ooglid;3826004;Blepharotomy met de afvoer van abces van het ooglid
3828003;open biopsie van thoracaal wervellichaam;3828003;Open biopsie van wervellichaam van thoracale regio
3843001;verwijderen van vreemd voorwerp van fascia;3843001;Verwijdering van vreemde lichaam van fascia
3858009;echografie schildklier , A - mode;3858009;Echografie van de schildklier , A - mode
3861005;aneurysmectomie met anastomose van arterie van onderste lidmaat;3861005;Aneurysmectomy met anastomose van de onderste ledematen slagader
3864002;excisionele biopsie van het scrotum;3864002;Excisiebiopt van scrotum
3880007;excisie van letsel ter hoogte van de fibula;3880007;Uitsnijden van letsel van fibula
3887005;afbinden van wrat;3887005;Ligatie van de wrat
3889008;hechten van de lip;3889008;Suture van de lip
3911000;spiertransplantatie;3911000;Muscle transplantatie
3917001;excisiebiopsie van een falanx van de voet;3917001;Excisiebiopt van kootjes van de voet
3938007;cerclage voor retinale reappositie;3938007;Cerclage voor retinale herbevestiging
3942005;cystopexie;3942005;Cystopexy
3957003;arteriectomie van thoracoabdominale aorta;3957003;Arteriectomy van thoracoabdominal aorta
3980006;subtotale oesofagectomie;3980006;Subtotaal resectie van de slokdarm
4027001;implantatie electrostimulator in n phrenicus;4027001;Implantatie van elektronische stimulator in phrenicus
4036002;uitgebreid arthroscopisch debridement van de elleboog;4036002;Artroscopie van de elleboog met uitgebreide debridement
4044002;definitieve colostomie;4044002;permanente stoma
4045001;ventriculaire drainage via incisie;4045001;Drainage van cerebrale ventrikel door incisie
4068005;verwijderen en vervangen van ventriculair reservoir;4068005;Verwijdering van ventriculaire reservoir met synchrone vervangende
4090005;vervanging van transveneuze atriale en ventriculaire pacemaker leads;4090005;Vervanging van transveneuze atriale en ventriculaire pacemaker elektrode leads
4101004;revisie van een lumbo - externe drainage;4101004;Herziening van spinale pleurothecal shunt
4119008;intracraniale flebectomie met anastomosis;4119008;Intracrani ë le phlebectomy met anastomose
4176005;Operatie van Fothergill voor baarmoeder;4176005;Fothergill operatie op baarmoeder
4214007;intracardiale injectie voor cardiale resuscitatie;4214007;Intracardiale injectie van hartreanimatie
4252008;aneurysmectomie met vervanging door interpositiegreffe;4252008;Aneurysmectomy met graft vervanging door tussenkomst
4263006;biopsie van oppervlakkig zachtweefsel van de elleboog regio;4263006;Biopsie van zacht weefsel van de elleboog gebied , oppervlakkige
4285000;insertie van een botstimulator in het femur;4285000;Het inbrengen van botgroei stimulator in femur
4293000;open chirurgische reductie van darm intussusceptie;4293000;Vermindering van darminvaginatie door laparotomie
4304000;excisie tricuspiedklepblad;4304000;Uitsnijden van vooravond van tricuspidalisklep
4321009;bilaterale angiografie van het been;4321009;Angiografie van de onderste extremiteiten slagaders , bilaterale
4323007;destructie van letsel van de sclera;4323007;Vernietiging van letsel van sclera
4336007;Lloyd - Davies abdomino - perineale resectie;4336007;Lloyd - Davies operatie , abdominoperineale resectie
4339000;sluiten van een naso - labiale fistel;4339000;Reparatie van nasolabiale fistel
4341004;volledige submucosale resectie van de neusschelp;4341004;Compleet submukeuze resectie van turbinate
4350002;verwijderen van cornea implant;4350002;Verwijdering van implantaat hoornvlies
4363008;endoscopische brushing van trachea;4363008;Endoscopische borstel biopsie van de luchtpijp
4365001;herstel;4365001;chirurgische reparatie
4387005;valvuloplastie pulmonalisklep in totaal herstel tetralogie van fallot;4387005;Valvuloplasty van pulmonale klep in de totale reparatie van tetralogie van Fallot
4388000;herstel van spleno - colische fistel;4388000;Sluiting van splenocolic fistel
4407008;insnijden canaliculus voor intubatie;4407008;Het scheuren van traan canaliculus voor de passage van de buis
4411002;verwijderen van apparaat uit vrouwelijke genitale tractus;4411002;Verwijdering van het apparaat van vrouwelijke geslachtsorganen
4420006;incisie en drainage van parafaryngeaal abces , externe benadering;4420006;Incisie en drainage van parafaryngeale abces door externe aanpak
4438009;venografie van vena cava;4438009;Venografie van de vena cava
4443002;decorticatie van ovarium;4443002;Ontdopping van eierstok
4450003;Plaatsen van Kirschner draad;4450003;Toepassing van Kirschner draad
4457000;Insertie vaginale dilatator;4457000;Inbrengen van schimmel in de vagina
4466001;exploratie van arterie van bovenste lidmaat;4466001;Verkenning van slagader van de bovenste ledematen
4467005;excisie van diepe intramusculaire tumor van de enkelstreek;4467005;Excisie van de tumor van de enkel gebied , diepe , intramusculaire
4489009;neurolyse van n trigeminus ( nV );4489009;Neurolyse van de nervus vagus
4503005;verwijderen van scleraal vreemd voorwerp zonder magneet;4503005;Verwijdering van vreemde lichaam van sclera zonder gebruik te maken van de magneet
4505003;tenolyse van een flexorpees van de onderarm;4505003;Tenolysis van flexor pees van de onderarm
4507006;fasciotomie van het flexor - en extensorcompartiment van de pols;4507006;Decompressie fasciotomie van de pols , flexor en extensor compartiment
4533003;ligatie van arterie van onderste lidmaat;4533003;Ligatie van de slagader van de onderste ledematen
4535005;insnijden van pelvi - rectaal weefsel;4535005;Insnijding van pelvirectal weefsel
4542005;gesloten reductie vaneen fractuur van de voet;4542005;Gesloten vermindering van de breuk van de voet
4558008;anterior resectie van het rectum;4558008;Anterieure resectie van het rectum
4579008;aanleggen ventriculoatriale shunt;4579008;Oprichting van cerebrale ventriculo - atriale shunt
4581005;pupilreconstructie;4581005;plastische iris - operatie
4585001;decompressie van handpees;4585001;Decompressie van de pees van de hand
4587009;epifysiodese van distale radius;4587009;Epiphysiodesis van distale radius
4626009;take - down van arteri ë le anastomose;4626009;Take - down van de arteri ë le anastomose
4640005;sterilisatie door afbinding eileiders via abdominale weg;4640005;Ligatie van eileiders door abdominale benadering
4642002;verwijderen opblaasbare penisprothese met pomp , reservoir en cilinders;4642002;Verwijdering van opblaasbare penis prothese , met pomp , reservoir en cilinders
4671001;excisie van letsel van sinus sfeno ï dalis;4671001;Excision laesie van wigvormig sinus
4692001;transplantatie van arterie van bovenste lidmaat;4692001;Transplantatie van de slagader van de bovenste extremiteit
4707009;partiele excisie van calcaneus;4707009;Gedeeltelijke excisie van calcaneus
4734007;irrigatie van huid wonde door catheter / wondspoeling;4734007;Irrigatie van de wond katheter van integument
4758006;incudostapediopexie;4758006;Incudostapediopexy
4770005;colporraphia anterior voor herstel urethrocoele;4770005;Colporrhaphy voor reparatie van urethrocele
4820000;incisie van het labiale frenulum;4820000;Insnijding van labial frenum
4829004;excisie van de dunnedarm voor interpositie;4829004;Excisie van dunne darm voor tussenplaatsing
4849008;biopsie van het ovarium;4849008;Biopsie van eierstok
4862007;revisie van colonanastomose;4862007;Herziening van de anastomose van de dikke darm
4895001;constructie van een sigmoiedblaas;4895001;Bouw van sigmoid blaas
4929000;lokale perfusie van de nier;4929000;Perfusie van de nieren
4930005;herstel van een thoraco - gastrische fistel;4930005;Reparatie van thoracogastric fistel
4957007;cervicale arthrodese omwille van pseudarthrose;4957007;Cervicale spinale fusie voor pseudoartrose
4987001;osteoplastie van de schedel met botgreffe;4987001;Osteoplastiek van een schedel met klep van het bot
4992004;linker hartscatheterisatie , retrograde percutaan;4992004;Hartkatheterisatie , links hart , retrograde , percutane
5019003;directe laryngoscopie met bioptiename;5019003;Directe laryngoscopie met biopsie
5057003;radicale orbitomaxillectomie;5057003;Radical orbitomaxillectomy
5121005;wigosteotomie van het bekken;5121005;Wig osteotomie van het bekken
5130002;extractie van primair membraneus cataract door discissie;5130002;Winning van primaire membraneuze cataract door discission
5131003;Rx borstkast;5131003;Radiografie van de borstwand
5147001;excisie van letsel ter hoogte van de enkel;5147001;Uitsnijden van letsel van enkelgewricht
5151004;manuele reductie van hemorro î den;5151004;Handmatige reductie van rectale aambeien
5162004;excisie decubitus ulcus;5162004;Excisie van decubitus
5176003;tromboendarteri ë ctomie met greffe van de arteria renalis;5176003;Thromboendarterectomy met graft van nierslagader
5184004;osteotomie van de femurschaft met fixatie;5184004;Osteotomie van de as van het femur met fixatie
5186002;arthrotomie van glenohumeraalgewricht voor synovectomie;5186002;Arthrotomie voor synovectomy van het schoudergewricht
5216004;driedimensionale echografische beeldvorming van het hart;5216004;Driedimensionale echografie van het hart
5243009;hechten adenoid fossa;5243009;Suture van adenoid fossa
5245002;transplantatie van een perifere vena;5245002;Transplantatie van perifere ader
5267001;ligatie van arteria suprarenalis;5267001;Ligatie van adrenale slagader
5290006;incisie en drainage van mondbodem abces;5290006;Incisie en drainage van angina Ludwig ' s
5328005;achillespeesverkorting;5328005;Verkorting van de achillespees
5348003;herstel endocardial cushion defect;5348003;Reparatie van endocardiale kussen defect
5402006;manipulaite van thoracale arterie;5402006;Manipulatie van thoracale slagader
5415002;destructie van letsel van de lever;5415002;Vernietiging van letsel van de lever
5452002;holle naaldbiopsie van de thymus;5452002;Kern naald biopsie van de thymus
5460001;verwijderen van prothese van eileider;5460001;Het verwijderen van de prothese uit eileider
5521000;open reductie van een fractuur van een falanx van de voet;5521000;Open vermindering van de breuk van kootjes van de voet
5556001;manueel begeleide spontane vaginale partus;5556001;Handmatig bijgestaan ​​ spontane bevalling
5571002;excisie van letsel van aorta met end - to - end - anastomose;5571002;Excisie van letsel van aorta met end - to - end anastomose
5632009;open biopsie van de bronchus;5632009;Open biopsie van bronchus
5636007;Fistulectomie van een bot;5636007;Fistulectomy van het bot
5671007;verwijderen vreemd voorwerp uit het ciliair lichaam met magneet;5671007;Magneet extractie van vreemd lichaam uit ciliaire lichaam
5687005;verwijderen vreemd voorwerp van het ovarium;5687005;Verwijdering van vreemde lichaam van eierstok
5721002;herstel wenkbrauw;5721002;Reparatie van de wenkbrauw
5722009;chirurgische anastomose van het colon;5722009;Chirurgische reanastomosis van de dikke darm
5726007;verwijderen epicardiale electroden;5726007;Verwijdering van epicardiale elektroden
5728008;anusscopie voor verwijderen van vreemd lichaam;5728008;Anoscopie voor het verwijderen van vreemd lichaam
5738003;biopsie van de cul - de - sac ( douglas );5738003;Biopsie van cul - de - sac
5745003;excise van de ampulla van Vater met re ï mplantatie van de galweg;5745003;Excision ampulla van Vater met reimplantation van gemeenschappelijk kanaal
5760000;osteoplasty van de radius en ulna , verkorting;5760000;Osteoplastiek van de radius en de ellepijp , verkorten
5771004;blefarotomie;5771004;ooglidincisie
5777000;flexorplastie van elleboog;5777000;Flexorplasty van de elleboog
5789003;darm adhaesiolysis;5789003;Lysis van verklevingen van de darmen
5796001;excisie van externe getromboseerde haemorroiden;5796001;Excisie van externe trombotische aambei
5806001;revisie litteken van tracheostomie;5806001;Herziening van tracheotomie litteken
5807005;fenestratie van binnenoor , initieel;5807005;Fenestration van binnenoor , initi ë le
5865004;open reductie van luxatie van de teen;5865004;Open vermindering van de ontwrichting van de teen
5897004;verwijderen van Scribner shunt;5897004;Verwijdering van Scribner shunt
5983006;herstel zaadstreng;5983006;Reparatie van Zaadstreng
5992009;meerdere midtarsale arthrodesen;5992009;Tarsale artrodese , multiple
5998008;radicale dissectie van de lies;5998008;radicale lymfeklierdissectie van lies
