SNOMED conceptID;SNOMED term;Google translate vertaalde term;Thot vertaling;Matecat vertaling
16866008;Larrey shoulder disarticulation;Larrey schouder exarticulatie;larrey schouder exarticulatie;Larrey schouder exarticulatie
17181008;Recement inlay;recement inlay;recement inlay;recement inlay
17254000;Hepaticolithotomy;Hepaticolithotomy;hepaticolithotomy;hepaticolithotomie
17444001;Biopsy of omentum;Biopsie van omentum;biopsie van omentum;Biopsie van omentum
17447008;Transactional analysis;transactionele analyse;transactionele analyse;transactionele analyse
17473003;Cecotomy;Cecotomy;cecotomy;Cecotomy
17606004;Sclerectomy;Sclerectomy;sclerectomy;sclerectomie
17706009;Chemical shock therapy;Chemische shocktherapie;chemische shocktherapie;Chemische shocktherapie
17882003;Direct laryngoscopy with arytenoidectomy;Directe laryngoscopie met arytenoidectomy;directe laryngoscopie met arytenoidectomy;Directe laryngoscopie met arytenoidectomy
18223002;Mastoidotomy;Mastoidotomy;mastoidotomy;Mastoidotomy
18668003;Excision of nasopalatine cyst;Excisie van nasopalatine cyste;excisie van nasopalatine cyste;Excisie van nasopalatine cyste
18678000;Hyperbaric oxygen therapy;Hyperbare zuurstoftherapie;hyperbare zuurstoftherapie;zuurstoftherapie in hyperbare drukkamer
18723003;Demand pacing;demand pacing;demand pacing;demand pacing
18946005;Epidural anesthesia;epidurale anesthesie;epidurale anesthesie;epidurale anesthesie
19060000;Cauterization of vocal cords;Cauterisatie van de stembanden;cauterisatie van de stembanden;Cauterisatie van de stembanden
19062008;Encephalocentesis;Encephalocentesis;encephalocentesis;Encephalocentesis
19207007;Manipulation;Manipulatie;manipulatie;Manipulatie
19269007;Transfixion;Transfixion;transfixion;Transfixion
19578002;Arthrodesis;artrodese;artrodese;Artrodese
19606007;Endarterectomy of aortic arch;Endarterectomie van aortaboog;endarterectomie van aortaboog;Endarterectomie van aortaboog
19612002;Hepatocholangiocystoduodenostomy;Hepatocholangiocystoduodenostomy;hepatocholangiocystoduodenostomy;hepatocholangiocystoduodenostomie
19639005;Sigmoidopexy;Sigmoidopexy;sigmoidopexy;sigmo ï dopexie
19864005;Prostatomembranous urethrorrhaphy;Prostatomembranous urethrorrhaphy;prostatomembranous urethrorrhaphy;Prostatomembranous urethrorrhaphy
19997007;Hypnotherapy;hypnotherapie;hypnotherapie;Hypnotherapie
20041002;Peripheral neuroanastomosis;perifere neuroanastomosis;perifere neuroanastomosis;perifere neuroanastomosis
20074002;Galeaplasty;Galeaplasty;galeaplasty;Galeaplasty
20119004;Ureterocecostomy;Ureterocecostomy;ureterocecostomy;Ureterocecostomy
20261004;Helium therapy;helium therapie;helium therapie;helium therapie
20350005;Amniography;Amniography;amniography;amniografie
20403000;Iridocyclectomy;Iridocyclectomy;iridocyclectomy;Iridocyclectomy
20552003;Plethysmography;plethysmografie;plethysmografie;plethysmografie
20655006;Application of tourniquet;Toepassing van tourniquet;toepassing van tourniquet;Toepassing van tourniquet
20720000;Plasmapheresis;plasmaferese;plasmaferese;Plasmaferese
20805001;Rhinoseptoplasty;Rhinoseptoplasty;rhinoseptoplasty;Rhinoseptoplasty
20816008;Esophageal manometry;slokdarmmanometrie;slokdarmmanometrie;slokdarmmanometrie
21055002;Crisis intervention with medication;Crisisinterventie met medicatie;crisisinterventie met medicatie;Crisisinterventie met medicatie
21123000;Iridosclerectomy;Iridosclerectomy;iridosclerectomy;Iridosclerectomy
21372000;Radium therapy;Radium therapie;radium therapie;Radium therapie
21593001;Ophthalmodynamography;Ophthalmodynamography;ophthalmodynamography;oftalmodynamografie
21744009;Incision and resuture of wound;Incisie en resuture wond;incisie en resuture wond;Incisie en resuture wond
21805006;Removal of salpingothecal shunt;Verwijdering van salpingothecal shunt;verwijdering van salpingothecal shunt;Verwijdering van salpingothecal shunt
22458007;Epidural venography;epidurale venografie;epidurale venografie;epidurale venografie
22491003;Fimbrioplasty;Fimbrioplasty;fimbrioplasty;Fimbrioplasty
22510001;Osteotomy of femoral neck;Osteotomie van femurhals;osteotomie van femurhals;Osteotomie van femurhals
22523008;Vasectomy;vasectomie;vasectomie;Vasectomie
22761009;Perineogram;Perineogram;perineogram;Perineogram
22821003;Intermittent mechanical traction;Intermitterende mechanische tractie;intermitterende mechanische tractie;Intermitterende mechanische tractie
22873002;Pulmonary phlebography;pulmonale flebografie;pulmonale flebografie;pulmonale flebografie
23379002;Cyclotomy;Cyclotomy;cyclotomy;Cyclotomy
23399008;Vestibular rehabilitation;vestibulaire revalidatie;vestibulaire revalidatie;vestibulaire revalidatie
23928003;Costochondrectomy;Costochondrectomy;costochondrectomy;Costochondrectomy
24026006;Intra-abdominal venous shunt;Intra - abdominale veneuze shunt;intra - abdominale veneuze shunt;Intra - abdominale veneuze shunt
24172008;Crisis intervention;crisisinterventie;crisisinterventie;crisisinterventie
24177002;Replacement of contact lens;Vervanging van contactlenzen;vervanging van contactlenzen;Vervanging van contactlenzen
24420007;Sigmoidoscopy;sigmo ï doscopie;sigmo ï doscopie;Sigmo ï doscopie
24462000;Trocar cholecystotomy;trocar cholecystotomy;trocar cholecystotomy;trocar cholecystotomy
24485004;Trochanterplasty;Trochanterplasty;trochanterplasty;Trochanterplasty
25302008;Biopsy of iris;Biopsie van iris;biopsie van iris;Biopsie van iris
25405009;Drainage of postzygomatic space;Drainage van postzygomatic ruimte;drainage van postzygomatic ruimte;Drainage van postzygomatic ruimte
25411007;Hysterogram;Hysterogram;hysterogram;Hysterogram
25679005;Cardiolysis;Cardiolysis;cardiolysis;Cardiolysis
25855006;Neurological rehabilitation;neurologische revalidatie;neurologische revalidatie;neurologische revalidatie
25871006;Cricothyroidectomy;Cricothyroidectomy;cricothyroidectomy;Cricothyroidectomy
26139006;Delayed achillorrhaphy;vertraagde achillorrhaphy;vertraagde achillorrhaphy;vertraagde achillorrhaphy
26294005;Radical prostatectomy;radicale prostatectomie;radicale prostatectomie;Radicale prostatectomie
26302000;Osteorrhaphy;Osteorrhaphy;osteorrhaphy;Osteorrhaphy
26782000;Cryotherapy;cryotherapie;cryotherapie;Cryotherapie
27041000;Cholecystoileostomy;Cholecystoileostomy;cholecystoileostomy;Cholecystoileostomy
27219008;Concurrent audit;concurrent audit;concurrent audit;concurrent audit
27300001;Molegraphy;Molegraphy;molegraphy;Molegraphy
27372005;Regional anesthesia;regionale anesthesie;regionale anesthesie;regionale anesthesie
27481003;Chemosurgery;Chemosurgery;chemosurgery;Chemosurgery
27482005;Structural analysis;Structurele analyse;structurele analyse;Sterkteberekening
27613000;Ventriculopleural shunt with valve;Ventriculopleural shunt met klep;ventriculopleural shunt met klep;Ventriculopleural shunt met klep
27779004;Sternotomy;sternotomie;sternotomie;sternotomie
27813003;Intra-articular injection;Intra - articulaire injectie;intra - articulaire injectie;intra - articulaire injectie
27984002;Flurothyl therapy;Flurothyl therapie;flurothyl therapie;Flurothyl therapie
28178002;Hepatopexy;Hepatopexy;hepatopexy;leverfixatie
28467003;Intrathoracic esophagoileostomy;intrathoracale esophagoileostomy;intrathoracale esophagoileostomy;intrathoracale esophagoileostomy
28514000;Bilateral nephrotomography;bilaterale nephrotomography;bilaterale nephrotomography;bilaterale nephrotomography
28644007;Vaginal enterocelectomy;vaginale enterocelectomy;vaginale enterocelectomy;vaginale enterocelectomy
28686001;Nephrotomogram;Nephrotomogram;nephrotomogram;Nephrotomogram
28725006;Trachelopexy;Trachelopexy;trachelopexy;Trachelopexy
28851001;Esophagojejunoplasty;Esophagojejunoplasty;esophagojejunoplasty;Esophagojejunoplasty
28903008;Percutaneous angioscopy;percutane angioscopie;percutane angioscopie;percutane angioscopie
29065006;Sigmoidotomy;Sigmoidotomy;sigmoidotomy;sigmo ï dotomie
29216007;Talectomy;Talectomy;talectomy;Talectomy
29240004;Autopsy examination;autopsie;autopsie;autopsie
29453004;Jejunotomy;Jejunotomy;jejunotomy;jejunotomie
29532006;Proctoscopy with biopsy;Proctoscopie met biopsie;proctoscopie met biopsie;Proctoscopie met biopsie
29629000;Resuture of wound dehiscence;Resuture van wonddehiscentie;resuture van wonddehiscentie;Resuture van wonddehiscentie
29799003;Condylotomy;Condylotomy;condylotomy;Condylotomy
29825008;Implantation of vitreous;Implantatie van glasvocht;implantatie van glasvocht;Implantatie van glasvocht
30043008;Left lateral anal sphincterotomy;Linker laterale anale sfincterotomie;linker laterale anale sfincterotomie;Linker laterale anale sfincterotomie
30583008;Cauterization of urethra;Cauterisatie van de urethra;cauterisatie van de urethra;Cauterisatie van de urethra
31394004;Light therapy;lichttherapie;lichttherapie;Lichttherapie
31489003;Drainage of inner ear;Drainage van binnenoor;drainage van binnenoor;Drainage van binnenoor
31666004;Drainage of pterygopalatine fossa;Drainage van pterygopalatine fossa;drainage van pterygopalatine fossa;Drainage van pterygopalatine fossa
31694007;Fenestration of intervertebral disc;Fenestration van tussenwervelschijf;fenestration van tussenwervelschijf;Fenestration van tussenwervelschijf
31738002;Jejunocecostomy for obesity;Jejunocecostomy voor obesitas;jejunocecostomy voor obesitas;Jejunocecostomy voor obesitas
31800006;Selective angiocardiography;selectieve angiocardiografie;selectieve angiocardiografie;selectieve angiocardiografie
31813000;Vascular oscillometry;vasculaire oscillometrie;vasculaire oscillometrie;vasculaire oscillometrie
31904001;Adrenalectomy;adrenalectomie;adrenalectomie;adrenalectomie
31932005;Tympanomastoidectomy;Tympanomastoidectomy;tympanomastoidectomy;Tympanomastoidectomy
32238004;Empyemectomy;Empyemectomy;empyemectomy;Empyemectomy
32432000;Uterocentesis;Uterocentesis;uterocentesis;Uterocentesis
32578005;Biopsy of appendix;Biopsie van appendix;biopsie van appendix;Biopsie van appendix
32921008;Audiogram;audiogram;audiogram;Audiogram
33099007;Incudectomy;Incudectomy;incudectomy;incudectomie
33148003;Arthrography;artrografie;artrografie;arthrographie
33158004;Excision of gastrocolic ligament;Excisie van gastrocolic ligament;excisie van gastrocolic ligament;Excisie van gastrocolic ligament
33235005;Complex cystometrogram;complex cystometrogram;complex cystometrogram;complex cystometrogram
33356009;Betatron teleradiotherapy;betatron teleradiotherapy;betatron teleradiotherapy;betatron teleradiotherapy
33500009;Composite bypass graft;Composite bypass;composite bypass;Composite bypass
33756006;Partial adrenalectomy;gedeeltelijke adrenalectomie;gedeeltelijke adrenalectomie;gedeeltelijke adrenalectomie
33834001;Acne surgery;acne chirurgie;acne chirurgie;acne chirurgie
34068001;Heart valve replacement;Hartklepvervanging;hartklepvervanging;hartklepprothese
34130000;Cholecystocecostomy;Cholecystocecostomy;cholecystocecostomy;Cholecystocecostomy
34350009;Implantation of premaxilla;Implantatie van premaxilla;implantatie van premaxilla;Implantatie van premaxilla
34616009;Epididymography;Epididymography;epididymography;Epididymography
34640001;Sialolithotomy;Sialolithotomy;sialolithotomy;sialolithotomie
34945008;Angiocardiography;angiocardiografie;angiocardiografie;angiocardiografie
35152000;Prostatolithotomy;Prostatolithotomy;prostatolithotomy;Prostatolithotomy
35212009;Excision of nipple lesion;Excisie van tepel laesie;excisie van tepel laesie;Excisie van tepel laesie
35219000;Biopsy of hypopharynx;Biopsie van hypofarynx;biopsie van hypofarynx;Biopsie van hypofarynx
35411000;Tractotomy;Tractotomy;tractotomy;Tractotomy
35686005;Labyrinthotomy with cryosurgery, transcanal;Labyrinthotomy met cryochirurgie , transcanal;labyrinthotomy met cryochirurgie transcanal;Labyrinthotomy met cryochirurgie , transcanal
35833009;Lead screening, blood;Lood screening , bloed;lood screening bloed;Lood screening , bloed
35915004;Bicuspidization of heart valve;Bicuspidization van de hartklep;bicuspidization van de hartklep;Bicuspidization van de hartklep
36072004;Kidney imaging;nier beeldvorming;nier beeldvorming;nier beeldvorming
36092006;Nephrocolopexy;Nephrocolopexy;nephrocolopexy;nefrocolopexie
36253005;Suprapubic prostatectomy;suprapubische prostatectomie;suprapubische prostatectomie;suprapubische prostatectomie
36412004;Manipulation of thymus;Manipulatie van thymus;manipulatie van thymus;Manipulatie van thymus
36673005;Intradermal injection;intradermale injectie;intradermale injectie;intracutane injectie
36691000;Labyrinthotomy, membranous;Labyrinthotomy , membraneuze;labyrinthotomy , membraneuze;Labyrinthotomy , membraneuze
36788006;Cecoplication;Cecoplication;cecoplication;Cecoplication
37090007;Placentography;Placentography;placentography;Placentography
37113006;Mouth-to-mouth resuscitation;Mond - op - mondbeademing;mond - op - mondbeademing;Mond op mond beademing
37581007;Implantation of epikeratoprosthesis;Implantatie van epikeratoprosthesis;implantatie van epikeratoprosthesis;Implantatie van epikeratoprosthesis
37931006;Auscultation;Auscultatie;auscultatie;Auscultatie
37968009;Prick test;priktest;priktest;Allergietest
38102005;Cholecystectomy;cholecystectomie;cholecystectomie;Cholecystectomie
38294005;Primary sialodochoplasty;Primaire sialodochoplasty;primaire sialodochoplasty;Primaire sialodochoplasty
38497001;Enterolithotomy;Enterolithotomy;enterolithotomy;Enterolithotomy
38507005;Cholecystopexy;Cholecystopexy;cholecystopexy;operatie van Czerny
38530004;Manipulation of spleen;Manipulatie van milt;manipulatie van milt;Manipulatie van milt
38546007;Cardiocentesis;Cardiocentesis;cardiocentesis;Cardiocentesis
38616001;Thermosclerectomy;Thermosclerectomy;thermosclerectomy;Thermosclerectomy
38869002;Scapulopexy;Scapulopexy;scapulopexy;Scapulopexy
39188002;Exchange transfusion;wisseltransfusie;wisseltransfusie;Wisseltransfusie
39195006;Thermokeratoplasty;Thermokeratoplasty;thermokeratoplasty;Thermokeratoplasty
39250009;Enucleation;enucleatie;enucleatie;operatief wegnemen van een oog
39267002;Pericardiorrhaphy;Pericardiorrhaphy;pericardiorrhaphy;Pericardiorrhaphy
39562007;Vermilionectomy;Vermilionectomy;vermilionectomy;Vermilionectomy
39667005;Amygdalohippocampotomy;Amygdalohippocampotomy;amygdalohippocampotomy;Amygdalohippocampotomy
39786006;Endoscopy of spinal canal;Endoscopie van wervelkanaal;endoscopie van wervelkanaal;Endoscopie van wervelkanaal
40008005;Plethysmometry;Plethysmometry;plethysmometry;Plethysmometry
40025007;Odontotomy;Odontotomy;odontotomy;Odontotomy
40151007;Aponeurectomy;Aponeurectomy;aponeurectomy;Aponeurectomy
40228004;Bowel imaging for volvulus;Darm beeldvorming voor volvulus;darm beeldvorming voor volvulus;Darm beeldvorming voor volvulus
40234006;Hemigastrectomy;Hemigastrectomy;hemigastrectomy;Hemigastrectomy
40345006;Retinaculotomy;Retinaculotomy;retinaculotomy;Retinaculotomy
40576004;Removal of pleurothecal shunt;Verwijdering van pleurothecal shunt;verwijdering van pleurothecal shunt;Verwijdering van pleurothecal shunt
40701008;Echocardiography;echocardiografie;echocardiografie;Echocardiografie
40708002;Pupillotomy;Pupillotomy;pupillotomy;Pupillotomy
40770008;Syndactylization;Syndactylization;syndactylization;Syndactylization
40833009;Keratectomy;keratectomie;keratectomie;kerectomie
40995000;Pancreaticocystojejunostomy;Pancreaticocystojejunostomy;pancreaticocystojejunostomy;Pancreaticocystojejunostomy
41035007;Conjoint psychotherapy;conjoint psychotherapie;conjoint psychotherapie;conjoint psychotherapie
41120008;Pandy test;Pandy - test;pandy - test;reactie van Pandy
41209002;Transcatheter therapy for embolization with angiography;Transcatheter therapie voor embolisatie met angiografie;transcatheter therapie voor embolisatie met angiografie;Transcatheter therapie voor embolisatie met angiografie
41306007;Perineal urethrorrhaphy;perineale urethrorrhaphy;perineale urethrorrhaphy;perineale urethrorrhaphy
41339005;Coronary angioplasty;coronaire angioplastiek;coronaire angioplastiek;coronaire angioplastiek
41360004;Nasotracheal aspiration;nasotracheale aspiratie;nasotracheale aspiratie;nasotracheale aspiratie
41371003;Perineal prostatectomy;perineale prostatectomie;perineale prostatectomie;perineale prostatectomie
41530005;Ossiculectomy with stapedectomy;Ossiculectomy met stapedectomie;ossiculectomy met stapedectomie;Ossiculectomy met stapedectomie
41838008;Activity group therapy;Activiteit groepstherapie;activiteit groepstherapie;Activiteit groepstherapie
42050001;Cricoidectomy;Cricoidectomy;cricoidectomy;Cricoidectomy
42139001;Carbon dioxide therapy;Kooldioxide therapie;kooldioxide therapie;behandeling met koolzuursneeuw
42161006;Keratocentesis;Keratocentesis;keratocentesis;Keratocentesis
42238002;Proctoscopy;proctoscopie;proctoscopie;proctoscopie
42837001;Excision of aortic arch;Excisie van aortaboog;excisie van aortaboog;Excisie van aortaboog
42843004;Laparoscopic adrenalectomy;laparoscopische adrenalectomie;laparoscopische adrenalectomie;laparoscopische adrenalectomie
42969009;Cauterization of skin;Cauterisatie van de huid;cauterisatie van de huid;Cauterisatie van de huid
42980009;Excision of perianal tissue;Excisie van perianale weefsel;excisie van perianale weefsel;Excisie van perianale weefsel
42987007;Vestibular function test;Vestibulaire functietest;vestibulaire functietest;Vestibulaire functietest
43060002;Intravenous injection;intraveneuze injectie;intraveneuze injectie;intraveneuze injectie
43102005;Acromionectomy;Acromionectomy;acromionectomy;Acromionectomy
43196001;Ileocolotomy;Ileocolotomy;ileocolotomy;Ileocolotomy
43232006;Extrapleural pneumonectomy with empyemectomy;Extrapleurale pneumonectomie met empyemectomy;extrapleurale pneumonectomie met empyemectomy;Extrapleurale pneumonectomie met empyemectomy
43370007;Impedance phlebography;impedantie flebografie;impedantie flebografie;impedantie flebografie
43802008;Thermocautery;Thermocautery;thermocautery;Thermocautery
44307002;Hysterolysis;Hysterolysis;hysterolysis;Hysterolysis
44566005;Endolymph-perilymph shunt;Endolymfe - perilymfe shunt;endolymfe - perilymfe shunt;Endolymfe - perilymfe shunt
