conceptId;Beschrijving;conceptId;Beschrijving Matecat
14184009;manipulatie van weefsel van mediastinum;14184009;Manipulatie van weefsel van mediastinum
14247003;cerebrale hemisferectomie;14247003;Cerebral hemisferectomie
14857006;mediale fasciotomie;14857006;Medial fasciotomie
15067008;nefropexie;15067008;nefropexie
15440009;desarticulatie;15440009;exarticulatie
15761001;ureterolysis;15761001;Ureterolysis
15962000;drainage van hematoom van neustussenschot;15962000;Drainage van hematoom van neustussenschot
16798006;incisie en drainage van ge ï nfecteerde bursa van de enkel;16798006;Incisie en drainage van ge ï nfecteerde bursa van de enkel
17254000;hepaticolithotomie;17254000;hepaticolithotomie
17606004;sclerectomie;17606004;sclerectomie
18199003;verwijdering van vreemd lichaam van de testis;18199003;Verwijdering van vreemde lichaam van de testis
18640002;echografie , M - mode;18640002;Echografie , M - mode
18692006;bypass gastro - enterostomie;18692006;bypass gastro - enterostomie
19060000;cauterisatie van de stembanden;19060000;Cauterisatie van de stembanden
19063003;arthroplastiek van de knie;19063003;Artroplastiek van de knie
19578002;artrodese;19578002;Artrodese
19606007;endarterectomie van aortaboog;19606007;Endarterectomie van aortaboog
20933000;endoscopie van de lever;20933000;Endoscopie van de lever
21030008;transplantatie van aorta;21030008;Transplantatie van aorta
21054003;haartransplantatie;21054003;haartransplantatie
21619009;permanente tracheostomie;21619009;permanente tracheotomie
22047006;aspiratie van de huid;22047006;Aspiratie van de huid
22094003;lineaire proctotomie;22094003;lineaire proctotomy
22127001;extractie van secundair membraan door mechanische fragmentatie;22127001;Extractie van secundaire membraan door mechanische fragmentatie
22510001;osteotomie van femurhals;22510001;Osteotomie van femurhals
22523008;vasectomie;22523008;Vasectomie
22673000;incisiebiopsie van de slokdarm;22673000;Incisiebiopsie van de slokdarm
22737002;blefarectomie;22737002;blepharectomie
22977002;Strippen van het bot;22977002;Strippen van het bot
23338003;excisie van diepe lymfeklier;23338003;Excisie van diepe lymfeklieren
23425005;amputatie van de arm door de elleboog;23425005;Amputatie van de arm door de elleboog
23968004;colectomie;23968004;Colectomie
24026006;intra - abdominale veneuze shunt;24026006;Intra - abdominale veneuze shunt
24365002;percutane aspiratie van de lever;24365002;Percutane aspiratie van de lever
24788003;biopsie van de schildklier;24788003;Biopsie van de schildklier
25353009;craniotomie;25353009;craniotomie
25679005;cardiolysis;25679005;Cardiolysis
25736000;excisie van coarctatio aortae met end - to - end anastomose;25736000;Excisie van coarctatio aorta met end - to - end anastomose
25789004;lumbosacrale arthrodese;25789004;lumbosacrale artrodese
26212005;vervanging van aortaklep;26212005;Vervanging van aortaklep
26294005;radicale prostatectomie;26294005;Radicale prostatectomie
26392006;Urethrovaginale fixatie;26392006;Urethrovaginal fixatie
27056009;colorectostomie;27056009;colorectostomie
27462006;transplantatie van weefsel van mediastinum;27462006;Transplantatie van weefsel van mediastinum
27779004;sternotomie;27779004;sternotomie
27842006;radicale excisie van lymfeklieren;27842006;Radicale excisie van lymfeklieren
28644007;vaginale enterocolectomie;28644007;vaginale enterocelectomy
28760000;laryngoscopie;28760000;laryngoscopy
28903008;percutane angioscopie;28903008;percutane angioscopie
29174006;injectie van vulva;29174006;Injectie van vulva
29224002;operatieve endoscopie van de dunne darm;29224002;Operatieve endoscopie van de dunne darm
29453004;jejunotomie;29453004;jejunotomie
29532006;proctoscopie met biopsie;29532006;Proctoscopie met biopsie
30043008;linker laterale anale sfincterotomie;30043008;Linker laterale anale sfincterotomie
30082005;arthroscopie van de voet;30082005;Artroscopie van de voet
30195003;excisie van letsel van cerebrale cortex;30195003;Excisie van letsel van cerebrale cortex
30450003;arthroscopie van de vinger;30450003;Artroscopie van de vinger
30583008;cauterisatie van de urethra;30583008;Cauterisatie van de urethra
30880003;trabeculectomie ab externo;30880003;Trabeculectomie ab externo
31489003;drainage van binnenoor;31489003;Drainage van binnenoor
31757006;osteotomie van de tibia;31757006;Osteotomie van de tibia
31904001;adrenalectomie;31904001;adrenalectomie
32404009;fasciotomie van de teen;32404009;Fasciotomie van de teen
32432000;uterocentesis;32432000;Uterocentesis
32534001;biopsie van de milt;32534001;Biopsie van de milt
32750006;inspectie;32750006;Inspecties
33099007;incudectomie;33099007;incudectomie
33149006;pancreatectomie;33149006;pancreatectomie
33798009;open biopsie van het endometrium;33798009;Open biopsie van het endometrium
33857007;resectie van humeruskop;33857007;Resectie van humeruskop
33951009;excisie van letsel van trachea;33951009;Excisie van letsel van trachea
35241000;cholecystostomie;35241000;cholecystostomie
35646002;excisie van letsel van de huid;35646002;Excisie van letsel van de huid
36033003;resectie van aortaklep voor subvalvulaire stenose;36033003;Resectie van aortaklep voor subvalvulaire stenose
36253005;suprapubische prostatectomie;36253005;suprapubische prostatectomie
36412004;manipulatie van thymus;36412004;Manipulatie van thymus
36439007;excisie van varicocoele;36439007;Excisie van varicocele
36511008;Injectie in binnenoor;36511008;Injectie in binnenoor
36732002;pyelolithotomie;36732002;pyelolithotomie
36812006;iridectomie;36812006;iridectomie
36910002;craniectomie;36910002;craniectomie
36938005;tattoe ë ren van de huid;36938005;Tatoe ë ren van de huid
36946006;epididymectomie;36946006;epididymectomie
37236007;dermobrasie;37236007;dermabrasio
37572001;endorectale resectie;37572001;endorectale resectie
38102005;cholecystectomie;38102005;Cholecystectomie
38443001;Vaginale implantatie van radium;38443001;Vaginale implantatie van radium
39309004;hemilaryngectomie;39309004;hemilaryngectomie
39346000;excisie van letsel van conjunctiva;39346000;Excisie van letsel van conjunctiva
39641000;reconstructie van de navel;39641000;Reconstructie van de navel
39686002;dunne darm endoscopie met biopsie;39686002;Dunne darm endoscopie met biopsie
40134000;open biopsie van de nier;40134000;Open biopsie van de nier
40227009;percutane fijne naald biopsie van pleura;40227009;Percutane fijne naald biopsie van pleura
40390002;excisie van iliacale lymfeknopen;40390002;Excisie van iliacale lymfeknopen
40833009;keratectomie;40833009;kerectomie
40899005;cauterisatie van sclera;40899005;Cauterisatie van sclera
41041000;diagnostische artroscopie van de pols met synoviale biopsie;41041000;Diagnostische arthroscopie van de pols met synoviale biopsie
41306007;perineale urethrorrhaphie;41306007;perineale urethrorrhaphy
41360004;nasotracheale aspiratie;41360004;nasotracheale aspiratie
41371003;perineale prostatectomie;41371003;perineale prostatectomie
41848005;directe laryngoscopie met strippen van de epiglottis;41848005;Directe laryngoscopie met strippen van de epiglottis
42101009;penetrerende keratoplastie;42101009;penetrerende keratoplasty
42213007;nasale chondrotomie;42213007;nasale chondrotomy
42238002;proctoscopie;42238002;proctoscopie
42837001;excisie van aortaboog;42837001;Excisie van aortaboog
42843004;laparoscopische adrenalectomie;42843004;laparoscopische adrenalectomie
43060002;intraveneuse injectie;43060002;intraveneuze injectie
43294005;echografie , M - mode , beperkt;43294005;Echografie , M - mode , beperkt
43811008;aspiratie van de fascia van de hand;43811008;Aspiratie van de fascia van de hand
44162000;excisie van bronchiale lymfeklieren;44162000;Excisie van bronchiale lymfklieren
44275008;manipulatie van de wervelkolom;44275008;Manipulatie van de wervelkolom
44793005;excisie van letsel van eileider;44793005;Excisie van letsel van eileider
44850001;presacrale sympathectomie;44850001;presacrale sympathectomy
45334006;mediastinoscopie met biopsie;45334006;Mediastinoscopie met biopsie
45551003;arthrotomie van de elleboog;45551003;Arthrotomie van de elleboog
45595009;laparoscopische cholecystectomie;45595009;laparoscopische cholecystectomie
45900003;slokdarmresectie;45900003;slokdarmresectie
45919008;excisie van secundair membraan;45919008;Excisie van secundaire membraan
46211007;Debridement van het bot;46211007;Debridement van het bot
46379002;intercarpale fusie;46379002;intercarpale fusion
46423003;incidentele ligatie van eileider;46423003;Incidentele ligatie van eileiders
46774005;resectie van externe cardiale tumor;46774005;Resectie van externe cardiale tumor
47020004;ventriculoperitoneale shunt;47020004;ventriculoperitoneale shunt
47302001;ileostomie;47302001;ileotomie
47454007;ovari ë le denervatie;47454007;ovari ë le denervatie
47610008;costotomie;47610008;costotomie
47700006;correctie van lymfoedeem;47700006;Correctie van lymfoedeem
47833006;open reductie van fractuur van de radius;47833006;Open reductie van fractuur van de radius
48382001;excisie van letsel van thymus;48382001;Excisie van letsel van thymus
48507008;iridesis;48507008;Iridesis
48717001;incisiebiopsie van de blaas;48717001;Incisiebiopsie van de blaas
49109005;fasciale sling van de mond;49109005;Fascial sling van de mond
49125000;Excisie van vesicovaginaal septum;49125000;Excisie van vesicovaginale septum
49187005;endarterectomie van aorta;49187005;Endarterectomie van aorta
49438003;appendectomie met drainage;49438003;Appendectomie met drainage
49619003;verwijdering van vreemd lichaam van de penis;49619003;Verwijdering van vreemde lichaam van de penis
49780003;heminefrectomie;49780003;heminefrectomie
49834007;coccygotomie;49834007;coccygotomie
49924002;perineale colostomie;49924002;perineale colostomie
49994009;splanchnotomie;49994009;splanchnicotomie
49999004;irrigatie van het oog;49999004;Irrigatie van het oog
49999004;irrigatie van het oog;49999004;Irrigatie van het oog
50434004;excisie van letsel van aorta;50434004;Excisie van letsel van aorta
50871007;intraluminale hysterolyse;50871007;intraluminale hysterolysis
51018000;iliofemorale shunt;51018000;iliofemoral shunt
51683002;radiale keratotomie;51683002;Radial keratotomie
51726004;cervicothoracale sympathectomie;51726004;cervicothoracale sympathectomy
51933005;bilaterale epididymectomie;51933005;bilaterale epididymectomy
52061004;decompressie fasciotomie van extensor compartiment;52061004;Decompressie fasciotomie van extensor compartiment
52153007;decompressie fasciotomie van de pols;52153007;Decompressie fasciotomie van de pols
52536006;mediastinale tracheostomie;52536006;mediastinale tracheotomie
52621004;endoscopie van de nier;52621004;Endoscopie van de nieren
52814001;excisie van linguale schildklier;52814001;Excisie van lingual schildklier
52889002;endocervicale curettage;52889002;endocervicale curettage
53054006;laparoscopie met geleide transhepatische cholangiografie;53054006;Laparoscopie met geleide transhepatische cholangiografie
53442002;gastrectomie;53442002;Gastrectomie
54460006;chemonucleolysis;54460006;chemonucleolysis
54885007;extractie van cataract;54885007;Extractie van cataract
54956002;gastrostomie;54956002;gastrostomie
55896007;zenuwtransplantatie;55896007;zenuwtransplantatie
56023004;nasale septotomie;56023004;nasale septotomy
56520006;exicise van cardioma;56520006;Excisie van cardioma
56680003;endoscopie van bijschildklier;56680003;Endoscopie van bijschildklier
57071006;sympathectomie;57071006;sympathicectomie
57245002;pylorostomie;57245002;pylorostomie
57271003;extraperitoneale keizersnede;57271003;Extraperitoneale keizersnede
57551006;iridoasis;57551006;Iridotasis
57900006;costotransversectomie;57900006;costotransversectomie
57922004;laparoscopische pyloromyotomie;57922004;laparoscopische pyloromyotomy
58114008;Endoscopische procedure op vulva;58114008;Endoscopische procedure op vulva
58380004;pericardiostomie;58380004;pericardiostomie
58494002;arthrodese van de elleboog;58494002;Artrodese van de elleboog
59077004;canthotomie;59077004;canthotomie
59148003;injectie van therapeutische substantie in de lever;59148003;Injectie van therapeutische substantie in de lever
59420007;open biopsie van de maag;59420007;Open biopsie van de maag
59654003;Transplantatie van vaginaal weefsel;59654003;Transplantatie van vaginaal weefsel
59657005;intestinale bypass voor morbiede obesitas;59657005;Intestinale bypass voor morbide obesitas
59687004;excisie van laryngeale poliep;59687004;Excisie van laryngeale poliep
60041003;laryngofaryngectomie;60041003;laryngofaryngectomie
60104001;incisie en drainage van de voorvoet;60104001;Incisie en drainage van de voorvoet
60177007;mechanische vitrectomie;60177007;mechanische vitrectomie
60465006;permanente gastrostomie;60465006;permanente gastrostomie
60953002;laterale canthopexie;60953002;Lateral canthopexie
61034000;voorste schuifladetest;61034000;Voorste schuifladetest
61206002;arthrotomie van de wervelkolom;61206002;Arthrotomie van de wervelkolom
61557004;implantatie van gewrichtsprothese;61557004;Implantatie van gewrichtsprothese
62409009;foraminotomie;62409009;foraminotomie
62420009;Excisie van vaginale cyste;62420009;Excisie van vaginale cyste
62572002;Longmire operatie , galweg anastomose;62572002;Longmire operatie , galwegen anastomose
62735006;intra - arteri ë le injectie;62735006;intra - arteri ë le injectie
62843007;manipulatie van long;62843007;Manipulatie van long
63205005;regionale excisie van iliacale lymfeknopen;63205005;Regionale excisie van iliacale lymfeknopen
63513005;arthrodese van de enkel;63513005;Artrodese van de enkel
63523001;peritomie;63523001;peritomie
63821006;debridement van de achtervoet;63821006;Debridement van de achtervoet
63933000;ventriculostomie;63933000;ventriculostomie
64063003;radicale cystectomie;64063003;radicale cystectomie
64129003;excisie van letsel van thoracoabdominale aorta met end - to - end anastomose;64129003;Excisie van letsel van thoracoabdominal aorta met end - to - end anastomose
64608008;excisie van aorta ascendens;64608008;Excisie van aorta ascendens
64811006;verwijdering van vreemd lichaam van de schildklier;64811006;Verwijdering van vreemde lichaam van de schildklier
64874008;chemodenervatie;64874008;chemodenervatie
65055008;diepe biopsie van zacht weefsel van de flank;65055008;Deep biopsie van zacht weefsel van de flank
65297006;fowler tenodese van de hand;65297006;Fowler tenodese van de hand
65310005;vagotomie;65310005;vagotomie
65575008;biopsie van de prostaat;65575008;Biopsie van de prostaat
65813003;arthroplastiek van teen met synthetische gewrichtsprothese;65813003;Artroplastiek van teen met synthetische gewrichtsprothese
66077003;ligatie van varicocele;66077003;Ligatie van varicocele
66339000;arthroscopie van de enkel;66339000;Artroscopie van de enkel
66363008;irrigatie van het oor;66363008;Irrigatie van het oor
66474000;intra - arteri ë le infusie van therapeutische substantie;66474000;Intra - arteri ë le infusie van therapeutische substantie
66478002;totale laryngectomie;66478002;totale laryngectomie
66605009;cardiopneumopexie;66605009;cardiopneumopexie
66975008;excisie van letsel van urethra;66975008;Excisie van letsel van urethra
67598001;retropubische prostatectomie;67598001;retropubische prostatectomie
68268007;intra - arteri ë le infusie;68268007;Intra - arteri ë le infusie
68287001;gesloten atriale septostomie;68287001;Gesloten atriale septostomie
68760001;tattoe ë ren van huidletsel;68760001;Tatoe ë ren van huidletsel
68911004;duodenojejunostomie;68911004;duodenojejunostomie
69058004;conversie van rectale positie;69058004;Conversie van rectale positie
69130005;stapedectomie;69130005;stapedectomie
69162008;Cleidotomie;69162008;cleidotomie
69179002;percutane arteri ë le cutdown;69179002;Percutane arteri ë le cutdown
69201005;endoscopie van de darm;69201005;Endoscopie van de darm
69257001;open reductie van fractuur van de fibula;69257001;Open reductie van fractuur van de fibula
69539003;directe laryngoscopie met strippen van de stembanden;69539003;Directe laryngoscopie met strippen van de stembanden
70478007;correctie van overlappende tenen;70478007;Correctie van overlappende tenen
71225000;excisie van uteriene ligament;71225000;Excisie van uteriene ligament
71632001;curettage van bursa;71632001;Curettage van bursa
71861002;implantatie;71861002;Implantatie
72356007;dilatatie en curettage van cervicale stomp;72356007;Dilatatie en curettage van cervicale stomp
72528001;implantatie van Custodis oog;72528001;Implantatie van Custodis oog
72638004;fasciotomie van de voet;72638004;Fasciotomie van de voet
72757000;hymenectomie;72757000;hymenectomie
72791001;laryngectomie;72791001;laringectomie
72842003;debridement van de voorvoet;72842003;Debridement van de voorvoet
72910005;lumbale sympathectomie;72910005;lumbale sympathectomy
73543008;open biopsie van de dikke darm;73543008;Open biopsie van de dikke darm
73759005;duodenectomie;73759005;duodenectomie
73802004;Excisie van urethrovaginaal septum;73802004;Excisie van urethrovaginal septum
74220006;vitrectomie , complex;74220006;Vitrectomie complex
74410004;subconjunctivale injectie;74410004;subconjunctivale injectie
74854002;cauterisatie van de anus;74854002;Cauterisatie van de anus
74878007;bronchotracheale anastomose;74878007;Bronchotracheal anastomose
74906006;incisie en drainage van de galblaas;74906006;Incisie en drainage van de galblaas
74909004;oogsten van ligament;74909004;Oogsten van ligament
75016008;biopsie van zacht weefsel;75016008;Biopsie van zacht weefsel
75337008;incisie en drainage van de achtervoet;75337008;Incisie en drainage van de achtervoet
75732000;vitrectomie;75732000;Vitrectomie
76580007;perifere arteri ë le bypass;76580007;Perifere arteri ë le bypass
76949005;gonioscopie;76949005;gonioscopie
77543007;ligatie van eileider;77543007;Ligatie van eileider
77615009;resectie van aorta met anastomose;77615009;Resectie van aorta met anastomose
78121007;directe laryngoscopie;78121007;directe laryngoscopie
78321001;endoscopie van de mond;78321001;Endoscopie van de mond
78384007;omentectomie;78384007;omentectomie
78432000;intraveneuze anesthesie;78432000;intraveneuze anesthesie
78546002;transplantatie van bijschildklier;78546002;Transplantatie van bijschildklier
78603008;biopsie van de long;78603008;Biopsie van de long
78656005;laparoscopische fundoplicatie;78656005;laparoscopische fundoplicatie
78800009;colpohysterotomie;78800009;colpohysterotomie
79121003;biopsie van de maag;79121003;Biopsie van de maag
79259004;extractie van secundair membraan door needling;79259004;Extractie van secundaire membraan door needling
79504004;arthroscopie van de hand;79504004;Artroscopie van de hand
79945003;intrathecale injectie;79945003;intrathecale injectie
80146002;appendectomie;80146002;Appendectomie
80250004;intranasale biopsie;80250004;intranasale biopsie
80267006;duodenoscopie;80267006;duodenoscopie
80486001;arthrotomie met open meniscusherstel;80486001;Arthrotomie met open meniscusherstel
80513001;parti ë le laryngectomie;80513001;parti ë le laryngectomie
81099000;cervicale arthrodese;81099000;cervicale arthrodese
81516001;parti ë le nefrectomie;81516001;parti ë le nefrectomie
81569000;selectieve vagotomie met pyloroplastie;81569000;Selectieve vagotomie met pyloroplastiek
81870009;parotidectomie;81870009;parotidectomie
82531008;open biopsie van de lever;82531008;Open biopsie van de lever
82839004;panniculectomie;82839004;panniculectomy
83876008;bursectomie;83876008;bursectomie
84237009;radiale styloidectomie;84237009;Radial styloidectomie
84510006;tijdelijke gastrostomie;84510006;tijdelijke gastrostomie
84736001;excisie van exostose van uitwendige gehoorgang;84736001;Excisie van exostose van uitwendige gehoorgang
85419002;orchidopexie;85419002;orchiopexie
85548006;episiotomie;85548006;Episiotomie
85946004;lobectomie van de lever;85946004;Lobectomie van de lever
86050000;curettage van bursa van de hand;86050000;Curettage van bursa van de hand
86112008;bronchoplastie;86112008;bronchoplastiek
86273004;biopsie;86273004;Biopsie
86481000;laparotomie;86481000;Laparotomie
86888002;anale fistulectomie;86888002;anale fistulectomy
86954007;excisie van urethraal septum;86954007;Excisie van urethrale septum
86974000;ischiopubiotomie;86974000;ischiopubiotomie
87060004;palliodotomie;87060004;pallidotomie
87387006;fiberoptische bronchoscopie met biopsie van bronchus;87387006;Fiberoptische bronchoscopie met biopsie van bronchus
87591000;curettage van huidletsel;87591000;Curettage van huidletsel
87604009;sleeve resectie van de maag;87604009;Sleeve resectie van de maag
87697008;punch biopsie van de huid;87697008;Punch biopsie van de huid
88045004;vervanging van pulmonaalklep;88045004;Vervanging van pulmonaalklep
88624005;arthroscopie van de teen;88624005;Artroscopie van de teen
88632002;splenopexie;88632002;splenopexie
88669004;implantatie van Rickham reservoir;88669004;Implantatie van Rickham reservoir
88717002;verwijdering van vreemd lichaam van de tunica vaginalis;88717002;Verwijdering van vreemde lichaam van de tunica vaginalis
88812000;excisie van letsel van corpus ciliare;88812000;Excisie van letsel van corpus ciliare
88916003;anusscopie;88916003;anoscopie
89053004;vaginale keizersnede;89053004;Vaginale keizersnede
89367004;correctie van bunionette;89367004;Correctie van bunionette
89575006;injectie van sympathisch ganglion;89575006;Injectie van sympathische ganglion
89746002;cauterisatie van adenoid fossa;89746002;Cauterisatie van adenoid fossa
89770003;anale sfincterotomie;89770003;anale sfincterotomie
90131007;arthrocentese;90131007;arthrocentesis
90329008;fijne naald biopsie van retroperitoneale massa;90329008;Fijne naald biopsie van retroperitoneale massa
91625001;selectieve vagotomie;91625001;selectieve vagotomie
103723005;angioscopie;103723005;angioscopie
103725003;laser resurfacing van de huid;103725003;Laser resurfacing van de huid
112737000;biopsie van radius en ulna;112737000;Biopsie van radius en ulna
112762000;open iliotibiale fasciotomie;112762000;Open iliotibiale fasciotomie
112884007;cholecystoduodenostomie;112884007;cholecystoduodenostomie
112963003;aspiratie van cataract;112963003;Aspiratie van cataract
112981000;incisie en drainage van subhepatisch ruimte;112981000;Incisie en drainage van subhepatische ruimte
115959002;stereotactische radiochirurgie;115959002;stereotactische radiochirurgie
116140006;totale hysterectomie;116140006;totale hysterectomie
116141005;abdominale hysterectomie;116141005;abdominale hysterectomie
116142003;radicale hysterectomie;116142003;radicale hysterectomie
116227008;incisiebiopsie van de maag;116227008;Incisiebiopsie van de maag
116229006;incisiebiopsie van de dikke darm;116229006;Incisiebiopsie van de dikke darm
116230001;open biopsie van de slokdarm;116230001;Open biopsie van de slokdarm
116231002;open biopsie van de milt;116231002;Open biopsie van de milt
116245008;incisiebiopsie van de vagina;116245008;Incisiebiopsie van de vagina
116330003;Bryant ' s driehoek procedure;116330003;Bryant ' s driehoek procedure
118457006;gesloten subcutane tenotomie;118457006;Gesloten subcutane tenotomie
118458001;open subcutane tenotomie;118458001;Open subcutane tenotomie
118486009;phalangectomie;118486009;falangectomie
118635009;revisie;118635009;Revisie
119283008;open biopsie;119283008;Open biopsie
119286000;biopsie van de dunne darm;119286000;Biopsie van de dunne darm
119640006;transplantatie van weefsel van de schouder;119640006;Transplantatie van weefsel van de schouder
119644002;schouder manipulatie;119644002;schouder manipulatie
119713001;nasofarynx reconstructie;119713001;nasopharynx reconstructie
119718005;transplantatie van weefsel van nasopharynx;119718005;Transplantatie van weefsel van nasopharynx
119860000;lip implantatie;119860000;lip implantatie
119863003;lip reconstructie;119863003;lip reconstructie
119864009;mond reconstructie;119864009;mond reconstructie
119886005;dunne darm injectie;119886005;Dunne darm injectie
119903001;rectum reconstructie;119903001;rectum reconstructie
119912004;lever implantatie;119912004;lever implantatie
119914003;lever reconstructie;119914003;lever reconstructie
119968008;beenmerg implantatie;119968008;Beenmerg implantatie
120008004;testis reconstructie;120008004;testis reconstructie
120076004;transplantatie van hersenweefsel;120076004;Transplantatie van hersenweefsel
120227000;manipulatie van de onderarm;120227000;Manipulatie van de onderarm
122478003;synoviale biopsie;122478003;synoviale biopsie
122479006;chondrectomie;122479006;chondrectomie
122548005;biopsie van de borst;122548005;Biopsie van de borst
127595001;arthrotomie van de knie met drainage;127595001;Arthrotomie van de knie met drainage
128991001;incisie en drainage van het hoofd;128991001;Incisie en drainage van het hoofd
133861000;Open reductie en fixatie;133861000;Open reductie en fixatie
133863002;Open reductie en interne fixatie;133863002;Open reductie met interne fixatie
134367001;implantatie van implanteerbare loop recorder;134367001;Implantatie van implanteerbare loop recorder
164791003;Helicobacter pylori ademtest;164791003;Helicobacter pylori ademtest
169166005;isotopen flebografie;169166005;isotopen flebografie
171451000;excisie van letsel van cerebellum;171451000;Excisie van letsel van cerebellum
171454008;stereotactische ablatie van hersenweefsel;171454008;Stereotactische ablatie van hersenweefsel
171455009;stereotactische leucotomie;171455009;stereotactische leucotomie
171481008;decompressie van foramen magnum;171481008;Decompressie van foramen magnum
171957008;excisie van letsel van hypofyse;171957008;Excisie van letsel van hypofyse
172004007;biopsie van letsel van bijschildklier;172004007;Biopsie van letsel van bijschildklier
172011006;transsternale thymectomie;172011006;Transsternal thymectomie
172034002;embolisatie van de bijnier;172034002;Embolisatie van de bijnier
172196000;excisie van letsel van canthus;172196000;Excisie van letsel van canthus
172207008;mediale canthopexie;172207008;Medial canthopexie
172461009;drainage van letsel van sclera;172461009;Drainage van letsel van sclera
172468003;biopsie van letsel van sclera;172468003;Biopsie van letsel van sclera
172477005;fixatie van de iris;172477005;Fixatie van de iris
172497000;biopsie van letsel van iris;172497000;Biopsie van letsel van iris
172538005;mechanische lensectomie;172538005;mechanische lensectomie
172571009;epiretinale dissectie;172571009;Epiretinal dissectie
172623004;biopsie van letsel van oorschelp;172623004;Biopsie van letsel van oorschelp
172705004;biopsie van letsel van middenoor;172705004;Biopsie van letsel van middenoor
172737003;cochleostomie;172737003;cochleostomie
172748005;excisie van cholesteatoom;172748005;Excisie van cholesteatoom
172768004;reconstructie van de neus met lokale flap;172768004;Reconstructie van de neus met lokale flap
172782004;dermabrasie van de neus;172782004;Dermabrasie van de neus
172792007;biopsie van letsel van neustussenschot;172792007;Biopsie van letsel van neustussenschot
172825008;nasale poliepectomie;172825008;nasale poliepectomie
172887003;craniofaciale resectie;172887003;craniofaciale resectie
173100009;strayer procedure;173100009;Strayer procedure
173199003;open biopsie van letsel van mediastinum;173199003;Open biopsie van letsel van mediastinum
173235003;bilaterale lip adhesies;173235003;Bilaterale lip adhesie
173346003;gingivoplastie;173346003;gingivoplasty
173422009;tonsillectomie;173422009;Tonsillectomie
173426007;bilaterale laser tonsillectomie;173426007;Bilaterale laser tonsillectomie
173747005;Roux - en - Y gastrojejunostomie;173747005;Roux - en - Y gastrojejunostomie
173788005;pyloromyotomie;173788005;pyloromyotomie
174011005;endoscopische dilatatie van ileum;174011005;Endoscopische dilatatie van ileum
174030005;gastrocnemius recessie;174030005;gastrocnemius recessie
