conceptid b;term b;conceptid m;term m
26294005;radicale prostatectomie;26294005;Radicale prostatectomie
27462006;transplantatie van weefsel van mediastinum;27462006;Transplantatie van weefsel van mediastinum
27779004;sternotomie;27779004;sternotomie
27842006;radicale excisie van lymfeklieren;27842006;Radicale excisie van lymfeklieren
28903008;percutane angioscopie;28903008;percutane angioscopie
29174006;injectie van vulva;29174006;Injectie van vulva
29224002;operatieve endoscopie van de dunne darm;29224002;Operatieve endoscopie van de dunne darm
29453004;jejunotomie;29453004;jejunotomie
29532006;proctoscopie met biopsie;29532006;Proctoscopie met biopsie
30043008;linker laterale anale sfincterotomie;30043008;Linker laterale anale sfincterotomie
30195003;excisie van letsel van cerebrale cortex;30195003;Excisie van letsel van cerebrale cortex
30583008;cauterisatie van de urethra;30583008;Cauterisatie van de urethra
30880003;trabeculectomie ab externo;30880003;Trabeculectomie ab externo
31489003;drainage van binnenoor;31489003;Drainage van binnenoor
31757006;osteotomie van de tibia;31757006;Osteotomie van de tibia
31904001;adrenalectomie;31904001;adrenalectomie
32404009;fasciotomie van de teen;32404009;Fasciotomie van de teen
32432000;uterocentesis;32432000;Uterocentesis
32534001;biopsie van de milt;32534001;Biopsie van de milt
33099007;incudectomie;33099007;incudectomie
33149006;pancreatectomie;33149006;pancreatectomie
33798009;open biopsie van het endometrium;33798009;Open biopsie van het endometrium
33857007;resectie van humeruskop;33857007;Resectie van humeruskop
33951009;excisie van letsel van trachea;33951009;Excisie van letsel van trachea
35241000;cholecystostomie;35241000;cholecystostomie
35646002;excisie van letsel van de huid;35646002;Excisie van letsel van de huid
36033003;resectie van aortaklep voor subvalvulaire stenose;36033003;Resectie van aortaklep voor subvalvulaire stenose
36253005;suprapubische prostatectomie;36253005;suprapubische prostatectomie
36412004;manipulatie van thymus;36412004;Manipulatie van thymus
36511008;Injectie in binnenoor;36511008;Injectie in binnenoor
36732002;pyelolithotomie;36732002;pyelolithotomie
36812006;iridectomie;36812006;iridectomie
36910002;craniectomie;36910002;craniectomie
36946006;epididymectomie;36946006;epididymectomie
37572001;endorectale resectie;37572001;endorectale resectie
38102005;cholecystectomie;38102005;Cholecystectomie
38443001;Vaginale implantatie van radium;38443001;Vaginale implantatie van radium
39309004;hemilaryngectomie;39309004;hemilaryngectomie
39346000;excisie van letsel van conjunctiva;39346000;Excisie van letsel van conjunctiva
39641000;reconstructie van de navel;39641000;Reconstructie van de navel
39686002;dunne darm endoscopie met biopsie;39686002;Dunne darm endoscopie met biopsie
40134000;open biopsie van de nier;40134000;Open biopsie van de nier
40227009;percutane fijne naald biopsie van pleura;40227009;Percutane fijne naald biopsie van pleura
40390002;excisie van iliacale lymfeknopen;40390002;Excisie van iliacale lymfeknopen
40899005;cauterisatie van sclera;40899005;Cauterisatie van sclera
41360004;nasotracheale aspiratie;41360004;nasotracheale aspiratie
41371003;perineale prostatectomie;41371003;perineale prostatectomie
41848005;directe laryngoscopie met strippen van de epiglottis;41848005;Directe laryngoscopie met strippen van de epiglottis
42238002;proctoscopie;42238002;proctoscopie
42837001;excisie van aortaboog;42837001;Excisie van aortaboog
42843004;laparoscopische adrenalectomie;42843004;laparoscopische adrenalectomie
43294005;echografie , M - mode , beperkt;43294005;Echografie , M - mode , beperkt
43811008;aspiratie van de fascia van de hand;43811008;Aspiratie van de fascia van de hand
44275008;manipulatie van de wervelkolom;44275008;Manipulatie van de wervelkolom
44793005;excisie van letsel van eileider;44793005;Excisie van letsel van eileider
45334006;mediastinoscopie met biopsie;45334006;Mediastinoscopie met biopsie
45551003;arthrotomie van de elleboog;45551003;Arthrotomie van de elleboog
45595009;laparoscopische cholecystectomie;45595009;laparoscopische cholecystectomie
45900003;slokdarmresectie;45900003;slokdarmresectie
46211007;Debridement van het bot;46211007;Debridement van het bot
46774005;resectie van externe cardiale tumor;46774005;Resectie van externe cardiale tumor
47020004;ventriculoperitoneale shunt;47020004;ventriculoperitoneale shunt
47454007;ovari ë le denervatie;47454007;ovari ë le denervatie
47610008;costotomie;47610008;costotomie
47700006;correctie van lymfoedeem;47700006;Correctie van lymfoedeem
47833006;open reductie van fractuur van de radius;47833006;Open reductie van fractuur van de radius
48382001;excisie van letsel van thymus;48382001;Excisie van letsel van thymus
48507008;iridesis;48507008;Iridesis
48717001;incisiebiopsie van de blaas;48717001;Incisiebiopsie van de blaas
49187005;endarterectomie van aorta;49187005;Endarterectomie van aorta
49438003;appendectomie met drainage;49438003;Appendectomie met drainage
49780003;heminefrectomie;49780003;heminefrectomie
49834007;coccygotomie;49834007;coccygotomie
49924002;perineale colostomie;49924002;perineale colostomie
49999004;irrigatie van het oog;49999004;Irrigatie van het oog
50434004;excisie van letsel van aorta;50434004;Excisie van letsel van aorta
52061004;decompressie fasciotomie van extensor compartiment;52061004;Decompressie fasciotomie van extensor compartiment
52153007;decompressie fasciotomie van de pols;52153007;Decompressie fasciotomie van de pols
52889002;endocervicale curettage;52889002;endocervicale curettage
53054006;laparoscopie met geleide transhepatische cholangiografie;53054006;Laparoscopie met geleide transhepatische cholangiografie
53442002;gastrectomie;53442002;Gastrectomie
54460006;chemonucleolysis;54460006;chemonucleolysis
54885007;extractie van cataract;54885007;Extractie van cataract
54956002;gastrostomie;54956002;gastrostomie
55896007;zenuwtransplantatie;55896007;zenuwtransplantatie
56680003;endoscopie van bijschildklier;56680003;Endoscopie van bijschildklier
57245002;pylorostomie;57245002;pylorostomie
57271003;extraperitoneale keizersnede;57271003;Extraperitoneale keizersnede
57900006;costotransversectomie;57900006;costotransversectomie
58114008;Endoscopische procedure op vulva;58114008;Endoscopische procedure op vulva
58380004;pericardiostomie;58380004;pericardiostomie
59077004;canthotomie;59077004;canthotomie
59148003;injectie van therapeutische substantie in de lever;59148003;Injectie van therapeutische substantie in de lever
59420007;open biopsie van de maag;59420007;Open biopsie van de maag
59654003;Transplantatie van vaginaal weefsel;59654003;Transplantatie van vaginaal weefsel
59687004;excisie van laryngeale poliep;59687004;Excisie van laryngeale poliep
60041003;laryngofaryngectomie;60041003;laryngofaryngectomie
60104001;incisie en drainage van de voorvoet;60104001;Incisie en drainage van de voorvoet
60177007;mechanische vitrectomie;60177007;mechanische vitrectomie
60465006;permanente gastrostomie;60465006;permanente gastrostomie
61034000;voorste schuifladetest;61034000;Voorste schuifladetest
61206002;arthrotomie van de wervelkolom;61206002;Arthrotomie van de wervelkolom
61557004;implantatie van gewrichtsprothese;61557004;Implantatie van gewrichtsprothese
62409009;foraminotomie;62409009;foraminotomie
62420009;Excisie van vaginale cyste;62420009;Excisie van vaginale cyste
62735006;intra - arteri ë le injectie;62735006;intra - arteri ë le injectie
62843007;manipulatie van long;62843007;Manipulatie van long
63205005;regionale excisie van iliacale lymfeknopen;63205005;Regionale excisie van iliacale lymfeknopen
63523001;peritomie;63523001;peritomie
63821006;debridement van de achtervoet;63821006;Debridement van de achtervoet
63933000;ventriculostomie;63933000;ventriculostomie
64063003;radicale cystectomie;64063003;radicale cystectomie
64608008;excisie van aorta ascendens;64608008;Excisie van aorta ascendens
64874008;chemodenervatie;64874008;chemodenervatie
65297006;fowler tenodese van de hand;65297006;Fowler tenodese van de hand
65310005;vagotomie;65310005;vagotomie
65575008;biopsie van de prostaat;65575008;Biopsie van de prostaat
66077003;ligatie van varicocele;66077003;Ligatie van varicocele
66363008;irrigatie van het oor;66363008;Irrigatie van het oor
66474000;intra - arteri ë le infusie van therapeutische substantie;66474000;Intra - arteri ë le infusie van therapeutische substantie
66478002;totale laryngectomie;66478002;totale laryngectomie
66605009;cardiopneumopexie;66605009;cardiopneumopexie
66975008;excisie van letsel van urethra;66975008;Excisie van letsel van urethra
67598001;retropubische prostatectomie;67598001;retropubische prostatectomie
68268007;intra - arteri ë le infusie;68268007;Intra - arteri ë le infusie
68287001;gesloten atriale septostomie;68287001;Gesloten atriale septostomie
68911004;duodenojejunostomie;68911004;duodenojejunostomie
69058004;conversie van rectale positie;69058004;Conversie van rectale positie
69130005;stapedectomie;69130005;stapedectomie
69162008;Cleidotomie;69162008;cleidotomie
69179002;percutane arteri ë le cutdown;69179002;Percutane arteri ë le cutdown
69201005;endoscopie van de darm;69201005;Endoscopie van de darm
69257001;open reductie van fractuur van de fibula;69257001;Open reductie van fractuur van de fibula
69539003;directe laryngoscopie met strippen van de stembanden;69539003;Directe laryngoscopie met strippen van de stembanden
70478007;correctie van overlappende tenen;70478007;Correctie van overlappende tenen
71225000;excisie van uteriene ligament;71225000;Excisie van uteriene ligament
71632001;curettage van bursa;71632001;Curettage van bursa
71861002;implantatie;71861002;Implantatie
72356007;dilatatie en curettage van cervicale stomp;72356007;Dilatatie en curettage van cervicale stomp
72528001;implantatie van Custodis oog;72528001;Implantatie van Custodis oog
72638004;fasciotomie van de voet;72638004;Fasciotomie van de voet
72757000;hymenectomie;72757000;hymenectomie
72842003;debridement van de voorvoet;72842003;Debridement van de voorvoet
73543008;open biopsie van de dikke darm;73543008;Open biopsie van de dikke darm
73759005;duodenectomie;73759005;duodenectomie
74220006;vitrectomie , complex;74220006;Vitrectomie complex
74410004;subconjunctivale injectie;74410004;subconjunctivale injectie
74854002;cauterisatie van de anus;74854002;Cauterisatie van de anus
74906006;incisie en drainage van de galblaas;74906006;Incisie en drainage van de galblaas
74909004;oogsten van ligament;74909004;Oogsten van ligament
75016008;biopsie van zacht weefsel;75016008;Biopsie van zacht weefsel
75337008;incisie en drainage van de achtervoet;75337008;Incisie en drainage van de achtervoet
75732000;vitrectomie;75732000;Vitrectomie
76580007;perifere arteri ë le bypass;76580007;Perifere arteri ë le bypass
76949005;gonioscopie;76949005;gonioscopie
77543007;ligatie van eileider;77543007;Ligatie van eileider
77615009;resectie van aorta met anastomose;77615009;Resectie van aorta met anastomose
78121007;directe laryngoscopie;78121007;directe laryngoscopie
78321001;endoscopie van de mond;78321001;Endoscopie van de mond
78384007;omentectomie;78384007;omentectomie
78432000;intraveneuze anesthesie;78432000;intraveneuze anesthesie
78546002;transplantatie van bijschildklier;78546002;Transplantatie van bijschildklier
78603008;biopsie van de long;78603008;Biopsie van de long
78656005;laparoscopische fundoplicatie;78656005;laparoscopische fundoplicatie
78800009;colpohysterotomie;78800009;colpohysterotomie
79121003;biopsie van de maag;79121003;Biopsie van de maag
79945003;intrathecale injectie;79945003;intrathecale injectie
80146002;appendectomie;80146002;Appendectomie
80250004;intranasale biopsie;80250004;intranasale biopsie
80267006;duodenoscopie;80267006;duodenoscopie
80486001;arthrotomie met open meniscusherstel;80486001;Arthrotomie met open meniscusherstel
80513001;parti ë le laryngectomie;80513001;parti ë le laryngectomie
81099000;cervicale arthrodese;81099000;cervicale arthrodese
81516001;parti ë le nefrectomie;81516001;parti ë le nefrectomie
81870009;parotidectomie;81870009;parotidectomie
82531008;open biopsie van de lever;82531008;Open biopsie van de lever
83876008;bursectomie;83876008;bursectomie
84510006;tijdelijke gastrostomie;84510006;tijdelijke gastrostomie
84736001;excisie van exostose van uitwendige gehoorgang;84736001;Excisie van exostose van uitwendige gehoorgang
85548006;episiotomie;85548006;Episiotomie
85946004;lobectomie van de lever;85946004;Lobectomie van de lever
86050000;curettage van bursa van de hand;86050000;Curettage van bursa van de hand
86273004;biopsie;86273004;Biopsie
86481000;laparotomie;86481000;Laparotomie
86974000;ischiopubiotomie;86974000;ischiopubiotomie
87387006;fiberoptische bronchoscopie met biopsie van bronchus;87387006;Fiberoptische bronchoscopie met biopsie van bronchus
87591000;curettage van huidletsel;87591000;Curettage van huidletsel
87604009;sleeve resectie van de maag;87604009;Sleeve resectie van de maag
87697008;punch biopsie van de huid;87697008;Punch biopsie van de huid
88045004;vervanging van pulmonaalklep;88045004;Vervanging van pulmonaalklep
88632002;splenopexie;88632002;splenopexie
88669004;implantatie van Rickham reservoir;88669004;Implantatie van Rickham reservoir
88812000;excisie van letsel van corpus ciliare;88812000;Excisie van letsel van corpus ciliare
89053004;vaginale keizersnede;89053004;Vaginale keizersnede
89367004;correctie van bunionette;89367004;Correctie van bunionette
89746002;cauterisatie van adenoid fossa;89746002;Cauterisatie van adenoid fossa
89770003;anale sfincterotomie;89770003;anale sfincterotomie
90329008;fijne naald biopsie van retroperitoneale massa;90329008;Fijne naald biopsie van retroperitoneale massa
91625001;selectieve vagotomie;91625001;selectieve vagotomie
103723005;angioscopie;103723005;angioscopie
103725003;laser resurfacing van de huid;103725003;Laser resurfacing van de huid
112737000;biopsie van radius en ulna;112737000;Biopsie van radius en ulna
112762000;open iliotibiale fasciotomie;112762000;Open iliotibiale fasciotomie
112884007;cholecystoduodenostomie;112884007;cholecystoduodenostomie
112963003;aspiratie van cataract;112963003;Aspiratie van cataract
115959002;stereotactische radiochirurgie;115959002;stereotactische radiochirurgie
116140006;totale hysterectomie;116140006;totale hysterectomie
116141005;abdominale hysterectomie;116141005;abdominale hysterectomie
116142003;radicale hysterectomie;116142003;radicale hysterectomie
116227008;incisiebiopsie van de maag;116227008;Incisiebiopsie van de maag
116229006;incisiebiopsie van de dikke darm;116229006;Incisiebiopsie van de dikke darm
116230001;open biopsie van de slokdarm;116230001;Open biopsie van de slokdarm
116231002;open biopsie van de milt;116231002;Open biopsie van de milt
116245008;incisiebiopsie van de vagina;116245008;Incisiebiopsie van de vagina
116330003;Bryant ' s driehoek procedure;116330003;Bryant ' s driehoek procedure
118457006;gesloten subcutane tenotomie;118457006;Gesloten subcutane tenotomie
118458001;open subcutane tenotomie;118458001;Open subcutane tenotomie
118635009;revisie;118635009;Revisie
119283008;open biopsie;119283008;Open biopsie
119286000;biopsie van de dunne darm;119286000;Biopsie van de dunne darm
119640006;transplantatie van weefsel van de schouder;119640006;Transplantatie van weefsel van de schouder
119644002;schouder manipulatie;119644002;schouder manipulatie
119718005;transplantatie van weefsel van nasopharynx;119718005;Transplantatie van weefsel van nasopharynx
119860000;lip implantatie;119860000;lip implantatie
119863003;lip reconstructie;119863003;lip reconstructie
119864009;mond reconstructie;119864009;mond reconstructie
119886005;dunne darm injectie;119886005;Dunne darm injectie
119903001;rectum reconstructie;119903001;rectum reconstructie
119912004;lever implantatie;119912004;lever implantatie
119914003;lever reconstructie;119914003;lever reconstructie
119968008;beenmerg implantatie;119968008;Beenmerg implantatie
120008004;testis reconstructie;120008004;testis reconstructie
120076004;transplantatie van hersenweefsel;120076004;Transplantatie van hersenweefsel
120227000;manipulatie van de onderarm;120227000;Manipulatie van de onderarm
122478003;synoviale biopsie;122478003;synoviale biopsie
122479006;chondrectomie;122479006;chondrectomie
122548005;biopsie van de borst;122548005;Biopsie van de borst
127595001;arthrotomie van de knie met drainage;127595001;Arthrotomie van de knie met drainage
128991001;incisie en drainage van het hoofd;128991001;Incisie en drainage van het hoofd
133861000;Open reductie en fixatie;133861000;Open reductie en fixatie
134367001;implantatie van implanteerbare loop recorder;134367001;Implantatie van implanteerbare loop recorder
164791003;Helicobacter pylori ademtest;164791003;Helicobacter pylori ademtest
169166005;isotopen flebografie;169166005;isotopen flebografie
171451000;excisie van letsel van cerebellum;171451000;Excisie van letsel van cerebellum
171454008;stereotactische ablatie van hersenweefsel;171454008;Stereotactische ablatie van hersenweefsel
171455009;stereotactische leucotomie;171455009;stereotactische leucotomie
171481008;decompressie van foramen magnum;171481008;Decompressie van foramen magnum
171957008;excisie van letsel van hypofyse;171957008;Excisie van letsel van hypofyse
172004007;biopsie van letsel van bijschildklier;172004007;Biopsie van letsel van bijschildklier
172034002;embolisatie van de bijnier;172034002;Embolisatie van de bijnier
172196000;excisie van letsel van canthus;172196000;Excisie van letsel van canthus
172461009;drainage van letsel van sclera;172461009;Drainage van letsel van sclera
172468003;biopsie van letsel van sclera;172468003;Biopsie van letsel van sclera
172477005;fixatie van de iris;172477005;Fixatie van de iris
172497000;biopsie van letsel van iris;172497000;Biopsie van letsel van iris
172538005;mechanische lensectomie;172538005;mechanische lensectomie
172623004;biopsie van letsel van oorschelp;172623004;Biopsie van letsel van oorschelp
172705004;biopsie van letsel van middenoor;172705004;Biopsie van letsel van middenoor
172737003;cochleostomie;172737003;cochleostomie
172748005;excisie van cholesteatoom;172748005;Excisie van cholesteatoom
172768004;reconstructie van de neus met lokale flap;172768004;Reconstructie van de neus met lokale flap
172782004;dermabrasie van de neus;172782004;Dermabrasie van de neus
172792007;biopsie van letsel van neustussenschot;172792007;Biopsie van letsel van neustussenschot
172825008;nasale poliepectomie;172825008;nasale poliepectomie
172887003;craniofaciale resectie;172887003;craniofaciale resectie
173100009;strayer procedure;173100009;Strayer procedure
173199003;open biopsie van letsel van mediastinum;173199003;Open biopsie van letsel van mediastinum
173422009;tonsillectomie;173422009;Tonsillectomie
173426007;bilaterale laser tonsillectomie;173426007;Bilaterale laser tonsillectomie
173747005;Roux - en - Y gastrojejunostomie;173747005;Roux - en - Y gastrojejunostomie
173788005;pyloromyotomie;173788005;pyloromyotomie
174011005;endoscopische dilatatie van ileum;174011005;Endoscopische dilatatie van ileum
174030005;gastrocnemius recessie;174030005;gastrocnemius recessie
174059005;proctocolectomie;174059005;proctocolectomie
174385004;laterale sfincterotomie;174385004;laterale sfincterotomie
174443004;open drainage van de lever;174443004;Open drainage van de lever
174472003;percutane drainage van de lever;174472003;Percutane drainage van de lever
174691005;transplantatie van pancreas en duodenum;174691005;Transplantatie van pancreas en duodenum
174770007;percutane pancreatogram;174770007;percutane pancreatogram
174789007;embolisatie van de milt;174789007;Embolisatie van de milt
175262009;open pulmonale embolectomie;175262009;Open pulmonale embolectomie
175720003;percutane transluminale embolisatie van de arteria poplitea;175720003;Percutane transluminale embolisatie van de arteria poplitea
175788008;ligatie van verworven arterioveneuze fistel;175788008;Ligatie van verworven arterioveneuze fistel
175881006;revascularisatie voor impotentie;175881006;Revascularisatie voor impotentie
176028006;uretero - ureterostomie;176028006;Uretero - ureterostomie
176135001;perineale urethrostomie;176135001;perineale urethrostomie
176258007;open prostatectomie;176258007;Open prostatectomie
176268002;open biopsie van de prostaat;176268002;Open biopsie van de prostaat
176288003;transurethrale laser prostatectomie;176288003;Transurethrale laser prostatectomie
176378001;naald aspiratie van de urethra;176378001;Naald aspiratie van de urethra
176415006;bilaterale subcapsulaire orchidectomie;176415006;Bilaterale subcapsulaire orchidectomie
176434006;bilaterale orchidopexie;176434006;bilaterale orchidopexie
176607001;cryotherapie van letsel van vulva;176607001;Cryotherapie van letsel van vulva
176616002;reconstructie van vulva met lokale flap;176616002;Reconstructie van vulva met lokale flap
176716008;sacrocolpopexie;176716008;Sacrocolpopexie
176890006;intra - uteriene druktest;176890006;Intra - uteriene druktest
176965005;drainage van de eileider;176965005;Drainage van de eileider
176995002;endoscopische injectie in eileider;176995002;Endoscopische injectie in eileider
177124000;biopsie van de tong;177124000;Biopsie van de tong
177246004;wenkbrauwlift;177246004;wenkbrauwlift
178012008;percutane drainage van ascites;178012008;Percutane drainage van ascites
178100006;aspiratie van ganglion;178100006;Aspiratie van ganglion
178101005;drainage van ganglion;178101005;Drainage van ganglion
178111003;re - excisie van ganglion;178111003;Re - excisie van ganglion
178112005;re - excisie van ganglion van de pols;178112005;Re - excisie van ganglion van de pols
178114006;re - excisie van ganglion van de knie;178114006;Re - excisie van ganglion van de knie
178115007;re - excisie van ganglion van de voet;178115007;Re - excisie van ganglion van de voet
178116008;re - excisie van ganglion van de enkel;178116008;Re - excisie van ganglion van de enkel
178122004;aspiratie van bursa;178122004;Aspiratie van bursa
178203000;reconstructie van peesschede;178203000;Reconstructie van peesschede
178222009;lokale spier rotatie flap;178222009;Lokale spier rotatie flap
178668000;percutane discectomie;178668000;percutane discectomie
178669008;laser discectomie;178669008;laser discectomie
178932007;Rotatie osteotomie;178932007;Rotatie osteotomie
178989006;Lokale bottransplantatie;178989006;Lokale bottransplantatie
178991003;Microvasculaire bottransplantatie;178991003;Microvasculaire bottransplantatie
179001000;drainage van het bot;179001000;Drainage van het bot
179370007;open totale mediale meniscectomie;179370007;Open totale mediale meniscectomie
179372004;open totale laterale meniscectomie;179372004;Open totale laterale meniscectomie
179412008;hybride unicompartimentele knieprothese;179412008;Hybride unicompartimentele knieprothese
179713004;open synoviale biopsie;179713004;Open synoviale biopsie
179893007;arthroscopische acromioplastie;179893007;arthroscopische acromioplastie
180030006;amputatie van de voet;180030006;Amputatie van de voet
180088007;stabilisatie van hypoplastische duim;180088007;Stabilisatie van hypoplastische duim
180092000;correctie van camptodactyly;180092000;Correctie van camptodactyly
182515004;gastro - intestinale decompressie;182515004;Gastro - intestinale decompressie
182522007;intra - uteriene catheterisatie;182522007;intra - uteriene catheterisatie
182622002;incisiebiopsie van de hersenen;182622002;Incisiebiopsie van de hersenen
182698006;gecontroleerde atelectase;182698006;gecontroleerde atelectase
182756003;arteri ë le perfusie;182756003;arteri ë le perfusie
184153002;biopsie van binnenoor;184153002;Biopsie van binnenoor
189736003;poncet operatie;189736003;Poncet operatie
195767005;cholangiostomie;195767005;cholangiostomie
196505006;hepaticostomie;196505006;hepaticostomie
197042001;biopsie van het hart;197042001;Biopsie van het hart
197045004;excisie van myositis ossificans;197045004;Excisie van myositis ossificans
197357002;kutler amputatie;197357002;Kutler amputatie
199001009;hepaticotomie;199001009;hepaticotomie
211026007;punctie van bursa;211026007;Punctie van bursa
212442006;lisfranc voetamputatie;212442006;Lisfranc voetamputatie
215103005;biopsie van de schedel;215103005;Biopsie van de schedel
218501003;lindholm operatie;218501003;Lindholm operatie
221270009;debridement van verbrande huid;221270009;Debridement van verbrande huid
225089006;elektrische stimulatie van de blaas;225089006;Elektrische stimulatie van de blaas
225136007;voorbereiding huid;225136007;voorbereiding huid
229316007;cervicale tractie;229316007;cervicale tractie
229318008;lumbale tractie;229318008;lumbale tractie
229473007;schouder stretching;229473007;schouder stretching
230832004;injectie van antibiotica in de intracrani ë le subdurale ruimte;230832004;Injectie van antibiotica in de intracrani ë le subdurale ruimte
230897007;intracrani ë le aneurysma operatie;230897007;Intracrani ë le aneurysma operatie
231293005;intradermale infiltratie;231293005;intradermale infiltratie
231329004;peribulbaire infiltratie;231329004;peribulbaire infiltratie
231383001;lumbale intrathecale neurolyse;231383001;Lumbale intrathecale neurolyse
231390006;cervicale epidurale neurolyse;231390006;Cervicale epidurale neurolyse
231391005;thoracale epidurale neurolyse;231391005;Thoracale epidurale neurolyse
231597005;anterieure lamellaire reconstructie van het ooglid;231597005;Anterieure lamellaire reconstructie van het ooglid
231602003;retropunctal cautery;231602003;Retropunctal cautery
231604002;Lazy T - procedure;231604002;Lazy T - procedure
231708006;correctie van astigmatisme;231708006;Correctie van astigmatisme
231710008;keratomileusis;231710008;keratomileusis
231734003;trabeculoplastiek;231734003;trabeculoplastiek
231735002;chirurgische trabeculoplastiek;231735002;chirurgische trabeculoplastiek
231750006;pars plana lensectomie;231750006;Pars plana lensectomie
231766008;pneumatische retinopexie;231766008;pneumatische retinopexie
231777002;intravitreale tamponade;231777002;intravitreale tamponade
231787003;biopsie van letsel van chorioidea;231787003;Biopsie van letsel van chorioidea
232165002;excisie van poliep van uitwendige gehoorgang;232165002;Excisie van poliep van uitwendige gehoorgang
232484009;excisie van concha bullosa;232484009;Excisie van concha bullosa
232614009;biopsie van tracheostomie;232614009;Biopsie van tracheostomie
232628003;open biopsie van de long;232628003;Open biopsie van de long
232658009;dubbele longtransplantatie;232658009;Dubbele longtransplantatie
232679009;nasotracheale intubatie;232679009;nasotracheale intubatie
232704006;tracheobronchiale lavage;232704006;tracheobronchiale lavage
232819002;inspectie van ge ï mplanteerde aortaklep;232819002;Inspectie van ge ï mplanteerde aortaklep
232835009;ballondilatatie van ge ï mplanteerde aortaklep;232835009;Ballondilatatie van ge ï mplanteerde aortaklep
232878004;vervanging van ge ï mplanteerde pulmonaalklep;232878004;Vervanging van ge ï mplanteerde pulmonaalklep
