conceptId; Engelse term;Nl;Nl;Nl
31489003;Drainage of inner ear;Drainage van binnenoor;drainage van binnenoor;Drainage van binnenoor
31694007;Fenestration of intervertebral disc;Fenestration van tussenwervelschijf;fenestration van tussenwervelschijf;Fenestration van tussenwervelschijf
31738002;Jejunocecostomy for obesity;Jejunocecostomy voor obesitas;jejunocecostomy voor obesitas;Jejunocecostomy voor obesitas
31904001;Adrenalectomy;adrenalectomie;adrenalectomie;adrenalectomie
32238004;Empyemectomy;Empyemectomy;empyemectomy;Empyemectomy
32432000;Uterocentesis;Uterocentesis;uterocentesis;Uterocentesis
32578005;Biopsy of appendix;Biopsie van appendix;biopsie van appendix;Biopsie van appendix
32894008;Bone graft of patella;Bottransplantaat patella;bottransplantaat patella;Bottransplantaat patella
33756006;Partial adrenalectomy;gedeeltelijke adrenalectomie;gedeeltelijke adrenalectomie;gedeeltelijke adrenalectomie
34130000;Cholecystocecostomy;Cholecystocecostomy;cholecystocecostomy;Cholecystocecostomy
34945008;Angiocardiography;angiocardiografie;angiocardiografie;angiocardiografie
35212009;Excision of nipple lesion;Excisie van tepel laesie;excisie van tepel laesie;Excisie van tepel laesie
35219000;Biopsy of hypopharynx;Biopsie van hypofarynx;biopsie van hypofarynx;Biopsie van hypofarynx
35686005;Labyrinthotomy with cryosurgery, transcanal;Labyrinthotomy met cryochirurgie , transcanal;labyrinthotomy met cryochirurgie transcanal;Labyrinthotomy met cryochirurgie , transcanal
36253005;Suprapubic prostatectomy;suprapubische prostatectomie;suprapubische prostatectomie;suprapubische prostatectomie
36412004;Manipulation of thymus;Manipulatie van thymus;manipulatie van thymus;Manipulatie van thymus
36496002;Ureterocaliceal anastomosis;Ureterocaliceal anastomose;ureterocaliceal anastomose;Ureterocaliceal anastomose
37073001;Decompression of labyrinth;Decompressie van labyrint;decompressie van labyrint;Decompressie van labyrint
38018001;Fenestration of tympanic membrane;Fenestration van trommelvlies;fenestration van trommelvlies;Fenestration van trommelvlies
38102005;Cholecystectomy;cholecystectomie;cholecystectomie;Cholecystectomie
38497001;Enterolithotomy;Enterolithotomy;enterolithotomy;Enterolithotomy
38546007;Cardiocentesis;Cardiocentesis;cardiocentesis;Cardiocentesis
38616001;Thermosclerectomy;Thermosclerectomy;thermosclerectomy;Thermosclerectomy
39267002;Pericardiorrhaphy;Pericardiorrhaphy;pericardiorrhaphy;Pericardiorrhaphy
39667005;Amygdalohippocampotomy;Amygdalohippocampotomy;amygdalohippocampotomy;Amygdalohippocampotomy
40345006;Retinaculotomy;Retinaculotomy;retinaculotomy;Retinaculotomy
40701008;Echocardiography;echocardiografie;echocardiografie;Echocardiografie
40708002;Pupillotomy;Pupillotomy;pupillotomy;Pupillotomy
40995000;Pancreaticocystojejunostomy;Pancreaticocystojejunostomy;pancreaticocystojejunostomy;Pancreaticocystojejunostomy
41339005;Coronary angioplasty;coronaire angioplastiek;coronaire angioplastiek;coronaire angioplastiek
41360004;Nasotracheal aspiration;nasotracheale aspiratie;nasotracheale aspiratie;nasotracheale aspiratie
41371003;Perineal prostatectomy;perineale prostatectomie;perineale prostatectomie;perineale prostatectomie
42161006;Keratocentesis;Keratocentesis;keratocentesis;Keratocentesis
42238002;Proctoscopy;proctoscopie;proctoscopie;proctoscopie
42837001;Excision of aortic arch;Excisie van aortaboog;excisie van aortaboog;Excisie van aortaboog
42843004;Laparoscopic adrenalectomy;laparoscopische adrenalectomie;laparoscopische adrenalectomie;laparoscopische adrenalectomie
42980009;Excision of perianal tissue;Excisie van perianale weefsel;excisie van perianale weefsel;Excisie van perianale weefsel
43060002;Intravenous injection;intraveneuze injectie;intraveneuze injectie;intraveneuze injectie
43232006;Extrapleural pneumonectomy with empyemectomy;Extrapleurale pneumonectomie met empyemectomy;extrapleurale pneumonectomie met empyemectomy;Extrapleurale pneumonectomie met empyemectomy
44703001;Trabeculotomy ab externo;Trabeculotomy ab externo;trabeculotomy ab externo;Trabeculotomy ab externo
45052000;Abdominouterotomy;Abdominouterotomy;abdominouterotomy;Abdominouterotomy
45334006;Mediastinoscopy with biopsy;Mediastinoscopie met biopsie;mediastinoscopie met biopsie;Mediastinoscopie met biopsie
45595009;Laparoscopic cholecystectomy;laparoscopische cholecystectomie;laparoscopische cholecystectomie;laparoscopische cholecystectomie
45657005;Transmetacarpal amputation, reamputation;Transmetacarpal amputatie , reamputation;transmetacarpal amputatie reamputation;Transmetacarpal amputatie , reamputation
45919008;Excision of secondary membrane;Excisie van secundaire membraan;excisie van secundaire membraan;Excisie van secundaire membraan
47020004;Ventriculoperitoneal shunt;ventriculoperitoneale shunt;ventriculoperitoneale shunt;ventriculoperitoneale shunt
48127001;Osteoclasis of fibula;Osteoclasis van fibula;osteoclasis van fibula;Osteoclasis van fibula
48507008;Iridesis;Iridesis;iridesis;Iridesis
48537004;Bypass graft;bypass;bypass;bypass
48783008;Choledochopancreatostomy;Choledochopancreatostomy;choledochopancreatostomy;Choledochopancreatostomy
49187005;Endarterectomy of aorta;Endarterectomie van aorta;endarterectomie van aorta;Endarterectomie van aorta
49438003;Appendectomy with drainage;Appendectomie met drainage;appendectomie met drainage;Appendectomie met drainage
49586007;Appendicocecostomy;Appendicocecostomy;appendicocecostomy;Appendicocecostomy
49676001;Closed mitral valve commissurotomy;Gesloten mitralisklep commissurotomie;gesloten mitralisklep commissurotomie;Gesloten mitralisklep commissurotomie
49924002;Perineal colostomy;perineale colostomie;perineale colostomie;perineale colostomie
51431001;Bone graft of femur;Bottransplantaat femur;bottransplantaat femur;Bottransplantaat femur
51968005;Sesamoidectomy;Sesamoidectomy;sesamoidectomy;Sesamoidectomy
52889002;Endocervical curettage;endocervicale curettage;endocervicale curettage;endocervicale curettage
52998000;Pantalar arthrodesis;Pantalar artrodese;pantalar artrodese;Pantalar artrodese
53087005;Intrathoracic esophagocolostomy;intrathoracale esophagocolostomy;intrathoracale esophagocolostomy;intrathoracale esophagocolostomy
53145005;Lymphangiotomy;Lymphangiotomy;lymphangiotomy;Lymphangiotomy
53251008;Incudectomy with stapedectomy;Incudectomy met stapedectomie;incudectomy met stapedectomie;Incudectomy met stapedectomie
54033009;Cystourethroplasty;Cystourethroplasty;cystourethroplasty;Cystourethroplasty
54636000;Cardiomyopexy;Cardiomyopexy;cardiomyopexy;Cardiomyopexy
54750003;Pyelorrhaphy;Pyelorrhaphy;pyelorrhaphy;Pyelorrhaphy
54956002;Gastrostomy;gastrostomie;gastrostomie;gastrostomie
56153009;Reconstruction of radial head;Reconstructie van radiuskop;reconstructie van radiuskop;Reconstructie van radiuskop
56433002;Thyroidorrhaphy;Thyroidorrhaphy;thyroidorrhaphy;Thyroidorrhaphy
56520006;Excision of cardioma;Excisie van cardioma;excisie van cardioma;Excisie van cardioma
56833008;Office endometrial curettage;Office endometrium curettage;office endometrium curettage;Office endometrium curettage
57271003;Extraperitoneal cesarean section;Extraperitoneale keizersnede;extraperitoneale keizersnede;Extraperitoneale keizersnede
57551006;Iridotasis;Iridotasis;iridotasis;Iridotasis
57561004;Osteotomy of calcaneus;Osteotomie van calcaneus;osteotomie van calcaneus;Osteotomie van calcaneus
58090001;Pancreaticocystoenterostomy;Pancreaticocystoenterostomy;pancreaticocystoenterostomy;Pancreaticocystoenterostomy
58515002;Cryoleucotomy;Cryoleucotomy;cryoleucotomy;Cryoleucotomy
58889009;Laserpexy;Laserpexy;laserpexy;Laserpexy
58985002;Cauterization of vulva;Cauterisatie van de vulva;cauterisatie van de vulva;Cauterisatie van de vulva
59230000;Removal of valve of vas deferens;Verwijdering van klep vas deferens;verwijdering van klep vas deferens;Verwijdering van klep vas deferens
59912004;Pancreaticoduodenostomy;Pancreaticoduodenostomy;pancreaticoduodenostomy;Pancreaticoduodenostomy
60041003;Laryngopharyngectomy;laryngofaryngectomie;laryngofaryngectomie;laryngofaryngectomie
60177007;Mechanical vitrectomy;mechanische vitrectomie;mechanische vitrectomie;mechanische vitrectomie
60465006;Permanent gastrostomy;permanente gastrostomie;permanente gastrostomie;permanente gastrostomie
60809008;Biopsy of clitoris;Biopsie van clitoris;biopsie van clitoris;Biopsie van clitoris
60892005;Jejunojejunostomy;Jejunojejunostomy;jejunojejunostomy;Jejunojejunostomy
61151005;Cholecystopancreatostomy;Cholecystopancreatostomy;cholecystopancreatostomy;Cholecystopancreatostomy
61303007;Open tenotomy of iliopsoas;Open tenotomie van iliopsoas;open tenotomie van iliopsoas;Open tenotomie van iliopsoas
61328004;Gastroduodenoscopy;gastroduodenoscopie;gastroduodenoscopie;gastroduodenoscopie
61732007;Trephine sclerectomy;trephine sclerectomy;trephine sclerectomy;trephine sclerectomy
61735009;Hepatoduodenostomy;Hepatoduodenostomy;hepatoduodenostomy;Hepatoduodenostomy
61829000;Curettage of muscle;Curettage spier;curettage , spier;Curettage spier
62409009;Foraminotomy;foraminotomie;foraminotomie;foraminotomie
62726004;Fetal clavicotomy;foetale clavicotomy;foetale clavicotomy;foetale clavicotomy
62843007;Manipulation of lung;Manipulatie van long;manipulatie van long;Manipulatie van long
63104000;Osteoclasis of patella;Osteoclasis van patella;osteoclasis van patella;Osteoclasis van patella
63296004;Excision of aorta;Excisie van aorta;excisie van aorta;Excisie van aorta
63313009;Lumbar sympathetic ganglionectomy;Lumbale sympathische ganglionectomy;lumbale sympathische ganglionectomy;Lumbale sympathische ganglionectomy
63389004;Drainage of bursa;Drainage van bursa;drainage van bursa;Drainage van bursa
63699002;Renoportal anastomosis;Renoportal anastomose;renoportal anastomose;Renoportal anastomose
63933000;Ventriculostomy;ventriculostomie;ventriculostomie;ventriculostomie
64063003;Radical cystectomy;radicale cystectomie;radicale cystectomie;radicale cystectomie
64562004;Hysterotrachelorrhaphy;Hysterotrachelorrhaphy;hysterotrachelorrhaphy;Hysterotrachelorrhaphy
64608008;Excision of ascending aorta;Excisie van aorta ascendens;excisie van aorta ascendens;Excisie van aorta ascendens
64656002;Ventriculomyocardiotomy;Ventriculomyocardiotomy;ventriculomyocardiotomy;Ventriculomyocardiotomy
64663002;Prostatic massage;prostaat massage;prostaat massage;prostaat massage
65310005;Vagotomy;vagotomie;vagotomie;vagotomie
66226002;Extraction of after cataract with capsulotomy;Extractie van na cataract met capsulotomie;extractie van na cataract met capsulotomie;Extractie van na cataract met capsulotomie
66478002;Total laryngectomy;totale laryngectomie;totale laryngectomie;totale laryngectomie
66542005;Zonulolysis with lens extraction;Zonulolysis met lensextractie;zonulolysis met lensextractie;Zonulolysis met lensextractie
66633009;Nephrocystanastomosis;Nephrocystanastomosis;nephrocystanastomosis;Nephrocystanastomosis
66943005;Ureterectomy with bladder cuff;Ureterectomie met blaas cuff;ureterectomie met blaas cuff;Ureterectomie met blaas cuff
67212000;Ileocystoplasty;Ileocystoplasty;ileocystoplasty;Ileocystoplasty
67354000;Removal of lumbosubarachnoid shunt;Verwijdering van lumbosubarachnoid shunt;verwijdering van lumbosubarachnoid shunt;Verwijdering van lumbosubarachnoid shunt
67598001;Retropubic prostatectomy;retropubische prostatectomie;retropubische prostatectomie;retropubische prostatectomie
67706006;Pancreatolithotomy;Pancreatolithotomy;pancreatolithotomy;Pancreatolithotomy
68011001;Clitoridotomy;Clitoridotomy;clitoridotomy;Clitoridotomy
68275008;Temporary suture of anus;Tijdelijke hechting van de anus;tijdelijke hechting van de anus;Tijdelijke hechting van de anus
68287001;Closed atrial septostomy;Gesloten atriale septostomie;gesloten atriale septostomie;Gesloten atriale septostomie
69130005;Stapedectomy;stapedectomie;stapedectomie;stapedectomie
69171004;Excision of radial head;Excisie van radiuskop;excisie van radiuskop;Excisie van radiuskop
69179002;Percutaneous arterial cutdown;Percutane arteri ë le cutdown;percutane arteri ë le cutdown;Percutane arteri ë le cutdown
70031002;Oophorostomy;Oophorostomy;oophorostomy;Oophorostomy
70172002;Ileoanal anastomosis;ileoanale anastomose;ileoanale anastomose;ileoanale anastomose
70183006;Subcutaneous mastectomy;subcutane mastectomie;subcutane mastectomie;subcutane mastectomie
70627009;Myocardial resection;myocard resectie;myocard resectie;myocard resectie
71827004;Choledochojejunostomy;choledochojejunostomie;choledochojejunostomie;choledochojejunostomie
71861002;Implantation;implantatie;implantatie;Implantatie
71861002;Implantation;implantatie;implantatie;Implantatie
71861002;Implantation;implantatie;implantatie;Implantatie
72091008;Myocutaneoosseous transplantation;Myocutaneoosseous transplantatie;myocutaneoosseous transplantatie;Myocutaneoosseous transplantatie
72193009;Cardiosplenopexy;Cardiosplenopexy;cardiosplenopexy;Cardiosplenopexy
72577009;Excision of nipple;Excisie van tepel;excisie van tepel;Excisie van tepel
73021008;Pyeloileocutaneous anastomosis;Pyeloileocutaneous anastomose;pyeloileocutaneous anastomose;Pyeloileocutaneous anastomose
73570001;Dupuytren shoulder disarticulation;Dupuytren schouder exarticulatie;dupuytren schouder exarticulatie;Dupuytren schouder exarticulatie
74854002;Cauterization of anus;Cauterisatie van de anus;cauterisatie van de anus;Cauterisatie van de anus
74878007;Bronchotracheal anastomosis;Bronchotracheal anastomose;bronchotracheal anastomose;Bronchotracheal anastomose
75404005;Epiploectomy;Epiploectomy;epiploectomy;Epiploectomy
75626002;Pallidoamygdalotomy;Pallidoamygdalotomy;pallidoamygdalotomy;Pallidoamygdalotomy
75732000;Vitrectomy;vitrectomie;vitrectomie;Vitrectomie
75905004;Sigmoidoproctostomy;Sigmoidoproctostomy;sigmoidoproctostomy;Sigmoidoproctostomy
76292006;Arthroplasty of carpals;Artroplastiek van carpals;artroplastiek van carpals;Artroplastiek van carpals
76611008;Atherectomy by laser;Atherectomie door laser;atherectomie door laser;Atherectomie door laser
76949005;Gonioscopy;gonioscopie;gonioscopie;gonioscopie
76967003;Ileopancreatostomy;Ileopancreatostomy;ileopancreatostomy;Ileopancreatostomy
76981001;Discogram;discogram;discogram;discogram
77539008;Pancreaticocystoduodenostomy;Pancreaticocystoduodenostomy;pancreaticocystoduodenostomy;Pancreaticocystoduodenostomy
77665000;Ventrohysteropexy;Ventrohysteropexy;ventrohysteropexy;Ventrohysteropexy
77914005;Aspiration of tendon sheath;Aspiratie van peesschede;aspiratie van peesschede;Aspiratie van peesschede
78121007;Direct laryngoscopy;directe laryngoscopie;directe laryngoscopie;directe laryngoscopie
78285005;Pleuropexy;Pleuropexy;pleuropexy;Pleuropexy
78384007;Omentectomy;omentectomie;omentectomie;omentectomie
78432000;Intravenous anesthesia;intraveneuze anesthesie;intraveneuze anesthesie;intraveneuze anesthesie
78611003;Z-plasty of epicanthus;Z - plasty van epicanthus;z - plasty van epicanthus;Z - plasty van epicanthus
78646006;Ileoentectropy;Ileoentectropy;ileoentectropy;Ileoentectropy
79170004;Ileoduodenotomy;Ileoduodenotomy;ileoduodenotomy;Ileoduodenotomy
79583008;Intubation for gastric decompression;Intubatie voor maag decompressie;intubatie voor maag decompressie;Intubatie voor maag decompressie
79733001;Amputation above-knee;Amputatie boven de knie;amputatie boven de knie;Amputatie boven de knie
79950009;Lymphangiorrhaphy;Lymphangiorrhaphy;lymphangiorrhaphy;Lymphangiorrhaphy
80021004;Clavicotomy;Clavicotomy;clavicotomy;Clavicotomy
80267006;Duodenoscopy;duodenoscopie;duodenoscopie;duodenoscopie
80772001;Hepatogastrostomy;Hepatogastrostomy;hepatogastrostomy;Hepatogastrostomy
80945002;Cystoproctostomy;Cystoproctostomy;cystoproctostomy;Cystoproctostomy
81240005;Bunionectomy with arthrodesis;Bunionectomy met artrodese;bunionectomy met artrodese;Bunionectomy met artrodese
81404005;Transcanal tympanolysis;Transcanal tympanolysis;transcanal tympanolysis;Transcanal tympanolysis
81516001;Partial nephrectomy;parti ë le nefrectomie;parti ë le nefrectomie;parti ë le nefrectomie
81849003;Pallidoansotomy;Pallidoansotomy;pallidoansotomy;Pallidoansotomy
81870009;Parotidectomy;parotidectomie;parotidectomie;parotidectomie
82254000;Refixation;Refixation;refixation;Refixation
82269004;Cauterization of fallopian tube;Cauterisatie van de eileider;cauterisatie van de eileider;Cauterisatie van de eileider
82736000;Trabeculotomy;Trabeculotomy;trabeculotomy;Trabeculotomy
82941002;Nasopharyngoscopy;Nasopharyngoscopy;nasopharyngoscopy;Nasopharyngoscopy
83065008;Metacarpocarpal arthrodesis;Metacarpocarpal artrodese;metacarpocarpal artrodese;Metacarpocarpal artrodese
83101004;Laryngoesophagectomy;Laryngoesophagectomy;laryngoesophagectomy;Laryngoesophagectomy
83328003;Biopsy of umbilicus;Biopsie van navel;biopsie van navel;Biopsie van navel
83613005;Cardiopericardiopexy;Cardiopericardiopexy;cardiopericardiopexy;Cardiopericardiopexy
83868006;Iridocapsulectomy;Iridocapsulectomy;iridocapsulectomy;Iridocapsulectomy
84041000;Bronchoscopy with bronchial dilation;Bronchoscopie met bronchiale dilatatie;bronchoscopie met bronchiale dilatatie;Bronchoscopie met bronchiale dilatatie
84510006;Temporary gastrostomy;tijdelijke gastrostomie;tijdelijke gastrostomie;tijdelijke gastrostomie
84985001;Biopsy of perineum;Biopsie van perineum;biopsie van perineum;Biopsie van perineum
85472003;Mesenteriopexy;Mesenteriopexy;mesenteriopexy;Mesenteriopexy
85548006;Episiotomy;episiotomie;episiotomie;Episiotomie
86273004;Biopsy;biopsie;biopsie;Biopsie
86481000;Laparotomy;laparotomie;laparotomie;Laparotomie
87060004;Pallidotomy;pallidotomie;pallidotomie;pallidotomie
87150006;Enterostomy;enterostomie;enterostomie;enterostomie
87677003;Resection of rectum;Resectie van rectum;resectie van rectum;Resectie van rectum
88908007;Rectal massage for levator spasm;Rectale massage voor levator spasme;rectale massage voor levator spasme;Rectale massage voor levator spasme
88916003;Anoscopy;anoscopie;anoscopie;anoscopie
89053004;Vaginal cesarean section;Vaginale keizersnede;vaginale keizersnede;Vaginale keizersnede
89079008;Venotripsy;Venotripsy;venotripsy;Venotripsy
89770003;Anal sphincterotomy;anale sfincterotomie;anale sfincterotomie;anale sfincterotomie
89915007;Malleostapediopexy;Malleostapediopexy;malleostapediopexy;Malleostapediopexy
90164007;Trabeculodialysis;Trabeculodialysis;trabeculodialysis;Trabeculodialysis
90976006;Endoscopy of jejunum;Endoscopie van jejunum;endoscopie van jejunum;Endoscopie van jejunum
91625001;Selective vagotomy;selectieve vagotomie;selectieve vagotomie;selectieve vagotomie
103723005;Angioscopy;angioscopie;angioscopie;angioscopie
108152001;Lens incision;lens incisie;lens incisie;lens incisie
108180004;Mediastinum excision;mediastinum excisie;mediastinum excisie;mediastinum excisie
112719001;Xiphoidectomy;Xiphoidectomy;xiphoidectomy;Xiphoidectomy
112737000;Biopsy of radius AND ulna;Biopsie van radius en ulna;biopsie van radius en ulna;Biopsie van radius en ulna
112963003;Aspiration of cataract;Aspiratie van cataract;aspiratie van cataract;Aspiratie van cataract
112976009;Excision of inner ear;Excisie van binnenoor;excisie van binnenoor;Excisie van binnenoor
115959002;Stereotactic radiosurgery;stereotactische radiochirurgie;stereotactische radiochirurgie;stereotactische radiochirurgie
116140006;Total hysterectomy;totale hysterectomie;totale hysterectomie;totale hysterectomie
116141005;Abdominal hysterectomy;abdominale hysterectomie;abdominale hysterectomie;abdominale hysterectomie
116142003;Radical hysterectomy;radicale hysterectomie;radicale hysterectomie;radicale hysterectomie
116234005;Open biopsy of mediastinum;Open biopsie van mediastinum;open biopsie van mediastinum;Open biopsie van mediastinum
118659004;Tenosuspension;Tenosuspension;tenosuspension;Tenosuspension
119256007;Carinal resection;Carinal resectie;carinal resectie;Carinal resectie
119283008;Open biopsy;Open biopsie;open biopsie;Open biopsie
119284002;Biopsy of mediastinum;Biopsie van mediastinum;biopsie van mediastinum;Biopsie van mediastinum
119608007;Pelvis incision;bekken incisie;bekken incisie;bekken incisie
119613006;Pelvis closure;bekken sluiting;bekken sluiting;bekken sluiting
119644002;Shoulder manipulation;schouder manipulatie;schouder manipulatie;schouder manipulatie
119654003;Hand reconstruction;Hand reconstructie;hand reconstructie;Hand reconstructie
119665008;Hand manipulation;Hand manipulatie;hand manipulatie;Hand manipulatie
119711004;Nose closure;neus sluiting;neus sluiting;neus sluiting
119733002;Bronchus implantation;bronchus implantatie;bronchus implantatie;bronchus implantatie
119739003;Trachea reconstruction;trachea reconstructie;trachea reconstructie;trachea reconstructie
119750000;Pleura injection;pleura injectie;pleura injectie;pleura injectie
119752008;Pleura closure;pleura sluiting;pleura sluiting;pleura sluiting
119757002;Pleura transplantation;pleura transplantatie;pleura transplantatie;pleura transplantatie
119776000;Aorta closure;aorta sluiting;aorta sluiting;aorta sluiting
119777009;Aorta reconstruction;aorta reconstructie;aorta reconstructie;aorta reconstructie
119860000;Lip implantation;lip implantatie;lip implantatie;lip implantatie
119864009;Mouth reconstruction;mond reconstructie;mond reconstructie;mond reconstructie
119881000;Stomach implantation;maag implantatie;maag implantatie;maag implantatie
119882007;Stomach injection;maag injectie;maag injectie;maag injectie
119883002;Stomach closure;maag sluiting;maag sluiting;maag sluiting
119884008;Stomach reconstruction;maag reconstructie;maag reconstructie;maag reconstructie
119896001;Rectum implantation;rectum implantatie;rectum implantatie;rectum implantatie
119897005;Anus implantation;anus implantatie;anus implantatie;anus implantatie
119898000;Rectum injection;rectum injectie;rectum injectie;rectum injectie
119899008;Anus injection;anus injectie;anus injectie;anus injectie
119901004;Rectum closure;rectum sluiting;rectum sluiting;rectum sluiting
119903001;Rectum reconstruction;rectum reconstructie;rectum reconstructie;rectum reconstructie
119906009;Anus transplantation;anus transplantatie;anus transplantatie;anus transplantatie
119912004;Liver implantation;lever implantatie;lever implantatie;lever implantatie
119913009;Liver closure;lever sluiting;lever sluiting;lever sluiting
119914003;Liver reconstruction;lever reconstructie;lever reconstructie;lever reconstructie
119919008;Gallbladder implantation;galblaas implantatie;galblaas implantatie;galblaas implantatie
