snomed b id;snomed b term;thot id;thot term
2564002;creatie van lumbale shunt met laminectomie;2564002;creatie van lumbale shunt met laminectomie
2566000;osteoplastie van de radius;2566000;osteoplastie van de radius
2567009;excisie van de rib via transaxillaire toegang;2567009;excisie van de rib via transaxillaire toegang
2580007;transplantatie van haarfollikels op de hoofdhuid;2580007;transplantatie van haarfollikels op de hoofdhuid
2601001;verwijderen van een botluik van de schedel;2601001;verwijderen van een botluik van de schedel
2614000;verwijderen van ligatuur van eileider;2614000;verwijderen van ligatuur van eileider
2632000;incisie en drainage van ge ï nfecteede bursa van bovenarm;2632000;incisie en drainage van ge ? nfecteede bursa van bovenarm
2644002;cauterizeren van de lever;2644002;cauterizeren van de lever
2659008;hechting van ligament van het onderste lidmaat;2659008;hechting van ligament van het onderste lidmaat
2690005;NMR bekken;2690005;bekken mri
2716009;huid - vet - fascia greffe;2716009;huid - vet - fascia greffe
2732007;recessie van pees van de hand;2732007;recessie van pees van de hand
2737001;infratentori ë le craniotomie;2737001;infratentori ë le craniotomie
2743004;chirurgische endoscopie van het ileum;2743004;chirurgische endoscopie van het ileum
2745006;omentopexie;2745006;omentopexie
2752008;incudopexie;2752008;incudopexie
2794006;cauterisatie van de navel;2794006;cauterisatie van de navel
2813008;nefroureterocystectomie;2813008;nefroureterocystectomie
2851008;arthrotomie van het sternoclaviculair gewicht voor synovectomie;2851008;arthrotomie van het sternoclaviculair gewicht voor synovectomie
2854000;bursectomie van de hand;2854000;bursectomie van de hand
2857007;complete pinealectomie;2857007;complete pinealectomie
2875008;elleboogprothese;2875008;elleboogprothese
2891006;parti ë le arthroscopische synovectomie van de elleboog;2891006;parti ë le arthroscopische synovectomie van de elleboog
2908005;cryotherapie van haemorroiden;2908005;cryochirurgie van aambeien
2914003;anterieure sclerotomie;2914003;anterieure sclerotomie
2915002;hechting van kapsel van het enkelgewricht;2915002;hechting van kapsel van het enkelgewricht
2960001;herstel van cervicale fistel;2960001;herstel van cervicale fistel
2968008;craniectomie met behandeling van een penetrerende wonde;2968008;craniectomie met behandeling van penetrerende wonde
2970004;metacarpaalverlenging en tranfer van een lokale flap;2970004;metacarpaalverlenging en tranfer van een lokale flap
2971000;sluiten van uretrovaginale fistel;2971000;sluiten van uretrovaginale fistel
2977001;trombectomie van vene van onderste lidmaat;2977001;trombectomie van vene van onderste lidmaat
3001009;lobectomie met sleeveresectie van bronchus;3001009;lobectomie met sleeveresectie van bronchus
3010001;verwijderen van silicone buisjes uit oor;3010001;verwijderen van silicone buisjes uit oor
3026000;tibiotalaire arthrodese;3026000;tibiotalaire arthrodese
3061006;volledige excisie van nagel en nagelmatrix;3061006;volledige excisie van nagel en nagelmatrix
3063009;gastroscopie door artifici ë le stoma;3063009;gastroscopie via stoma
3078002;katheter embolectomie van de arteria renalis via abdominale incisie;3078002;katheter embolectomie van arteria renalis via abdominale incisie
3090000;aneurysmectomie met greffe vervanging van arterie van onderste lidmaat;3090000;aneurysmectomie met greffe vervanging van arterie van onderste lidmaat
3165004;spoeling van handspier;3165004;spoeling van handspier
3177009;interne obstetrische kering;3177009;interne obstetrische kering
3183007;sluiten van colostomie;3183007;colostomie sluiting
3186004;excisie van klieren van skene;3186004;excisie van klieren van skene
3190002;epilatie met tang;3190002;epilatie met tang
3241008;correctie chordae met mobilisatie urethra;3241008;correctie chordae met mobilisatie urethra
3249005;chirurgische aanmaak van bleb;3249005;chirurgische aanmaak van bleb
3258003;cerebrale angiografie;3258003;cerebrale arteriografie
3278006;adhesiolyse van bursa van de hand;3278006;adhesiolyse van bursa van de hand
3287002;cholecysto - gastrostomie;3287002;cholecysto - gastrostomie
3326006;excise van bunionette;3326006;excise van bunionette
3360004;galweganastomose;3360004;galblaasanastomose
3399007;reduceren van omentum volvulus;3399007;reduceren van omentum volvulus
3418002;chondrectomie van de wervelkolom;3418002;discectomie
3448004;fixatie contralaterale testis;3448004;fixatie contralaterale testis
3498003;hypofysechirurgie via transsfeno ï dale toegang;3498003;hypofysechirurgie via transsfeno ï dale toegang
3499006;aspiratie van vitreum met vervanging;3499006;aspiratie van vitreum met vervanging
3515001;vervanging van cardiale pulsgenerator;3515001;vervanging van cardiale pulsgenerator
3546002;aortocoronaire bypass met vena saphena;3546002;aortocoronaire bypass met vena saphena
3559005;inbrengen ureterstent via ureterotomie;3559005;inbrengen ureterstent via ureterotomie
3562008;Rodne Smith operatie , radicale subtotale pancreatectomie;3562008;rodne smith operatie , radicale subtotale pancreatectomie
3564009;verwijderen van vreemd voorwerp uit eileider;3564009;verwijderen van vreemd voorwerp uit eileider
3575008;herstel van fascia met fasciagreffe;3575008;herstel van fascia met fasciagreffe
3605001;reductie ciliair lichaam;3605001;reductie ciliair lichaam
3654008;lingulectomie van long;3654008;lingulectomie van long
3664004;herstel van sclerale fistel;3664004;herstel van sclerale fistel
3690001;shunt van de linker arteria subclavia naar de aorta descendens , operatie van Blalock - Park;3690001;shunt van de linker arteria subclavia naar de aorta descendens , operatie van blalock - park
3713005;losmaken voor de quervain ' s tenosynovitis van de hand;3713005;losmaken voor de quervain ' s tenosynovitis van hand
3734003;split thickness huidtransplantatie;3734003;split thickness huidtransplantatie
3748003;biopsie van het perirenaal weefsel;3748003;biopsie van het perirenaal weefsel
3749006;reductie van een gesloten ischiumfractuur;3749006;reductie van een gesloten ischiumfractuur
3758004;trombectomie met katheter van de arteria subclavia via nek incisie;3758004;trombectomie met katheter van arteria subclavia via nek incisie
3786007;excisie van letsel van farynx;3786007;excisie van letsel van farynx
3796003;excisie van prolaberende mucosa ter hoogte van jejunostomie;3796003;excisie van prolaberende mucosa ter hoogte van jejunostomie
3799005;Rx adeno ï ds;3799005;rx adeno ï ds
3819004;embolisatie van thoracale arterie;3819004;embolisatie van thoracale arterie
3826004;drainage abces van ooglid;3826004;ooglidabcesdrainage
3828003;open biopsie van thoracaal wervellichaam;3828003;open biopsie van thoracaal wervellichaam
3843001;verwijderen van vreemd voorwerp van fascia;3843001;verwijderen van vreemd voorwerp van fascia
3858009;echografie schildklier , A - mode;3858009;echografie schildklier , a - mode
3861005;aneurysmectomie met anastomose van arterie van onderste lidmaat;3861005;aneurysmectomie met anastomose van arterie van onderste lidmaat
3864002;excisionele biopsie van het scrotum;3864002;excisionele biopsie van het scrotum
3880007;excisie van letsel ter hoogte van de fibula;3880007;excisie van de fibula
3887005;afbinden van wrat;3887005;afbinden van wrat
3889008;hechten van de lip;3889008;hechten van de lip
3911000;spiertransplantatie;3911000;spiertransplantatie
3917001;excisiebiopsie van een falanx van de voet;3917001;excisiebiopsie van een falanx van de voet
3938007;cerclage voor retinale reappositie;3938007;cerclage voor retinale reappositie
3942005;cystopexie;3942005;cystopexie
3957003;arteriectomie van thoracoabdominale aorta;3957003;arteriectomie van thoracoabdominale aorta
3968003;facetectomie van wervel;3968003;facetectomie van wervel
3980006;subtotale oesofagectomie;3980006;subtotale oesofagectomie
4027001;implantatie electrostimulator in n phrenicus;4027001;implantatie electrostimulator in n phrenicus
4036002;uitgebreid arthroscopisch debridement van de elleboog;4036002;uitgebreid arthroscopisch debridement van de elleboog
4044002;definitieve colostomie;4044002;permanente colostomie
4045001;ventriculaire drainage via incisie;4045001;ventriculaire drainage via incisie
4068005;verwijderen en vervangen van ventriculair reservoir;4068005;verwijderen en vervangen van ventriculair reservoir
4090005;vervanging van transveneuze atriale en ventriculaire pacemaker leads;4090005;vervanging van transveneuze atriale en ventriculaire pacemaker leads
4101004;revisie van een lumbo - externe drainage;4101004;revisie van een lumbo - externe drainage
4119008;intracraniale flebectomie met anastomosis;4119008;intracraniale flebectomie met anastomosis
4176005;Operatie van Fothergill voor baarmoeder;4176005;operatie van fothergill voor baarmoeder
4214007;intracardiale injectie voor cardiale resuscitatie;4214007;intracardiale injectie voor cardiale resuscitatie
4252008;aneurysmectomie met vervanging door interpositiegreffe;4252008;aneurysmectomie met vervanging door interpositiegreffe
4263006;biopsie van oppervlakkig zachtweefsel van de elleboog regio;4263006;biopsie van oppervlakkig zachtweefsel van de elleboog regio
4285000;insertie van een botstimulator in het femur;4285000;insertie van een botstimulator in het femur
4293000;open chirurgische reductie van darm intussusceptie;4293000;open chirurgische reductie van darm intussusceptie
4304000;excisie tricuspiedklepblad;4304000;excisie tricuspiedklepblad
4321009;bilaterale angiografie van het been;4321009;bilaterale angiografie van het been
4323007;destructie van letsel van de sclera;4323007;destructie van letsel van de sclera
4336007;Lloyd - Davies abdomino - perineale resectie;4336007;lloyd - davies abdomino - perineale resectie
4339000;sluiten van een naso - labiale fistel;4339000;sluiten van een naso - labiale fistel
4341004;volledige submucosale resectie van de neusschelp;4341004;volledige submucosale resectie van de neusschelp
4344007;cryopexie;4344007;cryopexie
4350002;verwijderen van cornea implant;4350002;verwijderen van cornea implant
4363008;endoscopische brushing van trachea;4363008;endoscopische brushing van trachea
4365001;herstel;4365001;herstel
4387005;valvuloplastie pulmonalisklep in totaal herstel tetralogie van fallot;4387005;valvuloplastie pulmonalisklep in totaal herstel tetralogie van fallot
4388000;herstel van spleno - colische fistel;4388000;herstel van spleno - colische fistel
4407008;insnijden canaliculus voor intubatie;4407008;insnijden canaliculus voor intubatie
4411002;verwijderen van apparaat uit vrouwelijke genitale tractus;4411002;verwijderen van apparaat uit vrouwelijke genitale tractus
4420006;incisie en drainage van parafaryngeaal abces , externe benadering;4420006;incisie en drainage van parafaryngeaal abces , externa toegang
4438009;venografie van vena cava;4438009;venografie van vena cava
4443002;decorticatie van ovarium;4443002;decorticatie van ovarium
4450003;Plaatsen van Kirschner draad;4450003;plaatsen van kirschner draad
4457000;Insertie vaginale dilatator;4457000;insertie vaginale dilatator
4466001;exploratie van arterie van bovenste lidmaat;4466001;exploratie van arterie van bovenste lidmaat
4467005;excisie van diepe intramusculaire tumor van de enkelstreek;4467005;excisie van van diepe intramusculaire
4489009;neurolyse van n trigeminus ( nV );4489009;neurolyse van n trigeminus ( nv )
4503005;verwijderen van scleraal vreemd voorwerp zonder magneet;4503005;verwijderen van scleraal vreemd voorwerp zonder magneet
4505003;tenolyse van een flexorpees van de onderarm;4505003;adhesiolyse van flexorpees van de onderarm
4507006;fasciotomie van het flexor - en extensorcompartiment van de pols;4507006;decompressie fasciotomie van de pols het flexor - en
4533003;ligatie van arterie van onderste lidmaat;4533003;ligatie van arterie van onderste lidmaat
4535005;insnijden van pelvi - rectaal weefsel;4535005;insnijden van pelvi - rectaal weefsel
4542005;gesloten reductie vaneen fractuur van de voet;4542005;gesloten reductie van fractuur
4558008;anterior resectie van het rectum;4558008;anterior resectie van rectum
4570007;chemopallidectomie;4570007;chemopallidectomie
4579008;aanleggen ventriculoatriale shunt;4579008;aanleggen ventriculoatriale shunt
4581005;pupilreconstructie;4581005;pupilreconstructie
4585001;decompressie van handpees;4585001;decompressie van handpees
4587009;epifysiodese van distale radius;4587009;epifysiodese van distale radius
4626009;take - down van arteri ë le anastomose;4626009;take - down van arteri ë le anastomose
4640005;sterilisatie door afbinding eileiders via abdominale weg;4640005;sterilisatie door afbinding eileiders via abdominale weg
4642002;verwijderen opblaasbare penisprothese met pomp , reservoir en cilinders;4642002;verwijderen opblaasbare penisprothese met pomp , reservoir en cilinders
4671001;excisie van letsel van sinus sfeno ï dalis;4671001;excisie van letsel van sinus sfeno ï dalis
4692001;transplantatie van arterie van bovenste lidmaat;4692001;transplantatie van arterie van bovenste lidmaat
4707009;partiele excisie van calcaneus;4707009;partiele excisie van calcaneus
4734007;irrigatie van huid wonde door catheter / wondspoeling;4734007;irrigatie van huid wonde door catheter / wondspoeling
4758006;incudostapediopexie;4758006;incudostapediopexie
4770005;colporraphia anterior voor herstel urethrocoele;4770005;colporraphia anterior voor herstel urethrocoele
4820000;incisie van het labiale frenulum;4820000;incisie van het labiale frenulum
4829004;excisie van de dunnedarm voor interpositie;4829004;excisie van de dunnedarm voor interpositie
4849008;biopsie van het ovarium;4849008;biopsie eierstok
4862007;revisie van colonanastomose;4862007;dikkedarmanastomose bloeding
4891005;proctostomie;4891005;proctostomie
4895001;constructie van een sigmoiedblaas;4895001;constructie van een sigmoiedblaas
4929000;lokale perfusie van de nier;4929000;lokale perfusie van de nier
4930005;herstel van een thoraco - gastrische fistel;4930005;herstel van een thoraco - gastrische fistel
4957007;cervicale arthrodese omwille van pseudarthrose;4957007;cervicale arthrodese omwille van pseudarthrose
4987001;osteoplastie van de schedel met botgreffe;4987001;osteoplastie van de schedel met botgreffe
4992004;linker hartscatheterisatie , retrograde percutaan;4992004;linker hartscatheterisatie , retrograde percutaan
5019003;directe laryngoscopie met bioptiename;5019003;directe laryngoscopie met bioptiename
5057003;radicale orbitomaxillectomie;5057003;radicale orbitomaxillectomie
5119000;epiglottidectomy;5119000;epiglottidectomie
5121005;wigosteotomie van het bekken;5121005;wigosteotomie van het bekken
5130002;extractie van primair membraneus cataract door discissie;5130002;extractie van primair membraneus cataract door discissie
5131003;Rx borstkast;5131003;rx borstkast
5147001;excisie van letsel ter hoogte van de enkel;5147001;excisie van letsel ter hoogte van de enkel
5151004;manuele reductie van hemorro î den;5151004;manuele reductie van hemorro ï den
5162004;excisie decubitus ulcus;5162004;excisie decubitus ulcus
5176003;tromboendarteri ë ctomie met greffe van de arteria renalis;5176003;tromboendarteri ë ctomie met greffe van de arteria renalis
5184004;osteotomie van de femurschaft met fixatie;5184004;osteotomie van de femurschaft met fixatie
5186002;arthrotomie van glenohumeraalgewricht voor synovectomie;5186002;arthrotomie van glenohumeraalgewricht voor synovectomie
5216004;driedimensionale echografische beeldvorming van het hart;5216004;echocardiografie , driedimensionele
5233006;laterale fasciotomie;5233006;laterale fasciotomie
5243009;hechten adenoid fossa;5243009;hechten adenoid fossa
5245002;transplantatie van een perifere vena;5245002;transplantatie van een perifere vena
5267001;ligatie van arteria suprarenalis;5267001;ligatie van arteria suprarenalis
5290006;incisie en drainage van mondbodem abces;5290006;incisie en drainage van mondbodem abces
5328005;achillespeesverkorting;5328005;achillespeesverkorting
5348003;herstel endocardial cushion defect;5348003;herstel endocardial cushion defect
5402006;manipulaite van thoracale arterie;5402006;manipulaite van thoracale arterie
5407000;injectie van eileider;5407000;injectie van eileider
5415002;destructie van letsel van de lever;5415002;destructie van letsel van de lever
5447007;transfusie;5447007;transfusie
5452002;holle naaldbiopsie van de thymus;5452002;holle naaldbiopsie van de thymus
5460001;verwijderen van prothese van eileider;5460001;verwijderen van prothese van eileider
5521000;open reductie van een fractuur van een falanx van de voet;5521000;open reductie van een falanx van de voet
5556001;manueel begeleide spontane vaginale partus;5556001;manueel begeleide spontane vaginale partus
5571002;excisie van letsel van aorta met end - to - end - anastomose;5571002;excisie van letsel van aorta met end - to - end anastomose
5616006;osteoplastie van de tibia;5616006;osteoplastie van tibia
5632009;open biopsie van de bronchus;5632009;open biopsie van de bronchus
5636007;Fistulectomie van een bot;5636007;fistulectomie van een bot
5671007;verwijderen vreemd voorwerp uit het ciliair lichaam met magneet;5671007;magneet extractie van vreemd voorwerp uit het ciliair lichaam
5687005;verwijderen vreemd voorwerp van het ovarium;5687005;verwijderen vreemd voorwerp van het ovarium
5721002;herstel wenkbrauw;5721002;herstel wenkbrauw
5722009;chirurgische anastomose van het colon;5722009;chirurgische anastomose van het colon
5726007;verwijderen epicardiale electroden;5726007;verwijderen epicardiale electroden
5728008;anusscopie voor verwijderen van vreemd lichaam;5728008;anusscopie voor verwijderen van vreemd lichaam
5738003;biopsie van de cul - de - sac ( douglas );5738003;biopsie van de cul - de - sac ( douglas )
5745003;excise van de ampulla van Vater met re ï mplantatie van de galweg;5745003;excise van de ampulla van vater met re ï mplantatie van de galweg
5760000;osteoplasty van de radius en ulna , verkorting;5760000;osteoplasty van de radius en ulna , verkorting
5771004;blefarotomie;5771004;blefarotomie
5777000;flexorplastie van elleboog;5777000;flexorplastie van elleboog
5789003;darm adhaesiolysis;5789003;darmadhesielyse
5796001;excisie van externe getromboseerde haemorroiden;5796001;excisie van externe getromboseerde haemorroiden
5806001;revisie litteken van tracheostomie;5806001;revisie litteken van tracheostomie
5807005;fenestratie van binnenoor , initieel;5807005;fenestratie van binnenoor , initieel
5865004;open reductie van luxatie van de teen;5865004;open reductie van luxatie van teen
5892005;mastoid antrotomie;5892005;mastoid antrotomie
5897004;verwijderen van Scribner shunt;5897004;verwijderen van scribner shunt
5971009;incisie en drainage van de oksel;5971009;incisie en drainage van de oksel
5983006;herstel zaadstreng;5983006;herstel zaadstreng
5992009;meerdere midtarsale arthrodesen;5992009;meerdere midtarsale arthrodesen
5998008;radicale dissectie van de lies;5998008;liesdissectie onder regionale anesthesie
6005008;vitreumtransplantatie via anterieure benadering;6005008;vitreumtransplantatie via anterieure benadering
6007000;NMR borstkas;6007000;nmr borstkas
6025007;laparoscopische appendectomie;6025007;laparoscopische appendectomie
6029001;verhogen van de outflow tract van de pulmonalisklep;6029001;verhogen van de outflow tract van de pulmonalisklep
6082008;perforatie van basisplaat van stapes;6082008;perforatie van basisplaat van stapes
6092000;aspiratie van de sinus via een sinuspunctie;6092000;aspiratie van de sinus via een sinuspunctie
