SNOMED conceptID;SNOMED term;Google translate vertaalde term;Matecat vertaling;thot vertaalde term medisch woordenboek + SNOMED be
8401003;Electrodesiccation;electrodesiccation;electrodesiccation;elektrodesiccatie
8706007;Arginine tolerance test;Arginine tolerantietest;Arginine tolerantietest;arginine test
8803008;Iridosclerotomy;Iridosclerotomy;Iridosclerotomy;iridosclerotomie
8889005;Excisional biopsy;excisiebiopt;biopsie - exerese;biopsie
8902002;Simple pyeloplasty;Simple pyeloplasty;Simple pyeloplasty;eenvoudige pyeloplastiek
8906004;Cecocolostomy;Cecocolostomy;Cecocolostomy;caecostomie
8917003;Laryngotracheotomy;Laryngotracheotomy;Laryngotracheotomy;laryngotracheotomie
8929007;Esophagogastropexy;Esophagogastropexy;Esophagogastropexy;oesofago - gastropexie
9093009;Thyrochondrotomy;Thyrochondrotomy;Thyrochondrotomy;thyrochondrotomy
9134004;Ballistocardiography;Ballistocardiography;ballistocardiografie;ballistocardiografie
9215005;Colotomy;Colotomy;colotomie;colotomie
9580008;Chemothalamectomy;Chemothalamectomy;chemothalamectomie;chemothalamectomy
9616004;Tetracaine measurement;tetraca ï ne meting;tetraca ï ne meting;tetracaine -
9632001;Nursing procedure;Nursing procedure;Nursing procedure;nursing nao
9759000;Lysozyme resistance test;Lysozym resistentietest;Lysozym resistentietest;lysozyme doorgankelijkheid test
9856004;Tularemia vaccination;tularemia vaccinatie;tularemia vaccinatie;tularemie - immunisatie
10046006;Cystoureterolithotomy;Cystoureterolithotomy;Cystoureterolithotomy;cystoureterolithotomy
10107006;Duodenoduodenostomy;Duodenoduodenostomy;Duodenoduodenostomy;duodenoduodenostomie
10259007;Proctopexy;Proctopexy;proctopexie;rectopexie
10281002;Scalenectomy;Scalenectomy;Scalenectomy;scalenectomie
10470002;Electronarcosis;Electronarcosis;Elektrische bedwelming;elektronarcose
10611004;Teleradiotherapy protons;Teleradiotherapy protonen;Teleradiotherapy protonen;teleradiotherapy proton
10624004;Complete dacryocystectomy;compleet dacryocystectomy;compleet dacryocystectomy;totale dacryocystectomie
10967009;Eosinophil count, nasal;Eosinofielenaantal , nasale;Eosinofielenaantal , nasale;eosinofielentelling nao
11101003;Percutaneous transluminal coronary angioplasty;PTCA;Percutane Transluminale Coronair Angioplastiek;percutane transluminale coronaire angioplastiek
11127003;Esophagogastrostomy, antesternal or antethoracic;Esophagogastrostomy , antesternal of intrathoracale;Esophagogastrostomy , antesternal of antethoracic;oesophagogastrostomie , antesternal en antethoracic
11369006;Vestibuloplasty;Vestibuloplasty;Vestibuloplasty;vestibuloplastiek
11682008;Jejunoileostomy;Jejunoileostomy;Jejunoileostomy;jejuno - ileostomie
11732005;Simple cystometrogram;Simple cystometrogram;Simple cystometrogram;eenvoudige cystometrogram
11816003;Diet education;Diet onderwijs;Diet onderwijs;dieet ntenvoorlichting
11821000;Pharmacometric study;Pharmacometric studie;Pharmacometric studie;pharmacometric nao
11900001;Semen analysis;semenanalyse;semenanalyse;sperma analyse
11905006;Pasco system test;Pasco systeemtest;Pasco systeemtest;pasco zenuwstelsel -
11913007;Mephenytoin measurement;mefenyto ï ne meting;mefenyto ï ne meting;mefenyto ï ne ne
12237002;Achillorrhaphy;Achillorrhaphy;achillorraphie;achillespeesverkorting
12330002;Complete parathyroidectomy;compleet parathyro ï dectomie;compleet parathyro ï dectomie;complete parathyroidectomie
12389009;Xeromammography;Xeromammography;Xeromammography;xeromammografie
12410002;Looposcopy orchiopexy;Looposcopy orchiopexy;Looposcopy orchiopexy;( brickerblaas ) orchidopexie
12666009;Cholecystocolostomy;Cholecystocolostomy;colocholecystostomie;cholecystocolostomie
12866006;Pneumococcal vaccination;pneumokokkenvaccinatie;pneumokokkenvaccinatie;pneumokokken - immunisatie
12976005;Donor nephrectomy;donornefrectomie;donornefrectomie;donor nefrectomie
13004001;Rigid proctosigmoidoscopy;Rigid proctosigmoidoscopy;Rigid proctosigmoidoscopy;rigiede proctosigmoiedoscopie
13283003;Tissue processing technique;Tissue verwerkingstechniek;Tissue verwerkingstechniek;weefsel perceptiestoornis -
13490005;Conchotomy;Conchotomy;conchotomie;conchotomie
13513008;Cycloanemization;Cycloanemization;Cycloanemization;cycloanemisatie
13529000;Nasal septoplasty;nasale septoplasty;nasale septoplasty;nasale septoplastie
13573001;Patellapexy;Patellapexy;Patellapexy;patellapexy
13619001;Thyroidectomy;thyroidectomy;thyroidectomy;thyro ï dectomie
13661007;Lidocaine measurement;lidoca ï ne meting;lidoca ï ne meting;lidocaine -
13666002;Leukotomy;Leukotomy;Leukotomy;leukotomie
13685004;Pharyngostomy;Pharyngostomy;Pharyngostomy;faryngostomie
13801008;Puncture test;punctietest;puncture - proef;aspiratie -
13852005;Transabdominal gastroscopy;transabdominal gastroscopie;transabdominal gastroscopie;transabdominale gastroscopie
14305004;Vasography;Vasography;Vasography;vasografie
14369007;Deworming;ontworming;ontworming;deworming
14403007;Ileotransversostomy;Ileotransversostomy;ileotransversostomie;ileotransverse anastomose
14404001;Thymopexy;Thymopexy;Thymopexy;thymopexie
14476003;Epididymorrhaphy;Epididymorrhaphy;Epididymorrhaphy;epididymorrhaphy
14509009;Evisceration;Evisceration;exenteratio;evisceratie
14603002;Apnea monitor surveillance;Apnoemonitor surveillance;Apnoemonitor surveillance;apneu alarm controle
14671001;Thoracoscopy;thoracoscopy;thoracoscopy;pleuroscopie
14687003;Choledochoenterostomy;Choledochoenterostomy;Choledochoenterostomy;choledocho - enterostomie
14768001;Peripheral blood smear interpretation;Randbloedvlek interpretatie;Randbloedvlek interpretatie;bloed smear interpretatie
14857006;Medial fasciotomy;Medial fasciotomie;Medial fasciotomie;mediale fasciotomie
15067008;Nephropexy;Nephropexy;nefropexie;nefropexie
15081005;Pulmonary rehabilitation;longrevalidatie;longrevalidatie;pulmonale revalidatie
15293008;Funnel enema;Funnel klysma;Funnel klysma;ingezakte lavementtoediening
16298007;Rate measurement;hartslagmeting;hartslagmeting;frequentie , totaal
16398009;Hypotympanotomy;Hypotympanotomy;Hypotympanotomy;hypotympanotomie
16709005;Isotonic exercise;isotone oefening;isotone oefening;isotoon lichaamsbeweging
17081006;Mammoplasty revision;mammoplasty herziening;mammoplasty herziening;revisie van mammoplastie
17103008;Skeletal muscle function study;Skeletspierfunctie studie;Skeletspierfunctie studie;spier , skelet - onderzoek
17179006;Refractive keratoplasty;Refractive keratoplasty;Refractive keratoplasty;refractief keratoplastiek
17254000;Hepaticolithotomy;Hepaticolithotomy;hepaticolithotomie;hepaticolithotomie
17395000;Language therapy;taaltherapie;taaltherapie;spraaktherapie
17423001;Epiphysiodesis;Epiphysiodesis;Epiphysiodesis;epifysiodese
17473003;Cecotomy;Cecotomy;Cecotomy;caecotomie
17539005;Remobilization;remobilisatie;remobilisatie;remobilization
17606004;Sclerectomy;Sclerectomy;sclerectomie;sclerectomie
18102001;Mammary ductogram;borstklieren ductogram;borstklieren ductogram;lactische ductogram
18123007;Latex agglutination inhibition assay;Latexagglutinatie remmingstest;Latexagglutinatie remmingstest;latexfixatietest inhibitie -
18157004;Orthotic procedure;Orthotic procedure;Orthotic procedure;orthotic nao
18216003;Trigeminal neurotripsy;trigeminal neurotripsy;trigeminal neurotripsy;neurotripsie van n trigeminus
18223002;Mastoidotomy;Mastoidotomy;Mastoidotomy;masto ï dotomie
18590009;Cardiac pacing;hartpacen;Pacemaker;pacing
18781004;Patient referral for vocational rehabilitation;Pati ë nt verwijzing voor beroepsrehabilitatie;Pati ë nt verwijzing voor beroepsrehabilitatie;pati verwijzingen nao voor stemrehabilitatie
18809007;Meckel's ganglionectomy;Meckel ganglionectomy;Meckel ganglionectomy;ganglionectomie van ganglion pterygopalatina
19062008;Encephalocentesis;Encephalocentesis;Encephalocentesis;encefalocentese
19269007;Transfixion;Transfixion;Transfixion;transfixion
19612002;Hepatocholangiocystoduodenostomy;Hepatocholangiocystoduodenostomy;hepatocholangiocystoduodenostomie;duodenalal liesbreukherstel van iocysto en h ? paticocholangiocystoduod ? nostomie omy
19639005;Sigmoidopexy;Sigmoidopexy;sigmo ï dopexie;sigmoiedopexie
19746008;Spinal ganglionectomy;Spinal ganglionectomy;Spinal ganglionectomy;ganglionectomie van spinaal ganglion
19864005;Prostatomembranous urethrorrhaphy;Prostatomembranous urethrorrhaphy;Prostatomembranous urethrorrhaphy;prostatomembraneuze urethrorapphie
19884009;Immediate lower denture;Onmiddellijke onderprothese;Onmiddellijke onderprothese;onmiddellijk ondergebitsprothese
20074002;Galeaplasty;Galeaplasty;Galeaplasty;galeaplasty
20119004;Ureterocecostomy;Ureterocecostomy;Ureterocecostomy;uretero - caecostomie
20122002;Laryngeal ventriculocordectomy;laryngeal ventriculocordectomy;laryngeal ventriculocordectomy;ventriculocordectomie
20135006;Screening procedure;screeningsprocedure;screeningprocedure;onderzoek nao
20284006;Sceptor system test;Sceptor systeemtest;Sceptor systeemtest;sceptor zenuwstelsel -
20350005;Amniography;Amniography;amniografie;amniografie
20403000;Iridocyclectomy;Iridocyclectomy;Iridocyclectomy;iridocyclectomie
20541009;Patient on pass;Pati ë nt op pas;Pati ë nt op pas;afhankelijk van te urineren
20711009;Cranial neurorrhaphy;Cranial neurorrhaphy;Cranial neurorrhaphy;rafie van een craniale zenuw
20805001;Rhinoseptoplasty;Rhinoseptoplasty;Rhinoseptoplasty;rhinoseptoplasty
21123000;Iridosclerectomy;Iridosclerectomy;Iridosclerectomy;iridosclerectomie
21245006;Tube cecostomy;tube cecostomy;tube cecostomy;buiscaecostomie
21593001;Ophthalmodynamography;Ophthalmodynamography;oftalmodynamografie;ophthalmodynamography
21849008;Triple valve replacement;Triple klepvervanging;Triple klepvervanging;vervanging van drie hartkleppen
21943005;Hot water bath hydrotherapy;Warmwaterbad hydrotherapie;Warmwaterbad hydrotherapie;warme water , hydro hydro -
22491003;Fimbrioplasty;Fimbrioplasty;Fimbrioplasty;fimbrioplastiek
22569008;Glucose measurement, serum;Glucosemeetsysteem , serum;Glucosemeetsysteem , serum;serum glucose
22737002;Blepharectomy;Blepharectomy;blepharectomie;blefarectomie
22760005;Xeroradiography;Xeroradiography;xeroradiografie;xeroradiografie
22761009;Perineogram;Perineogram;Perineogram;perineogram
22778000;Venipuncture;venipuncture;Venapunctie;venapunctie
22890008;Augmentation mammoplasty;Augmentation mammoplasty;Augmentation mammoplasty;augmentatieve mammoplastie
23379002;Cyclotomy;Cyclotomy;Cyclotomy;incisie ciliaire lichaam
23411009;Maxillary antrectomy;maxillary antrectomy;maxillary antrectomy;anthrectomie
23457006;Chiropractic vibration therapy;Chiropractie vibratietherapie;Chiropractie vibratietherapie;chiropraxis trillingen therapie
23690002;Heimlich maneuver;Heimlich manoeuvre;Heimlich manoeuvre;heimlichmanoeuvre
23797008;Esophagojejunostomy;Esophagojejunostomy;Esophagojejunostomy;oesofagojejunostomie
23835007;Electroconvulsive therapy;elektroconvulsietherapie;Elektroconvulsietherapie;elektroshocktherapie
23928003;Costochondrectomy;Costochondrectomy;Costochondrectomy;costochondrectomie
23968004;Colectomy;colectomy;Colectomie;colectomie
23979009;Pleurectomy;pleurectomy;pleurectomy;pleurectomie
24420007;Sigmoidoscopy;sigmo ï doscopie;Sigmo ï doscopie;sigmo ï doscopie
24443003;Total thyroidectomy;totale thyreo ï dectomie;totale thyreo ï dectomie;totale thyro ï dectomie
24485004;Trochanterplasty;Trochanterplasty;Trochanterplasty;plastie van de trochanter
24496007;Hemorrhoidectomy;hemorrhoidectomy;hemorrhoidectomy;hemorro ï dectomie
24506003;Esophagogastrectomy;Esophagogastrectomy;Esophagogastrectomy;oesofagogastrectomie
24587005;Image analysis;beeldanalyse;Beeldanalyse;beeld analyse
24727006;Temperature gradient studies;Temperatuurgradi ë nt studies;Temperatuurgradi ë nt studies;koorts gradi ë nt van functieonderzoeken
24799001;Bicarbonate loading test;Bicarbonaat belastingtest;Bicarbonaat belastingtest;bicarbonaat loading test
25179006;Blood unit collection;Bloedeenheid collectie;bloedinzameling;bloed - eenheid collectie
25240008;Cerebral ventriculotomy;Cerebral ventriculotomy;Cerebral ventriculotomy;cerebrale ventriculotomie
25321000;Thoracoscopic pneumonectomy;thoracoscopic pneumonectomy;thoracoscopic pneumonectomy;thoracoscopische pneumonectomie
25325009;Dental alveoplasty;Dental alveoplasty;Dental alveoplasty;caries alveoplasty
25353009;Craniotomy;craniotomy;craniotomie;craniotomie
25389001;Fluid restriction;vochtbeperking;vochtbeperking;vocht , restrictie
25411007;Hysterogram;Hysterogram;Hysterogram;hysterogram
25434003;Limited eye examination;Limited oogonderzoek;parti ë le controle;beperkte oog
25871006;Cricothyroidectomy;Cricothyroidectomy;Cricothyroidectomy;cricothyroidectomy
25884002;Immunoelectrophoresis;immuno;immuno;immuno -
26047008;Aspirin tolerance test;Aspirine tolerantietest;Aspirine tolerantietest;aspirinetolerantietest
26302000;Osteorrhaphy;Osteorrhaphy;Osteorrhaphy;osteorafie
26400009;Labyrinthotomy, transtympanic;Labyrinthotomy , transtympanic;Labyrinthotomy , transtympanic;labyrinthotomie , transtympanaal
26464002;Orthotic bracing;Orthotic schoren;Orthotic schoren;orthotic bracing
26605008;Augmentation genioplasty;Augmentation genioplasty;Augmentation genioplasty;augmentatieve mentoplastiek
26801001;Acoustic rhizotomy;Acoustic rhizotomy;Acoustic rhizotomy;rhizotomie n accusticus ( nviii )
26895000;Laboratory test order cancellation;Laboratoriumtest orderannulering;Laboratoriumtest orderannulering;test order cancellation
26925005;Transverse colectomy;dwarse colectomy;dwarse colectomy;colectomie transversum
27041000;Cholecystoileostomy;Cholecystoileostomy;Cholecystoileostomy;cholecysto - ileostomie
27056009;Colorectostomy;Colorectostomy;colorectostomie;colorectostomie
27300001;Molegraphy;Molegraphy;Molegraphy;molegraphy
27481003;Chemosurgery;Chemosurgery;Chemosurgery;chemochirurgie
27491009;Medial canthoplasty;Medial canthoplasty;Medial canthoplasty;mediale canthoplastie
27985001;Cervical sympathectomy;Cervical sympathectomy;Cervical sympathectomy;cervicale sympathectomie
28178002;Hepatopexy;Hepatopexy;leverfixatie;hepatopexie
28264008;Amygdalotomy;Amygdalotomy;Amygdalotomy;amygdolotomie
28467003;Intrathoracic esophagoileostomy;intrathoracale esophagoileostomy;intrathoracale esophagoileostomy;intrathoracale oesofago - ileostomie
28686001;Nephrotomogram;Nephrotomogram;Nephrotomogram;nephrotomogram
28725006;Trachelopexy;Trachelopexy;Trachelopexy;trachelopexie
28760000;Laryngoscopy;laryngoscopy;laryngoscopy;laryngoscopie
28851001;Esophagojejunoplasty;Esophagojejunoplasty;Esophagojejunoplasty;oesofagojejunoplastiek
28877009;Cholera vaccination;choleravaccinatie;choleravaccinatie;gastro - immunisatie
29065006;Sigmoidotomy;Sigmoidotomy;sigmo ï dotomie;sigmoiedotomie
29216007;Talectomy;Talectomy;Talectomy;talectomie
29404004;Labyrinthectomy, transtympanic;Labyrinthectomy , transtympanic;Labyrinthectomy , transtympanic;labyrinthectomie , transtympanaal
29453004;Jejunotomy;Jejunotomy;jejunotomie;jejunotomie
29651008;Complete semen analysis;Compleet spermaanalyse;Compleet spermaanalyse;totale spermatelling
29656003;Radical mastoidectomy, modified;Radical masto ï dectomie , gewijzigd;Radical masto ï dectomie , gewijzigd;totale mastoidectomie gewijzigde
29799003;Condylotomy;Condylotomy;Condylotomy;condylotomie
29860002;Intravascular radionuclide therapy;Intravasculaire radionuclidentherapie;Intravasculaire radionuclidentherapie;intravasculaire radionuclide - therapie
30038001;Ureteropyelostomy;Ureteropyelostomy;Ureteropyelostomy;ureteropyelostomie
30222000;Reline complete lower denture, chairside;Reline volledige onderprothese , chairside;Reline volledige onderprothese , chairside;reline volledig onderste kunstgebit chairside
30530000;Plastic achillotomy;plastic achillotomy;plastic achillotomy;plastisch achillespeestenotomie
30582003;Duodenostomy;Duodenostomy;duodenostomie;duodenostomie
30956003;Subtotal thyroidectomy;Subtotaal thyroidectomy;Subtotaal thyroidectomy;thyro ï dectomie gedeeltelijk
31214000;Cell hybridization;celhybridisatie;celhybridisatie;lymfoom hybridisatie
31501000;Ethmoid sinusectomy;ethmoid sinusectomy;ethmoid sinusectomy;etmo ï dectomie
31687009;Multiphasic screening procedure;Multiphasic screeningsprocedure;Multiphasic screeningsprocedure;multiphasic ond nao
31932005;Tympanomastoidectomy;Tympanomastoidectomy;Tympanomastoidectomy;tympanomastoidectomy
32150000;Periodontic procedure;periodontic procedure;periodontic procedure;periodontisch nao
32189006;Pubiotomy;Pubiotomy;symphyseotomie;symfysiotomie
32238004;Empyemectomy;Empyemectomy;Empyemectomy;empyemectomie
32414000;Intraoperative sigmoidoscopy;intraoperatieve sigmo ï doscopie;intraoperatieve sigmo ï doscopie;peroperatieve sigmoiedoscopie
33030009;Seminal vesiculectomy;Seminal vesiculectomy;Seminal vesiculectomy;resectie zaadblazen
33099007;Incudectomy;Incudectomy;incudectomie;incudectomie
33149006;Pancreatectomy;pancreatectomy;pancreatectomie;pancreatectomie
33195004;Teleradiotherapy procedure;Teleradiotherapy procedure;Teleradiotherapy procedure;teleradiotherapy nao
33356009;Betatron teleradiotherapy;betatron teleradiotherapy;betatron teleradiotherapy;betatron teleradiotherapy
33634004;Labyrinthectomy, transcanal;Labyrinthectomy , transcanal;Labyrinthectomy , transcanal;labyrinthectomie , via transcanaal
33748008;Phenytoin measurement;fenyto ï ne meting;fenyto ï ne meting;phenytoin -
34130000;Cholecystocecostomy;Cholecystocecostomy;Cholecystocecostomy;cholecystocecostomie
34271001;Lactose tolerance test;Lactose tolerantietest;Lactose tolerantietest;lactosetolerantietest
34536000;Amniocentesis;amniocentesis;Vruchtwaterpunctie;vruchtwaterpunctie
34596002;Patient discharge, elopement;ontlading pati ë nt , elopement;ontlading pati ë nt , elopement;pati ë nten elopement
34616009;Epididymography;Epididymography;Epididymography;epididymography
34640001;Sialolithotomy;Sialolithotomy;sialolithotomie;sialolithotomy
34646007;Pericardiectomy;Pericardiectomy;Pericardiectomy;pericardexcisie
34733005;Hemagglutination inhibition assay;Hemagglutinatie remmingstest;Hemagglutinatie remmingstest;har
34814005;Epicardial poudrage;epicardiale poudrage;epicardiale poudrage;epicardiale poederbedekking
35152000;Prostatolithotomy;Prostatolithotomy;Prostatolithotomy;prostatolithotomie
35241000;Cholecystostomy;Cholecystostomy;cholecystostomie;cholecystostomie
35385000;Oculopneumoplethysmography;Oculopneumoplethysmography;Oculopneumoplethysmography;oculopneumoplethysmografie
35411000;Tractotomy;Tractotomy;Tractotomy;tractotomie
35436006;Cisternal tap;Cisternal tap;Cisternal tap;cisternal aspiratie
35497000;Restraint maintenance;Restraint onderhoud;Restraint onderhoud;restraint onderhouden
35594005;Initial pericardiocentesis;Initial pericardiocentese;Initial pericardiocentese;voorlopige pericardiocentese
35649009;Laryngeal ventriculectomy;laryngeal ventriculectomy;laryngeal ventriculectomy;laryngeale ventriculectomie
35965008;Colocentesis;Colocentesis;Colocentesis;colocentese
36048009;Glucose measurement;glucosemeetsysteem;glucosemeetsysteem;glucose
36092006;Nephrocolopexy;Nephrocolopexy;nefrocolopexie;nephrocolopexy
36143002;Myectomy;Myectomy;Myectomy;myectomie
36150003;Expiratory flow rate measurement;Expiratoire debietmeting;Expiratoire debietmeting;flow -
36732002;Pyelolithotomy;Pyelolithotomy;pyelolithotomie;niersteenverwijdering
36788006;Cecoplication;Cecoplication;Cecoplication;cecoplication
36812006;Iridectomy;iridectomy;iridectomie;iridectomie
36889006;Gastropexy;Gastropexy;Gastropexy;gastropexie
36901005;Vulvectomy;Vulvectomy;Vulvectomy;vulvectomie
36910002;Craniectomy;craniectomy;craniectomie;crani ë ctomie
36946006;Epididymectomy;Epididymectomy;epididymectomie;epididymectomie
37090007;Placentography;Placentography;Placentography;placentografie
37310002;Immunoblot assay;immunoblotanalyse;immunoblotanalyse;immunoblotting
37999005;Caffeine measurement;meting cafe ï ne;meting cafe ï ne;cafe ï ne
38038000;Tolerance test;tolerantietest;belastingsproef;test
38041009;Grace Arthur point scale;Grace Arthur puntsschaal;Grace Arthur puntsschaal;grace arthur point schaal
38497001;Enterolithotomy;Enterolithotomy;Enterolithotomy;verwijderen van steen uit de darm
38506001;Thoracoscopic pleurodesis;thoracoscopic pleurodesis;thoracoscopic pleurodesis;thoracoscopische chemische pleurodese
38507005;Cholecystopexy;Cholecystopexy;operatie van Czerny;cholecystopexie
38546007;Cardiocentesis;Cardiocentesis;Cardiocentesis;cardiocentese
38616001;Thermosclerectomy;Thermosclerectomy;Thermosclerectomy;sclerectomie met warmte
38678006;Client-centered psychotherapy;Cli ë ntgerichte psychotherapie;Cli ë ntgerichte psychotherapie;cli ë ntgerichte therapie
38748006;McCall culdoplasty;McCall culdoplasty;McCall culdoplasty;mccall culdoplastiek
38841005;Pyloric antrotomy;pyloric antrotomy;pyloric antrotomy;pylorische antrotomie
38863001;Gas endarterectomy;gas endarterectomy;gas endarterectomy;gasendarteri ë ctomie
38869002;Scapulopexy;Scapulopexy;Scapulopexy;scapulopexie
39195006;Thermokeratoplasty;Thermokeratoplasty;Thermokeratoplasty;thermokeratoplastie
39267002;Pericardiorrhaphy;Pericardiorrhaphy;Pericardiorrhaphy;pericardiorraphie
39309004;Hemilaryngectomy;Hemilaryngectomy;hemilaryngectomie;hemilaryngectomie
39343008;Pertussis vaccination;kinkhoestvaccinatie;kinkhoestvaccinatie;pertussis - immunisatie
39412000;Diascopy procedure;Diascopy procedure;Diascopy procedure;diascopy nao
39562007;Vermilionectomy;Vermilionectomy;Vermilionectomy;vermilionectomy
39597009;Dibucaine number;dibuca ï ne nummer;dibuca ï ne nummer;dibuca ï ne aantal
39667005;Amygdalohippocampotomy;Amygdalohippocampotomy;Amygdalohippocampotomy;amygdalohippocampectomie
