snomed b id;snomed b term;thot id;thot term
8409001;embolectomie van de arteria femoralis communis;8409001;femorale embolectomie
8422009;sclerotherapie van haemorroiden;8422009;inspuiting van aambeien
8500004;gesloten subcutane tenotomie van heupadductoren;8500004;subcutane tenotomie van heupadductoren , gesloten
8558004;incisie en drainage van een diep pelvi - rectaal abces;8558004;incisie en drainage van hoog supralevatorisch abces
8760004;trombectomie met katheter van de arteria subclavia via arm incisie;8760004;trombectomie met katheter van arteria subclavia via arm incisie
8920006;herstel van retina voor retinaloslating;8920006;herstel loslating retina
8951004;excisie van letsel ter hoogte van het retroperitoneum;8951004;excisie van van retroperitoneale ruimte
8979005;cre ë ren van peritoneale - veneuze shunt;8979005;peritoneoveneuze shunt
9047006;excisie van een botletsel ter hoogte van een wervel;9047006;excisie van van een wervel
9121000;excisie van colonletsel;9121000;excisie van colonletsels
9225000;revisie stapedectomie;9225000;revisie van stapedectomie
9328000;excisie van letsel van fascia;9328000;excisie van van fascia
9429009;gastroplastie;9429009;gastroplastiek
9730000;arthrodese van de heup;9730000;heupartrodese
9905009;loop colostomie;9905009;liscolostomie
9940005;excisie van letsel van handspier;9940005;excisie van van handspier
9993006;open resectie van tumor van diafragma;9993006;incisie van het diafragma
10019001;incisie en drainage van ge ï nfecteerde bursa van de polsregio;10019001;incisie en drainage van ge ? nfecteede bursa van pols
10053002;irrigatie van de peesschede;10053002;spoeling van peesschede
10107006;duodeno - duodenostomie;10107006;duodenoduodenostomie
10220003;vasculaire bypass met vene van arteria subclavia tot arteria axillaris;10220003;arteria subclavia tot arteria axillaris bypass greffe met vena
10272008;herstel van een fistel van het diafragma;10272008;herstel van het diafragma
10359005;revisie van CSV shuntsysteem;10359005;revisie van csv shuntsysteem
10458001;evacuatie van intracerebraal hematoom;10458001;intracerebraal hematoomverwijdering
10543006;perinealal liesbreukherstel van p en p é rin é orraphie r operation;10543006;perinealal liesbreukherstel van p en p ? rin ? orraphie r operation
10871008;segmentosteotomie in de maxilla;10871008;segmentosteotomie maxilla
10985002;cholecysto - enterostomie;10985002;cholecystenterostomie
11055001;injectie van anestheticum in de n . facialis ( VII );11055001;injectie van anestheticum in de n . facialis ( vii )
11227005;excisie van ganglion van de peesschede van de hand;11227005;excisie van ganglion van peesschede van de hand
11232006;laterale fasciotomie met resectie van annulair ligament van een vinger;11232006;laterale fasciotomie met annulair ligament resectie van een vinger
11346008;thombectomie vena cava met catheter via abdominale een liesincisie;11346008;thombectomie vena cava met catheter via abdominale en been incisie
11377005;directe laryngoscopie met excisie van een gezwel;11377005;directe laryngoscopie met excisie van tumor
11401008;dilatatie en curettage van uterus;11401008;dilatatie en curettage
11519002;herstel van broncho - oesofagale fistel;11519002;sluiten van fistel
11570006;biopsie van de lip;11570006;biopsie lip
11574002;aanleggen van een transrectale ileo - anale H - pouch;11574002;aanleggen van een transrectale ileo - h - pouch anus
11673002;lokale destructie van een letsel van een gewricht van de vinger;11673002;lokale destructie van van een vinger
11675009;permanente slokdarmintubatie;11675009;katheterisatie van slokdarm , permanente van type
11812001;extensor realignement omwille van recidiverende patellaluxaties;11812001;extensor realignement omwille van recidiverende patellaluxaties transfer
11848004;radicale resectie van een weke delen tumor van de hand;11848004;radicale resectie van de hand
11878008;exisie van lesie ter hoogte van sacro - uteriene band;11878008;excisie van van sacro - uteriene band
12135002;radicale resectie van zacht weefsel tumor van de enkel regio;12135002;radicale resectie van van de enkel
12142002;doornemen van een knieligament;12142002;doornemen van ligament van knie
12158004;oogsten van botgreffe in de mandibula;12158004;mandibulectomie
12237002;achillespeeshechting;12237002;achillespeesverkorting
12243000;exploratie van de arteriai femoralis communis;12243000;exploratie van arteria femoralis
12392008;aanleggen van een anastomose n . facialis ( VII ) - n . accessorius;12392008;aanleggen van een anastomose n . facialis ( vii ) - n . accessorius
12600000;incisie en drainage van het enkelgewricht omwille van een diep abces;12600000;incisie en drainage van diep absces
12605005;incisie van het retro - peritoneum;12605005;incisie van het retroperitoneum
12708000;excisie van accessoire tepel;12708000;bijkomende tepelverwijdering
12771005;parti ë le resectie van de patella;12771005;partiele excisie van de patella
12827003;parti ë le proctectomie;12827003;rectosigmoiedectomie
12863003;herstel van een utero - rectale fistel;12863003;sluiten van utero - rectale fistel
13123005;sutuur van een letsel van de thoraxwand;13123005;hechten van de thoraxwand
13133002;excisie van de aponeurose van de hand;13133002;aponeurose van de hand
13175001;excisie van overtollige huid en onderhuids weefsel;13175001;excisie van overbodige huid en subcutaan weefsel
13371003;implantatie van een swansonprothese in de vinger;13371003;implantatie van swansonprothese van de vinger
13380003;obstetrische kering volgens Braxton Hicks;13380003;obstetrische kering volgens braxton hicks
13662000;Blalock - Taussig arteria subclavia tot arteria pulmonalis anastomosis;13662000;arteria pulmonalis anastomosis blalock - taussig arteria subclavia
13666002;leucotomie;13666002;leukotomie
13685004;pharyngostomie;13685004;faryngostomie
13714004;arthroscopie;13714004;artroscopie
13767004;verwijderen vreemd voorwerp uit de chorioidea zonder magneet;13767004;verwijderen van vreemd voorwerp uit de chorioidea zonder magneet
13830001;incisie van het pericardium;13830001;pericardiotomie
13861005;biopsie van het bot;13861005;biopsie bot
13974003;incisie van de aponeurose van de hand;13974003;aponeurose van de hand
14027001;radicale resectie van een wekedelentumor van de flank;14027001;radicale resectie van van de flank
14115002;oppervlakkige biopsie van zacht weefsel van de enkelregio;14115002;biopsie van zacht weefsel van de enkelregio superficialis
14152002;intraveneuse infusie;14152002;intraveneuze infusie
14194004;open subcutane tenotomie van heupadductoren met neurectomie van de nervus obturatorius;14194004;subcutane tenotomie van heupadductoren , open met obturatoria neurectomie
14250000;exicisie ureterocoele;14250000;ureterocelectomie
14259004;endarteri ë ctomie van aorta descendens;14259004;endarterectomie van aorta descendens
14296008;excisie van gemeenschappelijke wand tussen posterior aspect van linker atrium en sinus coronarius met overbruggen van resulterend defect met patch;14296008;excisie van gemeenschappelijke wand tussen achterste linker atrium en sinus coronarius met overbruggen van resulterend defect met patch
14352005;incisie en drainage van pancreas pseudocyste;14352005;incisie en drainage van pancreaspseudocyste
14372000;ESWT ( lithotripsie ) van galblaas en galweg;14372000;eswt ( lithotripsie ) van galblaas en galwegen
14378001;arthrotomie van het tarsometatarsaal gewricht met verwijderen van vreemd lichaam;14378001;open verwijderen van vreemd lichaam van het tarsometatarsaal gewricht
14403007;ileo - transversostomie;14403007;ileotransverse anastomose
14441000;reductie van een fractuur van de wervelkolom;14441000;reductie van een wervelfractuur
14513002;arthroscopie van de enkel met verwijderen van vreemd voorwerp;14513002;arthroscopie van de enkel met verwijderen van vreemd lichaam
14752007;arteria axillaris tot arteria axillaris bypass greffe;14752007;arteria axillaris bypass greffe
15023006;trombo - endarteri ë ctomie met greffe van arteria carotis via nek incisie;15023006;tromboendarteri ë ctomie met greffe van arteria carotis via nek incisie
15068003;intraorale incisie met drainare van kaakabces;15068003;incisie met drainare van kaakabces intraoraal
15102002;verwijderen van een implantaat van de elleboog;15102002;verwijderen van de elleboog
15395004;structural liesbreukherstel van cul en sac of;15395004;destructie van de cul - de - sac
15438004;extracrani ë le sutuur van de n . facialis ( VII );15438004;extracrani ? le sutuur van de n . facialis ( vii )
15440009;desarticulatie;15440009;amputatie
15648005;banding van arteria pulmonalis;15648005;afbinding van longarterie
15761001;ureterolysis;15761001;ureterolyseprocedure
15853003;tromboendarteri ë ctomie met greffe van arteria femoralis and arteria poplitea;15853003;endarteri ë ctomie met greffe van arteria femoralis and arteria poplitea
15855005;retroperal liesbreukherstel van de en r é trop é riton é al Transposition;15855005;transplantatie van retroperitoneaal weefsel
15912005;destructie van letsel van de conjunctiva;15912005;destructie van letsel van conjunctiva
15918009;Herstel vesicovaginale fistel via transvesicale en vaginale weg;15918009;herstel van vesicovaginale fistel via transvesicale en vaginale weg
15920007;plaatsing van intravasculaire paraplu in vena cava inferior , partial;15920007;plaatsing van intravasculaire paraplu in vena cava inferior , partieel
15944009;arthrotomie van het sternoclaviculair gewicht voor excisie van kraakbeenletsel;15944009;arthrotomie voor excisie van meniscus thv sternoclaviculair gewricht
16008005;arthroplastie van het CMC gewricht met implantaat;16008005;arthroplastie van het cmc gewricht met implantaat
16079003;Sauer - Bacon abdomino - perineale resectie;16079003;sauer - bacon abdomino - perineale resectie
16280008;herstel van een maagfistel;16280008;maagfistel reparatie
16299004;pharyngeale bioptie;16299004;keelholtebiopsie
16364000;excisie peniele wrat;16364000;peniswrattenexcisie
16443000;herstel van lop - oor;16443000;flapoorcorrectie
16559003;herstel van arterioveneuze fistula bij middel van sutuur;16559003;arterioveneuze fistel - ligatuur
16697005;extraorale incisie met drainare van kaakabces;16697005;incisie met drainare van kaakabces extraorale
16731002;peesverkorting;16731002;verkorten van handpees
16765001;radicale excisie letsel oorschelp;16765001;excisie letsel oorschelp , radicale
16798006;incisie en drainage van ge ï nfecteerde bursa van de enkel;16798006;incisie en drainage van ge ? nfecteede bursa van enkel
16835002;ingreep op uters volgens Manchester - Donald;16835002;ingreep op uters volgens manchester - donald
17006003;vervangen van transurethrale blaassonde;17006003;blaaskathetervervanging
17197003;herstel van een cervico - sigmoiedale fistel;17197003;sluiten van van een cervico - sigmoiedale fistel
17271004;open reductie van een tibia - en fibulafractuur;17271004;open reductie van tibia en fibula
17314000;verkleinen van horizontale ooglidspleet;17314000;ooglidvernauwing
17418001;percutane injectie van een therapeutische substantie in de nier;17418001;percutane injectie van therapeutische substantie in de nier
17459007;gesloten reductie van luxatie van de teen;17459007;gesloten reductie van luxatie van teen
17478007;herstel van een pancreatische fistel;17478007;pancreasfistelherstel
17737009;veneuze bypass greffe tussen de arteria femoralis communis en de arteria femoralis communis;17737009;arteria femoralis - femoralis bypass
17881005;cauterisatie van de plexus choro ï deus;17881005;cauterisatie van de plexus choroideus
18011004;blaasinstillatie;18011004;intravesicale toediening
18036005;revisie van een implanteerbare intra - arteri ë le perfusiepomp;18036005;revisie intra - arteri ë le perfusiepomp
18078004;excisie van letsel ter hoogte van aorta ascendens;18078004;excisie van van aorta ascendens
18155007;biopsie van het verhemelte;18155007;biopsie verhemelte
18404006;embolectomie met katheter van arteria ulnaris via arm incisie;18404006;katheter embolectomie van arteria ulnaris via arm incisie
18561003;sluiten van een entero - colische fistel;18561003;sluiten van fistel
18570000;incisie en drainage van diep absces van de zachte weefsels van de nek;18570000;incisie en drainage van diep absces van weke delen van hals
18626003;inwendige drainage van absces van neus;18626003;drainage van absces van neus via inwendige benadering
18692006;bypass gastro - enterostomie;18692006;enterostomie
18751007;reductie van gesloten fractuur van mediale condyl van de humerus;18751007;reductie van gesloten fractuur van mediale condyl
18752000;verwijderen van vreemd voorwerp uit de voorste oogkamer met behulp van magneet;18752000;magneet extractie van vreemd voorwerp uit de voorste oogkamer
18824003;excisie van lesie van vene van bovenste lidmaat;18824003;excisie van lesie van vene van bovenste extremiteit
18918008;directe trombectomie van de vena subclavia via arm incisie;18918008;directe trombectomie van vena subclavia via arm incisie
19063003;arthroplastiek van de knie;19063003;artroplastiek van knie
19067002;behandeling van epistaxis met excisie van neusmucosa en grafting;19067002;hemostase van epistaxis met excisie van neusmucosa en grafting
19262003;repair van aneurysma van thoracale aorta;19262003;intrathoracale aorta aneurysmaherstel
19612002;duodenalal liesbreukherstel van iocysto en h é paticocholangiocystoduod é nostomie omy;19612002;duodenalal liesbreukherstel van iocysto en h ? paticocholangiocystoduod ? nostomie omy
19731001;echografie oog;19731001;echo oog
19740002;extracapsulaire extractie van de lens via inferotemporale route;19740002;extracapsulaire lensextractie via inferotemporale route
19802006;destructie van letsel van de traanzak;19802006;destructie traanzak
19948003;gesloten reductie van luxatie van de enkel;19948003;gesloten reductie van luxatie van enkelgewricht
20013001;reductie van het aangezichtsbeen;20013001;gezichtsfractuur reductie
20042009;Extracorpori ë le schokgolf lithotripsie van de ureter ( ESWL );20042009;extracorporele lithotripsie van de ureter
20176002;liver stal liesbreukherstel van de en h é patopexie innie operation;20176002;liver stal liesbreukherstel van de en h ? patopexie innie operation
20278008;gesloten reductie van een tibiafractuur;20278008;gesloten reductie van tibia
20294001;excisie van letsel van arterie van onderste lidmaat;20294001;excisie van van arterie van onderste lidmaat
20403000;verwijderen iris en ciliair lichaam;20403000;iridocyclectomie
20492004;katheter trombectomie van arteria femoralis en arteria poplitea bij middel van been incisie;20492004;trombectomie met katheter van de arteria politea via een been incisie
20516002;chordotomie;20516002;ruggenmergdoorsnijding
20579004;cauterisatie van slokdarmletsel;20579004;cauterisatie van slokdarm
20632008;verwijderen vreemd lichaam uit de pharynx;20632008;vreemd lichaam in keel , verwijdering
20701002;open reductie en inwendige fixatie van een fractuur;20701002;open reductie van fractuur met inwendige fixatie
20767001;aanleggen shunt van vena porta naar vena cava;20767001;eck - fistel
20783001;open reductie van luxatie van de enkel;20783001;open reductie van luxatie van enkelgewricht
20820007;arthrodese van clivus - C1 - C2 met botgreffe en excisie van odontoid proces via een anterieure transorale techniek;20820007;arthrodese met anterieure transorale techniek clivus - c1 - c2 met botgreffe en excisie van de dens
21054003;haartransplantatie;21054003;haar
21245006;caecostomie met drain;21245006;buiscaecostomie
21384003;excisie urethrale caruncula;21384003;uretrale carunculaverwijdering
21486002;excisie van de inguinale lymfeklieren;21486002;excisie van lies lymfeklieren
21488001;arthrotomie van de enkel met verwijderen van een vreemd voorwerp;21488001;arthrotomie van de enkel met verwijderen van vreemd voorwerp
21526003;hersetl atriaal septum defect met greffe;21526003;herstel atriaal septum defect met greffe
21570007;open reductie van fractuur van de voet;21570007;open reductie van fractuur
21583008;Watson - jones operatie voor reconstructie van laterale enkelligamenten;21583008;watson jones operatie voor reconstructie van laterale enkelligamenten
21656000;verwijderen prostaat calcificatie;21656000;prostaatsteenverwijdering
21741001;tenolyse van een flexorpees van de pols;21741001;adhesiolyse van flexorpees van de pols
21756005;herstel van een rectale fistel;21756005;herstel van rectale fistel
21832001;hechten van een letsel van het diafragma;21832001;hechten van het diafragma
21841006;katheter trombectomie van de arteria mesenterica superior via abdominale incisie;21841006;trombectomie met katheter van arteria mesenterica superior via abdominale incisie
21911005;biopsy van lymfeklier;21911005;biopsie lymfeklier
21929000;gesloten reductie van tibia - en fibulafractuur;21929000;gesloten reductie van tibia en fibula
22128006;mobilisatie van de stapes;22128006;stapesmobilisatie
22132000;chemische peeling van het gelaat;22132000;gezichtsexfoliatie , chemische
22148004;open biopsie van de pleura;22148004;open pleurabiopsie
22216006;duodenalal liesbreukherstel van de en chol é cystoduod é nale Repair;22216006;sluiten van fistel
22324003;jejunectomie;22324003;jejunumresectie celtype acute leukemie van jejunum
22326001;fusie van het MTP 1 gewricht omwille van hallux valgus;22326001;fusie van het mtp 1 gewricht omwille van hallux valgus
22491003;fimbrioplastie;22491003;fimbrioplastiek
22600001;aanleggen van arterioveneuze fistel met niet - autologe greffe;22600001;aanleggen van arterioveneuze fistel met autologe greffe
22665009;verwijderen van inwendige fixatie van een falanx van de hand;22665009;verwijderen van inwendige fixatie van een falanx van hand
22699007;parti ë le salpingo - ovari ë ctomie;22699007;parti ë le salpingo - o ö forectomie
22778000;vena punctie;22778000;venapunctie
23036009;open reductie van een radius en ulnafractuur;23036009;open reductie van fractuur
23049004;parti ë le resectie van de proximale fibula;23049004;partiele excisie van de proximale fibula
23253008;gesloten reductie en inwendige fixatie van een fractur van een falanx van de voet;23253008;gesloten reductie van een falanx van voet en inwendige fixatie
23348001;diepe incisie met openen van de cortex van de humerus;23348001;incisie van de humerus
23476008;destructie van een letsel van de thoraxwand;23476008;destructie van letsel van borstkas
23673008;excisie van een diepe subfasciale tumor van de enkel;23673008;excisie van van diepe subfasciale
23719005;beenmerg transplantatie;23719005;beenmergtransplantaat
23770001;herstel van utero - ureter fistel;23770001;sluiten van fistel
23897002;open reductie van fractuur van de orbita;23897002;open reductie van fractuur
23943001;open reductie van een sternumfractuur;23943001;open reductie van fractuur
23976002;reconstructie van de neus , totaal met arm flap;23976002;reconstructie van neus , totaal met arm flap
24088005;coronaire arterie atherectomie;24088005;atherectomie , coronaire
24262002;katheter trombectomie van de arteria radialis via arm incisie;24262002;trombectomie met katheter van arteria radialis via arm incisie
24312009;herstel laceratie van de grote vaten;24312009;grote vaten
24376003;extra - corporele shockwave lithotripsie ( ESWL ) van de nier;24376003;eswl van de nier
24396006;excisie van diepe intramusculaire tumor van de voorarm;24396006;excisie van tumor van de onderarm diepe intramusculaire
24401005;radicale resectie van een tumor van de weke delen van de vinger;24401005;radicale resectie van de vinger
24437000;excisie van de palmaire fascia;24437000;excisie van fascia palmaris
24443003;totale thyroidectomie;24443003;totale thyro ï dectomie
24452007;cystotomie met extractie van bloedklonter;24452007;verwijderen van bloedklonter uit de blaas via incisie
24602008;embolectomie van de arteria femoralis en arteria politea via een been incisie;24602008;katheter embolectomie van de arteria politea via een been incisie
24633005;verwijderen van een vreemd voorwerp uit de fascia van de hand;24633005;verwijderen van vreemd voorwerp van fascia
24719002;excisie decubitus ulcus been met lokale huidflap;24719002;excisie decubitus ulcus been met lokale flap
24788003;biopsie van de schildklier;24788003;biopsie schildklier
25314000;diepe incisie en open van de botcortex van de onderarm;25314000;incisie van de onderarm
25316003;destructie van letsel van de cornea;25316003;destructie cornea letsel
25477002;incisie van de fibula;25477002;fibulaostetomie
25605000;gesloten reductie van de epifyse van de humerus;25605000;gesloten reductie van epiphysiolyse van de humerus
25853004;heraanhechting chorioidea en retina met laser;25853004;heraanhechting chorioidea en retina met laser fotocoagulatie
26054002;incisie en drainage van diep absces van weke delen van de thorax;26054002;incisie en drainage van diep absces van weke delen van thorax
26495009;creatie van een shunt van systeem naar pulmonaal circulatie;26495009;shunt van systeem naar pulmonaal circulatie
26586004;sluiten van een gastrostomie;26586004;gastrostomiesluiting
26786002;plaatsen van een sclerale buckle;26786002;cataractoperatie van
26801001;rhizotomie n accusticus ( nVIII );26801001;rhizotomie n accusticus ( nviii )
26925005;colon transversum resectie;26925005;colectomie transversum
27056009;colorectale anastomose;27056009;colorectostomie
27193000;ruime excisie van lipletsel;27193000;excisie van ruime excisie van lipletsel
27210007;laryngofaryngo - oesofagectomie met radicale nek dissectie en synchrone thyroidectomie;27210007;laryngofaryngo - oesofagectomie met radicale nek dissectie en synchrone thyro ï dectomie
27320000;diepe zacht weefsel biopsie van de pols;27320000;biopsie weke delen van pols , diepe
27374006;sluiten punctum met plug;27374006;sluiten van puntum
27537008;arthrodese van clivus - C1 - C2 via een anterieure extraorale techniek , met botgreffe en excisie van de dens;27537008;arthodese via een anterieure extraorale techniek , clivus - c1 - c2 met botgreffe en excisie van de dens
27748003;arthroplastiek van het laterale compartiment van de knie;27748003;knie totale vervanging van het laterale compartiment
27813003;intraarticulaire infiltratie;27813003;intra - articulaire injectie
27815005;excisie van letsel thv peesschede van de pols;27815005;excisie van pols
27842006;radicale excisie van lymfeklieren;27842006;radicale lymfadenectomie
28197002;arteria axillaris tot arteria femoralis veneuze bypass greffe;28197002;axillo - femorale bypass met vena
28264008;amygdalotomie;28264008;amygdolotomie
28301000;ingreep op uters volgens Manchester - Fothergill;28301000;ingreep op uters volgens manchester - fothergill
28457008;incisie en drainage van ge ï nfecteerde bursa van de schouderregio;28457008;incisie en drainage van ge ? nfecteede bursa van schouder
28516003;diepe biopsie van zacht weefsel van de enkelregio;28516003;biopsie van zacht weefsel van de enkelregio profunda
28696005;open reductie en inwendige fixatie van de ulna;28696005;open reductie van fractuur met inwendige fixatie
28750009;open reductie van een congenitale heupluxatie met verkorting van de femurschaft;28750009;open reductie van congenitale heupluxatie met verkorting van de femurschaft
28851001;oesofago - jejunoplastie;28851001;oesofagojejunoplastiek
29075009;femoro - arteria tibialis anterior bypass met vene;29075009;femoro - arteria tibialis anterior bypass met vena
29105006;excisie van schildklieradenoma;29105006;schildklieradenoomverwijdering
29119006;re ï mplantatie van een lidmaat;29119006;reimplantatie van
29137007;indentatie van de sclera voor plaatsen van een buckle;29137007;indentatie van de sclera voor buckling
29374002;herstel van fistel van trachea;29374002;tracheafistelherstel
29481005;biopsie van het peritoneum;29481005;buikvliesbiopsie
29567006;NMR hersenen;29567006;nucleaire magnetische resonantie beeldvorming hersenen
29672006;parti ë le o ö phorectomie;29672006;gedeeltelijke verwijdering ovarium
29682007;dilatatie van cervix en curettage voor zwangerschapsbe ë indiging;29682007;dilatatie en curettage voor zwangerschapsbe ë indiging
29690007;excisie van letsel van arterie van bovenste lidmaat;29690007;excisie van van arterie van bovenste lidmaat
29728003;resectie van een gewricht van de vinger;29728003;chondrectomie van de vinger
29751003;open reductie van een fractuur van een falanx van de hand;29751003;open reductie van een handphalanx
29827000;bilaterale salpingo - o ö phorectomie;29827000;salpingo - o ö forectomie bilateraal
