SNOMED conceptID;SNOMED term;Google translate vertaalde term;Matecat vertaling;thot vertaalde term medisch woordenboek + SNOMED be
48138001;Splenogram;Splenogram;Splenogram;splenogram
48577007;Leukovorin rescue;Leukovorin redding;Leukovorin redding;leukovorin rescue
48706002;Exophthalmometry;Exophthalmometry;Exophthalmometry;exophthalmometry
48783008;Choledochopancreatostomy;Choledochopancreatostomy;Choledochopancreatostomy;choledoco - pancreaticostomie
49315002;Pentobarbital measurement;pentobarbital meting;pentobarbital meting;pentobarbital -
49538000;Conglutinin assay;Conglutinin assay;Conglutinin assay;conglutinin -
49847002;Antibody titration, saline;Titratie van antilichamen , zoutoplossing;Titratie van antilichamen , zoutoplossing;antilichaamdefici titration - zoutoplossing
50445001;Mastoidectomy;masto ï dectomie;mastoidectomie;masto ï dectomie
50861005;Patient discharge, to legal custody;Pati ë nt kwijting , wettelijke voogdij;Pati ë nt kwijting , wettelijke voogdij;pati ë nten - legale custody
51972009;Prostacyclin measurement;prostacycline meting;prostacycline meting;prostacyclin -
51973004;Reattachment of tendon to skeletal attachment;Herbevestiging van de pees aan het skelet attachment;Herbevestiging van de pees aan het skelet attachment;peesre ï nsertie
52566004;Clivogram;cladogram;Clivogram;clivogram
52627000;Penicillinase measurement;penicillinase meting;penicillinase meting;penicillinase -
52667004;Sigmoidosigmoidostomy;Sigmoidosigmoidostomy;Sigmoidosigmoidostomy;sigmo ï dosigmo ï dostomie
53133001;Cecocoloplicopexy;Cecocoloplicopexy;Cecocoloplicopexy;cecocoloplicopexy
53236004;Reorienting patient;herori ë nteren pati ë nt;herori ë nteren pati ë nt;reorienting pati ë nt
53948008;Doleris operation on uterine ligaments;Doleris operatie op uteriene ligamenten;Doleris operatie op uteriene ligamenten;doleris alexander
54070000;Postpartum education;postpartum onderwijs;postpartum onderwijs;postpartumperiode ntenvoorlichting
54540001;Meperidine measurement;meperidine meting;meperidine meting;meperidine -
54657008;Hygiene education;hygi ë ne onderwijs;hygi ë ne onderwijs;uiterlijk ntenvoorlichting
54921001;Rheumatoid factor measurement;Reumato ï de factor meting;Reumato ï de factor meting;reumato ï dfactor
54964008;Chemiluminescence assay;chemiluminescentie - test;chemiluminescentie - test;chemiluminescence -
54983001;Measurement of girth;Meting van de omvang;Meting van de omvang;, omtrek
55046007;Reamputation;Reamputation;Reamputation;reamputation
55322005;Vital pulpotomy;Vital pulpotomy;Vital pulpotomy;vital pulpotomy
55454000;Spermatocystotomy;Spermatocystotomy;vesiculotomie;spermatocystotomy
55761000;Echogynography;Echosonography;Echogynography;echogynography
56274004;Cryoprecipitate thawing and pooling;Cryoprecipitaat ontdooien en pooling;Cryoprecipitaat ontdooien en pooling;cryoprecipitate thawing en pooling
56433002;Thyroidorrhaphy;Thyroidorrhaphy;Thyroidorrhaphy;thyro ï dorrhafie
56469005;Moving a patient;Verplaatsen van een pati ë nt;Verplaatsen van een pati ë nt;bewegend pati
56583005;Mephobarbital measurement;mefobarbital meting;mefobarbital meting;mephobarbital -
56636003;Isodose computation for teletherapy;Isodose berekening voor teletherapie;Isodose berekening voor teletherapie;isodose computation voor teletherapy
56638002;Flow cytometric crossmatch;Flowcytometrische crossmatch;Flowcytometrische crossmatch;vloeien cytometric crossmatch
56919009;Butabarbital measurement;Butabarbital meting;Butabarbital meting;butabarbital -
57109006;Cytotoxicity assay for autoantibody;Cytotoxiciteit assay voor autoantilichamen;Cytotoxiciteit assay voor autoantilichamen;cytotoxicity - for autoantibody
57151004;Cheilostomatoplasty;Cheilostomatoplasty;Cheilostomatoplasty;cheilostomatoplasty
57214001;Effleurage;effleurage;effleurage;effleurage
57569002;Opticociliary neurectomy;Opticociliary neurectomie;Opticociliary neurectomie;opticociliary neurectomie
58000006;Patient discharge;ontlading pati ë nt;ontlading pati ë nt;pati ë nten
58448000;Lyophilized coagulation concentrate, reconstitution;Gevriesdroogde coagulatie concentraat reconstitutie;Gevriesdroogde coagulatie concentraat reconstitutie;lyophilized bloedcoagulatietest concentraat , reconstitution
58707002;Oral hygiene instruction;Mondhygi ë ne instructie;Mondhygi ë ne instructie;mondhygi ë ne onderwijzen
58809006;Osteoarthrotomy;Osteoarthrotomy;Osteoarthrotomy;osteoarthrotomy
58873006;Modified Goeckerman regimen;Gemodificeerde Goeckerman regime;Gemodificeerde Goeckerman regime;aangepaste goeckerman regimen
59014001;Procainamide measurement;proca ï namide meting;proca ï namide meting;proca ï namide -
59427005;Synchronized intermittent mandatory ventilation;Gesynchroniseerde intermitterende verplichte ventilatie;Gesynchroniseerde intermitterende verplichte ventilatie;, langzamegolf - drukbeademing mandatory beademing
59690005;Compensating filter design and fabrication;Compenseren filter ontwerp en de fabricage;Compenseren filter ontwerp en de fabricage;compensating inferiorfilter design en fabrication
60116007;Complement fixation titration;Complementbindingsreactie titratie;Complementbindingsreactie titratie;complementdefici darmophanging titration
60654006;Diagnostic radiography of abdomen;Diagnostische radiografie van de buik;Diagnostische radiografie van de buik;buikr ö ntgenfoto
60685002;Prostatocystotomy;Prostatocystotomy;Prostatocystotomy;prostatocystotomy
60955009;Assisting exercise;assisteren oefening;assisteren oefening;assisting lichaamsbeweging
61151005;Cholecystopancreatostomy;Cholecystopancreatostomy;Cholecystopancreatostomy;cholecysto - pancreaticostomie
61241003;Phytanate measurement;Phytanate meting;Phytanate meting;phytanate -
61436009;Psychoanalysis;Psychoanalyse;Psychoanalyse;psychoanalysis
61586001;Delivery by vacuum extraction;Levering door vacu ü mextractie;Levering door vacu ü mextractie;vacu ü mextractie
61718005;Image analysis, karyometry;Beeldanalyse karyometry;Beeldanalyse karyometry;ogen , karyometry
61735009;Hepatoduodenostomy;Hepatoduodenostomy;Hepatoduodenostomy;hepato - duodenostomoie
62013009;Ambulating patient;ambulating pati ë nt;ambulating pati ë nt;ambulating pati ë nt
62092000;Isotachyphoresis measurement;Isotachyphoresis meting;Isotachyphoresis meting;isotachyphoresis -
62236008;Delimiting keratotomy;afbakenen keratotomie;afbakenen keratotomie;delimiting keratotomie
62407006;Search for dangerous objects;Zoeken naar gevaarlijke voorwerpen;Zoeken naar gevaarlijke voorwerpen;search voor dangerous voorwerpen
62868009;Mobilizing exercises;mobiliseren oefeningen;mobiliseren oefeningen;mobilizing inspanningstherapie
63407004;Episioproctotomy;Episioproctotomy;Episioproctotomy;episioproctotomy
63411005;Ouabain measurement;ouaba ï ne meting;ouaba ï ne meting;ouaba ï ne ne
63678000;Antibody titration, enzyme;Titratie van antilichamen , enzym;Titratie van antilichamen , enzym;antilichaamdefici titration , enzyme
64373007;Placing bedrails;Het plaatsen van bedrails;Het plaatsen van bedrails;leggen bedrails
64738007;Cardiometry;Cardiometry;Cardiometry;cardiometry
64812004;Sphingomyelinase measurement, fibroblasts;Sfingomyelinase meting , fibroblasten;Sfingomyelinase meting , fibroblasten;sphingomyelinase - fibroblasts
65117000;Fluorescent identification of anti-nuclear antibody titration;Fluorescerende identificatie van anti - nucleaire titratie van antilichamen;Fluorescerende identificatie van anti - nucleaire titratie van antilichamen;immunofluorescentietechniek titration
65745000;Partial hypophysectomy;gedeeltelijke hypofysectomie;gedeeltelijke hypofysectomie;parti hypofysectomie
65760002;Galactosylceramide beta-galactosidase measurement;Galactosylceramide beta - galactosidase meting;Galactosylceramide beta - galactosidase meting;globo ï dcelleuko - -
65781002;Porteus mazes;Porteus doolhoven;Porteus doolhoven;porteus mazes
65854006;Reexcision;Reexcision;Reexcision;reexcision
65954005;Hepaticocystoduodenostomy;Hepaticocystoduodenostomy;Hepaticocystoduodenostomy;hepaticocystoduodenostomy
66951008;Carotid endarterectomy;Carotisendarterectomie;Carotisendarterectomie;caroticus endarteri ë ctomie
67066002;Deoxycorticosteroids measurement;Deoxycorticosteroids meting;Deoxycorticosteroids meting;deoxycorticosteroids -
67311005;Sedimentation rate, Wintrobe;Bezinking , Wintrobe;Bezinking , Wintrobe;erytrocytensedimentatiesnelheid wintrobe
67704009;Etiocholanolone measurement;etiocholanolon meting;etiocholanolon meting;etiocholanolone -
67804001;Arylsulfatase test;arylsulfatase - test;arylsulfatase - test;leuko -
67839001;Merrill Palmer preschool performance;Merrill Palmer voorschoolse prestaties;Merrill Palmer voorschoolse prestaties;merrill palmer preschool prestaties
68111003;Cardioschisis;Cardioschisis;Cardioschisis;cardioschisis
68121006;Measurement of interstitial fluid pressure in muscle compartment;Meting van interstiti ë le flu ï dumdruk in de spieren compartiment;Meting van interstiti ë le flu ï dumdruk in de spieren compartiment;#NAAM?
68187007;Tracheobronchial suctioning;tracheobronchiale uitzuigen;tracheobronchiale uitzuigen;tracheobronchiaal suctioning
68515000;Methyprylon measurement;methyprylon meting;methyprylon meting;methyprylon -
68795003;Micro cytotoxicity crossmatch;Micro cytotoxiciteit crossmatch;Micro cytotoxiciteit crossmatch;micro cytotoxicity crossmatch
68894007;Placing restraint;Het plaatsen van terughoudendheid;Het plaatsen van terughoudendheid;leggen restraint
68923005;Autocontrol procedure for crossmatch;Autocontrole procedure voor crossmatch;Autocontrole procedure voor crossmatch;autocontrol montage crossmatch
69363007;Nucleic acid amplification;Nucle ï nezuuramplificatie;Nucle ï nezuuramplificatie;nucle ï nezuurhybridisatie amplification
69556006;Otonecrectomy of inner ear;Otonecrectomy van binnenoor;Otonecrectomy van binnenoor;otonecrectomy binnenoor
71466003;Valproic acid measurement;Valpro ï nezuur meting;Valpro ï nezuur meting;valpro ï nezuur -
71840009;Vesicourethropexy;Vesicourethropexy;Vesicourethropexy;cysto - urethropexie
72063000;Precision attachment;precisiehulpstuk;precisiehulpstuk;precision aanhechting
72234007;Doxepin measurement;Doxepin meting;Doxepin meting;doxepin -
72594006;Orthotic check-out readjustment;Orthotic check - out aanpassing;Orthotic check - out aanpassing;orthotic - out readjustment
72845001;Histocompatibility crossmatch;histocompatibiliteit crossmatch;histocompatibiliteit crossmatch;histocompatibiliteit crossmatch
73189009;Amoxapine measurement;amoxapine meting;amoxapine meting;amoxapine -
73293008;Myotenoplasty;Myotenoplasty;Myotenoplasty;myotenoplasty
73409002;Prausnitz-Kustner test;Prausnitz - Kustner - test;Prausnitz - Kustner - test;prausnitz - kustnerreactie
73529003;Cryoprecipitate preparation;cryoprecipitaat voorbereiding;cryoprecipitaat voorbereiding;cryoprecipitate voorbereiding
73577003;Digitoxin measurement;digitoxine meting;digitoxine meting;digitoxin -
73920007;Spurling maneuver;Spurling manoeuvre;Spurling manoeuvre;spurling manoeuvre
73927005;Goebel-Frangenheim-Stoeckel operation for urethrovesical suspension;Goebel - Frangenheim - Stoeckel verrichting voor urethrovesical schorsing;Goebel - Frangenheim - Stoeckel verrichting voor urethrovesical schorsing;goebel - frangenheim - stoeckel ingreep urethro schorsing
73966002;Hemicystectomy;Hemicystectomy;hemicystectomie;hemicystectomy
74290000;Fracturing-refracturing;Breken - refracturing;Breken - refracturing;fracturing - refracturing
74556005;Thromboendarterectomy;Thromboendarterectomy;Thromboendarterectomy;endarteri ë ctomie
74579006;Goniospasis;Goniospasis;Goniospasis;goniospasis
75313008;Orthotic splinting;orthopedische spalken;orthopedische spalken;orthotic spalkaanbrenging
75404005;Epiploectomy;Epiploectomy;Epiploectomy;epiplo ë ctomie
75406007;Morphometry, quantitative;Morfometrie , kwantitatieve;Morfometrie , kwantitatieve;morphometry kwantitatief
75513009;Recement bridge;recement brug;recement brug;recement brug
76530001;Phosphatidylglycerol measurement;fosfatidylglycerol meting;fosfatidylglycerol meting;phosphatidylglycerol -
77000007;Post-amputation rehabilitation;Post - amputatie revalidatie;Post - amputatie revalidatie;#NAAM?
77697000;Cryothalamectomy;Cryothalamectomy;Cryothalamectomy;cryothalamectomy
