conceptId;Beschrijving;conceptId;Beschrijving thot
11343000;anusscopie met biopsie;11343000;anoscopie met biopsie
11466000;keizersnede;11466000;keizersnede
11954004;leverherstel;11954004;leverherstel
12666009;cholecystocolostomie;12666009;cholecystocolostomy
12672009;proctolysis;12672009;proctolysis
12744005;perineale urethroscopie;12744005;perineale urethroscopie
12865005;thoracale aneurysmectomie;12865005;thoracale aneurysmectomie
13490005;conchotomie;13490005;conchotomy
13619001;thyro ï dectomie;13619001;thyro ï dectomie
13666002;leucotomie;13666002;leukotomie
13685004;pharyngostomie;13685004;faryngostomie
13714004;arthroscopie;13714004;artroscopie
13852005;transabdominale gastroscopie;13852005;transabdominal gastroscopie
14059008;pelviene lymfadenectomie;14059008;pelviene lymfadenectomie
14072009;totale oesofagectomie;14072009;totale oesofagectomie
14152002;intraveneuse infusie;14152002;intraveneuze infusie
14404001;thymopexie;14404001;thymopexy
14687003;choledocho - enterostomie;14687003;choledocho - enterostomie
14857006;mediale fasciotomie;14857006;mediale fasciotomie
15050001;laparoscopische leverbiopsie;15050001;laparoscopische leverbiopsie
15067008;nefropexie;15067008;nefropexie
15440009;desarticulatie;15440009;disarticulatie
16029001;oesofagoscopie via kunstmatig stoma;16029001;oesofagoscopie via kunstmatige stoma
16226000;laparoscopische sterilisatie;16226000;laparoscopische sterilisatie
16398009;hypotympanotomie;16398009;hypotympanotomy
16589005;femorale endarteri ë ctomie;16589005;femorale endarteri ë ctomie
17203000;totale hepatectomie;17203000;totale hepatectomie
17254000;hepaticolithotomie;17254000;hepaticolithotomy
17423001;epifysiodese;17423001;epifysiodese
17606004;sclerectomie;17606004;sclerectomy
18027006;levertransplantatie;18027006;levertransplantatie
18044005;tracheoscopie;18044005;tracheoscopie
18245001;excisie van ischiale bursa;18245001;excisie van ischial bursa
19060000;cauterisatie van de stembanden;19060000;cauterisatie van de stembanden
19095002;ligatuur van bronchus;19095002;ligatuur van bronchus
19149007;subtotale retropubische prostatectomie;19149007;subtotale retropubische prostatectomie
19578002;artrodese;19578002;artrodese
19606007;endarterectomie van aortaboog;19606007;endarterectomie van aortaboog
20534003;aortopopliteale bypass;20534003;aortopopliteal bypass
21123000;iridosclerectomie;21123000;iridosclerectomy
21397001;vaginale spoeling;21397001;vaginale spoeling
21596009;herstel van uveale hernia;21596009;herstel van uvea hernia
21619009;permanente tracheostomie;21619009;permanente tracheostoma
21796007;directe laryngoscopie met dilatatie;21796007;directe laryngoscopie met dilatatie
21922009;symphysiotomie;21922009;symphysiotomie
22094003;lineaire proctotomie;22094003;lineaire proctotomie
22491003;fimbrioplastie;22491003;fimbrioplasty
22510001;osteotomie van femurhals;22510001;osteotomie van femurhals
22523008;vasectomie;22523008;vasectomie
22737002;blefarectomie;22737002;blefarectomie
23797008;oesofagojejunostomie;23797008;oesofagojejunostomie
23805000;curretage ooglid;23805000;curettage ooglid
23928003;costochondrectomie;23928003;costochondrectomy
23968004;colectomie;23968004;colectomie
23984003;plicatie van vena cava inferior;23984003;plication van vena cava inferior
24026006;intra - abdominale veneuze shunt;24026006;intra - abdominale veneuze shunt
24139008;cystoscopie;24139008;cystoscopie
24298005;brachioplastie;24298005;brachioplasty
24506003;oesofagogastrectomie;24506003;oesofagogastrectomie
25353009;craniotomie;25353009;craniotomie
25679005;cardiolysis;25679005;cardiolysis
26294005;radicale prostatectomie;26294005;radicale prostatectomie
26337002;exploratieve thoracotomie;26337002;exploratieve thoracotomie
26452005;totale gastrectomie;26452005;totale gastrectomie
26993008;abdominale eosofagostomie;26993008;abdominale oesofagostomie
27056009;colorectostomie;27056009;colorectostomie
27227004;excisie van aorta descendens;27227004;excisie van aorta descendens
27491009;mediale canthoplastie;27491009;mediale canthoplastiek
27779004;sternotomie;27779004;sternotomie
27985001;cervicale sympathectomie;27985001;cervicale sympathectomie
28178002;hepatopexie;28178002;hepatopexy
28264008;amygdalotomie;28264008;amygdolotomie
28537006;decompressie van inwendige gehoorgang;28537006;decompressie van inwendige gehoorgang
28644007;vaginale enterocolectomie;28644007;vaginale enterocelectomy
28725006;trachelopexie;28725006;trachelopexy
28760000;laryngoscopie;28760000;laryngoscopie
28903008;percutane angioscopie;28903008;percutane angioscopie
29065006;sigmoiedotomie;29065006;sigmoidotomy
29216007;talectomie;29216007;talectomy
29347003;herstel tunica vaginalis;29347003;herstel tunica vaginalis
29453004;jejunotomie;29453004;jejunotomy
29477005;herstel van fractuur met sequestrectomie;29477005;herstel van fractuur met sequestrectomie
29532006;proctoscopie met biopsie;29532006;proctoscopie met biopsie
29799003;condylotomie;29799003;condylotomy
29911008;crytherapie van iris;29911008;cryotherapie van iris
30043008;linker laterale anale sfincterotomie;30043008;linker laterale anale sfincterotomie
30398006;renale calicotomie;30398006;renale calicotomy
30574003;dilatatie van frontonasale ductus;30574003;dilatatie van frontonasal ductus
30583008;cauterisatie van de urethra;30583008;cauterisatie van de urethra
31118007;intracraniale flebectomie;31118007;intracraniale flebectomie
31489003;drainage van binnenoor;31489003;drainage van binnenoor
31904001;adrenalectomie;31904001;adrenalectomie
32218000;slokdarmbiopsie;32218000;slokdarmbiopsie
32238004;empyemectomie;32238004;empyemectomy
32432000;uterocentesis;32432000;uterocentesis
32495000;cranioplastie;32495000;cranioplastiek
32607009;reductie van gesloten sesamoid fractuur;32607009;reductie van gesloten sesamoid fractuur
32750006;inspectie;32750006;inspection
33099007;incudectomie;33099007;incudectomy
33149006;pancreatectomie;33149006;pancreatectomie
33899008;drainage van milt door marsupialisatie;33899008;drainage van milt door marsupialisatie
34130000;cholecystocecostomie;34130000;cholecystocecostomy
35152000;prostatolithotomie;35152000;prostatolithotomy
35227009;spinale salpingothecale shunt met klep;35227009;spinale salpingothecal shunt met klep
35241000;cholecystostomie;35241000;cholecystostomie
35411000;tractotomie;35411000;tractotomy
36253005;suprapubische prostatectomie;36253005;suprapubische prostatectomie
36412004;manipulatie van thymus;36412004;manipulatie van thymus
36511008;Injectie in binnenoor;36511008;injectie naar binnenoor
36673005;intradermale injectie;36673005;intradermale injectie
36812006;iridectomie;36812006;iridectomie
36889006;gastropexie;36889006;gastropexie
36946006;epididymectomie;36946006;epididymectomie
37182005;corneosclerale hechting;37182005;corneoscleral hechting
37460009;extensieve clitoridectomie;37460009;extensive clitoridectomie
37572001;endorectale resectie;37572001;endorectal resectie
37867003;herstel atrioventriculair kanaal defect met prothese;37867003;herstel atrioventriculair kanaal defect met prothese
38102005;cholecystectomie;38102005;cholecystectomie
38447000;clipping vena cava inferior , partieel;38447000;clipping vena cava inferior partieel
38502004;intracraniale aneurysmectomie met anastomosis;38502004;intracraniale aneurysmectomie met anastomose
38507005;cholecystopexie;38507005;cholecystopexy
38512006;resectie van cerebrale meningen;38512006;resectie van cerebrale meningen
38546007;cardiocentese;38546007;cardiocentesis
38869002;scapulopexie;38869002;scapulopexy
39083009;thoracale oesofagostomie;39083009;thoracale oesofagostomie
39309004;hemilaryngectomie;39309004;hemilaryngectomie
40151007;aponeurectomie;40151007;aponeurectomy
40297002;hallux valgus correctie met sesamoidectomie;40297002;hallux valgus correctie met sesamoidectomy
40345006;retinaculotomie;40345006;retinaculotomy
40380005;herstel urethroscrotale fistel;40380005;herstel urethroscrotal fistel
40583006;resectie van trachea;40583006;resectie van trachea
40708002;pupillotomie;40708002;pupillotomy
40826009;ileoscopie;40826009;ileoscopie
40833009;keratectomie;40833009;keratectomie
40995000;pancreaticocystojejunostomie;40995000;pancreaticocystojejunostomy
41306007;perineale urethrorrhaphie;41306007;perineale urethrorrhaphy
41360004;nasotracheale aspiratie;41360004;nasotracheale aspiratie
41371003;perineale prostatectomie;41371003;perineale prostatectomie
42238002;proctoscopie;42238002;proctoscopie
42582005;herstel atrioventriculair kanaal defect;42582005;herstel atrioventriculair kanaal defect
42837001;excisie van aortaboog;42837001;excisie van aortaboog
42843004;laparoscopische adrenalectomie;42843004;laparoscopische adrenalectomie
43060002;intraveneuse injectie;43060002;intraveneuze injectie
43102005;acromionectomie;43102005;acromionectomy
43450002;totale thymectomie;43450002;totale thymectomie
43643006;ossiculectomie van middenoor;43643006;ossiculectomy van middenoor
44307002;hysterolyse;44307002;hysterolysis
44364007;duimamputatie;44364007;duimamputatie
44850001;presacrale sympathectomie;44850001;presacrale sympathectomie
44972003;laryngoscopie via stomie;44972003;laryngoscopie via stoma
45334006;mediastinoscopie met biopsie;45334006;mediastinoscopie met biopsie
45595009;laparoscopische cholecystectomie;45595009;laparoscopische cholecystectomie
45842000;herstel van retroperitoneaal weefsel;45842000;herstel van retroperitoneale weefsel
45919008;excisie van secundair membraan;45919008;excisie van secundaire membraan
46082001;laterale orbitotomie;46082001;laterale orbitotomie
46816007;intracraniale aneurysmectomie;46816007;intracraniale aneurysmectomie
47020004;ventriculoperitoneale shunt;47020004;ventriculoperitoneale shunt
47610008;costotomie;47610008;costotomy
47909001;vestibulotomie;47909001;vestibulotomy
47955004;hechten van thymus;47955004;hechting van thymus
48268004;gesloten atriale septectomie;48268004;gesloten atriale septectomy
48507008;iridesis;48507008;iridesis
48640007;plicatie van fascia;48640007;plication van fascia
49021007;aneurysmotomie;49021007;aneurysmotomy
49187005;endarterectomie van aorta;49187005;endarterectomie van aorta
49230008;oesofagoscopie;49230008;oesofagoscopie
49795001;pneumonectomie;49795001;pneumonectomie
49795001;pneumonectomie;49795001;pneumonectomie
49834007;coccygotomie;49834007;coccygotomy
49924002;perineale colostomie;49924002;perineale colostomie
49934006;verlenging van fascia;49934006;verlenging van fascia
49994009;splanchnotomie;49994009;splanchnicotomy
50012009;caecopexie;50012009;caecopexie
50489001;herstel telecanthus;50489001;herstel telecanthus
50984002;reductie van gesloten talotarsale luxatie;50984002;reductie van gesloten talotarsal luxatie
51233000;sigmoiedostomie;51233000;sigmoidostomy
51410004;sequestrectomie;51410004;sequestrectomie
51683002;radiale keratotomie;51683002;radiale keratomie
51933005;bilaterale epididymectomie;51933005;bilaterale epididymectomie
51968005;sesamoidectomie;51968005;sesamoidectomy
52318007;corneasclerale trepanatie;52318007;corneoscleral trepanatie
52826006;substernale thyro ï dectomie;52826006;substernale thyro ï dectomie
52889002;endocervicale curettage;52889002;endocervicale curettage
53251008;incudectomie met stapedectomie;53251008;incudectomy met stapedectomie
53442002;gastrectomie;53442002;gastrectomie
53613004;thoacolumbale sympathectomie;53613004;thoracolumbar sympathectomie
54033009;cystourethroplastie;54033009;cystourethroplasty
54460006;chemonucleolysis;54460006;chemonucleolyse
54636000;cardiomyopexie;54636000;cardiomyopexy
54956002;gastrostomie;54956002;gastrostomie
55531006;urethrostomie;55531006;urethrostomy
56162006;sequestrectomie van tibia en fibula;56162006;sequestrectomie van tibia en fibula
56520006;exicise van cardioma;56520006;excisie van cardioma
56807000;ureterolithotomie;56807000;ureterolithotomie
57071006;sympathectomie;57071006;sympathectomie
57152006;herstel van hallux valgus;57152006;herstel van hallux valgus
57245002;pylorostomie;57245002;pylorostomy
57271003;extraperitoneale keizersnede;57271003;extraperitoneal keizersnede
57525009;subtotale perineale prostatectomie;57525009;subtotale perineale prostatectomie
57551006;iridoasis;57551006;iridotasis
57874002;abdominale flebectomie;57874002;abdominale flebectomie
57900006;costotransversectomie;57900006;costotransversectomy
57922004;laparoscopische pyloromyotomie;57922004;laparoscopische pyloromyotomie
58090001;pancreaticocystoenterostomie;58090001;pancreaticocystoenterostomy
58380004;pericardiostomie;58380004;pericardiostomie
58515002;cryoleucotomie;58515002;cryoleucotomy
58889009;laserpexie;58889009;laserpexy
59077004;canthotomie;59077004;canthotomy
60041003;laryngofaryngectomie;60041003;laryngofaryngectomie
60177007;mechanische vitrectomie;60177007;mechanische vitrectomie
60362005;hechten van het sigmo ï d;60362005;hechting van het sigmo ï d
60463004;salpingostomie;60463004;salpingostomie
60465006;permanente gastrostomie;60465006;permanente gastrostomie
60953002;laterale canthopexie;60953002;laterale canthopexy
61404002;o ö phoropexie;61404002;o ö foropexie
61702004;herstel van vulva;61702004;herstel van vulva
61854000;gewrichtsstabilisatie;61854000;gewrichtsstabilisatie
61916001;injectie in beenmerg;61916001;injectie naar beenmerg
62178009;cauterisatie van iris;62178009;cauterisatie van iris
62409009;foraminotomie;62409009;foraminotomie
62471006;diepe axillaire lymfadenectomie;62471006;diepe axillaire lymfadenectomie
62553002;herstel blefarophimosis;62553002;herstel blepharophimosis
62843007;manipulatie van long;62843007;manipulatie van long
63356004;capsulectomie van de lens;63356004;capsulectomy van de lens
63469004;obstetrische cephalometrie;63469004;obstetrische cephalometry
63523001;peritomie;63523001;peritomie
63633003;open ureterale meatotomie;63633003;open ureterale meatotomie
63697000;cardiopulmonaire bypass;63697000;cardiopulmonale bypass
63906004;open reductie van condylaire fractuur;63906004;open reductie van condylar fractuur
63933000;ventriculostomie;63933000;ventriculostomie
64063003;radicale cystectomie;64063003;radicale cystectomie
64356005;hemimandibulectomie;64356005;hemimandibulectomy
64608008;excisie van aorta ascendens;64608008;excisie van aorta ascendens
64656002;ventriculomyocardiotomie;64656002;ventriculomyocardiotomy
65310005;vagotomie;65310005;vagotomie
65756000;vaginectomie;65756000;vaginectomie
66072009;laryngostomie;66072009;laryngostomie
66478002;totale laryngectomie;66478002;totale laryngectomie
66542005;zonulolyse met lensextractie;66542005;zonulolysis met lensextractie
66605009;cardiopneumopexie;66605009;cardiopneumopexy
67166004;aortocoronaire bypass;67166004;aortocoronaire bypass
67212000;ileocystoplastie;67212000;ileocystoplasty
67244001;incisie en exploratie van long;67244001;incisie en exploration van long
67520002;proctoscopie via stoma;67520002;proctoscopie via stoma
67598001;retropubische prostatectomie;67598001;retropubische prostatectomie
68011001;clitoridotomie;68011001;clitoridotomy
68287001;gesloten atriale septostomie;68287001;gesloten atriale septostomy
68911004;duodenojejunostomie;68911004;duodenojejunostomy
69130005;stapedectomie;69130005;stapedectomie
69446009;skelettractie;69446009;skelettractie
69539003;directe laryngoscopie met strippen van de stembanden;69539003;directe laryngoscopie met stripping van de stembanden
70243005;coloproctostomie;70243005;colorectostomie
70536003;niertransplantatie;70536003;niertransplantaat
71861002;implantatie;71861002;implantatie
72109001;herstel van bronchus;72109001;herstel van bronchus
72193009;cardiosplenopexie;72193009;cardiosplenopexy
72310004;circumcisio;72310004;circumcisie
72411001;dacryoadenectomie;72411001;dacryoadenectomy
72710001;scleroplastiek;72710001;scleroplastiek
72757000;hymenectomie;72757000;hymenectomie
72791001;laryngectomie;72791001;laryngectomie
72910005;lumbale sympathectomie;72910005;lumbale sympathectomie
73164003;neurorafie;73164003;neurorafie
73499009;atticotomie;73499009;atticotomie
73759005;duodenectomie;73759005;duodenectomie
73761001;coloscopie;73761001;coloscopie
73802004;Excisie van urethrovaginaal septum;73802004;excisie van urethrovaginal septum
74688006;canthoplastie;74688006;canthoplastiek
74854002;cauterisatie van de anus;74854002;cauterisatie van de anus
75176001;tympanectomie;75176001;tympanectomie
75732000;vitrectomie;75732000;vitrectomie
76077004;totale pancreatectomie met transplantatie;76077004;totale pancreatectomie met transplantatie
76517002;otoscopie;76517002;otoscopie
76580007;perifere arteri ë le bypass;76580007;perifere arteri ë le bypass
76808009;spierhechting;76808009;spierhechting
76949005;gonioscopie;76949005;gonioscopie
77100009;pyeloplastie;77100009;pyeloplastiek
77474007;acromioplastie;77474007;acromioplastiek
77665000;ventrohysteropexie;77665000;ventrohysteropexy
78121007;directe laryngoscopie;78121007;directe laryngoscopie
78285005;pleuropexie;78285005;pleuropexy
78384007;omentectomie;78384007;omentectomie
78432000;intraveneuze anesthesie;78432000;intraveneuze anesthesie
78566006;obstetische implantatie;78566006;obstetrische implantatie
78800009;colpohysterotomie;78800009;colpohysterotomy
79170004;ileoduodenotomie;79170004;ileoduodenotomy
80146002;appendectomie;80146002;appendicectomie
80267006;duodenoscopie;80267006;duodenoscopie
81070005;bronchoscopie via tracheostomie met longbiopsie;81070005;bronchoscopie via tracheostomie met longbiopsie
81232004;radicale cystoprostatectomie;81232004;radicale cystoprostatectomie
81516001;parti ë le nefrectomie;81516001;parti ë le nefrectomie
81849003;pallidoansotomie;81849003;pallidoansotomy
81870009;parotidectomie;81870009;parotidectomie
82087005;urethrapexie;82087005;uretropexie
82736000;trabeculotomie;82736000;trabeculotomy
82839004;panniculectomie;82839004;panniculectomy
83000000;manipulatie van ovarium;83000000;manipulatie van ovarium
83019005;cricopharyngeale myotomie;83019005;cricofaryngeale myotomie
83444008;renale papillectomie;83444008;renale papillectomy
83613005;cardiopericardiopexie;83613005;cardiopericardiopexy
83809000;renale calicectomie;83809000;renale calicectomy
83868006;iridocapsulectomie;83868006;iridocapsulectomy
84275009;obstetrische hysterotomie;84275009;obstetrische hysterotomie
84303004;neurolyse;84303004;neurolyse
84354004;herstel van tracheo - oesofagale fistel;84354004;herstel van tracheo - oesofageale fistel
84510006;tijdelijke gastrostomie;84510006;tijdelijke gastrostomie
84552001;resectie van aortaboog met anastomose;84552001;resectie van aortaboog met anastomose
84668001;buikwandbiopsie;84668001;buikwandbiopsie
84705009;bilaterale otoplastie;84705009;bilaterale otoplastiek
84938007;herstel ischiorectale hernia;84938007;herstel ischiorectale hernia
85124008;hemiglossectomie;85124008;hemiglossectomie
85419002;orchidopexie;85419002;orchidopexie
85472003;mesenteropexie;85472003;mesenteriopexy
85543002;plicatie van vena cava superior;85543002;plication van vena cava superior
85548006;episiotomie;85548006;episiotomie
86112008;bronchoplastie;86112008;bronchoplastiek
86273004;biopsie;86273004;biopsie
86481000;laparotomie;86481000;laparotomie
86868001;aortoiliofemorale bypass;86868001;aortoiliofemoral bypass
86974000;ischiopubiotomie;86974000;ischiopubiotomy
87022008;Fistelherstel vulva;87022008;fistelherstel vulva
87060004;palliodotomie;87060004;pallidotomie
87192001;pallidectomie;87192001;pallidectomy
87314005;exploratie van arteria carotis;87314005;exploration van arteria carotis
87917005;exploratieve cardiotomie;87917005;exploratieve cardiotomy
88039007;longtransplantatie;88039007;longtransplantaat
88632002;splenopexie;88632002;splenopexy
88904009;herstel epicanthus;88904009;herstel epicanthus
88916003;anusscopie;88916003;anoscopie
88974005;herstel van cisterna chyli;88974005;herstel van cisterna chyli
89053004;vaginale keizersnede;89053004;vaginale keizersnede
89079008;venotripsie;89079008;venotripsy
89710006;exploratie van bursa;89710006;exploration van bursa
89770003;anale sfincterotomie;89770003;anale sfincterotomie
89862001;herstel van long;89862001;herstel van long
89915007;malleostapediopexie;89915007;malleostapediopexy
90131007;arthrocentese;90131007;artrocentese
90164007;trabeculodialyse;90164007;trabeculodialysis
90249002;pneumocentese;90249002;pneumocentese
90470006;prostatectomie;90470006;prostatectomie
91625001;selectieve vagotomie;91625001;selectieve vagotomie
103723005;angioscopie;103723005;angioscopie
107820002;tracheobronchiale excisie;107820002;tracheobronchiale excisie
108028005;ureterectomie;108028005;ureterectomie
108034003;cystectomie;108034003;cystectomie
112719001;xiphoidectomie;112719001;xiphoidectomy
112762000;open iliotibiale fasciotomie;112762000;open iliotibial fasciotomie
112763005;osteotomie van tibia en fibula;112763005;osteotomie van tibia en fibula
112798008;endotracheale intubatie;112798008;endotracheale intubatie
112803004;aneurysmectomie;112803004;aneurysmectomie
112825005;intracraniale arteri ë ctomie met anastomose;112825005;intracraniale arteri ë ctomie met anastomose
112884007;cholecystoduodenostomie;112884007;cholecystoduodenostomy
112902005;parti ë le cystectomie;112902005;parti ë le cystectomie
112963003;aspiratie van cataract;112963003;aspiratie van cataract
112980004;herstel van omentum hernia;112980004;herstel van omentum hernia
115959002;stereotactische radiochirurgie;115959002;stereotactische radiochirurgie
116140006;totale hysterectomie;116140006;totale hysterectomie
116141005;abdominale hysterectomie;116141005;abdominale hysterectomie
116142003;radicale hysterectomie;116142003;radicale hysterectomie
118292001;verwijderen;118292001;verwijdering
118457006;gesloten subcutane tenotomie;118457006;gesloten subcutaan tenotomie
118458001;open subcutane tenotomie;118458001;open subcutaan tenotomie
118486009;phalangectomie;118486009;phalangectomy
118487000;arthroplastiek van teen;118487000;artroplastiek van teen
119283008;open biopsie;119283008;open biopsie
119644002;schouder manipulatie;119644002;schouder manipulatie
119713001;nasofarynx reconstructie;119713001;nasofarynx reconstructie
119801003;abdominale arterie implantatie;119801003;abdominale arteria implantatie
119803000;abdominale arterie injectie;119803000;abdominale arteria injectie
119817009;veneuze implantatie;119817009;veneuze implantatie
119820001;veneuze transplantatie;119820001;veneuze transplantatie
119821002;veneuze transpositie;119821002;veneuze transpositie
119824005;pericard reconstructie;119824005;pericard reconstructie
119860000;lip implantatie;119860000;lip implantatie
119864009;mond reconstructie;119864009;mond reconstructie
119903001;rectum reconstructie;119903001;rectum reconstructie
119912004;lever implantatie;119912004;lever implantatie
119914003;lever reconstructie;119914003;lever reconstructie
119915002;galweg incisie;119915002;galweg incisie
119937009;pancreas reconstructie;119937009;pancreas reconstructie
119954001;adenectomie;119954001;adenectomie
119966007;beenmerg excisie;119966007;beenmerg excisie
119968008;beenmerg implantatie;119968008;beenmerg implantatie
120004002;epididymis injectie;120004002;epididymis injectie
120008004;testis reconstructie;120008004;testis reconstructie
120024003;scrotum reconstructie;120024003;scrotum reconstructie
122479006;chondrectomie;122479006;chondrectomie
125674004;scapula excisie;125674004;scapula excisie
125883007;hemipatellectomie;125883007;hemipatellectomy
164721007;zenuwgeleidingsonderzoek;164721007;zenuwgeleidingsonderzoeken
171754009;syringostomie;171754009;syringostomy
171884008;cervicale chemische sympathectomie;171884008;cervicale chemische sympathectomie
171964005;excisie van de epifyse;171964005;excisie van de epifyse
172011006;transsternale thymectomie;172011006;transsternal thymectomie
172207008;mediale canthopexie;172207008;mediale canthopexy
172237004;hertsel trichiasis;172237004;herstel trichiasis
172485001;laser trabeculoplastiek;172485001;lasers trabeculoplastiek
172525002;cryoextractie van de lens;172525002;cryoextraction van de lens
172538005;mechanische lensectomie;172538005;mechanische lensectomy
172574001;repositie plombage voor loslating;172574001;reposition plombage voor loslating
172624005;herstel van oorlel;172624005;herstel van oorlel
172732009;implantatie van intracochleaire prothese;172732009;implantatie van intracochlear prothese
172733004;implantatie van extracochleaire prothese;172733004;implantatie van extracochlear prothese
172737003;cochleostomie;172737003;cochleostomy
172742006;vestibulaire neuroectomie;172742006;vestibulaire neurectomie
172761005;reductie rhinoplastie;172761005;reductie rhinoplastiek
172859007;darm beeldvorming;172859007;darm beeldvorming
172887003;craniofaciale resectie;172887003;craniofaciale resectie
172899005;laterale rhinotomie;172899005;laterale rhinotomy
172921000;uncinectomie;172921000;uncinectomy
173057002;reconstructie van trachea met huidflap;173057002;reconstructie van trachea met huidflap
173076000;tracheopexie;173076000;tracheopexy
173170008;bilobectomie long;173170008;bilobectomy long
173193002;drainage van long;173193002;drainage van long
173200000;open drainage van mediastinum;173200000;open drainage van mediastinum
173235003;bilaterale lip adhesies;173235003;bilaterale lip adhesie
173422009;tonsillectomie;173422009;tonsillectomie
173426007;bilaterale laser tonsillectomie;173426007;bilaterale laser tonsillectomie
173618006;disconnectie van vena azygos;173618006;disconnection van vena azygos
173747005;Roux - en - Y gastrojejunostomie;173747005;roux - en - y gastrojejunostomie
173788005;pyloromyotomie;173788005;pyloromyotomie
173848007;totale duodenectomie;173848007;totale duodenectomie
173849004;parti ë le duodenectomie;173849004;parti ë le duodenectomie
173918008;open jejunoscopie;173918008;open jejunoscopy
173980008;tijdelijke ileostomie;173980008;tijdelijke ileostomie
174030005;gastrocnemius recessie;174030005;gastrocnemius recession
174059005;proctocolectomie;174059005;proctocolectomie
174071004;uitgebreide rechter hemicolectomie;174071004;uitgebreide rechter hemicolectomie
174140006;dilatatie van colostomie;174140006;dilatatie van colostomie
174140006;dilatatie van colostomie;174140006;dilatatie van colostomie
174385004;laterale sfincterotomie;174385004;laterale sfincterotomie
174466003;percutane embolisatie van arteria hepatica;174466003;percutane embolisatie van arteria hepatica
174525001;percutane cholecystostomie;174525001;percutane cholecystostomie
174585003;galwegexploratie;174585003;galwegexploratie
174776001;totale splenectomie;174776001;totale splenectomie
174792006;exploratie van milt;174792006;exploration van milt
174793001;drainage van milt;174793001;drainage van milt
174899009;herstel van sinus venosus;174899009;herstel van sinus venosus
175182002;diagnostische pericardcentesis;175182002;diagnostische pericardiocentesis
175262009;open pulmonale embolectomie;175262009;open pulmonale embolectomie
175380003;percutane transluminale angioplastie van arteria carotis;175380003;percutane transluminale angioplastiek van arteria carotis
175460003;percutane transluminale embolisatie van arteria brachialis;175460003;percutane transluminale embolisatie van arteria brachialis
175461004;percutane embolisatie van arterie vertebralis;175461004;percutane embolisatie van arteria vertebralis
175466009;percutane transluminale embolisatie van arteria axillaris;175466009;percutane transluminale embolisatie van arteria axillaris
175798002;plicatie van vena cava;175798002;plication van vena cava
175808002;veneuze klep transplantatie;175808002;veneuze klep transplantatie
175871007;percutane transluminale embolisatie van vene;175871007;percutane transluminale embolisatie van vene
176028006;uretero - ureterostomie;176028006;uretero - ureterostomie
176106009;radicale cystoprostatourethrectomie;176106009;radicale cystoprostatourethrectomy
176117005;cecocystoplastie;176117005;cecocystoplasty
176135001;perineale urethrostomie;176135001;perineale urethrostomy
176258007;open prostatectomie;176258007;open prostatectomie
176288003;transurethrale laser prostatectomie;176288003;transurethrale laser prostatectomie
176415006;bilaterale subcapsulaire orchidectomie;176415006;bilaterale subcapsulair orchidectomie
176434006;bilaterale orchidopexie;176434006;bilaterale orchidopexie
176585001;rituele clitoridectomie;176585001;rituelen clitoridectomie
176586000;clitoroplastie;176586000;clitoroplasty
176597000;totale vulvectomie;176597000;totale vulvectomie
