SNOMED conceptID;SNOMED term
645008;Diagnostic procedure on vitreous	
647000;Excision of cervix by electroconization	
657004;Operation on bursa	
665001;Partial meniscectomy of temporomandibular joint	
670008;Electrosurgical epilation of eyebrow	
671007;Transplantation of testis	
673005;Indirect laryngoscopy	
674004;Abduction test of knee	
676002;Peritoneal dialysis including cannulation	
680007;Radiation physics consultation	
687005;Albumin/Globulin ratio	
695009;Destructive procedure of lesion on skin of trunk	
697001;Hepatitis A virus antibody measurement	
710006;Thromboendarterectomy with graft of mesenteric artery	
712003;Closed chest suction	
721002;Medical procedure on periurethral tissue	
722009;Fine needle biopsy of thymus	
726007;Pathology consultation, comprehensive, records and specimen with report	
730005;Incision of subcutaneous tissue	
741007;Operation on prostate	
746002;Chiropractic adjustment of coccyx subluxation	
753006;Manipulation of ankle AND foot	
754000;Total urethrectomy	
759005;Intracerebral electroencephalogram	
762008;Computerized axial tomography of cervical spine with contrast	
764009;Arthrodesis of interphalangeal joint of great toe	
767002;White blood cell count	
789003;Cranial decompression, subtemporal, supratentorial	
791006;Dressing and fixation procedure	
807005;Excision of brain	
814007;Electrophoresis measurement	
817000;Excision of cyst of spleen	
831000;Drawer test	
851001;Root canal therapy, molar, excluding final restoration	
853003;Fecal fat measurement, 72-hour collection	
867007;Facial-hypoglossal nerve anastomosis	
870006;Carbamazepine measurement	
879007;Special blood coagulation test, explain by report	
881009;Cyclodialysis	
893000;Tumor antigen measurement	
897004;Radical maxillary antrotomy	
910002;MHPG measurement, urine	
910002;3-Methoxy-4-hydroxphenylglycol (MHPG) measurement, urine	
910002;3-Methoxy-4-hydroxphenylglycol measurement, urine	
911003;Removal of subarachnoid-ureteral shunt	
913000;Chiropractic patient education and instruction	
913000;Chiropractic patient education	
926001;Embolectomy with catheter of radial artery by arm incision	
935008;Excision of bulbourethral gland	
941001;Endoscopy of pituitary gland	
945005;Excision of tibia and fibula for graft	
948007;Phlebectomy of intracranial varicose vein	
951000;Ultrasonic guidance for endomyocardial biopsy	
956005;Anesthesia for procedure on thoracic esophagus	
967006;Medication education	
969009;Incision and exploration of larynx	
971009;Prosthetic construction and fitting	
1001000;Cauterization of Bartholin's gland	
1008006;Operation on nerve ganglion	
1019009;Removal of corneal epithelium	
1021004;Repair of scrotum	
1029002;Fetoscopy	
1032004;Enucleation of parotid gland cyst	
1035002;Minimum bactericidal concentration test, microdilution method	
1036001;Insertion of intravascular device in common iliac vein, complete	
1041009;Debridement of open fracture of phalanges of foot	
1042002;Paternity testing	
1043007;Doppler color flow velocity mapping	
1044001;Diagnostic ultrasound of abdomen and retroperitoneum	
1048003;Capillary specimen collection	
1054002;Incision of sphincter of Oddi	
1071001;Proximal splenorenal anastomosis	
1084005;Excision of perinephric cyst	
1093006;Excision of abdominal varicose vein	
1103000;Transcrural mobilization of stapes	
1104006;Triad knee repair	
1115001;Decortication	
1119007;Closed reduction of dislocation of foot and toe	
1121002;Kinetic activities for range of motion	
1127003;Interstitial radium application	
1133007;Removal of intact mammary implant, bilateral	
1163003;Ureteroenterostomy	
1176009;Incision of inguinal region	
1181000;Excision of tendon for graft	
1186005;Anesthesia for procedure on bony pelvis	
1198000;Excisional biopsy of bone of scapula	
1209007;Arthroscopy of knee with lateral meniscus repair	
1225002;Radiography of humerus	
1227005;Incision of subvalvular tissue for discrete subvalvular aortic stenosis	
1235008;Muscle transfer	
1237000;Application of cast, sugar tong	
1238005;Epiphyseal arrest by stapling of distal radius	
1251000;Incisional biopsy of testis	
1253002;Refusion of spine	
1258006;Excision of meniscus of wrist	
1266002;Closure of tympanic membrane perforation	
1267006;Electrocoagulation of lesion of vagina	
1278003;Open reduction of closed shoulder dislocation with fracture of greater tuberosity	
1279006;Repair of cardiac pacemaker pocket in skin AND/OR subcutaneous tissue	
1292009;Magnetic resonance imaging of urinary bladder	
1299000;Excision of appendiceal stump	
1315009;Reconstruction of eyebrow	
1316005;Upper partial denture, cast metal base without resin saddles, including any conventional clasps, rests and teeth	
1324000;Cerebrospinal fluid IgG ratio and IgG index	
1324000;Cerebrospinal fluid immunoglobulin G ratio and immunoglobulin G index	
1327007;Procedure on Meckel's diverticulum	
1328002;Ilioiliac shunt	
1329005;Division of congenital web of larynx	
1337002;Colosigmoidostomy	
1339004;Removal of impacted feces	
1347004;Medical procedure on palate	
1352009;Anterior spinal rhizotomy	
1358008;Anti-human globulin test, enzyme technique, titer	
1366004;Inhalation therapy procedure	
1385001;Echography, scan B-mode for fetal age determination	
1390003;Laparoscopic-assisted sigmoid colectomy	
1398005;Direct thrombectomy of iliac vein by leg incision	
1399002;Incision and exploration of ureter	
1407007;Application of long leg cast, brace type	
1410000;Anesthesia for tympanotomy	
1411001;Operation on papillary muscle of heart	
1413003;Penetrating keratoplasty with homograft	
1414009;Angiography of arteriovenous shunt	
1417002;Operation on face	
1431002;Fixation	
1440003;Repair with resection-recession	
1449002;Epilation	
1453000;Biofeedback, galvanic skin response	
1455007;Cerclage	
1457004;Truncal vagotomy with pyloroplasty and gastrostomy	
1494008;Osmolarity measurement	
1500007;Bilateral epididymovasostomy	
1501006;Altemeier operation, perineal rectal pull-through	
1505002;Hospital admission for isolation	
1529009;Aspiration of soft tissue	
1533002;Ureteroplication	
1550000;Amikacin measurement	
1555005;Brief group psychotherapy	
1559004;IL-2 assay	
1559004;Interleukin (IL)-2 assay	
1559004;Interleukin-2 assay	
1576000;Closure of uteroenteric fistula	
1577009;Implantation of cardiac single-chamber device replacement, rate-responsive	
1578004;Reconstruction of ossicles with stapedectomy	
1583007;Tractotomy of mesencephalon	
1585000;Lengthening of gastrocnemius muscle	
1596008;Anesthesia for total elbow replacement	
1597004;Skeletal X-ray of ankle and foot	
1602006;Social service interview with planning	
1614003;Bilateral repair of inguinal hernia, direct	
1615002;Reline upper partial denture, chairside	
1616001;Galactosylceramide beta-galactosidase measurement, leukocytes	
1636000;Injection of sclerosing agent in varicose vein	
1638004;Cineplastic amputation with cineplastic prosthesis of extremity	
1640009;History and physical examination, insurance	
1645004;Transduodenal sphincterotomy	
1651009;Excision of tendon sheath	
1653007;Internal fixation of bone without fracture reduction	
1669000;Making occupied bed	
1677001;Haagensen test	
1678006;Endoscopic procedure of nerve	
1680000;Secondary chemoprophylaxis	
1683003;Direct closure of laceration of conjunctiva	
1689004;Local excision of ovary	
1691007;Drainage of abscess of tonsil	
1699009;Special dosimetry	
1702002;Labial veneer, resin laminate, laboratory	
1704001;Repair of congenital pseudoarthrosis of tibia	
1709006;Breast reconstruction, bilateral, with bilateral pedicle TRAM flaps	
1709006;Breast reconstruction, bilateral, with bilateral pedicle transverse rectus abdominis myocutaneous flaps	
1712009;Immunoglobulin typing, IgG	
1712009;Immunoglobulin typing, immunoglobulin G	
1713004;Hypothermia, total body, induction and maintenance	
1730002;Suture of skin wound of hindfoot	
1746005;Scleral buckling with implant	
1747001;Replacement of skeletal muscle stimulator	
1753001;Resection of uveal tissue	
1757000;Arthroscopy of wrist with partial synovectomy	
1759002;Assessment of nutritional status	
1770009;Mitral valvotomy	
1774000;Nasopharyngeal rehabilitation	
1775004;Submaxillary incision with drainage	
1784004;Fecal stercobilin, qualitative	
1787006;Ultrasonic guidance for pericardiocentesis	
1788001;Blood unit collection for directed donation, donor	
1801001;Endoscopic biopsy of duodenum	
1805005;Surgical closure of stoma	
1811008;Aspiration of bursa of hand	
1813006;Cryotherapy of genital warts	
1820004;Alcohol measurement, breath	
1820004;Ethanol measurement, breath	
1830008;Open reduction of open sacral fracture	
1836002;Excision of diverticulum of ventricle of heart	
1844002;Plication of ligament	
1854003;Incision of nose	
1859008;Removal of foreign body from tendon of hand	
1861004;Anesthesia for closed procedure on humerus and elbow	
1862006;Thoracic phlebectomy	
1866009;Bilateral nephrectomy	
1866009;Bilateral total nephrectomy	
1868005;Removal of foreign body from brain	
1870001;Insertion of halo device of skull with synchronous skeletal traction	
1871002;Repair of aneurysm of coronary artery	
1872009;Suture of male perineum	
1876007;Recession of prognathic jaw	
1879000;Fluorescent antigen measurement	
1889001;Patient transfer, in-hospital, unit-to-unit	
1906007;Insertion of prosthesis or prosthetic device of arm, bioelectric or cineplastic	
1907003;Bifurcation of bone	
1917008;Patient discharge, deceased, medicolegal case	
1924009;Hepaticotomy with drainage	
1950008;Drainage of abscess of nasal septum	
1958001;Grafting of bone of thumb with transfer of skin flap	
1966005;Central block anesthesia	
1983001;Total urethrectomy including cystostomy in female	
1995001;Stripping of cerebral meninges	
1999007;Psychologic test	
2002009;Construction of subcutaneous tunnel without esophageal anastomosis	
2021001;Internal fixation of radius and ulna without fracture reduction	
2051007;Red cell iron utilization study	
2054004;Barbiturates measurement, quantitative and qualitative	
2067001;Implantation of electromagnetic hearing aid	
2069003;Dental subperiosteal implant	
2078009;Puncture of bursa of hand	
2079001;Reimplantation of anomalous pulmonary artery	
2080003;Angiectomy with anastomosis of lower limb artery	
2098004;Open reduction of open mandibular fracture with external fixation	
2115003;Dental prophylaxis, children	
2119009;Repair of blood vessel	
2127000;Reduction of closed sacral fracture	
2137005;Excision of pericardial tumor	
2153008;Cardiac catheterization education	
2161003;Operation on vulva	
2164006;Injection of aorta	
2166008;Bicuspidization of aortic valve	
2171001;Excision of tonsil tags	
2178007;Ureterocentesis	
2181002;Operation for bone injury of tarsals and metatarsals	
2188008;Suture of tendon to skeletal attachment	
2193006;Repair of ruptured aneurysm with graft of celiac artery	
2196003;Gas liquid chromatography, electron capture type	
2199005;Excision of lesion of cul-de-sac	
2214008;Curette test of skin	
2220009;Complement component assay	
2225004;Sensititer system test	
2234009;Proctosigmoidopexy	
2238007;Stone operation, anoplasty	
2242005;Reconstruction of eyelid	
2244006;Arthroscopy of wrist with internal fixation for instability	
2250001;Resection of ascending aorta with anastomosis	
2252009;Hospital admission, urgent, 48 hours	
2266004;Venography of adrenal, bilateral	
2267008;Changing tracheostomy tube	
2270007;Repair of cleft hand	
2276001;Exploration of popliteal artery	
2278000;Urinalysis, automated	
2279008;Antibody detection, RBC, enzyme, 1 stage technique, including anti-human globulin	
2279008;Antibody detection, red blood cell, enzyme, 1 stage technique, including anti-human globulin	
2290003;Microbial culture, anaerobic, initial isolation	
2315006;Operation on cerebral meninges	
2318008;Anesthesia for cast procedure on forearm, wrist or hand	
2321005;Delivery by Ritgen maneuver	
2322003;Suture of recent wound of eyelid, direct closure, full-thickness	
2337004;Adductor tenotomy of hip	
2344008;Complicated cystorrhaphy	
2347001;Diagnostic model construction	
2364003;Radical resection of tumor of soft tissue of wrist area	
2371008;Tympanoplasty type II with graft against incus or malleus	
2373006;Buffy coat smear evaluation	
2382000;Application of breast pump	
2386002;Reduction of closed patellar dislocation	
2393003;Ligation of vein of lower limb	
2406000;Periodontic dental consultation and report	
2407009;Excision of mediastinal tumor	
2408004;Hexosaminidase A and total hexosaminidase measurement, serum	
2409007;Reattachment of extremity of foot	
2425002;Epstein-Barr virus serologic test	
2442008;Incision of lacrimal canaliculus	
2448007;Cell count of synovial fluid with differential count	
2455009;Revision of lumbosubarachnoid shunt	
2457001;Blind rehabilitation therapy	
2458006;Educational therapy	
2459003;Destructive procedure of artery of upper extremity	
2461007;Tennis elbow test	
2474001;Repair of malunion of metatarsal bones	
2475000;Urine specimen collection, 24 hours	
2480009;Debridement of skin, subcutaneous tissue, muscle and bone	
2486003;Destruction of tissue of breast	
2488002;Prescription, fitting and dispensing of contact lens	
2494005;Nursing conference	
2498008;Rebase of upper partial denture	
2507007;5' Nucleotidase measurement	
2508002;Retrograde urography with KUB	
2508002;Retrograde urography with kidney-ureter-bladder	
2514009;Reduction of closed humeral supracondylar fracture with manipulation and traction	
2514009;Manual reduction of closed supracondylar fracture of humerus with traction	
2517002;Stroke rehabilitation	
2530001;Chiropractic visit	
2531002;Mononuclear cell function assay	
2535006;Pulpectomy	
2536007;Injection of medication in anterior chamber of eye	
2547000;Excision of keloid	
2552005;Incision of cerebral subarachnoid space	
2564002;Creation of lumbar shunt including laminectomy	
2566000;Osteoplasty of radius	
2567009;Resection of rib by transaxillary approach	
2580007;Transplant of hair follicles to scalp	
2598006;Open heart surgery	
2601001;Removal of bone flap of skull	
2607002;Operation on uterus supporting structures	
2613006;Implantation of joint prosthesis into joint of hand	
2614000;Removal of ligature from fallopian tube	
2616003;Repair of bifid digit of hand	
2619005;Psychiatric interpretation to family or parents of patient	
2629003;Intracranial/cerebral perfusion pressure monitoring	
2632000;Incision and drainage of infected bursa of upper arm	
2642003;Prefabricated post and core in addition to crown	
2643008;Ligation of varicose vein of head and neck	
2644002;Cauterization of liver	
2645001;Intelligence test/WB1	
2646000;Incision and exploration of vas deferens	
2658000;Social service interview of patient	
2659008;Suture of ligament of lower extremity	
2668005;Recementation of space maintainer	
2670001;Diagnostic procedure on cornea	
2673004;Incision and drainage of masticator space by extraoral approach	
2677003;Stripping	
2690005;Magnetic resonance imaging of pelvis	
2693007;Stool fat, quantitative measurement	
2696004;Hepatic venography with hemodynamic evaluation	
2697008;Stripping and ligation of great saphenous vein	
2716009;Dermal-fat-fascia graft	
2722000;IL-3 assay	
2722000;Interleukin (IL)-3 assay	
2722000;Interleukin-3 assay	
2731000;Serologic test for influenza virus A	
2732007;Recession of tendon of hand	
2737001;Exploratory craniotomy, infratentorial	
2742009;Destruction of Bartholin's gland	
2743004;Operative endoscopy of ileum	
2745006;Omentopexy	
2752008;Incudopexy	
2780005;Osteoplasty of facial bones	
2794006;Cauterization of navel	
2802005;Manual dilation and stretching	
2811005;Cineradiography of pharynx	
2813008;Nephroureterocystectomy	
2837008;Transposition of ulnar nerve at elbow	
2842000;Gas chromatography measurement	
2843005;Revision of urinary conduit	
2847006;Cervical myelography	
2851008;Arthrotomy for synovectomy of sternoclavicular joint	
2854000;Bursectomy of hand	
2857007;Complete excision of pineal gland	
2866006;Obliteration of lymphatic structure	
2875008;Implantation of joint prosthesis into elbow joint	
2876009;Hospital admission, type unclassified, explain by report	
2885009;Intradermal skin test	
2891006;Arthroscopy of elbow with partial synovectomy	
2898000;DNA analysis, antenatal, blood	
2898000;Deoxyribonucleic acid analysis, antenatal, blood	
2903001;Diagnostic procedure on anterior chamber of eye	
2908005;Destruction of hemorrhoids by cryotherapy	
2914003;Anterior sclerotomy	
2915002;Suture of capsule of ankle	
2933008;Pneumogynecography	
2945004;Suprapubic diverticulectomy of urinary bladder	
2947007;Therapeutic compound measurement	
2960001;Closure of fistula of uterine cervix	
2968008;Craniectomy with treatment of penetrating wound of brain	
2970004;Metacarpal lengthening and transfer of local flap	
2971000;Closure of acquired urethrovaginal fistula	
2977001;Thrombectomy of lower limb vein	
3001009;Total lobectomy with bronchoplasty	
3010001;Removal of silastic tubes from ear	
3016007;Removal of Crutchfield tongs from skull	
3025001;Calcitonin measurement	
3026000;Tibiotalar arthrodesis	
3029007;Peripheral nervous system disease rehabilitation	
3041000;Repair of stomach	
3047001;Kowa fundus photography	
3060007;Forequarter amputation, right	
3061006;Complete excision of nail AND nail matrix	
3063009;Gastroscopy through artificial stoma	
3075004;Nonoperative removal of prosthesis of bile duct	
3078002;Embolectomy with catheter of renal artery by abdominal incision	
3083005;Removal of device from thorax	
3088001;Anesthesia for endoscopic procedure on upper extremity	
3090000;Aneurysmectomy with graft replacement of lower limb artery	
3112006;Restraint removal	
3116009;Blood coagulation panel	
3130004;Monitoring of cardiac output by ECG	
3133002;Patient discharge, deceased, autopsy	
3137001;Reimplantation	
3143004;Visual field examination and evaluation, intermediate	
3162001;Gadolinium measurement	
3164000;Open reduction of closed mandibular fracture with interdental fixation	
3165004;Irrigation of muscle of hand	
3166003;Closure of fistula of salivary gland	
3177009;Internal obstetrical version	
3183007;Closure of colostomy	
3186004;Excision of Skene's gland	
3190002;Epilation by forceps	
3204007;Destructive procedure of nerve	
3241008;Correction of chordee with mobilization of urethra	
3249005;Surgical construction of filtration bleb	
3251009;Mayo operation, herniorrhaphy	
3256004;Cervical lymphangiogram	
3257008;Empty and measure peritoneal dialysis fluid	
3258003;Arteriography of cerebral arteries	
3268008;Transplantation of tissue of pelvic region	
3270004;Implantation of neurostimulator in spine	
3278006;Lysis of adhesions of bursa of hand	
3287002;Cholecystogastrostomy	
3320000;Autotransfusion	
3324009;Laser beam photocoagulation	
3326006;Excision of bunionette	
3328007;Incision of vein of head and neck	
3333006;Application of short arm splint, forearm to hand, static	
3338002;Open reduction of open radial shaft fracture	
3352000;Parathyroid hormone measurement	
3357006;Iron kinetics study	
3360004;Anastomosis of bile ducts	
3390006;Verification routine	
3399007;Reduction of torsion of omentum	
3407002;Creation of lesion of spinal cord by percutaneous method	
3413006;Blood cell morphology	
3418002;Chondrectomy of spine	
3432000;Preventive dental service	
3443008;Pulp cap, direct, excluding final restoration	
3448004;Fixation of contralateral testis	
3450007;Lymphocytes, T & B cell evaluation	
3457005;Patient referral	
3479000;Removal of heart assist system with replacement	
3498003;Total excision of pituitary gland by transsphenoidal approach	
3499006;Aspiration of vitreous with replacement	
3509001;Streptococcus vaccination	
3512003;Angiography of arteries of extremity	
3515001;Replacement of electronic heart device, pulse generator	
3517009;Removal of foreign body of pelvis from subcutaneous tissue	
3518004;Aversive psychotherapy	
3527003;Antibody measurement	
3546002;Aortocoronary artery bypass graft with saphenous vein graft	
3559005;Insertion of ureteral stent with ureterotomy	
3562008;Rodney Smith operation, radical subtotal pancreatectomy	
3564009;Removal of foreign body from fallopian tube	
3575008;Repair of fascia with graft of fascia	
3580004;Removal of calculus of pharynx	
3605001;Reduction of ciliary body	
3607009;Transplantation of mesenteric tissue	
3620007;Red cell survival study with hepatic sequestration	
3625002;Anesthesia for brachial arteriograms, retrograde	
3651000;Morphometric analysis, nerve	
3654008;Lingulectomy of lung	
3659003;Incision of inner ear	
3664004;Closure of scleral fistula	
3666002;Peripheral neurorrhaphy	
3669009;Fitting of prosthesis or prosthetic device of upper arm	
3673007;Leadbetter urethral reconstruction	
3683006;Selenium measurement, urine	
3686003;Zancolli operation for tendon transfer of biceps	
3688002;Anesthesia for lens surgery	
3690001;Shunt of left subclavian to descending aorta by Blalock-Park operation	
3691002;Wedge osteotomy of tarsals and metatarsals	
3697003;Tissue processing technique, routine, embed, cut and stain, per autopsy	
3700004;Erysiphake extraction of cataract by intracapsular approach	
3701000;Removal of foreign body of hip from subcutaneous tissue	
3713005;Release for de Quervain's tenosynovitis of hand	
3717006;Dilute Russell viper venom time	
3734003;Split thickness skin graft	
3735002;Coproporphyrin III measurement	
3740005;Removal of foreign body of canthus by incision	
3748003;Biopsy of perirenal tissue	
3749006;Reduction of closed ischial fracture	
3758004;Thrombectomy with catheter of subclavian artery by neck incision	
3770000;Ward urine dip stick testing	
3778007;Manipulation of scrotal tissue	
3780001;Routine patient disposition, no follow-up planned	
3784005;Delayed hypersensitivity skin test for SK-SD	
3784005;Delayed hypersensitivity skin test for streptokinase-streptodornase	
3786007;Excision of lesion of pharynx	
3787003;Ultrasonic guidance for needle biopsy	
3794000;Pregnanetriol measurement	
3796003;Excision of redundant mucosa from jejunostomy	
3799005;Radiography of adenoids	
3802001;Dental application of desensitizing medicament	
3802001;Topical application of tooth medicament - desensitising agent	
3802001;Topical application of tooth medicament - desensitizing agent	
3819004;Embolization of thoracic artery	
3826004;Blepharotomy with drainage of abscess of eyelid	
3828003;Open biopsy of vertebral body of thoracic region	
3831002;Chiropractic application of ice	
3843001;Removal of foreign body from fascia	
3858009;Echography of thyroid, A-mode	
3861005;Aneurysmectomy with anastomosis of lower limb artery	
3862003;Total vital capacity measurement	
3864002;Excisional biopsy of scrotum	
3880007;Excision of lesion of fibula	
3881006;Incision and drainage of submental space by extraoral approach	
3887005;Ligation of wart	
3889008;Suture of lip	
3891000;Comprehensive orthodontic treatment, permanent dentition, for class I malocclusion	
3895009;Application of dressing	
3907006;Incision and drainage of retroperitoneal abscess	
3911000;Muscle transplantation	
3915009;Excision of artery of thorax and abdomen	
3917001;Excisional biopsy of phalanges of foot	
3918006;Plastic repair with lengthening	
3926003;Lactic acid measurement	
3929005;Patient transfer, in-hospital, bed-to-bed	
3936006;Making Foster bed	
3938007;Cerclage for retinal reattachment	
3942005;Cystopexy	
3955006;Antibody elution, RBC	
3955006;Antibody elution from red blood cells	
3957003;Arteriectomy of thoracoabdominal aorta	
3963007;Operation on submaxillary gland	
3967008;Fluorescence polarization immunoassay	
3968003;Facetectomy of vertebra	
3969006;Removal of osteocartilagenous loose body from joint structures	
3971006;Duchenne muscular dystrophy carrier detection	
3980006;Subtotal resection of esophagus	
3981005;Carrier detection, molecular genetics	
3985001;Anesthesia for procedure on arteries of lower leg with bypass graft	
3991004;Magnetic resonance imaging of pelvis, prostate and bladder	
3998005;Bone imaging of limited area	
4007002;Anti-human globulin test, indirect, titer, non-gamma	
4008007;Phlebography of neck	
4010009;Oophorectomy of remaining ovary with tube	
4027001;Implantation of electronic stimulator into phrenic nerve	
4034004;Closed reduction of facial fracture, except mandible	
4035003;Restoration, resin, two surfaces, posterior, permanent	
4036002;Arthroscopy of elbow with extensive debridement	
4037006;Removal of vascular graft or prosthesis	
4044002;Permanent colostomy	
4045001;Drainage of cerebral ventricle by incision	
4052004;Percutaneous aspiration of spinal cord syrinx	
4064007;Specimen aliquoting	
4068005;Removal of ventricular reservoir with synchronous replacement	
4083000;Fitting of prosthesis or prosthetic device of lower arm	
4084006;Repair of tendon of hand by graft or implant of muscle	
4090005;Replacement of transvenous atrial and ventricular pacemaker electrode leads	
4094001;Reduction of retroversion of uterus by pessary	
4101004;Revision of spinal pleurothecal shunt	
4102006;Root canal therapy, anterior, excluding final restoration	
4114003;Parenteral chemotherapy for malignant neoplasm	
4116001;Construction of window	
4119008;Intracranial phlebectomy with anastomosis	
4131005;Implantation into pelvic region	
4134002;Operative block anesthesia	
4139007;Posterior spinal cordotomy	
4143006;Injection of anterior chamber of eye	
4149005;Bone histomorphometry, aluminum stain	
4154001;Incision and drainage of penis	
4165006;Delayed hypersensitivity skin test for staphage lysate	
4176005;Fothergill operation on uterus	
4192000;Toxicology testing for organophosphate insecticide	
4213001;Implantation of Ommaya reservoir	
4214007;Intracardiac injection for cardiac resuscitation	
4226002;Excision of lesion of thoracic vein	
4238006;Hemoquant feces	
4252008;Aneurysmectomy with graft replacement by interposition	
4263006;Biopsy of soft tissue of elbow area, superficial	
4266003;Patient referral for drug addiction rehabilitation	
4285000;Insertion of bone growth stimulator into femur	
4293000;Reduction of intussusception by laparotomy	
4304000;Excision of cusp of tricuspid valve	
4319004;Rebase of complete lower denture	
4321009;Angiography of lower extremity arteries, bilateral	
4323007;Destruction of lesion of sclera	
4331002;Anesthesia for hernia repair in lower abdomen	
4333004;Incision and drainage of perisplenic space	
4336007;Lloyd-Davies operation, abdominoperineal resection	
4337003;Homogentisic acid measurement	
4339000;Repair of nasolabial fistula	
4341004;Complete submucous resection of turbinate	
4344007;Cryopexy	
4348005;Musculoplasty of hand	
4350002;Removal of implant of cornea	
4363008;Endoscopic brush biopsy of trachea	
4365001;Surgical repair	
4380007;Transposition of vulvar tissue	
4387005;Valvuloplasty of pulmonary valve in total repair of tetralogy of Fallot	
4388000;Closure of splenocolic fistula	
4407008;Slitting of lacrimal canaliculus for passage of tube	
4411002;Removal of device from female genital tract	
4420006;Incision and drainage of parapharyngeal abscess by external approach	
4424002;Making orthopedic bed	
4436008;MCP receptor measurement	
4436008;Methylatable chemotaxis protein (MCP) receptor measurement	
4436008;Methylatable chemotaxis protein receptor measurement	
4438009;Venography of vena cava	
4443002;Decortication of ovary	
4447001;Autopsy, gross and microscopic examination, stillborn or newborn without CNS	
4447001;Autopsy, gross and microscopic examination, stillborn or newborn without central nervous system	
4449003;Manipulation of spinal meninges	
4450003;Application of Kirschner wire	
4455008;Open reduction of open elbow dislocation	
4457000;Insertion of mold into vagina	
4466001;Exploration of artery of upper limb	
4467005;Excision of tumor of ankle area, deep, intramuscular	
4475004;Cyanide measurement	
4487006;Norepinephrine measurement, supine	
4489009;Neurolysis of trigeminal nerve	
4496006;Special care of mouth	
4503005;Removal of foreign body of sclera without use of magnet	
4504004;Potter's obstetrical version with extraction	
4505003;Tenolysis of flexor tendon of forearm	
4507006;Decompression fasciotomy of wrist, flexor and extensor compartment	
4511000;Restoration, inlay, composite/resin, one surface, laboratory processed	
4516005;Iridencleisis and iridotasis	
4520009;Anastomosis of esophagus, antesternal or antethoracic, with insertion of prosthesis	
4525004;Emergency department patient visit	
4533003;Ligation of artery of lower limb	
4535005;Incision of pelvirectal tissue	
4539004;Excision of bronchogenic cyst	
4542005;Closed reduction of fracture of foot	
4544006;Excision of subcutaneous tumor of extremities	
4558008;Anterior resection of rectum	
4563007;Hospital admission, transfer from other hospital or health care facility	
4570007;Chemopallidectomy	
4579008;Creation of cerebral ventriculo-atrial shunt	
4581005;Coreoplasty	
4585001;Decompression of tendon of hand	
4587009;Epiphysiodesis of distal radius	
4589007;Medical procedure related to reproduction	
4593001;Cauterization of sclera with iridectomy	
4594007;Coproporphyrin isomers, series I & III, urine	
