conceptId;Beschrijving Google;conceptId;Beschrijving
710006;Thromboendarterectomy met graft van mesenterica;710006;tromboendarteri ë ctomie met greffe van de arteria mesenterica superior
722009;Fijne naald biopsie van de thymus;722009;fijne naaldbiopsie van de thymus
754000;Totaal urethrectomy;754000;totale urethrectomie
764009;Artrodese van interfalangeale gewricht van de grote teen;764009;arthrodese van interphalangeaal gewricht van hallux
789003;Cranial decompressie , subtemporal , supratentori ë le;789003;subtemporale decompressie
807005;Excisie van de hersenen;807005;excisie van de hersenen
817000;Excisie van cyste van de milt;817000;excisie van cyste van milt
831000;Schuifladetest;831000;schuiflade test
867007;Facial - hypoglossus anastomose;867007;aanleggen van een anastomose n . facialis ( VII ) - n . hypoglossus
881009;Cyclodialysis;881009;cyclodialyse
911003;Verwijdering van subarachno ï dale - ureterale shunt;911003;verwijderen subarachno - ureterale shunt
926001;Embolectomie met katheter radiale slagader door arm incisie;926001;katheter embolectomie van de arteria radialis via arm incisie
935008;Excisie van cowperse klier;935008;excisie bulbo - urethrale klier
945005;Excisie van scheenbeen en kuitbeen voor graft;945005;excisie van tibia en fibula als greffe
948007;Phlebectomy van intracrani ë le spatader;948007;flebectomie van een intracraniale varikeuse vena
1001000;Cauterisatie van de Klier van Bartholin;1001000;cauterisatie van klier van Bartholin
1019009;Verwijdering van hoornvliesepitheel;1019009;verwijderen cornea epitheel
1029002;Fetoscopy;1029002;foetoscopie
1036001;Inbrengen van intravasculaire apparaat gemeen iliacale ader , compleet;1036001;plaatsen van een intravasculair apparaat in the vena iliaca communis , volledig
1041009;Debridement van open fractuur van de kootjes van de voet;1041009;debridement van een open fractuur van een falanx van de voet
1044001;Echografie van de buik en retroperitoneum;1044001;diagnostische echografie van het abdomen en het retroperitoneum
1054002;Incisie van de kringspier van Oddi;1054002;incisie van de sfincter van Oddi
1071001;Proximale splenorenal anastomose;1071001;proximale splenorenale anastomosis
1084005;Excisie van perinephric cyste;1084005;excisie perinefrische cyste
1093006;Excisie van abdominale spatader;1093006;excisie van abdominale variceuse vene
1119007;Gesloten reductie van ontwrichting van de voet en tenen;1119007;gesloten reductie van luxatie van de teen en voet
1163003;Ureteroenterostomy;1163003;uretero - enterostomie
1176009;Incisie van liesstreek;1176009;incisie van de inguinale regio
1198000;Excisiebiopt bot van schouderblad;1198000;excisiebiopsie van de scapula
1209007;Artroscopie van de knie met laterale meniscus reparatie;1209007;arthroscopisch lateraal meniscaal herstel
1225002;Radiografie van het opperarmbeen;1225002;Rx humerus
1227005;Incisie van subvalvulaire weefsel voor discrete subvalvulaire aortastenose;1227005;incisie subvalvulair weefsel voor subvalvulaire aorta stenose
1235008;Spier overdracht;1235008;spiertransfer
1253002;Refusion van de wervelkolom;1253002;revisie fusie van de wervelkolom
1266002;Sluiting van trommelvlies perforatie;1266002;sluiten van fistel van trommelvlies
1267006;Elektrocoagulatie van letsel van de vagina;1267006;electrocoagulatie van vaginaal letsel
1279006;Reparatie van de pacemaker zak in huid en / of onderhuidse weefsel;1279006;herstel onderhuids zakje voor pacemaker
1292009;Magnetische resonantie beeldvorming van de urineblaas;1292009;NMR blaas
1299000;Excisie van appendiculair stomp;1299000;resectie van appendiculaire stomp
1315009;Reconstructie van de wenkbrauw;1315009;reconstructie wenkbrauw
1328002;Ilioiliac shunt;1328002;ilio - iliacale shunt
1329005;Verdeling van aangeboren web van strottenhoofd;1329005;doornemen van congenitaal larynxweb
1337002;Colosigmoidostomy;1337002;colo - sigmoiedostomie
1390003;- Laparoscopische bijgestaan ​​ sigmavormige colectomy;1390003;laparoscopisch geassisteerde sigmoied resectie
1398005;Directe thrombectomy van iliacale ader van been incisie;1398005;directe trombectomie van vena iliaca via been incisie
1413003;Doordringende keratoplastie met homograft;1413003;penetrerende keratoplastie met allogreffe
1414009;Angiografie van arterioveneuze shunt;1414009;av shunt angiografie
1449002;Epileren;1449002;epilatie
1501006;Altemeier operatie , perineale rectale doorhaling;1501006;Altemeier ingreep , perineale rectum pull through
1576000;Sluiting van uteroenteric fistel;1576000;sluiten van utero - intestinale fistel
1578004;Reconstructie van gehoorbeentjes met stapedectomie;1578004;ketenreconstructie met stapedectomie
1585000;Verlenging van de gastrocnemius spier;1585000;verlenging van de gastrocnemius
1614003;Bilaterale reparatie van een liesbreuk , directe;1614003;bilateraal liesbreukherstel van directe hernia
1636000;Injectie van scleroserende agent in spatader;1636000;injectie van scleroserend agens in variceuze vene
1638004;Cineplastic amputatie met cineplastic prothese van extremiteit;1638004;cineplastische amputatie met cineplastische prothese van een lidmaat
1645004;Transduodenal sfincterotomie;1645004;transduodenale sfincterotomie
1651009;Excisie van peesschede;1651009;excisie van de peesschede
1689004;Lokale excisie van eierstok;1689004;lokale excisie van het ovarium
1704001;Reparatie van pseudarthrosis van tibia;1704001;herstel van een congenitale pseudartrose van de tibia
1746005;Sclerale knik met implantaat;1746005;plaatsen van sclerale buckle met iplant
1747001;Vervanging van de skeletspieren stimulator;1747001;vervangen van spierstimulator
1753001;Resectie van uveal weefsel;1753001;resectie van uveaal weefsle
1757000;Artroscopie van de pols met gedeeltelijke synovectomy;1757000;polsarthroscopie met partiele synovectomie
1801001;Endoscopische biopsie van de twaalfvingerige darm;1801001;biopsie langs endoscopische weg van het duodenum
1811008;Aspiratie van slijmbeurs van de hand;1811008;aspiratie van bursa van de hand
1813006;Cryotherapie van genitale wratten;1813006;cryotherapie van genitale wratten
1844002;Sing van ligament;1844002;plicatuur van ligament
1859008;Verwijdering van vreemde lichaam van pees van de hand;1859008;verwijderen van vreemd voorwerp van handpees
1868005;Verwijdering van vreemde lichaam van de hersenen;1868005;verwijderen van vreemd voorwerp uit de hersenen
1870001;Inbrengen van halo - apparaat van de schedel met synchrone skeletachtige tractie;1870001;aanleggen van een halo tractie apparaat van de schedel met synchrone skeletale tractie
1871002;Reparatie van aneurysma van de kransslagader;1871002;herstel van coronaire arterie aneurysma
1872009;Hechting van de mannelijke perineum;1872009;hechting perineum bij de man
1924009;Hepaticotomy met drainage;1924009;hepaticotomie met drainage
1950008;Drainage van abces van neustussenschot;1950008;drainage van abces van neustussenschot
1958001;Enten van het bot van de duim met de overdracht van de huid flap;1958001;botgreffe van de duim en tranfer van huidflap
2067001;Implantatie van elektromagnetische gehoorapparaat;2067001;implantatie van elektromagnetisch hoorapparaat
2078009;Punctie van slijmbeurs van de hand;2078009;punctie van bursa van de hand
2079001;Herimplantatie van afwijkende longslagader;2079001;re ï mplantatie van abnormale arteria pulmonalis
2080003;Angiectomy met anastomose van de onderste ledematen slagader;2080003;angi ë ctomie met anastomose van arterie van onderste lidmaat
2137005;Excisie van pericardiale tumor;2137005;excisie pericard tumor
2164006;Injectie van aorta;2164006;injectie van aorta
2166008;Bicuspidization van aortaklep;2166008;bicuspidisatie van aortaklep
2193006;Reparatie van gescheurde aneurysma met graft van coeliakie slagader;2193006;herstel van geruptureerde aneurysma van truncus coeliacus met greffe
2199005;Excisie van letsel van de cul - de - sac;2199005;excisie van een letsel in de cul - de - sac ( douglas )
2234009;Proctosigmoidopexy;2234009;procto - sigmoiedopexie
2242005;Reconstructie van het ooglid;2242005;reconstructie ooglid
2244006;Artroscopie van de pols met interne fixatie voor instabiliteit;2244006;arthroscopische stabilisatie van de pols met interne fixatie
2250001;Resectie van oplopende aorta met anastomose;2250001;resectie van aorta ascendens met anastomose
2270007;Reparatie van gespleten de hand;2270007;herstel van cleft hand
2276001;Verkenning van poplitea;2276001;exploratie van de arteria poplitea
2321005;Levering door Ritgen manoeuvre;2321005;vaginale partus volgens het manoeuvre van Ritgen
2337004;Adductor tenotomie van hip;2337004;adductor tenotomie van de heup
2364003;Radicale resectie van de tumor van zacht weefsel van de pols gebied;2364003;radicale resectie van zachtweefseltumor thv de pols
2386002;Vermindering van gesloten patella dislocatie;2386002;reductie van gesloten patellaluxatie
2393003;Ligatie van de ader van de onderste ledematen;2393003;ligatuur van vene van onderste lidmaat
2407009;Excisie van mediastinale tumor;2407009;resectie van mediastinale tumor
2409007;Herbevestiging van het uiteinde van de voet;2409007;re ï nsertie van de voet
2442008;Incisie van lacrimale canaliculus;2442008;insnijden canaliculus
2459003;Destructieve procedure van de slagader van de bovenste extremiteit;2459003;destructieve procedure van arterie van bovenste lidmaat
2474001;Reparatie van malunion van middenvoetsbeentjes;2474001;herstel van malunion van metatarsale beenderen
2536007;Injectie van medicatie in de voorste kamer van het oog;2536007;injectie van medicatie in de voorste oogkamer
2564002;Creatie van de lumbale shunt waaronder laminectomie;2564002;creatie van lumbale shunt met laminectomie
2566000;Osteoplastiek straal;2566000;osteoplastie van de radius
2567009;Resectie van rib door transaxillary aanpak;2567009;excisie van de rib via transaxillaire toegang
2580007;Transplantatie van de haarzakjes op de hoofdhuid;2580007;transplantatie van haarfollikels op de hoofdhuid
2601001;Verwijdering van het bot flap van de schedel;2601001;verwijderen van een botluik van de schedel
2614000;Verwijdering van ligatuur van de eileider;2614000;verwijderen van ligatuur van eileider
2632000;Incisie en drainage van ge ï nfecteerde bursa van bovenarm;2632000;incisie en drainage van ge ï nfecteede bursa van bovenarm
2644002;Cauterisatie van de lever;2644002;cauterizeren van de lever
2659008;Hechting van ligament van de onderste extremiteit;2659008;hechting van ligament van het onderste lidmaat
2690005;Magnetische resonantie beeldvorming van het bekken;2690005;NMR bekken
2716009;Dermal - vet - fascia graft;2716009;huid - vet - fascia greffe
2732007;Recessie van de pees van de hand;2732007;recessie van pees van de hand
2737001;Verkennende craniotomie , infratentorieel;2737001;infratentori ë le craniotomie
2743004;Operatieve endoscopie van de dunne darm;2743004;chirurgische endoscopie van het ileum
2745006;Omentopexy;2745006;omentopexie
2752008;Incudopexy;2752008;incudopexie
2794006;Cauterisatie van de navel;2794006;cauterisatie van de navel
2813008;Nephroureterocystectomy;2813008;nefroureterocystectomie
2851008;Arthrotomie voor synovectomie van sternoclavicular joint;2851008;arthrotomie van het sternoclaviculair gewicht voor synovectomie
2854000;Bursectomy van de hand;2854000;bursectomie van de hand
2857007;Volledige excisie van de pijnappelklier;2857007;complete pinealectomie
2875008;Implantatie van gewrichtsprothese in ellebooggewricht;2875008;elleboogprothese
2891006;Artroscopie van de elleboog met gedeeltelijke synovectomy;2891006;parti ë le arthroscopische synovectomie van de elleboog
2908005;Vernietiging van aambeien door cryotherapie;2908005;cryotherapie van haemorroiden
2914003;Anterieure sclerotomie;2914003;anterieure sclerotomie
2915002;Hechting van de capsule van de enkel;2915002;hechting van kapsel van het enkelgewricht
2960001;Sluiting van fistel van de baarmoederhals;2960001;herstel van cervicale fistel
2968008;Craniectomy de behandeling penetreren wonde hersenen;2968008;craniectomie met behandeling van een penetrerende wonde
2970004;Middenhandsbeentje verlenging en overdracht van de lokale flap;2970004;metacarpaalverlenging en tranfer van een lokale flap
2971000;Sluiting van verworven urethrovaginal fistel;2971000;sluiten van uretrovaginale fistel
2977001;Thrombectomy van de onderste ledematen ader;2977001;trombectomie van vene van onderste lidmaat
3001009;Totaal lobectomie met bronchoplasty;3001009;lobectomie met sleeveresectie van bronchus
3010001;Verwijdering van silastic buizen van oor;3010001;verwijderen van silicone buisjes uit oor
3026000;Tibio - talaire artrodese;3026000;tibiotalaire arthrodese
3061006;Volledige excisie van de nagel en nagel matrix;3061006;volledige excisie van nagel en nagelmatrix
3063009;Gastroscopie via kunstmatige stoma;3063009;gastroscopie door artifici ë le stoma
3078002;Embolectomie met katheter van nierslagader door abdominale incisie;3078002;katheter embolectomie van de arteria renalis via abdominale incisie
3090000;Aneurysmectomy met graft vervanging van de onderste ledematen slagader;3090000;aneurysmectomie met greffe vervanging van arterie van onderste lidmaat
3165004;Irrigatie van de spieren van de hand;3165004;spoeling van handspier
3177009;Interne verloskundige versie;3177009;interne obstetrische kering
3183007;Sluiting van colostoma;3183007;sluiten van colostomie
3186004;Excisie van Skene klier;3186004;excisie van klieren van skene
3190002;Epileren door een tang;3190002;epilatie met tang
3241008;Correctie van chordee met de mobilisatie van de urethra;3241008;correctie chordae met mobilisatie urethra
3249005;Chirurgische constructie van filtratie bleb;3249005;chirurgische aanmaak van bleb
3258003;Arteriografie van cerebrale arteri ë n;3258003;cerebrale angiografie
3278006;Lysis van verklevingen van de slijmbeurs van de hand;3278006;adhesiolyse van bursa van de hand
3287002;Cholecystogastrostomy;3287002;cholecysto - gastrostomie
3326006;Excisie van bunionette;3326006;excise van bunionette
3360004;Anastomose van de galwegen;3360004;galweganastomose
3399007;Vermindering van de torsie van omentum;3399007;reduceren van omentum volvulus
3418002;Chondrectomy van de wervelkolom;3418002;chondrectomie van de wervelkolom
3448004;Fixatie van contralaterale testis;3448004;fixatie contralaterale testis
3498003;Totale excisie van hypofyse door transsfenoidale aanpak;3498003;hypofysechirurgie via transsfeno ï dale toegang
3499006;Aspiratie van glasvocht met vervangende;3499006;aspiratie van vitreum met vervanging
3515001;Vervanging van elektronische hart apparaat , pulsgenerator;3515001;vervanging van cardiale pulsgenerator
3546002;Aortocoronary bypass met saphena graft;3546002;aortocoronaire bypass met vena saphena
3559005;Inbrengen van ureterstent met ureterotomy;3559005;inbrengen ureterstent via ureterotomie
3562008;Rodney Smith operatie , radicale subtotaal pancreatectomie;3562008;Rodne Smith operatie , radicale subtotale pancreatectomie
3564009;Verwijdering van vreemde lichaam van eileider;3564009;verwijderen van vreemd voorwerp uit eileider
3575008;Reparatie van fascia met graft van fascia;3575008;herstel van fascia met fasciagreffe
3605001;Vermindering van het corpus ciliare;3605001;reductie ciliair lichaam
3654008;Lingulectomy van longkanker;3654008;lingulectomie van long
3664004;Sluiting van sclerale fistel;3664004;herstel van sclerale fistel
3690001;Shunt van de linker subclavia tot dalende aorta door Blalock - Park operatie;3690001;shunt van de linker arteria subclavia naar de aorta descendens , operatie van Blalock - Park
3713005;Vrij te maken voor de Quervain tenosynovitis van de hand;3713005;losmaken voor de quervain ' s tenosynovitis van de hand
3734003;Split dikte van de huid graft;3734003;split thickness huidtransplantatie
3748003;Biopsie van perirenale weefsel;3748003;biopsie van het perirenaal weefsel
3749006;Vermindering van gesloten ischial fractuur;3749006;reductie van een gesloten ischiumfractuur
3758004;Thrombectomie met katheter van subclavia door nek incisie;3758004;trombectomie met katheter van de arteria subclavia via nek incisie
3786007;Excisie van letsel van de keelholte;3786007;excisie van letsel van farynx
3796003;Excisie van overtollige slijmvlies van jejunostomie;3796003;excisie van prolaberende mucosa ter hoogte van jejunostomie
3799005;Radiografie van adenoids;3799005;Rx adeno ï ds
3819004;Embolisatie van thoracale slagader;3819004;embolisatie van thoracale arterie
3826004;Blepharotomy met drainage van abces van het ooglid;3826004;drainage abces van ooglid
3828003;Open biopsie van wervellichaam van thoracale regio;3828003;open biopsie van thoracaal wervellichaam
3843001;Verwijdering van vreemde lichaam fascia;3843001;verwijderen van vreemd voorwerp van fascia
3858009;Echografie van de schildklier , A - mode;3858009;echografie schildklier , A - mode
3861005;Aneurysmectomy met anastomose van de onderste ledematen slagader;3861005;aneurysmectomie met anastomose van arterie van onderste lidmaat
3864002;Excisiebiopt van scrotum;3864002;excisionele biopsie van het scrotum
3880007;Excisie van letsel van fibula;3880007;excisie van letsel ter hoogte van de fibula
3887005;Ligatie van de wrat;3887005;afbinden van wrat
3889008;Hechting van de lip;3889008;hechten van de lip
3911000;Spier transplantatie;3911000;spiertransplantatie
3917001;Excisiebiopt van vingerkootjes van de voet;3917001;excisiebiopsie van een falanx van de voet
3938007;Cerclage voor retinale herbevestiging;3938007;cerclage voor retinale reappositie
3942005;Cystopexy;3942005;cystopexie
3957003;Arteriectomy van thoracoabdominal aorta;3957003;arteriectomie van thoracoabdominale aorta
3968003;Facetectomie van wervel;3968003;facetectomie van wervel
3980006;Subtotaal resectie van de slokdarm;3980006;subtotale oesofagectomie
4027001;Implantatie van elektronische stimulator in phrenicus;4027001;implantatie electrostimulator in n phrenicus
4036002;Artroscopie van de elleboog met uitgebreide debridement;4036002;uitgebreid arthroscopisch debridement van de elleboog
4044002;Permanente stoma;4044002;definitieve colostomie
4045001;Drainage van cerebrale ventrikel door incisie;4045001;ventriculaire drainage via incisie
4068005;Verwijdering van ventriculaire reservoir met synchrone vervangende;4068005;verwijderen en vervangen van ventriculair reservoir
4090005;Vervanging van transveneuze atriale en ventriculaire pacemaker elektrode leads;4090005;vervanging van transveneuze atriale en ventriculaire pacemaker leads
4101004;Herziening van spinale pleurothecal shunt;4101004;revisie van een lumbo - externe drainage
4119008;Intracrani ë le phlebectomy met anastomose;4119008;intracraniale flebectomie met anastomosis
4176005;Fothergill operatie op baarmoeder;4176005;Operatie van Fothergill voor baarmoeder
4214007;Intracardiale injectie van hartreanimatie;4214007;intracardiale injectie voor cardiale resuscitatie
4252008;Aneurysmectomy met graft vervanging door tussenkomst;4252008;aneurysmectomie met vervanging door interpositiegreffe
4263006;Biopsie van zacht weefsel van de elleboog gebied , oppervlakkige;4263006;biopsie van oppervlakkig zachtweefsel van de elleboog regio
4285000;Inbrengen van botgroei stimulator in femur;4285000;insertie van een botstimulator in het femur
4293000;Vermindering van darminvaginatie door laparotomie;4293000;open chirurgische reductie van darm intussusceptie
4304000;Excisie van vooravond van tricuspidalisklep;4304000;excisie tricuspiedklepblad
4321009;Angiografie van de onderste extremiteiten slagaders , bilaterale;4321009;bilaterale angiografie van het been
4323007;Vernietiging van de laesie van sclera;4323007;destructie van letsel van de sclera
4336007;Lloyd - Davies operatie , abdominoperineale resectie;4336007;Lloyd - Davies abdomino - perineale resectie
4339000;Reparatie van nasolabiale fistel;4339000;sluiten van een naso - labiale fistel
4341004;Compleet submukeuze resectie van turbinate;4341004;volledige submucosale resectie van de neusschelp
4344007;Cryopexy;4344007;cryopexie
4350002;Verwijdering van implantaat cornea;4350002;verwijderen van cornea implant
4363008;Endoscopische borstel biopsie van de luchtpijp;4363008;endoscopische brushing van trachea
4365001;Chirurgische reparatie;4365001;herstel
4387005;Valvuloplastiek van pulmonale klep in totaal reparatie van tetralogie van Fallot;4387005;valvuloplastie pulmonalisklep in totaal herstel tetralogie van fallot
4388000;Sluiting van splenocolic fistel;4388000;herstel van spleno - colische fistel
4407008;Scheuren van lacrimale canaliculus voor de doorgang van de buis;4407008;insnijden canaliculus voor intubatie
4411002;Verwijdering van het apparaat van vrouwelijke geslachtsorganen;4411002;verwijderen van apparaat uit vrouwelijke genitale tractus
4420006;Incisie en drainage van parafaryngeale abces door externe aanpak;4420006;incisie en drainage van parafaryngeaal abces , externe benadering
4438009;Venografie van de vena cava;4438009;venografie van vena cava
4443002;Ontdopping van eierstok;4443002;decorticatie van ovarium
4450003;Toepassing van Kirschner draad;4450003;Plaatsen van Kirschner draad
4457000;Inbrengen van schimmel in de vagina;4457000;Insertie vaginale dilatator
4466001;Verkenning van de slagader van de bovenste ledematen;4466001;exploratie van arterie van bovenste lidmaat
4467005;Excisie van de tumor van de enkel gebied , diepe , intramusculaire;4467005;excisie van diepe intramusculaire tumor van de enkelstreek
4489009;Neurolyse van nervus vagus;4489009;neurolyse van n trigeminus ( nV )
4503005;Verwijdering van vreemde lichaam van sclera zonder gebruik te maken van de magneet;4503005;verwijderen van scleraal vreemd voorwerp zonder magneet
4505003;Tenolysis van flexor pees van de onderarm;4505003;tenolyse van een flexorpees van de onderarm
4507006;Decompressie fasciotomie van de pols , flexor en extensor compartiment;4507006;fasciotomie van het flexor - en extensorcompartiment van de pols
4533003;Ligatie van de slagader van de onderste ledematen;4533003;ligatie van arterie van onderste lidmaat
4535005;Incisie van pelvirectal weefsel;4535005;insnijden van pelvi - rectaal weefsel
4542005;Gesloten vermindering van de breuk van de voet;4542005;gesloten reductie vaneen fractuur van de voet
4558008;Anterieure resectie van rectum;4558008;anterior resectie van het rectum
4570007;Chemopallidectomy;4570007;chemopallidectomie
4579008;Creatie van cerebrale ventriculo - atriale shunt;4579008;aanleggen ventriculoatriale shunt
4581005;Coreoplasty;4581005;pupilreconstructie
4585001;Decompressie van de pees van de hand;4585001;decompressie van handpees
4587009;Epiphysiodesis van distale radius;4587009;epifysiodese van distale radius
4626009;Take - down van de arteri ë le anastomose;4626009;take - down van arteri ë le anastomose
4640005;Ligatie van de eileiders door abdominale benadering;4640005;sterilisatie door afbinding eileiders via abdominale weg
4642002;Verwijdering van opblaasbare penisprothese , met pomp , het reservoir en cilinders;4642002;verwijderen opblaasbare penisprothese met pomp , reservoir en cilinders
4671001;Excisie van laesie van wigvormig sinus;4671001;excisie van letsel van sinus sfeno ï dalis
4692001;Transplantatie van de slagader van de bovenste extremiteit;4692001;transplantatie van arterie van bovenste lidmaat
4707009;Gedeeltelijke excisie van calcaneus;4707009;partiele excisie van calcaneus
4734007;Irrigatie van de wond katheter van integument;4734007;irrigatie van huid wonde door catheter / wondspoeling
4758006;Incudostapediopexy;4758006;incudostapediopexie
4770005;Colporrhaphy voor reparatie van urethrocele;4770005;colporraphia anterior voor herstel urethrocoele
4820000;Incisie van labial frenum;4820000;incisie van het labiale frenulum
4829004;Uitsnijding van de dunne darm voor tussenkomst;4829004;excisie van de dunnedarm voor interpositie
4849008;Biopsie van eierstok;4849008;biopsie van het ovarium
4862007;Herziening van de anastomose van de dikke darm;4862007;revisie van colonanastomose
4891005;Proctostomy;4891005;proctostomie
4895001;Constructie van sigmoid blaas;4895001;constructie van een sigmoiedblaas
4929000;Lokale perfusie van de nieren;4929000;lokale perfusie van de nier
4930005;Reparatie van thoracogastric fistel;4930005;herstel van een thoraco - gastrische fistel
4957007;Cervicale spinale fusie voor pseudoartrose;4957007;cervicale arthrodese omwille van pseudarthrose
4987001;Osteoplastiek van de schedel met klep van het bot;4987001;osteoplastie van de schedel met botgreffe
4992004;Hartkatheterisatie , links hart , retrograde , percutane;4992004;linker hartscatheterisatie , retrograde percutaan
5019003;Directe laryngoscopie met biopsie;5019003;directe laryngoscopie met bioptiename
5057003;Radicale orbitomaxillectomy;5057003;radicale orbitomaxillectomie
5119000;Epiglottidectomy;5119000;epiglottidectomy
5121005;Wig osteotomie van bekkenbeen;5121005;wigosteotomie van het bekken
5130002;Winning van primaire membraneuze cataract door discission;5130002;extractie van primair membraneus cataract door discissie
5131003;Radiografie van de borstwand;5131003;Rx borstkast
5147001;Excisie van letsel van enkelgewricht;5147001;excisie van letsel ter hoogte van de enkel
5151004;Handmatige vermindering van rectale aambeien;5151004;manuele reductie van hemorro î den
5162004;Excisie van decubitus;5162004;excisie decubitus ulcus
5176003;Thromboendarterectomy met graft van de nierslagader;5176003;tromboendarteri ë ctomie met greffe van de arteria renalis
5184004;Osteotomie van de as van het femur met fixatie;5184004;osteotomie van de femurschaft met fixatie
5186002;Arthrotomie voor synovectomie van het schoudergewricht;5186002;arthrotomie van glenohumeraalgewricht voor synovectomie
5216004;Driedimensionale echografie van het hart;5216004;driedimensionale echografische beeldvorming van het hart
5233006;Laterale fasciotomie;5233006;laterale fasciotomie
5243009;Hechting van adenoid fossa;5243009;hechten adenoid fossa
5245002;Transplantatie van perifere ader;5245002;transplantatie van een perifere vena
5267001;Ligatie van bijnier slagader;5267001;ligatie van arteria suprarenalis
5290006;Incisie en drainage van Ludwig ' s angina;5290006;incisie en drainage van mondbodem abces
5328005;Verkorting van de achillespees;5328005;achillespeesverkorting
5348003;Reparatie van endocardiale kussen defect;5348003;herstel endocardial cushion defect
5402006;Manipulatie van thoracale slagader;5402006;manipulaite van thoracale arterie
5407000;Injectie van de eileider;5407000;injectie van eileider
5415002;Vernietiging van beschadiging van de lever;5415002;destructie van letsel van de lever
5447007;Transfusie;5447007;transfusie
5452002;Kern naald biopsie van de thymus;5452002;holle naaldbiopsie van de thymus
5460001;Verwijdering van prothese van eileider;5460001;verwijderen van prothese van eileider
5521000;Open reductie van breuk van vingerkootjes van de voet;5521000;open reductie van een fractuur van een falanx van de voet
5556001;Handmatig bijgestaan ​​ spontane bevalling;5556001;manueel begeleide spontane vaginale partus
5571002;Excisie van letsel van aorta met end - to - end anastomose;5571002;excisie van letsel van aorta met end - to - end - anastomose
5616006;Osteoplastiek van tibia;5616006;osteoplastie van de tibia
5632009;Open biopsie van bronchus;5632009;open biopsie van de bronchus
5636007;Fistulectomy bot;5636007;Fistulectomie van een bot
5671007;Magneet extractie van vreemd lichaam van corpus ciliare;5671007;verwijderen vreemd voorwerp uit het ciliair lichaam met magneet
5687005;Verwijdering van vreemde lichaam van eierstok;5687005;verwijderen vreemd voorwerp van het ovarium
5721002;Reparatie van de wenkbrauw;5721002;herstel wenkbrauw
5722009;Chirurgische reanastomosis van de dikke darm;5722009;chirurgische anastomose van het colon
5726007;Verwijdering van epicardiale elektroden;5726007;verwijderen epicardiale electroden
5728008;Anoscopie voor het verwijderen van vreemd lichaam;5728008;anusscopie voor verwijderen van vreemd lichaam
5738003;Biopsie van cul - de - sac;5738003;biopsie van de cul - de - sac ( douglas )
