conceptId;Beschrijving;conceptId;Beschrijving thot
629006;adhesiolyse van de urethra;629006;peritoneale verklevingen verwijderen van urethra
647000;excisie van cervix door elecroconisatie;647000;excisie van cervicale electroconization
670008;epilatie wenkbrauw met electrocoagulatie;670008;electrosurgical ontharing van wenkbrauwen
671007;testistransplantatie;671007;van testis
673005;indirecte laryngoscopie;673005;indirecte laryngoscopie
674004;abductie test;674004;abduction - van
710006;tromboendarteri ë ctomie met greffe van de arteria mesenterica superior;710006;endarterectomie met transplantaat mesentericae
722009;fijne naaldbiopsie van de thymus;722009;dunnenaaldaspiratie van thymus
754000;totale urethrectomie;754000;totale urethrectomie
764009;arthrodese van interphalangeaal gewricht van hallux;764009;ankylose van gewricht van grote teen
789003;subtemporale decompressie;789003;craniaal decompressie , subtemporal , supratentorieel
807005;excisie van de hersenen;807005;hersenen
817000;excisie van cyste van milt;817000;excisie van milt
831000;schuiflade test;831000;drawer -
867007;aanleggen van een anastomose n . facialis ( VII ) - n . hypoglossus;867007;aangezicht xiide zenuwletsel anastomose
881009;cyclodialyse;881009;cyclodialyse
911003;verwijderen subarachno - ureterale shunt;911003;verwijdering van van ureter shunt
926001;katheter embolectomie van de arteria radialis via arm incisie;926001;embolectomie met katheterisatie van arteria radialis op arm incisie
935008;excisie bulbo - urethrale klier;935008;excisie van klieren van cowper
945005;excisie van tibia en fibula als greffe;945005;excisie van tibia en fibula en transplantaat
948007;flebectomie van een intracraniale varikeuse vena;948007;flebectomie intracraniale veneuze spataderen
1001000;cauterisatie van klier van Bartholin;1001000;cauterisatie van bartholin
1019009;verwijderen cornea epitheel;1019009;verwijdering van cornea - epitheel
1029002;foetoscopie;1029002;foetoscopie
1036001;plaatsen van een intravasculair apparaat in the vena iliaca communis , volledig;1036001;implantatie intravasculaire hulpmiddel bij gewone centraalveneuze , volledig
1041009;debridement van een open fractuur van een falanx van de voet;1041009;gecompliceerde fractuurdebridement van phalanges van voet
1044001;diagnostische echografie van het abdomen en het retroperitoneum;1044001;diagnostische echo buik en retroperitoneale
1054002;incisie van de sfincter van Oddi;1054002;van sfincter van oddi
1071001;proximale splenorenale anastomosis;1071001;van splenorenale shunt
1084005;excisie perinefrische cyste;1084005;excisie perirenaal cyste
1093006;excisie van abdominale variceuse vene;1093006;excisie van de abdominale veneuze spataderen
1119007;gesloten reductie van luxatie van de teen en voet;1119007;gesloten repositie van voet en teen
1163003;uretero - enterostomie;1163003;ureteroenterostomy
1176009;incisie van de inguinale regio;1176009;van lies
1198000;excisiebiopsie van de scapula;1198000;biopsie van scapula
1209007;arthroscopisch lateraal meniscaal herstel;1209007;artroscopie van met laterale meniscus herstel
1225002;Rx humerus;1225002;r ö ntgenfoto van humerus
1227005;incisie subvalvulair weefsel voor subvalvulaire aorta stenose;1227005;van subvalvular weefsel voor discrete subvalvulaire aortastenose
1235008;spiertransfer;1235008;spier transpositie
1253002;revisie fusie van de wervelkolom;1253002;refusion van
1266002;sluiten van fistel van trommelvlies;1266002;neustussenschot perforatie
1267006;electrocoagulatie van vaginaal letsel;1267006;galvanocauterisatie van de vagina
1279006;herstel onderhuids zakje voor pacemaker;1279006;revisie van hartpacemaker pocket in huid
1292009;NMR blaas;1292009;mri van blaas
1299000;resectie van appendiculaire stomp;1299000;excisie van appendiceal amputatiestomp
1315009;reconstructie wenkbrauw;1315009;reconstructie wenkbrauwen
1328002;ilio - iliacale shunt;1328002;ilioiliac shunt
1329005;doornemen van congenitaal larynxweb;1329005;verwijderen larynxweb
1337002;colo - sigmoiedostomie;1337002;colosigmoidostomy
1390003;laparoscopisch geassisteerde sigmoied resectie;1390003;laparoscopische - begeleide sigmo ï dectomie
1398005;directe trombectomie van vena iliaca via been incisie;1398005;directe trombectomie vena iliaca op been incisie
1413003;penetrerende keratoplastie met allogreffe;1413003;perforerende keratoplastiek met allograft
1414009;av shunt angiografie;1414009;angiografie , arterioveneus
1449002;epilatie;1449002;ontharing
1501006;Altemeier ingreep , perineale rectum pull through;1501006;altemeier chirurgie perineum rectale pull , via
1576000;sluiten van utero - intestinale fistel;1576000;herstel uteroenteric fistel
1578004;ketenreconstructie met stapedectomie;1578004;reconstructie van gehoorbeentjes met stapedectomie
1585000;verlenging van de gastrocnemius;1585000;verlenging van musculus gastrocnemius
1614003;bilateraal liesbreukherstel van directe hernia;1614003;bilaterale liesbreukoperatie direct
1636000;injectie van scleroserend agens in variceuze vene;1636000;inspuiting van agentia in spataderen
1638004;cineplastische amputatie met cineplastische prothese van een lidmaat;1638004;cineplastic amputatie met cineplastic oogprothese extremiteit
1645004;transduodenale sfincterotomie;1645004;transhepatische sfincterotomie
1651009;excisie van de peesschede;1651009;excisie van de peesschede
1689004;lokale excisie van het ovarium;1689004;excisie van ovarium
1704001;herstel van een congenitale pseudartrose van de tibia;1704001;herstel pseudoartrose , congenitaal tibia
1746005;plaatsen van sclerale buckle met iplant;1746005;arruga met implantatie
1747001;vervangen van spierstimulator;1747001;vervanging van spier vagus stimulatorverwijdering
1753001;resectie van uveaal weefsle;1753001;resectie van uvea weefsel
1757000;polsarthroscopie met partiele synovectomie;1757000;artroscopie pols parti ë le synovi ë ctomie
1801001;biopsie langs endoscopische weg van het duodenum;1801001;endoscopische biopsie duodenum
1811008;aspiratie van bursa van de hand;1811008;slijmbeurs aspiratie van hand
1813006;cryotherapie van genitale wratten;1813006;cryotherapie van wrat
1844002;plicatuur van ligament;1844002;plication van
1859008;verwijderen van vreemd voorwerp van handpees;1859008;verwijdering van pees van hand
1868005;verwijderen van vreemd voorwerp uit de hersenen;1868005;verwijdering van hersenen
1870001;aanleggen van een halo tractie apparaat van de schedel met synchrone skeletale tractie;1870001;implantatie halo - van met synchronous skelettractie
1871002;herstel van coronaire arterie aneurysma;1871002;herstel aneurysma
1872009;hechting perineum bij de man;1872009;hechting bekkenbodempijn man
1924009;hepaticotomie met drainage;1924009;hepaticotomy met abcesdrainage
1950008;drainage van abces van neustussenschot;1950008;abcesdrainage neusseptum
1958001;botgreffe van de duim en tranfer van huidflap;1958001;transplantatie , duim met ntentransport huidflap
2067001;implantatie van elektromagnetisch hoorapparaat;2067001;implantatie van electromagnetic gehoorapparaat
2078009;punctie van bursa van de hand;2078009;slijmbeurs aspiratie van hand
2079001;re ï mplantatie van abnormale arteria pulmonalis;2079001;replantatie , pulmonaal
2080003;angi ë ctomie met anastomose van arterie van onderste lidmaat;2080003;angiectomy met intestinale anastomose arterie van onderste extremiteit
2137005;excisie pericard tumor;2137005;excisie van pericard tumor
2164006;injectie van aorta;2164006;inspuiting van
2166008;bicuspidisatie van aortaklep;2166008;bicuspidization van aortaklep
2193006;herstel van geruptureerde aneurysma van truncus coeliacus met greffe;2193006;herstel aneurysma met transplantaat arteria coeliaca
2199005;excisie van een letsel in de cul - de - sac ( douglas );2199005;excisie cavum douglasi
2234009;procto - sigmoiedopexie;2234009;proctosigmoidopexy
2242005;reconstructie ooglid;2242005;reconstructie van
2244006;arthroscopische stabilisatie van de pols met interne fixatie;2244006;artroscopie pols met inwendige fixatie voor instabiliteit
2250001;resectie van aorta ascendens met anastomose;2250001;resectie van aorta ascendens met anastomose
2270007;herstel van cleft hand;2270007;herstel klauwhand
2276001;exploratie van de arteria poplitea;2276001;exploration van arteria poplitea
2321005;vaginale partus volgens het manoeuvre van Ritgen;2321005;bevalling door ritgen maneuver
2337004;adductor tenotomie van de heup;2337004;tenotomie ( abductor )
2364003;radicale resectie van zachtweefseltumor thv de pols;2364003;radicale resectie van weke delen van pols gebied
2386002;reductie van gesloten patellaluxatie;2386002;reductie van gesloten patellae luxatie
2393003;ligatuur van vene van onderste lidmaat;2393003;ligatuur van venen van onderste extremiteit
2407009;resectie van mediastinale tumor;2407009;excisie mediastinaal gezwel
2409007;re ï nsertie van de voet;2409007;herstel loslating extremiteit voet
2442008;insnijden canaliculus;2442008;van traankanaal
2459003;destructieve procedure van arterie van bovenste lidmaat;2459003;destructieve operatie van arterie van bovenste extremiteit
2474001;herstel van malunion van metatarsale beenderen;2474001;herstel van verkeerd aangroeien van metatarsalia
2536007;injectie van medicatie in de voorste oogkamer;2536007;inspuiting van geneesmiddelen voorste oogkamer
2564002;creatie van lumbale shunt met laminectomie;2564002;shunt lumbale shunt inclusief laminectomie
2566000;osteoplastie van de radius;2566000;osteoplasty van radius
2567009;excisie van de rib via transaxillaire toegang;2567009;ribexcisie door transaxillary approach
2580007;transplantatie van haarfollikels op de hoofdhuid;2580007;transplantatie haar follicles van hoofdhuid
2601001;verwijderen van een botluik van de schedel;2601001;verwijdering van weefsellap schedel
2614000;verwijderen van ligatuur van eileider;2614000;verwijdering onderbinden van tuba fallopii
2632000;incisie en drainage van ge ï nfecteede bursa van bovenarm;2632000;drainage via de incisie van bursitis van bovenarm
2644002;cauterizeren van de lever;2644002;cauterisatie van de lever
2659008;hechting van ligament van het onderste lidmaat;2659008;hechting van onderste extremiteit
2690005;NMR bekken;2690005;bekken mri
2716009;huid - vet - fascia greffe;2716009;huidinfectie , vet - fascia transplantaat
2732007;recessie van pees van de hand;2732007;recession van pees van hand
2737001;infratentori ë le craniotomie;2737001;exploratieve craniotomie , infratentorieel
2743004;chirurgische endoscopie van het ileum;2743004;chirurgie ileoscopie
2745006;omentopexie;2745006;omentopexie
2752008;incudopexie;2752008;incudopexy
2794006;cauterisatie van de navel;2794006;cauterisatie van navel
2813008;nefroureterocystectomie;2813008;nephroureterocystectomy
2851008;arthrotomie van het sternoclaviculair gewicht voor synovectomie;2851008;heupprotese synovi ë ctomie van sternoclaviculair gewricht
2854000;bursectomie van de hand;2854000;bursaverwijdering hand
2857007;complete pinealectomie;2857007;enucleatie van epifyse
2875008;elleboogprothese;2875008;gewrichtsvervanging naar elleboog
2891006;parti ë le arthroscopische synovectomie van de elleboog;2891006;artroscopie elleboog parti ë le synovi ë ctomie
2908005;cryotherapie van haemorroiden;2908005;cryochirurgie van aambeien
2914003;anterieure sclerotomie;2914003;voorste sclerotomy
2915002;hechting van kapsel van het enkelgewricht;2915002;suture kapselruptuur enkel
2960001;herstel van cervicale fistel;2960001;fistelherstel cervix
2968008;craniectomie met behandeling van een penetrerende wonde;2968008;crani ë ctomie met behandeling van wond van
2970004;metacarpaalverlenging en tranfer van een lokale flap;2970004;metacarpalia verlenging en ntentransport lokale weefsellap
2971000;sluiten van uretrovaginale fistel;2971000;herstel ( urethrovaginaal
2977001;trombectomie van vene van onderste lidmaat;2977001;trombectomie onderste ledemaat
3001009;lobectomie met sleeveresectie van bronchus;3001009;totale lobectomie ( met bronchoplastiek
3010001;verwijderen van silicone buisjes uit oor;3010001;verwijdering van silastic uterusligamenten uit oor
3026000;tibiotalaire arthrodese;3026000;tibiotalar artrodese
3061006;volledige excisie van nagel en nagelmatrix;3061006;enucleatie van en nagel matrix
3063009;gastroscopie door artifici ë le stoma;3063009;gastroscopie via kunstmatige stoma
3078002;katheter embolectomie van de arteria renalis via abdominale incisie;3078002;embolectomie met katheterisatie arteria door abdominale incisie
3090000;aneurysmectomie met greffe vervanging van arterie van onderste lidmaat;3090000;aneurysmectomie met transplantaat vervanging van arterie van onderste extremiteit
3165004;spoeling van handspier;3165004;irrigatietherapie van hand
3177009;interne obstetrische kering;3177009;inwendige obstetrische version
3183007;sluiten van colostomie;3183007;colostomie sluiting
3186004;excisie van klieren van skene;3186004;excisie van skene klier
3190002;epilatie met tang;3190002;ontharing door forceps
3241008;correctie chordae met mobilisatie urethra;3241008;herstel gryposis met mobilization van de urethra
3249005;chirurgische aanmaak van bleb;3249005;van filtratie vesica
3258003;cerebrale angiografie;3258003;cerebrale arteriografie
3278006;adhesiolyse van bursa van de hand;3278006;adhesiolyse slijmbeurs hand
3287002;cholecysto - gastrostomie;3287002;cholecystogastrostomy
3326006;excise van bunionette;3326006;excisie bunionette
3360004;galweganastomose;3360004;galblaasanastomose
3399007;reduceren van omentum volvulus;3399007;reductie van torsie
3418002;chondrectomie van de wervelkolom;3418002;discectomie
3448004;fixatie contralaterale testis;3448004;van contralateral testis
3498003;hypofysechirurgie via transsfeno ï dale toegang;3498003;totale hypofysectomie door transsphenoidal approach
3499006;aspiratie van vitreum met vervanging;3499006;aspiratie vitreum met implantatie
3515001;vervanging van cardiale pulsgenerator;3515001;hartpacemaker batterijvervanging , pols generator
3546002;aortocoronaire bypass met vena saphena;3546002;bypass , met vena saphena transplantaat
3559005;inbrengen ureterstent via ureterotomie;3559005;van ureter stent met ureterotomy
3562008;Rodne Smith operatie , radicale subtotale pancreatectomie;3562008;rodney smith chirurgie , radicale pancreatectomie
3564009;verwijderen van vreemd voorwerp uit eileider;3564009;verwijdering van tuba fallopii
3575008;herstel van fascia met fasciagreffe;3575008;herstel van fascia met transplantatie , fascia
3605001;reductie ciliair lichaam;3605001;reductie van corpus ciliare
3654008;lingulectomie van long;3654008;lingulectomy long
3664004;herstel van sclerale fistel;3664004;herstel van sclera fistel
3690001;shunt van de linker arteria subclavia naar de aorta descendens , operatie van Blalock - Park;3690001;shunt linker subclavia van aorta descendens door blalock - parkinson operatie
3713005;losmaken voor de quervain ' s tenosynovitis van de hand;3713005;release voor ziekte van hand
3734003;split thickness huidtransplantatie;3734003;split - thickness huidtransplantaat
3748003;biopsie van het perirenaal weefsel;3748003;biopsie perirenaal weefsel
3749006;reductie van een gesloten ischiumfractuur;3749006;reductie van gesloten ischial fractuur
3758004;trombectomie met katheter van de arteria subclavia via nek incisie;3758004;trombectomie met katheterisatie aberrant op nek incisie
3786007;excisie van letsel van farynx;3786007;excisie van farynx
3796003;excisie van prolaberende mucosa ter hoogte van jejunostomie;3796003;excisie slurf mucosa van jejunostomie
3799005;Rx adeno ï ds;3799005;r ö ntgenfoto d
3819004;embolisatie van thoracale arterie;3819004;embolisatie van arterie
3826004;drainage abces van ooglid;3826004;ooglidabcesdrainage
3828003;open biopsie van thoracaal wervellichaam;3828003;open biopsie vertebralis corpus van
3843001;verwijderen van vreemd voorwerp van fascia;3843001;verwijdering van fascia
3858009;echografie schildklier , A - mode;3858009;echo schildklier - overdraagbare
3861005;aneurysmectomie met anastomose van arterie van onderste lidmaat;3861005;aneurysmectomie met enterostomie arterie van onderste extremiteit
3864002;excisionele biopsie van het scrotum;3864002;biopsie scrotum
3880007;excisie van letsel ter hoogte van de fibula;3880007;excisie van fibula
3887005;afbinden van wrat;3887005;ligatuur van wratten
3889008;hechten van de lip;3889008;hechting van lip
3911000;spiertransplantatie;3911000;spier transplantatie
3917001;excisiebiopsie van een falanx van de voet;3917001;biopsie phalanges van voet
3938007;cerclage voor retinale reappositie;3938007;cerclage retina reattachment
3942005;cystopexie;3942005;cystopexie
3957003;arteriectomie van thoracoabdominale aorta;3957003;arteri ë ctomie van thoracoabdominal van aorta
3968003;facetectomie van wervel;3968003;facetectomy van wervel
3980006;subtotale oesofagectomie;3980006;subtotale resectie van slokdarm
4027001;implantatie electrostimulator in n phrenicus;4027001;implantatie elektronica vagus stimulatorverwijdering naar nervus phrenicus
4036002;uitgebreid arthroscopisch debridement van de elleboog;4036002;artroscopie elleboog , met extensive wondtoilet
4044002;definitieve colostomie;4044002;permanente colostomie
4045001;ventriculaire drainage via incisie;4045001;drainage van hersenventrikel door incisie
4068005;verwijderen en vervangen van ventriculair reservoir;4068005;verwijdering van klep irrigatie met synchronous implantatie
4090005;vervanging van transveneuze atriale en ventriculaire pacemaker leads;4090005;vervanging van transvenous atriale en ventrikel hartpacemaker ( elektrode ) leads
4101004;revisie van een lumbo - externe drainage;4101004;revisie van pleurothecal shunt
4119008;intracraniale flebectomie met anastomosis;4119008;intracraniale flebectomie met anastomose
4176005;Operatie van Fothergill voor baarmoeder;4176005;pijn uterusoperatie
4214007;intracardiale injectie voor cardiale resuscitatie;4214007;intracardiac injectie voor hartziekte reanimatie
4252008;aneurysmectomie met vervanging door interpositiegreffe;4252008;aneurysmectomie met transplantaat implantatie door interposition
4263006;biopsie van oppervlakkig zachtweefsel van de elleboog regio;4263006;biopsie weke delen van elleboog , oppervlakkige
4285000;insertie van een botstimulator in het femur;4285000;plaatsing van groeivertraging vagus stimulatorverwijdering naar femur
4293000;open chirurgische reductie van darm intussusceptie;4293000;reductie intussusceptie door laparotomie
4304000;excisie tricuspiedklepblad;4304000;excisie van cusp van
4321009;bilaterale angiografie van het been;4321009;angiografie van arterie dubbelzijdig
4323007;destructie van letsel van de sclera;4323007;cryochirurgie van
4336007;Lloyd - Davies abdomino - perineale resectie;4336007;lloyd - davies chirurgie nao abdominoperineale resectie
4339000;sluiten van een naso - labiale fistel;4339000;herstel nasolabial fistel
4341004;volledige submucosale resectie van de neusschelp;4341004;volledige submuceuze resectie van conchae nasales
4344007;cryopexie;4344007;cryopexy
4350002;verwijderen van cornea implant;4350002;verwijdering van cornea
4363008;endoscopische brushing van trachea;4363008;endoscopische brush luchtpijpbiopsie
4365001;herstel;4365001;chirurgische herstel
4387005;valvuloplastie pulmonalisklep in totaal herstel tetralogie van fallot;4387005;longklepherstel in totale tetralogie van fallot - herstel
4388000;herstel van spleno - colische fistel;4388000;herstel splenocolic fistel
4407008;insnijden canaliculus voor intubatie;4407008;splijting van traankanaal voor flatulentie eustachius
4411002;verwijderen van apparaat uit vrouwelijke genitale tractus;4411002;verwijdering , van vrouwelijke geslachtsorganen
4420006;incisie en drainage van parafaryngeaal abces , externe benadering;4420006;drainage via de incisie van abces op uitwendige approach
4438009;venografie van vena cava;4438009;venogram vena cava
4443002;decorticatie van ovarium;4443002;decortication ovarium
4450003;Plaatsen van Kirschner draad;4450003;van kirschnerdraden
4457000;Insertie vaginale dilatator;4457000;implantatie draadvormige naar vagina
4466001;exploratie van arterie van bovenste lidmaat;4466001;exploration van arterie van bovenste extremiteit
4467005;excisie van diepe intramusculaire tumor van de enkelstreek;4467005;excisie van tumor van het gebied van diepe been , intramusculaire
4489009;neurolyse van n trigeminus ( nV );4489009;neurolyse trigeminusaandoening
4503005;verwijderen van scleraal vreemd voorwerp zonder magneet;4503005;verwijdering van zonder vermelding van magnet
4505003;tenolyse van een flexorpees van de onderarm;4505003;tenolyse van flexor pees ter hoogte van onderarm
4507006;fasciotomie van het flexor - en extensorcompartiment van de pols;4507006;decompressie fasciotomie van pols , flexor en extensoren compartment
4533003;ligatie van arterie van onderste lidmaat;4533003;arteri ë le ligatuur van
4535005;insnijden van pelvi - rectaal weefsel;4535005;van pelvirectal weefsel
4542005;gesloten reductie vaneen fractuur van de voet;4542005;gesloten repositie van fractuur
4558008;anterior resectie van het rectum;4558008;anterior resectie van rectum
4570007;chemopallidectomie;4570007;chemopallidectomy
4579008;aanleggen ventriculoatriale shunt;4579008;shunt , cerebrale ventriculoperitoneale - shunt
4581005;pupilreconstructie;4581005;coreoplasty
4585001;decompressie van handpees;4585001;decompressie van pees van hand
4587009;epifysiodese van distale radius;4587009;epifysiodese van deel van radius
4626009;take - down van arteri ë le anastomose;4626009;opheffing van arteri anastomose
4640005;sterilisatie door afbinding eileiders via abdominale weg;4640005;ligatie , tubaire uterusligamenten door ectopisch approach
4642002;verwijderen opblaasbare penisprothese met pomp , reservoir en cilinders;4642002;verwijdering van inflatable peniele met pomp , klep irrigatie en cylinders
4671001;excisie van letsel van sinus sfeno ï dalis;4671001;excisie van van sinus sphenoidalis
4692001;transplantatie van arterie van bovenste lidmaat;4692001;van arterie van bovenste extremiteit
4707009;partiele excisie van calcaneus;4707009;partieel calcaneus
4734007;irrigatie van huid wonde door catheter / wondspoeling;4734007;wondirrigatie katheterisatie van huidadnexen
4758006;incudostapediopexie;4758006;incudostapediopexy
4770005;colporraphia anterior voor herstel urethrocoele;4770005;colporafie voor herstel urethraprolaps
4820000;incisie van het labiale frenulum;4820000;van lip frenectomie
4829004;excisie van de dunnedarm voor interpositie;4829004;excisie van voor interposition
4849008;biopsie van het ovarium;4849008;eierstokbiopsie
4862007;revisie van colonanastomose;4862007;dikkedarmanastomose bloeding
4891005;proctostomie;4891005;proctostomie
4895001;constructie van een sigmoiedblaas;4895001;van het sigmo ï d blaas
4929000;lokale perfusie van de nier;4929000;lokale perfusie nier
4930005;herstel van een thoraco - gastrische fistel;4930005;herstel thoracogastric fistel
4957007;cervicale arthrodese omwille van pseudarthrose;4957007;fusie van wervelkolom cervicaal voor pseudoartrose
4987001;osteoplastie van de schedel met botgreffe;4987001;cranioplastiek met weefsellap bot
4992004;linker hartscatheterisatie , retrograde percutaan;4992004;hartkatheterisatie linker hart retrograde , percutane
5019003;directe laryngoscopie met bioptiename;5019003;directe laryngoscopie met biopsie
5057003;radicale orbitomaxillectomie;5057003;radicale orbitomaxillectomy
5119000;epiglottidectomy;5119000;epiglottidectomie
5121005;wigosteotomie van het bekken;5121005;teennagelwig osteotomie van bekken
5130002;extractie van primair membraneus cataract door discissie;5130002;van primair membraneuze cataract door discission
5131003;Rx borstkast;5131003;r ö ntgenfoto nao borstkas
5147001;excisie van letsel ter hoogte van de enkel;5147001;excisie van van
5151004;manuele reductie van hemorro î den;5151004;gesloten fractuurmanipulatie rectum aambeien
5162004;excisie decubitus ulcus;5162004;excisie van ulcus
5176003;tromboendarteri ë ctomie met greffe van de arteria renalis;5176003;endarterectomie met transplantaat van arteria renalis
5184004;osteotomie van de femurschaft met fixatie;5184004;osteotomie van femurschacht , met fractuur
5186002;arthrotomie van glenohumeraalgewricht voor synovectomie;5186002;heupprotese synovi ë ctomie schouders
5216004;driedimensionale echografische beeldvorming van het hart;5216004;echocardiografie , driedimensionele
5233006;laterale fasciotomie;5233006;laterale fasciotomie
5243009;hechten adenoid fossa;5243009;hechting van adeno ï fossa
5245002;transplantatie van een perifere vena;5245002;van perifere vene
5267001;ligatie van arteria suprarenalis;5267001;ligatuur van bijnier arterie
5290006;incisie en drainage van mondbodem abces;5290006;drainage via de incisie van angina
5328005;achillespeesverkorting;5328005;korte achillespees
5348003;herstel endocardial cushion defect;5348003;endocard kussendefect herstel
5402006;manipulaite van thoracale arterie;5402006;manipulatie van arterie
5407000;injectie van eileider;5407000;inspuiting van tuba fallopii
5415002;destructie van letsel van de lever;5415002;van lever
5447007;transfusie;5447007;transfusie
5452002;holle naaldbiopsie van de thymus;5452002;core biopsienaald thymus
5460001;verwijderen van prothese van eileider;5460001;verwijdering van tuba fallopii
5521000;open reductie van een fractuur van een falanx van de voet;5521000;open reductie van phalanges van voet
5556001;manueel begeleide spontane vaginale partus;5556001;manually begeleide spontane bevalling
5571002;excisie van letsel van aorta met end - to - end - anastomose;5571002;excisie van van met chronische -
5616006;osteoplastie van de tibia;5616006;osteoplasty van tibia
5632009;open biopsie van de bronchus;5632009;open bronchusbiopsie
5636007;Fistulectomie van een bot;5636007;fistelexcisie bot
5671007;verwijderen vreemd voorwerp uit het ciliair lichaam met magneet;5671007;magnet bevalling van corpus ciliare
5687005;verwijderen vreemd voorwerp van het ovarium;5687005;verwijdering ovarium
5721002;herstel wenkbrauw;5721002;herstel wenkbrauwen
5722009;chirurgische anastomose van het colon;5722009;chirurgische reanastomosis nao
5726007;verwijderen epicardiale electroden;5726007;verwijdering van epicardial electrodes
5728008;anusscopie voor verwijderen van vreemd lichaam;5728008;anoscopie verwijdering vreemd lichaam
5738003;biopsie van de cul - de - sac ( douglas );5738003;biopsie cavum douglasi
5745003;excise van de ampulla van Vater met re ï mplantatie van de galweg;5745003;excisie oddi met replantatie ductus communis
5760000;osteoplasty van de radius en ulna , verkorting;5760000;osteoplasty van radius korte
5771004;blefarotomie;5771004;blepharotomy
5777000;flexorplastie van elleboog;5777000;flexorplasty van elleboog
5789003;darm adhaesiolysis;5789003;darmadhesielyse
5796001;excisie van externe getromboseerde haemorroiden;5796001;excisie van uitwendige trombotische aambeien
5806001;revisie litteken van tracheostomie;5806001;tracheostomierevisie litteken
5807005;fenestratie van binnenoor , initieel;5807005;fenestration van binnenoor , initi ë le
5865004;open reductie van luxatie van de teen;5865004;open reductie van teen
5892005;mastoid antrotomie;5892005;tepelvormig intranasaal
5897004;verwijderen van Scribner shunt;5897004;verwijdering van scribner shunt
5971009;incisie en drainage van de oksel;5971009;drainage via de incisie axilla
5983006;herstel zaadstreng;5983006;herstel van zaadstreng
5992009;meerdere midtarsale arthrodesen;5992009;middenvoetwortelbeentje ( fusie , multipele
5998008;radicale dissectie van de lies;5998008;liesdissectie onder regionale anesthesie
6005008;vitreumtransplantatie via anterieure benadering;6005008;van glasvocht door voorste approach
6007000;NMR borstkas;6007000;mri van thorax
6025007;laparoscopische appendectomie;6025007;laparoscopische appendicectomie
6029001;verhogen van de outflow tract van de pulmonalisklep;6029001;augmentation van outflow ( klep
6082008;perforatie van basisplaat van stapes;6082008;perforatie footplate
6092000;aspiratie van de sinus via een sinuspunctie;6092000;aspiratie sinusitis door aspiratie
6100001;fenestratie van basis van stapes met veneuze greffe;6100001;fenestration van stijgbeugel footplate met vena transplantaat
6119006;plaatselijke destructie van het harde verhemelte;6119006;lokale cryochirurgie van benige gehemelte
6125005;vervangen van gastrostomiesonde;6125005;verplaatsing van gastrostomietube
6146001;herstel van cardiaal septum met prothese;6146001;herstel van septum met prothese
6148000;chondrectomie van semilunair kraakbeen van de knie;6148000;kniemeniscusverwijdering
6157006;ERCP met biopsie;6157006;endoscopische retrograde met biopsie
6161000;excisie van letsel van kapsel van tenen;6161000;excisie van capsule van tenen
6164008;osteoclasie van de clavicula;6164008;osteoclasis van sleutelbeen
6187000;herstel van aneurysma van arteria femoralis communis met greffe;6187000;aneurysmaherstel met transplantaat van arteria femoralis communis
