SNOMED conceptID;Thot vertaling
1209007;artroscopie van met laterale meniscus herstel
1225002;r ö ntgenfoto van humerus
1227005;van subvalvular weefsel voor discrete subvalvulaire aortastenose
1235008;spier transpositie
1237000;gipsaanbrenging , glucose tong
1238005;stilstand door dichtnieten deel van radius
1251000;incisie testisbiopsie
1253002;refusion van
1258006;verwijdering van meniscus van pols
1266002;neustussenschot perforatie
1267006;galvanocauterisatie van de vagina
1278003;open reductie van gesloten schouderontwrichting met breuk van grotere knobbel
1279006;revisie van hartpacemaker pocket in huid
1292009;mri van blaas
1299000;excisie van appendiceal amputatiestomp
1315009;reconstructie wenkbrauwen
1316005;bovenste parti ë le prothese , cast metalen schedelbasisfractuur zonder resin saddles , inclusief elke conventionele clasps , rests of tand
1324000;cerebrospinaal vocht igg verhouding met igg index
1327007;verrichting divertikel
1328002;ilioiliac shunt
1329005;verwijderen larynxweb
1337002;colosigmoidostomy
1339004;verwijdering impactie
1347004;medische verrichting gehemelte
1352009;voorste radiculotomie
1358008;coombs - test enzyme , - antistof
1366004;inhalatietherapie
1385001;diagnostische echo scan , overdraagbare voor foetus seniel f
1390003;laparoscopische - begeleide sigmo ï dectomie
1398005;directe trombectomie vena iliaca op been incisie
1399002;incisie en exploration van ureter
1407007;de lange beenderen van onderste cast , braces type
1410000;anesthesie en myringotomie
1411001;chirurgie papillaire spieraandoening nao
1413003;perforerende keratoplastiek met allograft
1414009;angiografie , arterioveneus
1417002;gezichtsoperatie
1431002;fractuur
1440003;herstel met resectie van recession
1449002;ontharing
1453000;biofeedback , psychogalvanische
1455007;cervicale hechting
1457004;vagotomie en pyloroplastiek en gastrostomie
1494008;osmolariteit -
1500007;bilaterale epididymovasostomy
1501006;altemeier chirurgie perineum rectale pull , via
1505002;ziekenhuis , admission en isolatie
1529009;wekedelenaspiratie
1533002;ureteroplication
1550000;amikacin -
1555005;kort groepspsychotherapie
1559004;il - 2 - assay
1576000;herstel uteroenteric fistel
1577009;implantatie van single - oogkamer hulpmiddel implantatie , hartfrequentie normokali
1578004;reconstructie van gehoorbeentjes met stapedectomie
1583007;chordotomie middenhersenen
1585000;verlenging van musculus gastrocnemius
1596008;anesthesie en totale elleboog implantatie
1597004;r ö ntgenfoto van enkel en voet
1602006;sociale service interview met planning
1614003;bilaterale liesbreukoperatie direct
1615002;reline arm parti ë le prothese , chairside
1616001;krabbe - - leucocyten -
1636000;inspuiting van agentia in spataderen
1638004;cineplastic amputatie met cineplastic oogprothese extremiteit
1640009;anamnese met lichamelijke symptomen en onderzoek verzekering
1645004;transhepatische sfincterotomie
1651009;excisie van de peesschede
1653007;osteosynthese zonder fractuur reductie
1669000;making occupied bed
1677001;haagensen -
1678006;endoscopie , , hersenzenuw -
1680000;secundair chemoprofylaxe
1683003;directe herstel inscheuring van conjunctiva
1689004;excisie van ovarium
1691007;drainage van abces
1699009;speciaal dosimetry
1702002;lip veneer , resin laminate - laboratoriumtest
1704001;herstel pseudoartrose , congenitaal tibia
1709006;borstreconstructie , bilateraal , bilateraal , pedicle tram weefsellap
1712009;immunoglobuline typering , igg
1713004;hypothermie gehele lichaam opwekking en maintenance
1730002;hechting van wond van de voet
1746005;arruga met implantatie
1747001;vervanging van spier vagus stimulatorverwijdering
1753001;resectie van uvea weefsel
1757000;artroscopie pols parti ë le synovi ë ctomie
1759002;voedingsbeoordeling
1770009;mitralisvalvotomie
1774000;rhinofarynx revalidatie
1775004;submandibulaire incisie met abcesdrainage
1784004;fecale stercobilin nao qualitative
1787006;echografische guidance voor pericardiocentesis
1788001;bloed units subduraal voor directed donation , donor
1801001;endoscopische biopsie duodenum
1805005;chirurgische herstel stoma
1811008;slijmbeurs aspiratie van hand
1813006;cryotherapie van wrat
1820004;adem alcoholtest
1830008;open reductie van sacrum fractuur
1836002;excisie slokdarmdivertikel univentriculair hart
1844002;plication van
1854003;van neus
1859008;verwijdering van pees van hand
1861004;anesthesie en gesloten verrichting opperarmbeen of elleboog
1862006;thoracale flebectomie
1866009;bilaterale nefrectomie
1868005;verwijdering van hersenen
1870001;implantatie halo - van met synchronous skelettractie
1871002;herstel aneurysma
1872009;hechting bekkenbodempijn man
1876007;terugtrekkende oogkamerhoek prognathic kaak
1879000;fluorescent - treponemal - antigeen
1889001;transport , pati ë nten - in - ziekenhuizen units - units
1906007;heupprothese - implantatie van van bioelectric en cineplastic
1907003;bifemoraal bot
1917008;pati ë nten - deceased - medicolegal volledig
1924009;hepaticotomy met abcesdrainage
1950008;abcesdrainage neusseptum
1958001;transplantatie , duim met ntentransport huidflap
1966005;centraal block anesthesie
1983001;totale urethrectomie inclusief cystostomie vrouw
1995001;stripping van de cerebrale hersenvliezen
1999007;psychologische test
2002009;operatie van tunnel zonder oesofagitis anastomose
2021001;fractuur radius zonder fractuur reductie
2051007;rode cel ijzer utilization functieonderzoek
2054004;barbiturates - quantitative en qualitative
2067001;implantatie van electromagnetic gehoorapparaat
2069003;subperiostale tandimplantatie
2078009;slijmbeurs aspiratie van hand
2079001;replantatie , pulmonaal
2080003;angiectomy met intestinale anastomose arterie van onderste extremiteit
2098004;open reductie van mandibularis fractuur met uitwendige fixatie
2115003;tanden profylaxe dwerggroei
2119009;herstel van bloedvaten
2127000;reductie van gesloten heiligbeen fractuur
2137005;excisie van pericard tumor
2153008;hart onderwijzen
2161003;vulvaoperatie
2164006;inspuiting van
2166008;bicuspidization van aortaklep
2171001;tonsillectomie tags
2178007;ureterocentesis
2181002;operatie en bot letsel van tarsals en metatarsals
2188008;tenodese
2193006;herstel aneurysma met transplantaat arteria coeliaca
2196003;clostridium chromatografie , elektronen - capture type
2199005;excisie cavum douglasi
2214008;curette - gespecificeerd
2220009;complementfactor c3 spiegel
2225004;sensititer zenuwstelsel -
2234009;proctosigmoidopexy
2238007;niersteen chirurgie , anoplastiek
2242005;reconstructie van
2244006;artroscopie pols met inwendige fixatie voor instabiliteit
2250001;resectie van aorta ascendens met anastomose
2252009;ziekenhuis , admission - urgent , 48 of niet gespecificeerd
2266004;venogram van bijnier , dubbelzijdig
2267008;changing tracheostomieslang
2270007;herstel klauwhand
2276001;exploration van arteria poplitea
2278000;urine automatische
2279008;antistof test , erythrocyt , enzyme - 1 fase , , inclusief antiglobulinetest
2290003;sputumkweek , staafjes , beginlaesies isolatie
2315006;chirurgie van de cerebrale hersenvliezen
2318008;anesthesie en cast verrichting onderarm pols en hand
2321005;bevalling door ritgen maneuver
2322003;herstel recent wond van direct ligatie , volledige dikte
2337004;tenotomie ( abductor )
2344008;gecompliceerd cystorafie
2347001;diagnostische model operatie
2364003;radicale resectie van weke delen van pols gebied
2371008;tympanoplastiek ii met transplantaat tegen incus of malleus
2373006;buffy jassen uitstrijkje onderzoek
2382000;afbinding van pomp
2386002;reductie van gesloten patellae luxatie
2393003;ligatuur van venen van onderste extremiteit
2406000;periodontic tanden consult en report
2407009;excisie mediastinaal gezwel
2408004;hexosaminidase a en hexosaminidase a en b - serum
2409007;herstel loslating extremiteit voet
2425002;virus serologische test
2442008;van traankanaal
2448007;synoviaal vocht celtelling met gedifferentieerde bloedceltelling
2455009;revisie van lumbosubarachnoid shunt
2457001;blindheid revalidatie
2458006;onderwijs therapie
2459003;destructieve operatie van arterie van bovenste extremiteit
2461007;lateralis -
2474001;herstel van verkeerd aangroeien van metatarsalia
2475000;urine monsters subduraal , beperkt
2480009;wondtoilet , subcutis spier en bot
2486003;van delen van
2488002;profylaxe , aanmeten en dispensing van contactlenzen
2494005;nursing conference
2498008;rebase , tandheelkundig brugwerk
2507007;5 '- nucleotidase
2508002;retrograad pyelogram met kub
2514009;reductie van gesloten humerus supracondylair fractuur met manipulatie en tractie
2517002;cerebrovasculair revalidatie
2530001;chiropraxis visit
2531002;mononuclear - functionele spiegel
2535006;pulpectomie
2536007;inspuiting van geneesmiddelen voorste oogkamer
2547000;excisie keloidea
2552005;van cerebrale cavum subarachnoidale
2564002;shunt lumbale shunt inclusief laminectomie
2566000;osteoplasty van radius
2567009;ribexcisie door transaxillary approach
2580007;transplantatie haar follicles van hoofdhuid
2598006;open hartchirurgie
2601001;verwijdering van weefsellap schedel
2607002;uterusoperatie steunweefsels
2613006;gewrichtsvervanging gewricht , hand
2614000;verwijdering onderbinden van tuba fallopii
2616003;herstel van bifid vingers
2619005;psychiatrische interpretation - familie en ouder ,
2629003;intracraniaal en cerebrale perfusie drukbewaking
2632000;drainage via de incisie van bursitis van bovenarm
2642003;prefabricated syndroom met kern van addition - kroon
2643008;varicesligatuur hoofd en hals
2644002;cauterisatie van de lever
2645001;iq - test , wb1
2646000;incisie en exploration van vas deferens
2658000;sociale service interview nao
2659008;hechting van onderste extremiteit
2668005;recementation van ruimte van maintainer
2670001;vasculaire diagnostische verrichting cornea
2673004;drainage via de incisie van masticator ruimte door extraoral approach
2677003;stripping
2690005;bekken mri
2693007;ontlasting vet , quantitative -
2696004;lever venogram bij hemodynamic onderzoek
2697008;stripping en ligatuur grote vena saphena
2716009;huidinfectie , vet - fascia transplantaat
2722000;interleukine - test
2731000;antistof griepvirus a
2732007;recession van pees van hand
2737001;exploratieve craniotomie , infratentorieel
2742009;van bartholin
2743004;chirurgie ileoscopie
2745006;omentopexie
2752008;incudopexy
2780005;osteoplasty van aangezichtsbeenderen
2794006;cauterisatie van navel
2802005;manual dilatatie en stretching
2811005;radiocinematografie farynx
2813008;nephroureterocystectomy
2837008;transpositie van de nervus ulnaris ter hoogte van elleboog
2842000;gaschromatografie
2843005;hervormen van urine conduit
2847006;cervicale myelografie
2851008;heupprotese synovi ë ctomie van sternoclaviculair gewricht
2854000;bursaverwijdering hand
2857007;enucleatie van epifyse
2866006;syndroom ,
2875008;gewrichtsvervanging naar elleboog
2876009;ziekenhuis , admission , plaats niet - explain door report
2885009;intradermale test
2891006;artroscopie elleboog parti ë le synovi ë ctomie
2898000;dna analyse prenatale bloed
2903001;vasculaire diagnostische verrichting voorste oogkamer
2908005;cryochirurgie van aambeien
2914003;voorste sclerotomy
2915002;suture kapselruptuur enkel
2933008;pneumogynecography
2945004;suprapubische diverticulectomie blaas
2947007;therapeutische open -
2960001;fistelherstel cervix
2968008;crani ë ctomie met behandeling van wond van
2970004;metacarpalia verlenging en ntentransport lokale weefsellap
2971000;herstel ( urethrovaginaal
2977001;trombectomie onderste ledemaat
3001009;totale lobectomie ( met bronchoplastiek
3010001;verwijdering van silastic uterusligamenten uit oor
3016007;verwijdering van crutchfield tongs van schedel
3025001;calcitonine
3026000;tibiotalar artrodese
3029007;perifeer zenuwstelsel revalidatie
3041000;maagfistel reparatie
3047001;kowa maagfundus - fotografie
3060007;interscapulothoracale amputatie rechts
3061006;enucleatie van en nagel matrix
3063009;gastroscopie via kunstmatige stoma
3075004;nonoperative galweg stentverwijdering
3078002;embolectomie met katheterisatie arteria door abdominale incisie
3083005;verwijdering , van thorax
3088001;anesthesie en endoscopie , bovenste extremiteit
3090000;aneurysmectomie met transplantaat vervanging van arterie van onderste extremiteit
3112006;restraint verwijdering
3116009;bloedcoagulatietests
3130004;monitoring , hartminuutvolume door ecg
3133002;pati ë nten - deceased - autopsie
3137001;replantatie
3143004;gezichtsveld onderzoek en onderzoek , intermediaire
3162001;gadolinium -
3164000;open reductie van gesloten mandibularis fractuur met interdental fractuur
3165004;irrigatietherapie van hand
3166003;herstel van speekselklier
3177009;inwendige obstetrische version
3183007;colostomie sluiting
3186004;excisie van skene klier
3190002;ontharing door forceps
3204007;destructieve operatie van zenuw
3241008;herstel gryposis met mobilization van de urethra
3249005;van filtratie vesica
3251009;mayo chirurgie nao herniorafie
3256004;cervicale lymfangiografie
3257008;leeg en measure peritoneale vloeistof
3258003;cerebrale arteriografie
3268008;transplantatie , delen van bekken
3270004;implantatie van spinale zenuwstimulator
3278006;adhesiolyse slijmbeurs hand
3287002;cholecystogastrostomy
3320000;autotransfusie
3324009;laserthermocoagulatie
3326006;excisie bunionette
3328007;venasectie hoofd en hals
3333006;afbinding van spalk onderarm en hand , static
3338002;open reductie van radiale schacht fractuur
3352000;pth
3357006;ijzer kinetics functieonderzoek
3360004;galblaasanastomose
3390006;verification routine
3399007;reductie van torsie
3407002;operatie van ruggenmerg door percutane kleuring
3413006;bloedcel morfologie
3418002;discectomie
3432000;preventive tanden service
3443008;tandpulpa knieschijf direct excl . final restoration
3448004;van contralateral testis
3450007;lymfocyten , en b - onderzoek
3457005;pati ë verwijzingen nao
3479000;verwijdering van assist nao met implantatie
3498003;totale hypofysectomie door transsphenoidal approach
3499006;aspiratie vitreum met implantatie
3509001;streptococcus - immunisatie
3512003;angiografie armarterie extremiteit
3515001;hartpacemaker batterijvervanging , pols generator
3517009;verwijdering van bekken van subcutis
3518004;aversietherapie
3527003;antistof
3546002;bypass , met vena saphena transplantaat
3559005;van ureter stent met ureterotomy
3562008;rodney smith chirurgie , radicale pancreatectomie
3564009;verwijdering van tuba fallopii
3575008;herstel van fascia met transplantatie , fascia
3580004;verwijdering van farynx
3605001;reductie van corpus ciliare
3607009;transplantatie mesenterische weefsel
3620007;rode cel survival functieonderzoek met sequestratie
3625002;anesthesie en brachiale arteriograms , retrograde
3651000;morphometric analyse zenuwletsel
3654008;lingulectomy long
3659003;van binnenoor
3664004;herstel van sclera fistel
3666002;perifere neurorafie
3669009;aanpassing , prothese -, bovenarm
3673007;leadbetter urethra reconstructie
3683006;urine selenium
3686003;zancolli chirurgie voor peesverplaatsing van bicipitalis
3688002;anesthesie en lensanomalie chirurgie
3690001;shunt linker subclavia van aorta descendens door blalock - parkinson operatie
3691002;teennagelwig osteotomie van tarsals en metatarsals
3697003;weefsel perceptiestoornis , , routine - embed - snee en stain , per autopsie
3700004;erysiphake cataractextractie door intracapsular approach
3701000;verwijdering van van subcutis
3713005;release voor ziekte van hand
3717006;dilute russell ' s viper venom time
3734003;split - thickness huidtransplantaat
3735002;coproporphyrin iii -
3740005;verwijdering van ooghoek door incisie
3748003;biopsie perirenaal weefsel
3749006;reductie van gesloten ischial fractuur
3758004;trombectomie met katheterisatie aberrant op nek incisie
3770000;ward urine dip stick test
3778007;manipulatie van scrotum weefsel
3780001;routine pati ë disposition , follow - planned
3784005;test voor keratose dementie
3786007;excisie van farynx
3787003;echografische guidance voor biopsienaald
3794000;pregnanetriol -
3796003;excisie slurf mucosa van jejunostomie
3799005;r ö ntgenfoto d
3802001;tanden van desensitizing geneesmiddel
3819004;embolisatie van arterie
3826004;ooglidabcesdrainage
3828003;open biopsie vertebralis corpus van
3831002;chiropraxis van ijs
3843001;verwijdering van fascia
3858009;echo schildklier - overdraagbare
3861005;aneurysmectomie met enterostomie arterie van onderste extremiteit
3862003;totale vitale capaciteit
3864002;biopsie scrotum
3880007;excisie van fibula
3881006;drainage via de incisie van submental ruimte door extraoral approach
3887005;ligatuur van wratten
3889008;hechting van lip
3891000;comprehensive , orthodontische behandeling permanente dentitie , voor angle - klasse i
3895009;van wondverband
3907006;drainage via de incisie van abces
3911000;spier transplantatie
3915009;arteri ë ctomie thorax en buik
3917001;biopsie phalanges van voet
3918006;plastische chirurgie met verlenging
3926003;melkzuur
3929005;transport , pati ë nten - in - ziekenhuizen bed - bed
3936006;making foster bed
3938007;cerclage retina reattachment
3942005;cystopexie
3955006;antistof elution , rode
3957003;arteri ë ctomie van thoracoabdominal van aorta
3963007;chirurgie van de submandibulaire klier
3967008;fluorescentie - polarisatie - immuno -
3968003;facetectomy van wervel
3969006;verwijdering van osteocartilagenous corpus liberum van gewricht , plaats
3971006;dystrofie drager test
3980006;subtotale resectie van slokdarm
3981005;drager test , moleculaire genetics
3985001;anesthesie en verrichting onderste met bypass
3991004;bekken mri van prostaat en blaas
3998005;botscan nao beperkte gebied
4007002;antiglobulinetest indirect - antistof - gamma -
4008007;venogram hals
4010009;ovarium verwijdering van remaining ovarium met eustachius
4027001;implantatie elektronica vagus stimulatorverwijdering naar nervus phrenicus
4034004;gesloten repositie van aangezicht fractuur , mandibula
4035003;restoration , resin , twee surfaces , , ware
4036002;artroscopie elleboog , met extensive wondtoilet
4037006;verwijdering vaattransplantaat of prothese
4044002;permanente colostomie
4045001;drainage van hersenventrikel door incisie
4052004;percutane aspiratie ruggenmerg syrinx
4064007;monsters aliquoting
4068005;verwijdering van klep irrigatie met synchronous implantatie
4083000;aanpassing , prothese -, onderste ledemaat
4084006;peesherstel hand door transplantatie en implantatie van
4090005;vervanging van transvenous atriale en ventrikel hartpacemaker ( elektrode ) leads
4094001;reductie van uterus door pessaria
4101004;revisie van pleurothecal shunt
4102006;wortelkanaalverrichting voorste excl . final restoration
4114003;parenterale chemotherapie voor maligne neoplasma
4116001;van venster
4119008;intracraniale flebectomie met anastomose
4131005;implantatie naar bekken
4134002;chirurgie block anesthesie
4139007;achterste ruggenmergdoorsnijding
4143006;inspuiting van voorste oogkamer
4149005;bot histomorphometry - aandoening stain
4154001;drainage via de incisie van
4165006;test voor staphage lysate
4176005;pijn uterusoperatie
4192000;toxicologie test voor organofosfaat insecticide
4213001;implantatie van ommaya klep irrigatie
4214007;intracardiac injectie voor hartziekte reanimatie
4226002;excisie van van vene
4238006;hemoquant stoelgang
4252008;aneurysmectomie met transplantaat implantatie door interposition
4263006;biopsie weke delen van elleboog , oppervlakkige
4266003;pati ë verwijzingen nao voor drugs rehabilitatie
4285000;plaatsing van groeivertraging vagus stimulatorverwijdering naar femur
4293000;reductie intussusceptie door laparotomie
4304000;excisie van cusp van
4319004;rebase , volledige ondergebitsprothese
4321009;angiografie van arterie dubbelzijdig
4323007;cryochirurgie van
4331002;anesthesie en herniorafie van onderbuik
4333004;drainage via de incisie van perisplenic ruimte
4336007;lloyd - davies chirurgie nao abdominoperineale resectie
4337003;homogentisic zuur -
4339000;herstel nasolabial fistel
4341004;volledige submuceuze resectie van conchae nasales
4344007;cryopexy
4348005;myoplastiek hand
4350002;verwijdering van cornea
4363008;endoscopische brush luchtpijpbiopsie
4365001;chirurgische herstel
4380007;transpositie van de vulva weefsel
4387005;longklepherstel in totale tetralogie van fallot - herstel
4388000;herstel splenocolic fistel
4407008;splijting van traankanaal voor flatulentie eustachius
4411002;verwijdering , van vrouwelijke geslachtsorganen
4420006;drainage via de incisie van abces op uitwendige approach
4424002;making orthopedische bed
4436008;mcp receptor -
4438009;venogram vena cava
4443002;decortication ovarium
4447001;autopsie , mastopathie / microscopie , stillborn of pasgeborene zonder zenuwstelsel
4449003;manipulatie , spinale meningen
4450003;van kirschnerdraden
4455008;open reductie van elleboog luxatie
4457000;implantatie draadvormige naar vagina
4466001;exploration van arterie van bovenste extremiteit
4467005;excisie van tumor van het gebied van diepe been , intramusculaire
4475004;cyanide -
4487006;noradrenaline , supine
4489009;neurolyse trigeminusaandoening
4496006;speciaal behandeling van
4503005;verwijdering van zonder vermelding van magnet
4504004;van potter obstetrische version , met bevalling
4505003;tenolyse van flexor pees ter hoogte van onderarm
4507006;decompressie fasciotomie van pols , flexor en extensoren compartment
4511000;restoration , inlay - composite - resin , oppervlak van laboratoriumtest processed
4516005;iridencleisis en iridotasis
4520009;anastomose , slokdarm antesternal en antethoracic , oogprothese plaatsing
4525004;wegens department pati ë visit
4533003;arteri ë le ligatuur van
4535005;van pelvirectal weefsel
4539004;excisie cyste
4542005;gesloten repositie van fractuur
4544006;excisie van tumor van extremiteiten
4558008;anterior resectie van rectum
4563007;ziekenhuis , admission - transpositie van overige ziekenhuizen of zorginstellingen
4570007;chemopallidectomy
4579008;shunt , cerebrale ventriculoperitoneale - shunt
4581005;coreoplasty
4585001;decompressie van pees van hand
4587009;epifysiodese van deel van radius
4589007;medische verrichting verband houdend met reproduction
4593001;cauterisatie van met iridectomie
4594007;coproporphyrin isomers - series i fractuur , urine
4613005;ria
4625008;radiculaire pols
4626009;opheffing van arteri anastomose
4636001;denker chirurgie voor radicale maxillaris intranasaal
4640005;ligatie , tubaire uterusligamenten door ectopisch approach
4642002;verwijdering van inflatable peniele met pomp , klep irrigatie en cylinders
4660002;vasculaire diagnostische verrichting phalanges van voet
4670000;katheterisatie , bronchiale
4671001;excisie van van sinus sphenoidalis
4672008;medische verrichting zenuwstelsel
4691008;identification , rotavirus antigeen ontlasting
4692001;van arterie van bovenste extremiteit
4694000;percutane biopsienaald spier
4699005;stain , alfa - naphthyl butyrate - en beenmerg
4701005;colony - forming - units - granulocyten - monocyten , erythro - megakaryocyt spiegel
4707009;partieel calcaneus
4712005;verwijdering gardner wells tongs van schedel
4713000;endoscopie en - fotografie
4719001;psychologische cognitieve onderzoek en onderzoek
4727005;lipoproteine elektroforese
4734007;wondirrigatie katheterisatie van huidadnexen
4737000;mycobacterium kweek
4756005;cryotherapie van
4758006;incudostapediopexy
4764004;jet ventilatie nao
4765003;van oog implantaat na secundair aan enucleatie
4770005;colporafie voor herstel urethraprolaps
4772002;reductie van torsie
4784000;chirurgie sublingualis
4804005;microbial identification -
4811009;reconstructie van diafragma
4815000;antistof identification , rode antistof panel , enzyme - 2 fase , inclusief antiglobulinetest
4820000;van lip frenectomie
4827002;shower hydrotherapie
4829004;excisie van voor interposition
4847005;anesthesie en keizersnede
4849008;eierstokbiopsie
4862007;dikkedarmanastomose bloeding
4877004;extracapsular van lens bij iridectomie
4891005;proctostomie
4895001;van het sigmo ï d blaas
4902005;ethchlorvynol -
4903000;spep
4904006;dilatatie anale sfincterherstel vliezen nonlocal anesthesie
4914002;behandeling planning voor teletherapy
4929000;lokale perfusie nier
4930005;herstel thoracogastric fistel
4934001;salpingogram
4957007;fusie van wervelkolom cervicaal voor pseudoartrose
4966006;extracorporele perfusie
4970003;venogram
4974007;leveroperatie
4976009;anesthesie en endoscopie , op onderste extremiteiten
4987001;cranioplastiek met weefsellap bot
4992004;hartkatheterisatie linker hart retrograde , percutane
4993009;ischemische extremiteit inspannings met specifiek en melkzuur zuur f
5016005;brugtussendeel - resin met verhoogd noble metalen
5019003;directe laryngoscopie met biopsie
5021008;aldosteron met staan - normaal salt dieet
5022001;reactie -
5025004;sperma analyse aanwezigheid en motility van sperma
5032008;lip veneer , porseleinen laminate , laboratoriumtest
5034009;haarbevattend huidtransplantaat
5048009;uitwendige cefaloconversie met tocolyse
5055006;uniscept zenuwstelsel -
5057003;radicale orbitomaxillectomy
5065000;reductie van traumatische heup luxatie met anesthesie
5091004;aandoening functieonderzoek
5105000;endoscopie nao nier
5110001;echo perifere beeldvorming real stollingstijd scan
5113004;thyroxine vrij
5119000;epiglottidectomie
