conceptId;Beschrijving;conceptId;Beschrijving Matecat;conceptId;Beschrijving thot mw;conceptId;beschrijving thot
1019009;verwijderen cornea epitheel;1019009;Verwijdering van hoornvliesepitheel;1019009;verwijdering van cornea - epitheel;1019009;verwijdering van cornea - epitheel
1029002;foetoscopie;1029002;fetoscopy;1029002;foetoscopie;1029002;foetoscopie
1036001;plaatsen van een intravasculair apparaat in the vena iliaca communis , volledig;1036001;Het inbrengen van intravasculaire inrichting in gemeenschappelijke iliacale ader , compleet;1036001;implantatie intravasculaire hulpmiddel in vena iliaca communis , volledig;1036001;implantatie intravasculaire hulpmiddel bij gewone centraalveneuze , volledig
1041009;debridement van een open fractuur van een falanx van de voet;1041009;Debridement van open fractuur van de kootjes van de voet;1041009;gecompliceerde fractuurdebridement van phalanges van voet;1041009;gecompliceerde fractuurdebridement van phalanges van voet
1044001;diagnostische echografie van het abdomen en het retroperitoneum;1044001;Echografie van de buik en retroperitoneum;1044001;diagnostische echo buik en retroperitoneale;1044001;diagnostische echo buik en retroperitoneale
1054002;incisie van de sfincter van Oddi;1054002;Insnijding van de kringspier van Oddi;1054002;incisie van oddi;1054002;van sfincter van oddi
1071001;proximale splenorenale anastomosis;1071001;Proximale splenorenal anastomose;1071001;proximaal splenorenale shunt;1071001;van splenorenale shunt
1084005;excisie perinefrische cyste;1084005;Excisie van perinephric cyste;1084005;excisie perirenaal cyste;1084005;excisie perirenaal cyste
1093006;excisie van abdominale variceuse vene;1093006;Excisie van abdominale ader spatten;1093006;excisie van de abdominale veneuze spataderen;1093006;excisie van de abdominale veneuze spataderen
1119007;gesloten reductie van luxatie van de teen en voet;1119007;Gesloten vermindering van ontwrichting van de voet en tenen;1119007;gesloten repositie van voet en teen;1119007;gesloten repositie van voet en teen
1163003;uretero - enterostomie;1163003;Ureteroenterostomy;1163003;ureteroenterostomy;1163003;ureteroenterostomy
1176009;incisie van de inguinale regio;1176009;Insnijding van liesstreek;1176009;van lies;1176009;van lies
1198000;excisiebiopsie van de scapula;1198000;Excisiebiopt van het bot van schouderblad;1198000;biopsie van scapula;1198000;biopsie van scapula
1209007;arthroscopisch lateraal meniscaal herstel;1209007;Artroscopie van de knie met laterale meniscus reparatie;1209007;artroscopie van met laterale meniscus herstel;1209007;artroscopie van met laterale meniscus herstel
1225002;Rx humerus;1225002;Radiografie van opperarmbeen;1225002;r ö ntgenfoto van humerus;1225002;r ö ntgenfoto van humerus
1227005;incisie subvalvulair weefsel voor subvalvulaire aorta stenose;1227005;Insnijden van subvalvulaire weefsel voor discrete subvalvulaire aortastenose;1227005;van subvalvular weefsel voor discrete subvalvulaire aortastenose;1227005;van subvalvular weefsel voor discrete subvalvulaire aortastenose
1235008;spiertransfer;1235008;Muscle overdracht;1235008;spier ntentransport;1235008;spier transpositie
1253002;revisie fusie van de wervelkolom;1253002;Refusion van de wervelkolom;1253002;refusion van wervelkolom;1253002;refusion van
1266002;sluiten van fistel van trommelvlies;1266002;Sluiting van trommelvlies perforatie;1266002;neustussenschot perforatie;1266002;neustussenschot perforatie
1267006;electrocoagulatie van vaginaal letsel;1267006;Electrocoagulatie laesie van de vagina;1267006;galvanocauterisatie van de vagina;1267006;galvanocauterisatie van de vagina
1279006;herstel onderhuids zakje voor pacemaker;1279006;Reparatie van de pacemaker pocket in huid en / of onderhuids weefsel;1279006;revisie van hartpacemaker pocket in huid;1279006;revisie van hartpacemaker pocket in huid
1292009;NMR blaas;1292009;Magnetische resonantie beeldvorming van de urineblaas;1292009;mri van blaas;1292009;mri van blaas
1299000;resectie van appendiculaire stomp;1299000;Excisie van appendiculair stomp;1299000;excisie van appendiceal in een amputatiestomp;1299000;excisie van appendiceal amputatiestomp
1315009;reconstructie wenkbrauw;1315009;Reconstructie van de wenkbrauw;1315009;reconstructie van wenkbrauwen;1315009;reconstructie wenkbrauwen
1328002;ilio - iliacale shunt;1328002;Ilioiliac shunt;1328002;ilioiliac shunt;1328002;ilioiliac shunt
1329005;doornemen van congenitaal larynxweb;1329005;Verdeling van aangeboren web van het strottenhoofd;1329005;verwijderen larynxweb;1329005;verwijderen larynxweb
1337002;colo - sigmoiedostomie;1337002;Colosigmoidostomy;1337002;colosigmo ï dostomie;1337002;colosigmoidostomy
1390003;laparoscopisch geassisteerde sigmoied resectie;1390003;- Laparoscopische bijgestaan ​​ sigmoid colectomy;1390003;laparoscopische - begeleide sigmo ï dectomie;1390003;laparoscopische - begeleide sigmo ï dectomie
1398005;directe trombectomie van vena iliaca via been incisie;1398005;Direct thrombectomy van iliacale ader van been incisie;1398005;directe trombectomie vena iliaca door been incisie;1398005;directe trombectomie vena iliaca op been incisie
1413003;penetrerende keratoplastie met allogreffe;1413003;Penetrerende keratoplasty met homograft;1413003;perforerende keratoplastiek met allograft;1413003;perforerende keratoplastiek met allograft
1414009;av shunt angiografie;1414009;Angiografie van arterioveneuze shunt;1414009;angiografie , arterioveneus;1414009;angiografie , arterioveneus
1449002;epilatie;1449002;Epileren;1449002;ontharing;1449002;ontharing
1501006;Altemeier ingreep , perineale rectum pull through;1501006;Altemeier operatie , perineale rectale pull - through;1501006;altemeier chirurgie perineum rectale pull , via;1501006;altemeier chirurgie perineum rectale pull , via
1576000;sluiten van utero - intestinale fistel;1576000;Sluiting van uteroenteric fistel;1576000;herstel uteroenteric fistel;1576000;herstel uteroenteric fistel
1578004;ketenreconstructie met stapedectomie;1578004;Reconstructie van gehoorbeentjes met stapedectomie;1578004;reconstructie van gehoorbeentjes met stapedectomie;1578004;reconstructie van gehoorbeentjes met stapedectomie
1585000;verlenging van de gastrocnemius;1585000;Verlenging van de gastrocnemius spier;1585000;verlenging van musculus gastrocnemius;1585000;verlenging van musculus gastrocnemius
1614003;bilateraal liesbreukherstel van directe hernia;1614003;Bilaterale reparatie van een liesbreuk , direct;1614003;bilateraal liesbreukoperatie direct;1614003;bilaterale liesbreukoperatie direct
1636000;injectie van scleroserend agens in variceuze vene;1636000;Injectie van scleroserende agent in spatader;1636000;inspuiting van agentia in spataderen;1636000;inspuiting van agentia in spataderen
1638004;cineplastische amputatie met cineplastische prothese van een lidmaat;1638004;Cineplastic amputatie met cineplastic prothese van extremiteit;1638004;cineplastic amputatie met cineplastic oogprothese extremiteit;1638004;cineplastic amputatie met cineplastic oogprothese extremiteit
1645004;transduodenale sfincterotomie;1645004;Transduodenal sfincterotomie;1645004;transhepatische sfincterotomie;1645004;transhepatische sfincterotomie
1651009;excisie van de peesschede;1651009;Excisie van peesschede;1651009;excisie van de peesschede;1651009;excisie van de peesschede
1689004;lokale excisie van het ovarium;1689004;Lokale excisie van eierstok;1689004;excisie van ovarium;1689004;excisie van ovarium
1704001;herstel van een congenitale pseudartrose van de tibia;1704001;Reparatie van pseudarthrosis van tibia;1704001;herstel pseudoartrose , congenitaal tibia;1704001;herstel pseudoartrose , congenitaal tibia
1746005;plaatsen van sclerale buckle met iplant;1746005;Sclerale knik met implantaat;1746005;arruga met implantatie;1746005;arruga met implantatie
1747001;vervangen van spierstimulator;1747001;Vervanging van de skeletspieren stimulator;1747001;vervanging skeletspier vagus stimulatorverwijdering;1747001;vervanging van spier vagus stimulatorverwijdering
1753001;resectie van uveaal weefsle;1753001;Resectie van uveal weefsel;1753001;resectie van uvea weefsel;1753001;resectie van uvea weefsel
1757000;polsarthroscopie met partiele synovectomie;1757000;Artroscopie van de pols met gedeeltelijke synovectomy;1757000;artroscopie pols parti ë le synovi ë ctomie;1757000;artroscopie pols parti ë le synovi ë ctomie
1801001;biopsie langs endoscopische weg van het duodenum;1801001;Endoscopische biopsie van de twaalfvingerige darm;1801001;endoscopische biopsie duodenum;1801001;endoscopische biopsie duodenum
1811008;aspiratie van bursa van de hand;1811008;Aspiratie van de bursa van de hand;1811008;slijmbeurs aspiratie van hand;1811008;slijmbeurs aspiratie van hand
1813006;cryotherapie van genitale wratten;1813006;Cryotherapie van genitale wratten;1813006;cryotherapie van wrat;1813006;cryotherapie van wrat
1844002;plicatuur van ligament;1844002;Sing van ligament;1844002;plication ligament;1844002;plication van
1859008;verwijderen van vreemd voorwerp van handpees;1859008;Verwijdering van vreemd lichaam uit pees van de hand;1859008;verwijdering van pees van hand;1859008;verwijdering van pees van hand
1868005;verwijderen van vreemd voorwerp uit de hersenen;1868005;Verwijdering van vreemde lichaam van de hersenen;1868005;verwijdering van hersenen;1868005;verwijdering van hersenen
1870001;aanleggen van een halo tractie apparaat van de schedel met synchrone skeletale tractie;1870001;Het inbrengen van Halo inrichting van de schedel met synchrone skelet tractie;1870001;implantatie halo van met synchronous skelettractie;1870001;implantatie halo - van met synchronous skelettractie
1871002;herstel van coronaire arterie aneurysma;1871002;Reparatie van aneurysma van de kransslagader;1871002;herstel aneurysma;1871002;herstel aneurysma
1872009;hechting perineum bij de man;1872009;Suture van mannelijke perineum;1872009;hechting van bekkenbodempijn man;1872009;hechting bekkenbodempijn man
1924009;hepaticotomie met drainage;1924009;Hepaticotomy met drainage;1924009;hepaticotomie met drainage;1924009;hepaticotomy met abcesdrainage
1950008;drainage van abces van neustussenschot;1950008;Drainage van abces van neustussenschot;1950008;abcesdrainage neusseptum;1950008;abcesdrainage neusseptum
1958001;botgreffe van de duim en tranfer van huidflap;1958001;Enten van het bot van de duim met de overdracht van de huid flap;1958001;transplantatie , bot duim met ntentransport huidflap;1958001;transplantatie , duim met ntentransport huidflap
2067001;implantatie van elektromagnetisch hoorapparaat;2067001;Implantatie van elektromagnetische gehoorapparaat;2067001;implantatie elektromagnetische gehoorapparaat;2067001;implantatie van electromagnetic gehoorapparaat
2078009;punctie van bursa van de hand;2078009;Punctie van bursa van de hand;2078009;slijmbeurs aspiratie van hand;2078009;slijmbeurs aspiratie van hand
2079001;re ï mplantatie van abnormale arteria pulmonalis;2079001;Re ï mplantatie van afwijkende longslagader;2079001;replantatie , pulmonaal;2079001;replantatie , pulmonaal
2080003;angi ë ctomie met anastomose van arterie van onderste lidmaat;2080003;Angiectomy met anastomose van de onderste ledematen slagader;2080003;vaatverwijdering met anastomose van arterie van onderste extremiteit;2080003;angiectomy met intestinale anastomose arterie van onderste extremiteit
2137005;excisie pericard tumor;2137005;Excisie van pericardiale tumor;2137005;excisie van pericard tumor;2137005;excisie van pericard tumor
2164006;injectie van aorta;2164006;Injectie van aorta;2164006;inspuiting van aorta;2164006;inspuiting van
2166008;bicuspidisatie van aortaklep;2166008;Bicuspidization van de aortaklep;2166008;bicuspidization aortaklep;2166008;bicuspidization van aortaklep
2193006;herstel van geruptureerde aneurysma van truncus coeliacus met greffe;2193006;Reparatie van gescheurde aneurysma met een graft van coeliakie slagader;2193006;herstel aneurysma met transplantaat arteria coeliaca;2193006;herstel aneurysma met transplantaat arteria coeliaca
2199005;excisie van een letsel in de cul - de - sac ( douglas );2199005;Uitsnijden van letsel van cul - de - sac;2199005;excisie van cavum douglasi;2199005;excisie cavum douglasi
2234009;procto - sigmoiedopexie;2234009;Proctosigmoidopexy;2234009;proctosigmoidopexy;2234009;proctosigmoidopexy
2242005;reconstructie ooglid;2242005;Reconstructie van het ooglid;2242005;reconstructie van ooglid;2242005;reconstructie van
2244006;arthroscopische stabilisatie van de pols met interne fixatie;2244006;Artroscopie van de pols met interne fixatie voor instabiliteit;2244006;artroscopie pols met inwendige fixatie voor instabiliteit;2244006;artroscopie pols met inwendige fixatie voor instabiliteit
2250001;resectie van aorta ascendens met anastomose;2250001;Resectie van stijgende aorta met anastomose;2250001;resectie van aorta ascendens met anastomose;2250001;resectie van aorta ascendens met anastomose
2270007;herstel van cleft hand;2270007;Reparatie van de hand gespleten;2270007;herstel klauwhand;2270007;herstel klauwhand
2276001;exploratie van de arteria poplitea;2276001;Verkenning van poplitea;2276001;exploratie arteria poplitea;2276001;exploration van arteria poplitea
2321005;vaginale partus volgens het manoeuvre van Ritgen;2321005;Levering door Ritgen manoeuvre;2321005;bevalling door ritgen maneuver;2321005;bevalling door ritgen maneuver
2337004;adductor tenotomie van de heup;2337004;Adductor tenotomie van hip;2337004;tenotomie ( abductor );2337004;tenotomie ( abductor )
2364003;radicale resectie van zachtweefseltumor thv de pols;2364003;Radicale resectie van de tumor van zacht weefsel van de pols gebied;2364003;radicale resectie van weke delen van pols gebied;2364003;radicale resectie van weke delen van pols gebied
2386002;reductie van gesloten patellaluxatie;2386002;Vermindering van gesloten patella dislocatie;2386002;reductie van gesloten patellae luxatie;2386002;reductie van gesloten patellae luxatie
2393003;ligatuur van vene van onderste lidmaat;2393003;Ligatie van de ader van de onderste ledematen;2393003;ligatuur van venen van onderste extremiteit;2393003;ligatuur van venen van onderste extremiteit
2407009;resectie van mediastinale tumor;2407009;Excisie van mediastinale tumor;2407009;excisie mediastinaal gezwel;2407009;excisie mediastinaal gezwel
2409007;re ï nsertie van de voet;2409007;Herbevestiging van het uiteinde van de voet;2409007;herstel loslating extremiteit voet;2409007;herstel loslating extremiteit voet
2442008;insnijden canaliculus;2442008;Insnijding van traan canaliculus;2442008;van traankanaal;2442008;van traankanaal
2459003;destructieve procedure van arterie van bovenste lidmaat;2459003;Destructieve procedure van de slagader van de bovenste extremiteit;2459003;destructieve operatie van arterie van bovenste extremiteit;2459003;destructieve operatie van arterie van bovenste extremiteit
2474001;herstel van malunion van metatarsale beenderen;2474001;Reparatie van malunion van middenvoetsbeentjes;2474001;herstel van verkeerd aangroeien van metatarsalia;2474001;herstel van verkeerd aangroeien van metatarsalia
2536007;injectie van medicatie in de voorste oogkamer;2536007;Injectie van medicijnen in de voorste kamer van het oog;2536007;inspuiting van geneesmiddelen voorste oogkamer;2536007;inspuiting van geneesmiddelen voorste oogkamer
2564002;creatie van lumbale shunt met laminectomie;2564002;Oprichting van de lumbale shunt waaronder laminectomie;2564002;shunt lumbale shunt inclusief laminectomie;2564002;shunt lumbale shunt inclusief laminectomie
2566000;osteoplastie van de radius;2566000;Osteoplastiek van de straal;2566000;osteoplasty van radius;2566000;osteoplasty van radius
2567009;excisie van de rib via transaxillaire toegang;2567009;Resectie van rib door transaxillary aanpak;2567009;ribexcisie door transaxillary approach;2567009;ribexcisie door transaxillary approach
2580007;transplantatie van haarfollikels op de hoofdhuid;2580007;Transplantatie van de haarzakjes op de hoofdhuid;2580007;transplantatie , follikels van hoofdhuid;2580007;transplantatie haar follicles van hoofdhuid
2601001;verwijderen van een botluik van de schedel;2601001;Het verwijderen van het bot flap van de schedel;2601001;verwijdering van weefsellap schedel;2601001;verwijdering van weefsellap schedel
2614000;verwijderen van ligatuur van eileider;2614000;Verwijdering van ligatuur van de eileider;2614000;verwijdering onderbinden van tuba fallopii;2614000;verwijdering onderbinden van tuba fallopii
2632000;incisie en drainage van ge ï nfecteede bursa van bovenarm;2632000;Incisie en drainage van ge ï nfecteerde bursa van de bovenarm;2632000;drainage via de incisie van bursitis van bovenarm;2632000;drainage via de incisie van bursitis van bovenarm
2644002;cauterizeren van de lever;2644002;Cauterisatie van de lever;2644002;cauterisatie van de lever;2644002;cauterisatie van de lever
2659008;hechting van ligament van het onderste lidmaat;2659008;Suture van ligament van de onderste extremiteit;2659008;hechting van onderste extremiteit;2659008;hechting van onderste extremiteit
2690005;NMR bekken;2690005;Magnetische resonantie beeldvorming van het bekken;2690005;bekken mri;2690005;bekken mri
2716009;huid - vet - fascia greffe;2716009;Dermal - vet - fascia graft;2716009;huidinfectie , vet - fascia transplantaat;2716009;huidinfectie , vet - fascia transplantaat
2732007;recessie van pees van de hand;2732007;Recessie van de pees van de hand;2732007;terugtrekkende oogkamerhoek pees van hand;2732007;recession van pees van hand
2737001;infratentori ë le craniotomie;2737001;Verkennende craniotomy , infratentorieel;2737001;exploratieve craniotomie , infratentorieel;2737001;exploratieve craniotomie , infratentorieel
2743004;chirurgische endoscopie van het ileum;2743004;Operatieve endoscopie van de dunne darm;2743004;chirurgie ileoscopie;2743004;chirurgie ileoscopie
2745006;omentopexie;2745006;Omentopexy;2745006;omentopexie;2745006;omentopexie
2752008;incudopexie;2752008;Incudopexy;2752008;incudopexy;2752008;incudopexy
2794006;cauterisatie van de navel;2794006;Cauterisatie van de navel;2794006;cauterisatie van navel;2794006;cauterisatie van navel
2813008;nefroureterocystectomie;2813008;Nephroureterocystectomy;2813008;nefro - ureterocystectomie;2813008;nephroureterocystectomy
2851008;arthrotomie van het sternoclaviculair gewicht voor synovectomie;2851008;Arthrotomie voor synovectomy van sternoclavicular joint;2851008;heupprotese synovi ë ctomie van sternoclaviculair gewricht;2851008;heupprotese synovi ë ctomie van sternoclaviculair gewricht
2854000;bursectomie van de hand;2854000;Bursectomy van de hand;2854000;bursaverwijdering hand;2854000;bursaverwijdering hand
2857007;complete pinealectomie;2857007;Volledige excisie van pijnappelklier;2857007;enucleatie van epifyse;2857007;enucleatie van epifyse
2875008;elleboogprothese;2875008;Implantatie van gewrichtsprothese in ellebooggewricht;2875008;vervangingsartroplastiek naar elleboog;2875008;gewrichtsvervanging naar elleboog
2891006;parti ë le arthroscopische synovectomie van de elleboog;2891006;Artroscopie van de elleboog met gedeeltelijke synovectomy;2891006;artroscopie elleboog parti ë le synovi ë ctomie;2891006;artroscopie elleboog parti ë le synovi ë ctomie
2908005;cryotherapie van haemorroiden;2908005;Vernietiging van aambeien door cryotherapie;2908005;cryochirurgie van aambeien;2908005;cryochirurgie van aambeien
2914003;anterieure sclerotomie;2914003;anterieure sclerotomie;2914003;anterior sclerotomie;2914003;voorste sclerotomy
2915002;hechting van kapsel van het enkelgewricht;2915002;Suture van de capsule van de enkel;2915002;hechting van kapsel van;2915002;suture kapselruptuur enkel
2960001;herstel van cervicale fistel;2960001;Sluiting van de fistel van baarmoederhals;2960001;fistelherstel cervix;2960001;fistelherstel cervix
2968008;craniectomie met behandeling van een penetrerende wonde;2968008;Craniectomy de behandeling penetreren wonde hersenen;2968008;crani ë ctomie met behandeling van wond van;2968008;crani ë ctomie met behandeling van wond van
2970004;metacarpaalverlenging en tranfer van een lokale flap;2970004;Middenhandsbeentje verlenging en overdracht van de lokale flap;2970004;metacarpofalangeaal verlenging en ntentransport lokale weefsellap;2970004;metacarpalia verlenging en ntentransport lokale weefsellap
2971000;sluiten van uretrovaginale fistel;2971000;Sluiting van verworven urethrovaginal fistel;2971000;herstel verworven fistel;2971000;herstel ( urethrovaginaal
2977001;trombectomie van vene van onderste lidmaat;2977001;Thrombectomy van ader onderste extremiteit;2977001;trombectomie onderste ledemaat;2977001;trombectomie onderste ledemaat
3001009;lobectomie met sleeveresectie van bronchus;3001009;Total lobectomie met bronchoplasty;3001009;totale lobectomie met bronchoplastiek;3001009;totale lobectomie ( met bronchoplastiek
3010001;verwijderen van silicone buisjes uit oor;3010001;Verwijdering van silastic buizen van oor;3010001;verwijdering van silastic tubes uit oor;3010001;verwijdering van silastic uterusligamenten uit oor
3026000;tibiotalaire arthrodese;3026000;tibio - talaire artrodese;3026000;tibiotalar artrodese;3026000;tibiotalar artrodese
3061006;volledige excisie van nagel en nagelmatrix;3061006;Volledige excisie van nagel en nagel matrix;3061006;enucleatie van en nagelbed;3061006;enucleatie van en nagel matrix
3063009;gastroscopie door artifici ë le stoma;3063009;Gastroscopie door middel van kunstmatige stoma;3063009;gastroscopie via kunstmatige stoma;3063009;gastroscopie via kunstmatige stoma
3078002;katheter embolectomie van de arteria renalis via abdominale incisie;3078002;Embolectomie katheter met nierslagader door abdominale incisie;3078002;embolectomie met katheter arteria door abdominale incisie;3078002;embolectomie met katheterisatie arteria door abdominale incisie
3090000;aneurysmectomie met greffe vervanging van arterie van onderste lidmaat;3090000;Aneurysmectomy met graft vervanging van de onderste ledematen slagader;3090000;aneurysmectomie met transplantaat vervanging van arterie van onderste extremiteit;3090000;aneurysmectomie met transplantaat vervanging van arterie van onderste extremiteit
3165004;spoeling van handspier;3165004;Irrigatie van de spieren van de hand;3165004;irrigatietherapie van hand;3165004;irrigatietherapie van hand
3177009;interne obstetrische kering;3177009;Interne verloskundige versie;3177009;inwendige obstetrische versie;3177009;inwendige obstetrische version
